generation	pedigree_id	age
179950	337405690	3
179950	337392710	10
179950	337399320	7
179950	337412300	0
179950	337410173	1
179950	337406186	3
179950	337401982	5
179950	337399049	7
179950	337412114	0
179950	337406487	3
179950	337396353	8
179950	337386738	13
179950	337404804	4
179950	337411909	0
179950	337403781	4
179950	337386572	13
179950	337395770	9
179950	337406680	3
179950	337394034	10
179950	337409891	1
179950	337405474	3
179950	337410963	0
179950	337392200	10
179950	337411799	0
179950	337406868	3
179950	337405999	3
179950	337410126	1
179950	337374780	20
179950	337407055	3
179950	337406109	3
179950	337407454	2
179950	337408782	2
179950	337409217	1
179950	337402875	5
179950	337412373	0
179950	337396513	8
179950	337406128	3
179950	337397032	8
179950	337409404	1
179950	337407735	2
179950	337411914	0
179950	337409622	1
179950	337408354	2
179950	337408595	2
179950	337404125	4
179950	337404603	4
179950	337411980	0
179950	337412099	0
179950	337404933	4
179950	337409453	1
179950	337411726	0
179950	337411912	0
179950	337403755	4
179950	337395462	9
179950	337409112	1
179950	337409132	1
179950	337403567	4
179950	337412538	0
179950	337407273	2
179950	337405674	3
179950	337411234	0
179950	337412502	0
179950	337400886	6
179950	337397317	8
179950	337411818	0
179950	337410866	1
179950	337410152	1
179950	337404670	4
179950	337393289	10
179950	337410683	1
179950	337400860	6
179950	337403913	4
179950	337408289	2
179950	337401468	6
179950	337406599	3
179950	337396386	8
179950	337406694	3
179950	337394916	9
179950	337410196	1
179950	337384702	14
179950	337403475	4
179950	337412527	0
179950	337410369	1
179950	337402307	5
179950	337411996	0
179950	337405938	3
179950	337412128	0
179950	337392737	10
179950	337410041	1
179950	337411513	0
179950	337412255	0
180000	337494064	6
180000	337502847	2
180000	337504461	1
180000	337503094	1
180000	337504246	1
180000	337498784	4
180000	337490146	8
180000	337499675	3
180000	337504305	1
180000	337499526	3
180000	337501510	2
180000	337493295	7
180000	337483217	12
180000	337501642	2
180000	337494164	6
180000	337503430	1
180000	337497103	5
180000	337487232	10
180000	337497297	4
180000	337481489	13
180000	337497885	4
180000	337501468	2
180000	337483828	12
180000	337504526	1
180000	337498427	4
180000	337496903	5
180000	337504726	1
180000	337472813	18
180000	337494937	6
180000	337500462	3
180000	337502344	2
180000	337500539	3
180000	337496390	5
180000	337455330	27
180000	337495678	5
180000	337503092	1
180000	337488946	9
180000	337492651	7
180000	337503617	1
180000	337497537	4
180000	337503698	1
180000	337495023	6
180000	337494823	6
180000	337497236	4
180000	337495253	6
180000	337500282	3
180000	337501901	2
180000	337494585	6
180000	337495484	5
180000	337499787	3
180000	337482297	12
180000	337503415	1
180000	337503704	1
180000	337489287	9
180000	337503059	1
180000	337480837	13
180000	337502519	2
180000	337498143	4
180000	337500957	3
180000	337499137	3
180000	337486964	10
180000	337494236	6
180000	337492527	7
180000	337497122	5
180000	337499999	3
180000	337498333	4
180000	337500541	3
180000	337503541	1
180000	337503567	1
180000	337498386	4
180000	337504402	1
180000	337488255	9
180000	337491904	7
180000	337489480	9
180000	337481671	13
180000	337487785	10
180000	337503861	1
180000	337475542	16
180000	337500961	3
180000	337502080	2
180000	337503174	1
180000	337500288	3
180000	337500819	3
180000	337501162	2
180000	337487683	10
180000	337497348	4
180000	337480999	13
180000	337499482	3
180000	337489628	9
180000	337501564	2
180000	337504674	1
180000	337499159	3
180000	337504266	1
180000	337478995	14
180000	337498945	4
180000	337504432	1
180000	337468870	20
180000	337496721	5
180000	337493850	6
180000	337502767	2
180005	337500006	8
180005	337485074	16
180005	337494446	11
180005	337502355	7
180005	337503981	6
180005	337503049	6
180005	337501008	7
180005	337500561	8
180005	337500283	8
180005	337481775	18
180005	337494481	11
180005	337502938	6
180005	337499025	9
180005	337500992	7
180005	337494416	11
180005	337484057	16
180005	337496030	10
180005	337501443	7
180005	337499445	8
180005	337504009	6
180005	337503174	6
180005	337500248	8
180005	337485261	16
180005	337499205	8
180005	337463401	27
180005	337496642	10
180005	337496291	10
180005	337498433	9
180005	337495467	10
180005	337461107	29
180005	337498719	9
180005	337503330	6
180005	337499645	8
180005	337490612	13
180005	337497792	9
180005	337497831	9
180005	337496400	10
180005	337503188	6
180005	337500127	8
180005	337498937	9
180005	337498731	9
180005	337503392	6
180005	337478349	20
180005	337503924	6
180005	337484208	16
180005	337504611	6
180005	337488356	14
180005	337493731	11
180005	337503557	6
180005	337500279	8
180005	337491006	13
180005	337492545	12
180005	337489698	13
180005	337494714	11
180005	337481070	18
180005	337492681	12
180005	337499235	8
180005	337500905	8
180005	337488514	14
180005	337500764	8
180005	337503708	6
180005	337502382	7
180005	337487925	14
180005	337504203	6
180005	337497794	9
180005	337501997	7
180005	337498945	9
180005	337501768	7
180005	337503316	6
180005	337471368	23
180005	337494558	11
180005	337501712	7
180005	337503424	6
180005	337483318	17
180005	337485446	16
