generation	pedigree_id	age
179800	761068465	0
179800	761068091	0
179800	761067351	0
179800	761067378	0
179800	761065374	0
179800	761067154	0
179800	761067023	0
179800	761069343	0
179800	761068255	0
179800	761066066	0
179800	761067109	0
179800	761066619	0
179800	761065644	0
179800	761066841	0
179800	761066825	0
179800	761067237	0
179800	761068900	0
179800	761068969	0
179800	761068234	0
179800	761068125	0
179800	761069351	0
179800	761068862	0
179800	761066749	0
179800	761069202	0
179800	761066641	0
179800	761069082	0
179800	761066625	0
179800	761066411	0
179800	761067750	0
179800	761066505	0
179800	761069279	0
179800	761065853	0
179800	761068253	0
179800	761067945	0
179800	761067078	0
179800	761065407	0
179800	761068425	0
179800	761069103	0
179800	761065868	0
179800	761066158	0
179800	761068674	0
179800	761068517	0
179800	761067710	0
179800	761066175	0
179800	761066562	0
179800	761069069	0
179800	761068808	0
179800	761068600	0
179800	761066892	0
179800	761068615	0
179800	761068347	0
179800	761067600	0
179800	761067111	0
179800	761065399	0
179800	761066828	0
179800	761067233	0
179800	761068067	0
179800	761069366	0
179800	761067173	0
179800	761065729	0
179800	761069136	0
179800	761067825	0
179800	761067138	0
179800	761066826	0
179800	761068722	0
179800	761067802	0
179800	761067229	0
179800	761065472	0
179800	761069296	0
179800	761069080	0
179800	761069087	0
179800	761065718	0
179800	761069498	0
179800	761065641	0
179800	761067067	0
179800	761067413	0
179800	761065896	0
179800	761067106	0
179800	761068199	0
179800	761068575	0
179800	761065382	0
179800	761066261	0
179800	761066343	0
179800	761069435	0
179800	761068625	0
179800	761067272	0
179800	761066801	0
179800	761069322	0
179800	761067433	0
179800	761066881	0
179800	761067648	0
179800	761068043	0
179800	761068673	0
179800	761065847	0
179800	761067048	0
179800	761065522	0
179800	761066012	0
179800	761066840	0
179800	761065763	0
179800	761065600	0
179850	761279647	0
179850	761279988	0
179850	761279593	0
179850	761276923	0
179850	761279365	0
179850	761280214	0
179850	761277281	0
179850	761279066	0
179850	761279854	0
179850	761280583	0
179850	761277392	0
179850	761277118	0
179850	761280217	0
179850	761278802	0
179850	761277237	0
179850	761280279	0
179850	761278197	0
179850	761276960	0
179850	761278064	0
179850	761277060	0
179850	761280316	0
179850	761278185	0
179850	761280574	0
179850	761279023	0
179850	761279179	0
179850	761279916	0
179850	761277252	0
179850	761279314	0
179850	761280563	0
179850	761280315	0
179850	761280369	0
179850	761278888	0
179850	761280355	0
179850	761279586	0
179850	761280220	0
179850	761278801	0
179850	761277409	0
179850	761279079	0
179850	761280751	0
179850	761277551	0
179850	761278218	0
179850	761277011	0
179850	761277363	0
179850	761279762	0
179850	761280881	0
179850	761280475	0
179850	761278643	0
179850	761280222	0
179850	761279815	0
179850	761279864	0
179850	761278229	0
179850	761278758	0
179850	761279651	0
179850	761279400	0
179850	761280004	0
179850	761277954	0
179850	761276933	0
179850	761277646	0
179850	761279321	0
179850	761279633	0
179850	761279446	0
179850	761277147	0
179850	761280791	0
179850	761277578	0
179850	761281140	0
179850	761277757	0
179850	761279120	0
179850	761278525	0
179850	761280788	0
179850	761278591	0
179850	761279938	0
179850	761278745	0
179850	761279286	0
179850	761280265	0
179850	761279631	0
179850	761277554	0
179850	761279238	0
179850	761280680	0
179850	761278985	0
179850	761277542	0
179850	761280860	0
179850	761278818	0
179850	761276930	0
179850	761280963	0
179850	761280346	0
179850	761280264	0
179850	761279230	0
179850	761279774	0
179850	761279622	0
179850	761280065	0
179850	761277187	0
179850	761280334	0
179850	761278196	0
179850	761278339	0
179850	761280647	0
179850	761277306	0
179850	761280525	0
179850	761280944	0
179850	761280128	0
179850	761280206	0
179900	761489839	0
179900	761490316	0
179900	761492780	0
179900	761490487	0
