generation	pedigree_id	age
179800	7559	3.98981	64
179850	7460	4.11032	51
179900	7420	3.95714	52
179950	7453	3.94848	37
180000	6108	5.03291	40
180005	1980	10.0086	45
180010	664	15.2922	40
180015	207	20.3575	39
180020	104	15.0096	44
180025	102	7.7451	45
180030	99	6	38
180035	93	4.34409	16
180040	100	4.24	19
180045	89	3.67416	24
180050	92	4	29
180100	99	3.74747	25
180150	88	3.60227	15
180200	104	4.19231	23
180250	91	3.75824	26
180300	96	3.54167	24
180350	106	5.18868	27
180400	103	3.50485	19
180450	103	3.80583	20
180500	98	4.06122	18
180550	102	4.14706	24
180600	94	3.31915	20
180650	98	3.81633	24
180700	108	3.92593	18
180750	104	3.99038	29
180800	105	3.64762	24
180850	103	3.43689	20
180900	93	3.82796	19
180950	95	4.75789	23
181000	113	3.57522	22
181050	96	3.27083	17
181100	96	4.47917	23
181150	100	4.48	28
181200	100	4.14	23
181250	89	3.5618	17
181300	105	3.33333	17
181350	92	4	20
181400	103	4.1165	40
181450	100	3.33	27
181500	93	4.34409	26
181550	105	3.41905	34
181600	104	4.20192	21
181650	100	4.84	23
181700	103	3.73786	28
181750	106	3.92453	29
181800	98	3.44898	28
181850	95	4.69474	24
181900	97	4.39175	34
181950	98	3.82653	19
182000	104	4	20
182050	94	3.57447	26
182100	95	3.57895	16
182150	98	4.38776	33
182200	96	3.47917	13
182250	98	3.86735	23
182300	98	4.76531	24
182350	99	3.69697	21
182400	98	3.78571	32
182450	105	3.37143	18
182500	105	3.93333	26
182550	97	3.69072	24
182600	110	4.5	20
182650	96	4.54167	25
182700	91	3.87912	17
182750	92	3.65217	19
182800	98	3.57143	14
182850	103	3.84466	22
182900	102	3.92157	29
182950	100	4.18	21
183000	95	3.74737	16
183050	104	3.74038	16
183100	97	3.89691	25
183150	97	3.50515	20
183200	107	4.1215	18
183250	107	4.3271	15
183300	103	3.51456	20
183350	91	3.2967	15
183400	102	4.44118	21
183450	101	3.92079	16
183500	102	3.81373	15
183550	108	4.0463	20
183600	101	3.65347	21
183650	93	3.94624	17
183700	101	4.75248	26
183750	107	3.48598	22
183800	102	4.05882	20
183850	102	4.47059	42
183900	88	3.98864	18
183950	100	3.29	20
184000	96	4.07292	19
184050	107	3.81308	20
184100	96	4.375	29
184150	111	3.36036	22
184200	103	3.7767	29
184250	93	3.63441	17
184300	101	3.62376	23
184350	97	3.40206	23
184400	99	4	21
184450	101	4.34653	24
184500	107	4.71028	30
184550	102	4.4902	27
184600	101	3.77228	19
184650	98	3.85714	18
184700	102	3.30392	24
184750	100	4.46	32
184800	107	4.69159	18
184850	98	4.4898	24
184900	98	4.38776	26
184950	103	3.75728	20
185000	100	3.64	27
185050	94	4.71277	31
185100	105	4.2	18
185150	96	4.21875	30
185200	98	3.86735	19
185250	107	3.83178	19
185300	100	3.94	17
185350	101	3.78218	21
185400	105	4.1619	28
185450	93	4.09677	16
185500	110	3.90909	23
185550	89	4.78652	18
185600	98	3.08163	14
185650	105	3.89524	33
185700	100	3.8	27
185750	116	4.84483	25
185800	102	4.05882	20
185850	97	4.30928	21
185900	115	2.86087	15
185950	97	3.2268	14
186000	102	3.7451	23
186050	107	3.21495	24
186100	95	4.17895	19
186150	107	3.57009	14
186200	97	3.72165	21
186250	95	3.64211	16
186300	98	2.96939	39
186350	96	3.48958	20
186400	93	4.05376	18
186450	91	3.94505	20
186500	105	3.40952	20
186550	104	4.56731	43
186600	100	3.95	24
186650	98	3.88776	41
186700	100	4.3	37
186750	92	3.43478	26
186800	87	3.97701	23
186850	95	3.97895	19
186900	111	4.12613	26
186950	97	3.39175	19
187000	93	3.52688	26
187050	94	4.48936	27
187100	105	4.15238	19
187150	112	3.39286	16
187200	97	4.16495	21
187250	99	3.86869	17
187300	104	3.69231	21
187350	105	4.07619	25
187400	98	4.28571	21
187450	94	4.48936	25
187500	96	3.73958	15
187550	109	2.9633	14
187600	102	4.39216	24
187650	100	4.1	17
187700	96	4.05208	20
187750	106	4.18868	22
187800	105	4.64762	30
187850	101	3.83168	22
187900	101	3.79208	27
187950	91	3.89011	23
188000	103	3.78641	29
188050	98	4.39796	20
188100	103	4.81553	23
188150	91	4.62637	27
188200	97	3.35052	19
188250	104	4.51923	37
188300	88	4.31818	22
188350	101	3.07921	17
188400	106	3.87736	21
188450	106	4.30189	21
188500	100	4.08	33
188550	93	3.84946	19
188600	113	4.09735	17
188650	97	3.54639	31
188700	96	4.66667	29
188750	96	3.02083	14
188800	94	3.64894	27
188850	109	4.68807	27
188900	95	3.24211	19
188950	95	3.56842	29
189000	89	3.04494	18
189050	82	3.13415	14
189100	93	3.39785	35
189150	107	3.97196	15
189200	105	3.84762	25
189250	87	4.68966	28
189300	102	4.18627	27
189350	99	4.15152	24
189400	101	4.06931	24
189450	115	4.24348	27
189500	95	3.75789	24
189550	92	4.09783	20
189600	93	3.95699	18
189650	92	3.82609	20
189700	96	3.92708	41
189750	97	3.01031	20
189800	100	4.44	24
189850	100	3.61	20
189900	96	3.47917	18
189950	94	4.34043	23
190000	92	3.92391	22
