generation	pedigree_id	age
179800	7536	4.04233	41
179850	7504	4.0605	44
179900	7526	4.0186	39
179950	7545	3.99934	60
180000	5932	5.01214	49
180005	1980	10.0268	37
180010	607	14.6771	40
180015	204	19.1961	42
180020	107	15.243	47
180025	99	7.10101	34
180030	94	4.96809	39
180035	106	3.5566	14
180040	101	4.35644	19
180045	95	4.71579	21
180050	105	4.5619	23
180100	90	3.57778	14
180150	96	4.48958	30
180200	85	3.68235	18
180250	94	4.42553	30
180300	103	4.00971	18
180350	110	3.45455	19
180400	108	3.93519	30
180450	97	4	18
180500	96	3.78125	16
180550	100	4.28	18
180600	95	3.87368	21
180650	91	3.97802	25
180700	99	3.71717	19
180750	88	3.73864	22
180800	98	3.53061	18
180850	98	3.92857	23
180900	88	4.32955	20
180950	102	4.29412	30
181000	105	3.0381	24
181050	104	4.25962	21
181100	98	3.71429	24
181150	90	4.27778	20
181200	98	4.53061	32
181250	101	4.49505	23
181300	93	3.89247	17
181350	98	3.54082	17
181400	97	4.3299	26
181450	104	4.60577	29
181500	99	3.78788	20
181550	88	3.78409	18
181600	103	3.92233	20
181650	97	4.01031	18
181700	105	3.80952	25
181750	93	4.68817	23
181800	90	4.44444	23
181850	102	4.18627	17
181900	91	4.10989	19
181950	104	3.81731	22
182000	98	3.41837	18
182050	94	4.51064	22
182100	101	3.69307	23
182150	95	3.71579	25
182200	96	3.76042	21
182250	103	3.34951	22
182300	101	4.15842	28
182350	100	4.12	25
182400	106	4.04717	27
182450	96	4.67708	26
182500	103	4.03883	17
182550	97	4	24
182600	101	3.0297	17
182650	103	3.57282	16
182700	92	3.48913	16
182750	108	4.05556	18
182800	96	4.21875	29
182850	96	4.13542	21
182900	102	3.87255	30
182950	101	4.39604	25
183000	95	4.52632	23
183050	100	4.37	24
183100	97	3.70103	23
183150	105	3.49524	20
183200	113	4.35398	29
183250	101	4.42574	25
183300	112	4.80357	22
183350	94	3.12766	22
183400	92	4.5	20
183450	104	4.02885	21
183500	91	3.87912	19
183550	115	4.3913	22
183600	105	3.8	19
183650	105	3.46667	15
183700	97	4.56701	27
183750	113	3.84956	34
183800	99	4.28283	25
183850	100	4.07	28
183900	100	3.6	20
183950	99	4.48485	18
184000	103	3.51456	17
184050	95	3.45263	18
184100	93	4.04301	16
184150	112	3.96429	22
184200	99	4.07071	29
184250	96	3.45833	25
184300	97	4.15464	19
184350	106	3.69811	22
184400	89	3.91011	15
184450	90	4.14444	22
184500	90	4.07778	18
184550	106	3.84906	21
184600	111	3.88288	42
184650	102	3.34314	19
184700	104	3.91346	28
184750	99	3.83838	20
184800	98	3.77551	19
184850	103	4.82524	25
184900	97	4.12371	18
184950	101	4.06931	23
185000	103	3.67961	16
185050	98	3.54082	16
185100	95	3.35789	17
185150	94	3.37234	26
185200	111	3.56757	17
185250	106	4.34906	18
185300	97	4.75258	27
185350	97	4.25773	24
185400	110	3.30909	23
185450	105	3.41905	13
185500	106	4.43396	24
185550	92	4.22826	19
185600	99	4.69697	28
185650	100	4.72	29
185700	105	3.89524	18
185750	97	4.2268	21
185800	99	4.18182	21
185850	103	3.54369	28
185900	96	3.65625	27
185950	111	3.77477	23
186000	108	3.82407	22
186050	100	4.01	23
186100	93	3.72043	22
186150	102	3.47059	32
186200	96	3.63542	17
186250	97	4.39175	33
186300	103	4.07767	41
186350	110	4.13636	18
186400	100	4.13	25
186450	97	3.14433	16
186500	99	5.20202	27
186550	103	3.54369	16
186600	102	4.32353	19
186650	107	4.11215	21
186700	110	4.13636	25
186750	96	3.91667	24
186800	92	3.3587	16
186850	86	4.72093	21
186900	93	3.33333	17
186950	100	4.31	20
187000	99	3.65657	23
187050	103	3.65049	20
187100	97	3.65979	27
187150	86	3.37209	20
187200	96	3.38542	23
187250	93	4.3871	30
187300	101	3.69307	22
187350	99	4.12121	19
187400	101	4.53465	29
187450	106	4.33019	28
187500	107	4	23
187550	90	4.12222	26
187600	91	4.06593	21
187650	104	4.65385	32
187700	98	3.85714	31
187750	106	4.27358	20
187800	101	4.20792	19
187850	102	4.17647	24
187900	101	3.87129	22
187950	105	4.46667	20
188000	103	3.90291	21
188050	92	4.27174	23
188100	104	4.13462	20
188150	109	4.16514	26
188200	110	3.77273	22
188250	93	4.5914	25
188300	106	4.46226	26
188350	99	3.45455	19
188400	103	4.21359	22
188450	90	3.44444	23
188500	91	3.87912	20
188550	98	3.73469	15
188600	96	4.625	34
188650	104	4.71154	36
188700	104	3.91346	20
188750	94	4.90426	18
188800	117	4.13675	35
188850	104	4.03846	30
188900	97	4.27835	18
188950	105	3.88571	14
189000	100	3.61	18
189050	100	4.67	29
189100	105	3.40952	17
189150	85	4.03529	31
189200	99	4.08081	16
189250	93	3.48387	24
189300	98	4.34694	19
189350	102	4.26471	23
189400	96	3.29167	20
189450	94	4.11702	23
189500	102	3.76471	19
189550	96	3.95833	19
189600	100	4.36	17
189650	96	3.80208	18
189700	99	3.94949	20
189750	97	3.61856	20
189800	106	4.48113	25
189850	97	3.57732	33
189900	93	3.65591	27
189950	97	4.29897	33
190000	92	3.8913	27
