generation	pedigree_id	age
179800	7544	3.9886	44
179850	7431	4.09837	45
179900	7431	4.10523	41
179950	7433	3.97847	41
180000	6040	4.98013	41
180005	2005	10.0304	46
180010	645	15.062	51
180015	213	19.9906	46
180020	110	17.4182	51
180025	112	9.4375	43
180030	103	4.51456	47
180035	101	4.44554	38
180040	107	4.51402	20
180045	105	4.33333	20
180050	101	4.09901	25
180100	105	4.10476	24
180150	97	3.64948	27
180200	96	4.21875	35
180250	101	4.20792	19
180300	107	3.6729	16
180350	94	4.34043	19
180400	98	3.59184	20
180450	92	4.26087	14
180500	93	3.58065	19
180550	110	3.42727	17
180600	100	3.94	22
180650	97	4.6701	27
180700	96	3.61458	23
180750	103	5.00971	21
180800	103	4.42718	24
180850	92	3.34783	21
180900	88	3.95455	20
180950	102	3.78431	17
181000	78	4.12821	22
181050	98	3.87755	27
181100	101	4.46535	18
181150	106	4.57547	33
181200	103	3.66019	18
181250	101	3.80198	26
181300	108	3.75926	22
181350	103	4.20388	17
181400	101	4.35644	19
181450	91	3.36264	18
181500	102	3.59804	29
181550	100	4.83	24
181600	98	3.59184	20
181650	95	4.56842	19
181700	101	4.43564	24
181750	106	4.65094	28
181800	105	3.91429	24
181850	96	4.40625	27
181900	100	4.47	26
181950	92	4.69565	25
182000	90	3.66667	17
182050	102	3.7549	20
182100	109	2.93578	17
182150	104	3.54808	16
182200	97	3.85567	21
182250	91	4.28571	30
182300	82	3.69512	25
182350	112	4.22321	20
182400	98	3.87755	17
182450	106	3.62264	18
182500	97	3.92784	20
182550	99	3.51515	23
182600	97	4.39175	28
182650	89	2.94382	12
182700	100	3.99	27
182750	103	4.01942	28
182800	85	4.45882	21
182850	95	3.28421	18
182900	95	4.15789	23
182950	102	3.77451	21
183000	98	2.9898	13
183050	96	4.64583	27
183100	98	5.11224	34
183150	100	4.03	18
183200	92	4.18478	18
183250	102	4.62745	27
183300	110	3.91818	24
183350	91	3.42857	12
183400	106	4.43396	27
183450	105	3.60952	18
183500	99	4.20202	17
183550	100	4.4	21
183600	96	3.34375	17
183650	96	4.11458	18
183700	107	3.48598	18
183750	109	3.50459	18
183800	98	4.2551	20
183850	101	4.23762	21
183900	109	4.7156	19
183950	98	3.56122	25
184000	94	3.29787	18
184050	104	3.53846	21
184100	107	3.51402	20
184150	86	3.25581	13
184200	91	3.69231	20
184250	112	3.48214	18
184300	100	3.73	22
184350	100	3.2	20
184400	95	4.26316	18
184450	100	3.56	23
184500	97	4.29897	26
184550	96	4.41667	24
184600	92	4.07609	20
184650	100	4.26	29
184700	102	3.90196	24
184750	103	3.79612	26
184800	97	4.31959	18
184850	99	4.38384	34
184900	97	3.52577	16
184950	102	4.16667	19
185000	101	4.39604	29
185050	91	4.54945	28
185100	101	3.69307	18
185150	95	4.08421	23
185200	104	3.77885	16
185250	102	3.29412	14
185300	101	4.06931	17
185350	95	4.4	30
185400	92	4.02174	42
185450	97	4.48454	23
185500	110	3.71818	20
185550	106	4.63208	28
185600	111	4.45946	19
185650	94	4.74468	27
185700	96	4.55208	23
185750	104	3.99038	23
185800	97	4.23711	19
185850	96	4.4375	28
185900	105	4.24762	28
185950	98	4.66327	24
186000	98	3.71429	23
186050	109	4.41284	26
186100	113	4.33628	25
186150	92	3.70652	23
186200	100	3.89	19
186250	97	3.61856	14
186300	96	4.53125	23
186350	95	3.23158	20
186400	109	3.62385	23
186450	101	3.29703	21
186500	94	4.11702	17
186550	98	4	18
186600	101	3.36634	26
186650	104	3.57692	15
186700	94	4.12766	24
186750	105	3.92381	22
186800	101	3.40594	22
186850	96	4.02083	24
186900	106	4.26415	35
186950	114	3.85088	19
187000	96	3.94792	30
187050	86	3.5814	22
187100	100	4.42	22
187150	109	5.01835	27
187200	103	4.76699	33
187250	100	4.47	46
187300	103	3.97087	25
187350	103	4.6699	26
187400	89	4.23596	24
187450	94	3.52128	25
187500	100	3.98	16
187550	117	3.71795	28
187600	91	4	17
187650	101	3.65347	22
187700	108	4	22
187750	102	3.61765	23
187800	98	4.09184	21
187850	110	3.63636	29
187900	96	4.04167	26
187950	100	3.89	28
188000	108	3.37963	21
188050	104	4.70192	19
188100	93	4.55914	18
188150	104	4.75	21
188200	94	3.73404	14
188250	112	3.49107	19
188300	117	3.61538	22
188350	88	4.15909	29
188400	95	4.15789	45
188450	96	4.04167	28
188500	98	4.87755	49
188550	99	4.0404	20
188600	96	3.48958	21
188650	93	3.80645	25
188700	95	3.92632	27
188750	99	3.53535	21
188800	106	3.68868	23
188850	103	4.39806	24
188900	101	4.24752	19
188950	99	4.30303	21
189000	107	4.23364	19
189050	106	3.5566	17
189100	98	3.28571	15
189150	105	3.48571	18
189200	86	3.30233	19
189250	106	4.58491	25
189300	90	4.92222	23
189350	104	4.04808	34
189400	97	3.69072	30
189450	103	3.51456	20
189500	105	4.21905	31
189550	111	3.86486	27
189600	96	3.32292	24
189650	94	4.05319	18
189700	98	4.27551	16
189750	83	3.6506	19
189800	97	3.68041	14
189850	94	3.97872	30
189900	89	3.97753	28
189950	103	3.28155	19
190000	103	4.3301	31
