generation	pedigree_id	age
179800	7515	4.0652	41
179850	7673	3.95725	53
179900	7502	4.1321	42
179950	7544	4.07397	37
180000	5997	5.01234	44
180005	1936	9.97727	45
180010	621	14.9597	40
180015	218	19.8349	45
180020	100	19.39	44
180025	90	8.51111	45
180030	93	4.78495	43
180035	108	4.37037	48
180040	102	3.64706	17
180045	99	3.70707	17
180050	112	3.80357	21
180100	95	3.93684	19
180150	105	4.06667	21
180200	104	3.33654	14
180250	110	4.1	46
180300	98	3.68367	19
180350	101	3.68317	22
180400	85	4.44706	21
180450	103	4.15534	34
180500	100	3.58	20
180550	96	4.38542	24
180600	99	3.88889	32
180650	96	3.89583	20
180700	92	4.11957	19
180750	89	4.07865	29
180800	109	4.07339	30
180850	106	3.83019	21
180900	103	3.31068	16
180950	100	3.93	28
181000	99	3.70707	23
181050	101	4.13861	24
181100	102	3.02941	13
181150	86	3.65116	20
181200	98	4.5	26
181250	102	3.64706	25
181300	102	4.09804	19
181350	102	3.56863	27
181400	105	4.49524	24
181450	106	3.9717	16
181500	105	4.19048	19
181550	102	4.09804	19
181600	100	3.67	16
181650	97	3.93814	20
181700	103	3.48544	19
181750	101	4	24
181800	103	3.6699	17
181850	88	4.69318	19
181900	80	4.175	22
181950	97	3.61856	18
182000	106	4.56604	22
182050	97	4.29897	30
182100	97	4.48454	28
182150	98	4.06122	26
182200	97	4.15464	19
182250	110	4.34545	25
182300	100	3.59	19
182350	89	4.05618	20
182400	75	4.04	21
182450	101	3.54455	24
182500	97	4.42268	24
182550	90	4.11111	30
182600	109	3.66972	17
182650	106	4.66038	25
182700	107	3.78505	24
182750	100	4.32	24
182800	103	4.6699	29
182850	97	4.06186	34
182900	90	4.18889	23
182950	82	3.5	15
183000	99	4.31313	26
183050	97	3.40206	16
183100	105	4.09524	17
183150	96	3.78125	24
183200	94	4.25532	27
183250	90	3.78889	17
183300	104	3.64423	21
183350	99	3.69697	26
183400	100	3.96	20
183450	106	4.07547	24
183500	100	4.55	25
183550	104	3.28846	17
183600	100	4	27
183650	98	4.06122	21
183700	93	3.62366	19
183750	99	4.39394	26
183800	112	3.69643	16
183850	109	3.81651	28
183900	103	4.01942	25
183950	88	4	30
184000	107	4.04673	22
184050	102	3.88235	21
184100	101	4.61386	31
184150	96	4.57292	34
184200	101	3.54455	16
184250	91	4.71429	22
184300	109	4.2844	25
184350	106	3.61321	17
184400	96	4.34375	19
184450	98	5	27
184500	104	4.73077	29
184550	105	3.8	28
184600	107	4.40187	31
184650	104	3.72115	18
184700	102	3.4902	17
184750	83	3.98795	18
184800	96	3.59375	19
184850	94	4.88298	21
184900	104	4.53846	24
184950	106	3.83962	41
185000	102	4.03922	26
185050	96	3.16667	17
185100	101	3.48515	15
185150	105	5.20952	21
185200	96	3.70833	23
185250	109	2.94495	19
185300	99	4.64646	26
185350	98	4.33673	26
185400	94	3.71277	28
185450	106	4.54717	31
185500	96	4.96875	24
185550	90	4.52222	19
185600	95	4.18947	23
185650	102	4.09804	20
185700	96	3.20833	22
185750	95	4.85263	24
185800	99	3.91919	20
185850	90	4	22
185900	95	4.04211	24
185950	91	3.93407	20
186000	108	3.62963	18
186050	110	4.03636	25
186100	95	3.73684	16
186150	95	4.98947	32
186200	97	4.30928	26
186250	102	4.18627	25
186300	103	3.51456	23
186350	107	3.83178	25
186400	103	4.36893	20
186450	104	3.875	18
186500	91	3.52747	15
186550	98	4.31633	25
186600	92	4.16304	24
186650	109	4.57798	34
186700	96	3.88542	18
186750	105	4.45714	21
186800	112	4.21429	20
186850	111	3.53153	26
186900	100	4.72	27
186950	104	3.69231	20
187000	100	4.69	26
187050	99	4.70707	18
187100	88	4.93182	31
187150	109	3.87156	25
187200	108	4.02778	18
187250	110	4.9	26
187300	101	4.51485	22
187350	97	4.02062	25
187400	109	4.68807	24
187450	96	3.98958	25
187500	97	3.65979	21
187550	95	3.25263	16
187600	107	4.04673	23
187650	100	3.68	28
187700	97	4.74227	23
187750	106	4.16981	42
187800	96	4.15625	26
187850	109	3.95413	28
187900	92	3.73913	23
187950	103	3.8835	20
188000	99	4.58586	29
188050	96	4.35417	30
188100	92	4.09783	18
188150	98	4.95918	23
188200	105	3.93333	21
188250	93	4.76344	31
188300	80	4.375	27
188350	101	5.0099	24
188400	94	3.97872	20
188450	99	4.31313	27
188500	96	4.09375	16
188550	98	4.31633	26
188600	99	4.9798	19
188650	108	3.98148	23
188700	98	4.05102	24
188750	113	3.9646	26
188800	107	3.74766	21
188850	103	4.06796	24
188900	104	4.34615	24
188950	90	5.02222	22
189000	98	4.26531	24
189050	98	3.93878	18
189100	101	4.54455	30
189150	91	3.26374	21
189200	108	3.97222	22
189250	92	4.1087	26
189300	100	4.43	29
189350	110	3.62727	13
189400	98	3.92857	27
189450	104	5.04808	28
189500	99	4.29293	31
189550	97	3.78351	22
189600	102	4.53922	22
189650	116	3.62069	21
189700	106	4.10377	21
189750	107	3.69159	24
189800	106	4.66981	22
189850	101	4.13861	21
189900	104	4.50962	28
189950	114	4.33333	31
190000	102	4.57843	30
