generation	pedigree_id	age
179800	7443	3.96252	44
179850	7529	3.91075	42
179900	7496	3.99306	34
179950	7468	4.01018	45
180000	6046	5.01307	39
180005	2017	10.0322	38
180010	656	14.9085	37
180015	221	19.6833	42
180020	94	18.1383	37
180025	98	7.90816	37
180030	93	3.63441	33
180035	95	4.63158	38
180040	100	4	18
180045	92	4.65217	23
180050	99	4.22222	28
180100	102	3.86275	28
180150	95	3.55789	21
180200	93	4.49462	24
180250	95	3.86316	19
180300	97	3.61856	29
180350	107	4.15888	17
180400	102	4.17647	15
180450	103	4.08738	22
180500	101	3.88119	26
180550	94	4.12766	25
180600	105	3.70476	22
180650	94	3.69149	21
180700	99	4.68687	25
180750	93	4.09677	20
180800	99	3.36364	16
180850	106	3.56604	18
180900	98	4.35714	26
180950	99	3.62626	16
181000	96	3.42708	17
181050	102	3.86275	21
181100	99	3.78788	24
181150	101	4.33663	19
181200	103	4.01942	19
181250	96	4.22917	32
181300	103	4.1068	22
181350	97	3.38144	14
181400	86	4.5	26
181450	103	4.16505	25
181500	107	4.50467	28
181550	97	4.39175	30
181600	107	3.07477	12
181650	107	4	19
181700	96	3.21875	16
181750	101	3.9802	21
181800	96	3.76042	21
181850	96	4.1875	25
181900	104	3.75	16
181950	98	4.45918	21
182000	93	3.63441	24
182050	96	3.85417	18
182100	97	3.41237	19
182150	95	3.97895	15
182200	99	4.14141	19
182250	94	3.29787	22
182300	106	4.26415	19
182350	99	4.14141	29
182400	103	3.79612	25
182450	97	4.02062	16
182500	90	4.45556	26
182550	108	3.97222	21
182600	104	3.93269	14
182650	94	4.09574	42
182700	106	3.41509	22
182750	96	4.09375	24
182800	95	3.69474	23
182850	92	3.22826	16
182900	99	4.15152	23
182950	110	4.29091	20
183000	98	4.95918	32
183050	94	4.02128	16
183100	101	4.18812	25
183150	102	3.32353	16
183200	93	3.98925	22
183250	105	3.26667	25
183300	104	3.97115	22
183350	104	4.50962	24
183400	108	4.22222	20
183450	97	4.35052	18
183500	90	4.05556	20
183550	99	4.42424	21
183600	106	3.32075	19
183650	92	4.72826	28
183700	105	4.6381	29
183750	99	4.23232	23
183800	106	3.9717	27
183850	98	4.4898	28
183900	96	4.53125	17
183950	109	4.10092	18
184000	108	4.32407	27
184050	100	4.75	28
184100	94	3.84043	26
184150	107	4.02804	15
184200	98	4.4898	25
184250	96	3.57292	24
184300	98	3.79592	17
184350	95	3.98947	17
184400	105	4.1619	24
184450	93	4.69892	24
184500	108	4.44444	20
184550	96	4.58333	21
184600	111	4.13514	29
184650	104	4.35577	21
184700	96	4.44792	36
184750	92	3.54348	20
184800	102	3.83333	25
184850	86	4.55814	26
184900	93	3.74194	18
184950	96	4.67708	24
185000	107	3.98131	21
185050	110	4.55455	21
185100	95	4.62105	33
185150	101	3.63366	16
185200	110	4.13636	21
185250	98	4.23469	19
185300	98	4.5102	20
185350	105	4.2	21
185400	94	4.61702	23
185450	98	4.5	33
185500	112	4.35714	23
185550	98	3.69388	21
185600	98	3.77551	28
185650	94	3.95745	16
185700	97	4.45361	32
185750	93	3.65591	19
185800	103	4.06796	21
185850	83	4.43373	28
185900	100	3.6	22
185950	100	3.51	19
186000	98	3.06122	17
186050	100	4.14	26
186100	111	4.72973	23
186150	107	3.85981	24
186200	107	4.42056	23
186250	97	3.16495	18
186300	112	4.26786	26
186350	88	4.56818	30
186400	106	4.03774	20
186450	100	3.9	18
186500	94	4.38298	20
186550	99	3.06061	17
186600	92	4.08696	26
186650	99	3.84848	16
186700	99	3.91919	21
186750	100	4.59	23
186800	92	2.80435	22
186850	98	4.27551	30
186900	102	4.10784	19
186950	94	4.03191	31
187000	93	3.10753	23
187050	117	4.42735	19
187100	105	4.54286	23
187150	96	4.11458	20
187200	95	4.03158	19
187250	103	4.18447	25
187300	86	4.15116	28
187350	101	4.45545	28
187400	101	4.87129	35
187450	101	3.42574	21
187500	92	4.5	30
187550	113	3.60177	26
187600	98	3.57143	16
187650	99	3.85859	13
187700	96	4.65625	35
187750	98	4.22449	21
187800	99	4.16162	19
187850	110	4.26364	32
187900	96	4.64583	24
187950	98	3.63265	21
188000	100	4.43	23
188050	98	4.13265	17
188100	103	3.76699	24
188150	96	3.10417	17
188200	95	4.05263	25
188250	95	3.87368	26
188300	97	3.45361	41
188350	98	4.28571	21
188400	96	4.79167	20
188450	113	4.31858	28
188500	102	4.46078	39
188550	107	3.88785	16
188600	99	4.74747	33
188650	89	4.67416	27
188700	95	4.94737	30
188750	92	3.46739	21
188800	91	3.76923	19
188850	96	4.01042	19
188900	102	4.20588	18
188950	95	3.88421	26
189000	99	3.64646	23
189050	105	4.85714	31
189100	111	3.77477	16
189150	86	3.98837	13
189200	102	3.39216	17
189250	104	3.68269	20
189300	97	3.47423	17
189350	92	3.67391	14
189400	99	3.41414	13
189450	93	4.16129	23
189500	105	4.26667	29
189550	94	3.78723	19
189600	102	3.20588	19
189650	98	3.28571	18
189700	103	4.17476	19
189750	94	2.94681	15
189800	91	3.45055	25
189850	104	4.64423	33
189900	101	3.94059	27
189950	91	4	26
190000	110	2.7	14
