 pedigree_id het
0 slim_762454175 7e-07
1 slim_762454214 2.8e-06
2 slim_762454164 4.9e-06
3 slim_762454206 4.7e-06
4 slim_762454240 7e-06
5 slim_762454248 3.3e-06
6 slim_762454158 2.9e-06
7 slim_762454250 4.4e-06
8 slim_762454217 4.7e-06
9 slim_762454147 4.4e-06
10 slim_762454142 4e-06
11 slim_762454228 3.3e-06
12 slim_762454169 2.2e-06
13 slim_762454232 4.2e-06
14 slim_762454207 5.8e-06
15 slim_762454183 6.5e-06
16 slim_762454163 4e-06
17 slim_762454224 7.1e-06
18 slim_762454209 5.3e-06
19 slim_762454197 4.5e-06
20 slim_762454247 6.1e-06
21 slim_762454189 4e-06
22 slim_762454168 5.7e-06
23 slim_762454141 6.1e-06
24 slim_762454161 4.1e-06
25 slim_762454186 4.6e-06
26 slim_762454227 3.3e-06
27 slim_762454243 4.7e-06
28 slim_762454245 6.9e-06
29 slim_762454218 7.4e-06
30 slim_762454246 2.7e-06
31 slim_762454202 5.3e-06
32 slim_762454167 4.7e-06
33 slim_762454162 1e-07
34 slim_762454223 6.2e-06
35 slim_762454233 6.8e-06
36 slim_762454177 4.6e-06
37 slim_762454145 6.5e-06
38 slim_762454143 7.2e-06
39 slim_762454153 5.6e-06
40 slim_762454198 5.9e-06
41 slim_762454212 5.7e-06
42 slim_762454179 5.2e-06
43 slim_762454144 4.8e-06
44 slim_762454172 6.2e-06
45 slim_762454230 7.2e-06
46 slim_762454166 6.4e-06
47 slim_762454155 2.3e-06
48 slim_762454215 7.5e-06
49 slim_762454185 7e-06
50 slim_762454156 5.2e-06
51 slim_762454208 1.5e-06
52 slim_762454180 5.6e-06
53 slim_762454211 4.4e-06
54 slim_762454159 6.3e-06
55 slim_762454210 6e-06
56 slim_762454152 6e-06
57 slim_762454220 3.2e-06
58 slim_762454231 7.2e-06
59 slim_762454203 2.6e-06
60 slim_762454173 5.1e-06
61 slim_762454190 3.4e-06
62 slim_762454187 2.7e-06
63 slim_762454205 6.9e-06
64 slim_762454236 6e-06
65 slim_762454235 6.5e-06
66 slim_762454242 8.1e-06
67 slim_762454204 6.8e-06
68 slim_762454238 6.1e-06
69 slim_762454154 6.5e-06
70 slim_762454213 3.9e-06
71 slim_762454171 6.6e-06
72 slim_762454219 2.9e-06
73 slim_762454176 3.1e-06
74 slim_762454239 3e-06
75 slim_762454234 6.9e-06
76 slim_762454184 6.1e-06
77 slim_762454201 3.1e-06
78 slim_762454244 7.5e-06
79 slim_762454178 5.2e-06
80 slim_762454196 5.4e-06
81 slim_762454221 4.2e-06
82 slim_762454249 4.8e-06
83 slim_762454157 5.3e-06
84 slim_762454237 5.6e-06
85 slim_762454151 5.2e-06
86 slim_762454216 4.7e-06
87 slim_762454160 4.6e-06
88 slim_762454182 7.2e-06
89 slim_762454191 5.2e-06
90 slim_762454170 5.6e-06
91 slim_762454226 4.2e-06
92 slim_762454148 4.9e-06
93 slim_762454174 5.2e-06
94 slim_762454200 2.9e-06
95 slim_762454150 2.1e-06
96 slim_762454225 1.6e-06
97 slim_762454222 4.7e-06
98 slim_762454188 7.2e-06
99 slim_762454181 2.9e-06
