 pedigree_id het
0 slim_337636460 5.6e-06
1 slim_337636476 6.2e-06
2 slim_337636502 6.7e-06
3 slim_337636572 9.4e-06
4 slim_337636554 9.6e-06
5 slim_337636314 5.6e-06
6 slim_337636473 1.4e-06
7 slim_337636564 2.9e-06
8 slim_337636520 1.1e-05
9 slim_337636489 9.2e-06
10 slim_337636540 1.16e-05
11 slim_337636455 6.9e-06
12 slim_337636589 8.6e-06
13 slim_337636433 5.8e-06
14 slim_337636467 8.4e-06
15 slim_337636568 1.1e-05
16 slim_337636035 7.7e-06
17 slim_337636515 8e-06
18 slim_337636570 8.9e-06
19 slim_337636500 7.1e-06
20 slim_337636533 3.7e-06
21 slim_337636548 1.11e-05
22 slim_337636525 4.5e-06
23 slim_337636310 1.4e-06
24 slim_337636524 7.4e-06
25 slim_337636573 7.4e-06
26 slim_337636499 8.2e-06
27 slim_337636566 1e-06
28 slim_337636372 8.5e-06
29 slim_337636431 9.5e-06
30 slim_337636402 1.13e-05
31 slim_337636577 9.7e-06
32 slim_337636547 5e-06
33 slim_337636583 5.2e-06
34 slim_337636575 8.4e-06
35 slim_337636586 8.1e-06
36 slim_337636437 2.6e-06
37 slim_337636113 9.8e-06
38 slim_337636385 2.6e-06
39 slim_337636445 8e-07
40 slim_337636588 5.3e-06
41 slim_337636411 8.2e-06
42 slim_337636262 6.9e-06
43 slim_337636285 9.2e-06
44 slim_337636443 5.4e-06
45 slim_337636430 9.9e-06
46 slim_337636490 2.9e-06
47 slim_337636493 6e-06
48 slim_337636332 1.3e-06
49 slim_337636183 8.9e-06
50 slim_337636574 1.08e-05
51 slim_337636466 5.8e-06
52 slim_337636421 2.5e-06
53 slim_337636425 9.3e-06
54 slim_337636407 8.7e-06
55 slim_337636474 5.5e-06
56 slim_337636480 1.01e-05
57 slim_337636507 9e-06
58 slim_337636530 1e-05
59 slim_337636587 8.2e-06
60 slim_337636457 7e-07
61 slim_337636488 6.4e-06
62 slim_337636582 4.2e-06
63 slim_337636487 9.4e-06
64 slim_337636528 6.9e-06
65 slim_337636526 4.9e-06
66 slim_337636325 1.08e-05
67 slim_337636580 6.2e-06
68 slim_337636424 3.7e-06
69 slim_337636584 5.5e-06
70 slim_337636550 7.6e-06
71 slim_337636398 7.6e-06
72 slim_337636563 6.7e-06
73 slim_337636546 6.4e-06
74 slim_337636571 6.3e-06
75 slim_337636535 8.2e-06
76 slim_337636581 9.2e-06
77 slim_337636536 9.2e-06
78 slim_337636534 8.4e-06
79 slim_337636418 8.3e-06
80 slim_337636478 8.8e-06
81 slim_337636585 5e-07
82 slim_337636382 1e-07
83 slim_337636576 6.1e-06
84 slim_337636505 1.2e-05
85 slim_337636501 7.5e-06
86 slim_337636521 8.2e-06
87 slim_337636470 3.5e-06
88 slim_337636230 5.1e-06
89 slim_337636440 9e-06
90 slim_337636453 8.2e-06
91 slim_337636527 7.1e-06
92 slim_337636569 8.2e-06
93 slim_337636419 6.8e-06
94 slim_337636562 8.1e-06
95 slim_337636417 4e-06
