 pedigree_id het
0 slim_762916795 5.5e-06
1 slim_762916863 4.3e-06
2 slim_762916872 7.6e-06
3 slim_762916888 3.8e-06
4 slim_762916866 5.3e-06
5 slim_762916799 1.03e-05
6 slim_762916871 4.4e-06
7 slim_762916856 6.4e-06
8 slim_762916840 7e-06
9 slim_762916902 6e-06
10 slim_762916813 6.1e-06
11 slim_762916906 6.5e-06
12 slim_762916892 7.5e-06
13 slim_762916837 4.5e-06
14 slim_762916869 7.9e-06
15 slim_762916868 1.9e-06
16 slim_762916835 5.2e-06
17 slim_762916814 5e-06
18 slim_762916855 9.3e-06
19 slim_762916796 6.3e-06
20 slim_762916890 9e-06
21 slim_762916805 5.1e-06
22 slim_762916826 7.9e-06
23 slim_762916825 8e-06
24 slim_762916832 1.6e-06
25 slim_762916874 5.3e-06
26 slim_762916864 6.2e-06
27 slim_762916853 6.8e-06
28 slim_762916847 4.8e-06
29 slim_762916852 6.5e-06
30 slim_762916828 6.7e-06
31 slim_762916811 3.4e-06
32 slim_762916903 2.4e-06
33 slim_762916883 8.1e-06
34 slim_762916893 4.7e-06
35 slim_762916838 5.1e-06
36 slim_762916843 9.3e-06
37 slim_762916858 3.6e-06
38 slim_762916842 4.5e-06
39 slim_762916867 9.2e-06
40 slim_762916801 5.8e-06
41 slim_762916804 5.9e-06
42 slim_762916891 5.6e-06
43 slim_762916904 4.7e-06
44 slim_762916806 4.2e-06
45 slim_762916794 7.6e-06
46 slim_762916822 4.6e-06
47 slim_762916901 8.4e-06
48 slim_762916808 9.6e-06
49 slim_762916834 2.5e-06
50 slim_762916849 5.7e-06
51 slim_762916859 4.4e-06
52 slim_762916844 6.7e-06
53 slim_762916836 5.7e-06
54 slim_762916879 8.9e-06
55 slim_762916803 6.4e-06
56 slim_762916885 5e-06
57 slim_762916824 6.7e-06
58 slim_762916898 2.2e-06
59 slim_762916807 8e-07
60 slim_762916830 5e-06
61 slim_762916846 5.8e-06
62 slim_762916820 7.7e-06
63 slim_762916841 6.8e-06
64 slim_762916900 4.5e-06
65 slim_762916895 8.1e-06
66 slim_762916877 4.6e-06
67 slim_762916880 6.2e-06
68 slim_762916818 4.7e-06
69 slim_762916897 6.4e-06
70 slim_762916878 9.9e-06
71 slim_762916829 5e-06
72 slim_762916870 6.8e-06
73 slim_762916899 4.6e-06
74 slim_762916894 6.7e-06
75 slim_762916817 5e-06
76 slim_762916812 2.1e-06
77 slim_762916816 6.3e-06
78 slim_762916831 5.8e-06
79 slim_762916881 6.6e-06
80 slim_762916889 6.2e-06
81 slim_762916882 4.8e-06
82 slim_762916873 7.1e-06
83 slim_762916862 4.6e-06
84 slim_762916821 6.2e-06
85 slim_762916857 5.4e-06
86 slim_762916792 7.2e-06
87 slim_762916823 2.3e-06
88 slim_762916839 9.1e-06
89 slim_762916798 5.5e-06
90 slim_762916833 5.1e-06
91 slim_762916875 2.7e-06
92 slim_762916797 4.3e-06
93 slim_762916848 5.4e-06
94 slim_762916896 4.2e-06
95 slim_762916854 6.6e-06
96 slim_762916802 7.9e-06
97 slim_762916860 9.3e-06
98 slim_762916845 5.4e-06
99 slim_762916887 4.3e-06
