 pedigree_id het
0 slim_762066196 4.8e-06
1 slim_762066219 3.5e-06
2 slim_762066243 5.3e-06
3 slim_762066190 6e-06
4 slim_762066156 6e-06
5 slim_762066214 2.8e-06
6 slim_762066224 3.7e-06
7 slim_762066186 4.4e-06
8 slim_762066201 4.6e-06
9 slim_762066251 3.8e-06
10 slim_762066165 6.1e-06
11 slim_762066199 0.0
12 slim_762066200 5.5e-06
13 slim_762066217 6.9e-06
14 slim_762066188 8e-07
15 slim_762066257 2.3e-06
16 slim_762066198 1.7e-06
17 slim_762066248 2.4e-06
18 slim_762066227 4.5e-06
19 slim_762066253 3.5e-06
20 slim_762066175 2.2e-06
21 slim_762066215 3e-07
22 slim_762066164 3.6e-06
23 slim_762066210 4.6e-06
24 slim_762066247 5.3e-06
25 slim_762066249 3.3e-06
26 slim_762066233 1.8e-06
27 slim_762066187 4.7e-06
28 slim_762066167 3.2e-06
29 slim_762066182 6.2e-06
30 slim_762066204 4.2e-06
31 slim_762066239 4.9e-06
32 slim_762066242 3e-07
33 slim_762066195 7e-06
34 slim_762066229 2.8e-06
35 slim_762066171 6e-07
36 slim_762066193 5.3e-06
37 slim_762066205 5.8e-06
38 slim_762066222 5.4e-06
39 slim_762066189 3.8e-06
40 slim_762066250 5.1e-06
41 slim_762066179 5.6e-06
42 slim_762066180 5.6e-06
43 slim_762066174 5e-06
44 slim_762066176 6e-06
45 slim_762066237 4.4e-06
46 slim_762066207 3.3e-06
47 slim_762066254 1.9e-06
48 slim_762066231 5.5e-06
49 slim_762066162 3.7e-06
50 slim_762066208 3.2e-06
51 slim_762066246 4.2e-06
52 slim_762066218 5.8e-06
53 slim_762066240 4.5e-06
54 slim_762066232 1.5e-06
55 slim_762066255 4.6e-06
56 slim_762066258 3.3e-06
57 slim_762066211 3.8e-06
58 slim_762066194 5.8e-06
59 slim_762066216 3.7e-06
60 slim_762066209 3.1e-06
61 slim_762066234 5e-07
62 slim_762066163 3.3e-06
63 slim_762066238 7e-07
64 slim_762066157 2.2e-06
65 slim_762066181 2.1e-06
66 slim_762066191 4.3e-06
67 slim_762066173 5.4e-06
68 slim_762066241 3.5e-06
69 slim_762066177 4.8e-06
70 slim_762066225 3.6e-06
71 slim_762066220 3.5e-06
72 slim_762066245 5.4e-06
73 slim_762066236 2.9e-06
74 slim_762066256 4.4e-06
75 slim_762066206 1.9e-06
76 slim_762066228 5e-07
77 slim_762066172 5.1e-06
78 slim_762066169 3.2e-06
79 slim_762066160 5.7e-06
80 slim_762066183 5.2e-06
81 slim_762066226 5.4e-06
82 slim_762066168 4e-07
83 slim_762066192 2.6e-06
84 slim_762066213 3.2e-06
85 slim_762066166 2e-07
86 slim_762066212 3.7e-06
87 slim_762066203 3e-07
88 slim_762066235 2.9e-06
89 slim_762066197 5.3e-06
90 slim_762066170 2.7e-06
91 slim_762066252 3.5e-06
92 slim_762066159 1.6e-06
93 slim_762066184 3.5e-06
94 slim_762066178 4.9e-06
95 slim_762066223 4.8e-06
96 slim_762066202 6.5e-06
97 slim_762066185 2.6e-06
98 slim_762066158 3.5e-06
99 slim_762066230 3.2e-06
