 pedigree_id het
0 slim_337564196 1e-07
1 slim_337564612 8.9e-06
2 slim_337564609 1.49e-05
3 slim_337564489 8.3e-06
4 slim_337564524 4.7e-06
5 slim_337564634 1.02e-05
6 slim_337564499 1.83e-05
7 slim_337564345 1.2e-05
8 slim_337564605 6.4e-06
9 slim_337564435 6e-07
10 slim_337564427 1.33e-05
11 slim_337564307 1.81e-05
12 slim_337564620 3.7e-06
13 slim_337564559 1.89e-05
14 slim_337564555 1.3e-05
15 slim_337564633 1.26e-05
16 slim_337564526 1.21e-05
17 slim_337564618 5.6e-06
18 slim_337564530 1.95e-05
19 slim_337564485 1.27e-05
20 slim_337564500 1.82e-05
21 slim_337564505 5e-06
22 slim_337564611 8e-06
23 slim_337564590 1.09e-05
24 slim_337564410 1.23e-05
25 slim_337564572 1e-06
26 slim_337564608 9.6e-06
27 slim_337564575 1.89e-05
28 slim_337564586 1e-07
29 slim_337564595 6.6e-06
30 slim_337564613 1.26e-05
31 slim_337564527 9.4e-06
32 slim_337564543 6.6e-06
33 slim_337564643 1.06e-05
34 slim_337564603 6.9e-06
35 slim_337564638 1.07e-05
36 slim_337564598 6.8e-06
37 slim_337564517 1.85e-05
38 slim_337564561 8.5e-06
39 slim_337564542 7.9e-06
40 slim_337564628 7.3e-06
41 slim_337564578 1.66e-05
42 slim_337564413 1.87e-05
43 slim_337564615 1.06e-05
44 slim_337564461 1e-05
45 slim_337564573 1.15e-05
46 slim_337564290 6.5e-06
47 slim_337564602 1.17e-05
48 slim_337564516 1.8e-05
49 slim_337564504 1.32e-05
50 slim_337564563 1.34e-05
51 slim_337563933 7.7e-06
52 slim_337564520 1.85e-05
53 slim_337564570 1.96e-05
54 slim_337564629 1.25e-05
55 slim_337564632 4.4e-06
56 slim_337564637 1.36e-05
57 slim_337564614 1.8e-06
58 slim_337564217 4e-07
59 slim_337564540 9.6e-06
60 slim_337564626 1.72e-05
61 slim_337564635 1.09e-05
62 slim_337564538 0.0
63 slim_337564623 1.64e-05
64 slim_337564587 1.88e-05
65 slim_337564636 1.73e-05
66 slim_337564448 8.1e-06
67 slim_337564185 6.6e-06
68 slim_337564424 8.4e-06
69 slim_337564642 5.7e-06
70 slim_337564394 9e-06
71 slim_337564639 6.2e-06
72 slim_337564594 1.05e-05
73 slim_337564616 2.02e-05
74 slim_337564522 1.02e-05
75 slim_337564582 1.13e-05
76 slim_337564125 1.58e-05
77 slim_337564535 1.01e-05
78 slim_337564571 7e-07
79 slim_337564600 1.41e-05
80 slim_337564606 7.7e-06
81 slim_337564631 1.62e-05
82 slim_337564355 2.05e-05
83 slim_337564384 1.35e-05
84 slim_337564497 6e-07
85 slim_337564310 1e-07
