 pedigree_id het
0 slim_337673600 9.6e-06
1 slim_337673743 1e-07
2 slim_337673727 7.7e-06
3 slim_337673655 6.2e-06
4 slim_337673676 1.48e-05
5 slim_337673777 1.7e-06
6 slim_337673570 1.19e-05
7 slim_337673736 1.22e-05
8 slim_337673625 1.31e-05
9 slim_337673312 1.66e-05
10 slim_337673792 1.31e-05
11 slim_337673637 1.48e-05
12 slim_337673739 9.6e-06
13 slim_337673649 1.34e-05
14 slim_337673550 1.4e-05
15 slim_337673737 1.75e-05
16 slim_337673783 1.02e-05
17 slim_337673677 1.14e-05
18 slim_337673733 1.54e-05
19 slim_337673543 1.15e-05
20 slim_337673780 1.46e-05
21 slim_337673755 1.22e-05
22 slim_337673772 1.9e-06
23 slim_337673700 4e-06
24 slim_337673639 1.95e-05
25 slim_337673583 1.2e-05
26 slim_337673757 1.44e-05
27 slim_337673759 1.82e-05
28 slim_337673530 1e-06
29 slim_337673765 1.88e-05
30 slim_337673613 7.5e-06
31 slim_337673707 3.8e-06
32 slim_337673747 7.8e-06
33 slim_337673672 1.13e-05
34 slim_337673781 1.23e-05
35 slim_337673670 1.57e-05
36 slim_337673682 1.14e-05
37 slim_337673740 1.14e-05
38 slim_337673702 1.73e-05
39 slim_337673703 2e-07
40 slim_337673704 3e-07
41 slim_337673769 1.6e-05
42 slim_337673691 1.19e-05
43 slim_337673732 1.04e-05
44 slim_337673689 1.19e-05
45 slim_337673779 4.5e-06
46 slim_337673760 9.3e-06
47 slim_337673770 4.3e-06
48 slim_337673784 1.14e-05
49 slim_337673776 1.73e-05
50 slim_337673574 1.35e-05
51 slim_337673712 1.44e-05
52 slim_337673615 4.3e-06
53 slim_337673671 1.02e-05
54 slim_337673766 4.5e-06
55 slim_337673728 1.67e-05
56 slim_337673573 2.09e-05
57 slim_337673669 6e-07
58 slim_337673730 7e-06
59 slim_337673721 1.22e-05
60 slim_337673753 1.17e-05
61 slim_337673650 1.33e-05
62 slim_337673785 1.19e-05
63 slim_337673786 1.55e-05
64 slim_337673528 1.21e-05
65 slim_337673699 1.23e-05
66 slim_337673790 1.17e-05
67 slim_337673768 9.2e-06
68 slim_337673729 1.01e-05
69 slim_337673596 1.14e-05
70 slim_337673782 1.16e-05
71 slim_337673645 1.14e-05
72 slim_337673756 1.4e-05
73 slim_337673719 1.43e-05
74 slim_337673724 6e-07
75 slim_337673701 9.9e-06
76 slim_337673554 1.19e-05
77 slim_337673744 1.22e-05
78 slim_337673787 1.22e-05
79 slim_337673328 2e-05
80 slim_337673773 1.56e-05
81 slim_337673692 9.2e-06
82 slim_337673595 1.01e-05
83 slim_337673771 1.03e-05
84 slim_337673716 9.6e-06
85 slim_337673763 1.04e-05
86 slim_337673696 1.57e-05
87 slim_337673524 1.44e-05
88 slim_337673731 2.05e-05
89 slim_337673563 1.2e-05
90 slim_337673661 2.4e-06
91 slim_337673791 5e-07
92 slim_337673450 1.14e-05
93 slim_337673648 7.6e-06
94 slim_337673555 6.5e-06
95 slim_337673690 1.42e-05
96 slim_337673675 4.5e-06
97 slim_337673789 1.17e-05
98 slim_337673423 1.35e-05
99 slim_337673460 1.32e-05
