 pedigree_id het
0 slim_337515958 1.38e-05
1 slim_337515877 4.75e-05
2 slim_337515993 3.93e-05
3 slim_337515702 0.0001491
4 slim_337515985 4.13e-05
5 slim_337516023 4.9e-05
6 slim_337515768 0.0001088
7 slim_337515894 7.88e-05
8 slim_337515853 6.3e-06
9 slim_337516007 5.9e-06
10 slim_337516015 4.73e-05
11 slim_337515974 3.99e-05
12 slim_337515992 3.63e-05
13 slim_337515867 0.0001083
14 slim_337516031 4.42e-05
15 slim_337515890 4.54e-05
16 slim_337515927 5.1e-05
17 slim_337516004 4.74e-05
18 slim_337515953 4.95e-05
19 slim_337516019 3.57e-05
20 slim_337515980 3.9e-05
21 slim_337515844 3.5e-05
22 slim_337515957 3.64e-05
23 slim_337516014 8.2e-05
24 slim_337516017 4.13e-05
25 slim_337516027 8.15e-05
26 slim_337515945 7.6e-05
27 slim_337515771 7.88e-05
28 slim_337515986 4.06e-05
29 slim_337516011 4.93e-05
30 slim_337515850 8.04e-05
31 slim_337516016 0.0001074
32 slim_337515942 4.14e-05
33 slim_337516035 4.8e-05
34 slim_337515839 0.0001089
35 slim_337515693 2.1e-06
36 slim_337516026 0.0001106
37 slim_337515800 0.0001062
38 slim_337516005 1.08e-05
39 slim_337515860 1.33e-05
40 slim_337515819 9.6e-06
41 slim_337515983 4.13e-05
42 slim_337515898 3.9e-06
43 slim_337516033 6.7e-06
44 slim_337515934 9.4e-06
45 slim_337516037 1.33e-05
46 slim_337515736 0.0001473
47 slim_337515991 8.17e-05
48 slim_337515941 2.9e-06
49 slim_337516029 0.0001259
50 slim_337515874 4.15e-05
51 slim_337515659 0.0001086
52 slim_337515936 3.54e-05
53 slim_337516038 4.58e-05
54 slim_337515959 4.15e-05
55 slim_337515952 4.53e-05
56 slim_337516030 7.81e-05
57 slim_337515725 8.16e-05
58 slim_337516020 4.19e-05
59 slim_337516036 3.72e-05
60 slim_337515781 4.8e-05
61 slim_337515889 0.0001462
62 slim_337515895 6.5e-06
63 slim_337515722 4.86e-05
64 slim_337516000 6e-07
65 slim_337515678 4.97e-05
66 slim_337516012 3.92e-05
67 slim_337515908 9.1e-06
68 slim_337516013 1.21e-05
69 slim_337515845 3.66e-05
70 slim_337515969 3.69e-05
71 slim_337515963 1.08e-05
72 slim_337516034 4.5e-05
73 slim_337515873 4.8e-05
74 slim_337515929 7.62e-05
75 slim_337516040 6.7e-06
76 slim_337515946 0.0001055
77 slim_337515951 6.1e-06
78 slim_337515910 4.14e-05
79 slim_337516025 6.2e-06
80 slim_337515990 4.2e-05
81 slim_337516002 0.0001458
82 slim_337516009 8.03e-05
83 slim_337515932 7.54e-05
84 slim_337515879 8.7e-06
85 slim_337515947 5e-06
86 slim_337515971 2.3e-06
87 slim_337515981 0.0001073
88 slim_337515795 4.82e-05
89 slim_337515937 4.46e-05
90 slim_337516018 7.1e-06
91 slim_337515984 1.15e-05
92 slim_337516008 8.12e-05
93 slim_337515926 4.94e-05
94 slim_337516010 4.58e-05
95 slim_337516039 1.56e-05
96 slim_337515988 4.85e-05
97 slim_337515997 4.89e-05
98 slim_337515741 7.8e-05
99 slim_337515999 0.0001184
