 pedigree_id het
0 slim_337622528 1.76e-05
1 slim_337622569 7.7e-06
2 slim_337622488 8e-06
3 slim_337622594 1.16e-05
4 slim_337622561 1.52e-05
5 slim_337622439 1.45e-05
6 slim_337622486 2.27e-05
7 slim_337622555 1.43e-05
8 slim_337622558 2.23e-05
9 slim_337622541 1.48e-05
10 slim_337622592 1.77e-05
11 slim_337622525 1.57e-05
12 slim_337622600 1.51e-05
13 slim_337622572 1.4e-05
14 slim_337622564 1.43e-05
15 slim_337622408 1.65e-05
16 slim_337622539 1.75e-05
17 slim_337622602 1.02e-05
18 slim_337622515 1.66e-05
19 slim_337622476 2.23e-05
20 slim_337622403 1.48e-05
21 slim_337622589 1.13e-05
22 slim_337622451 8.3e-06
23 slim_337622426 7.1e-06
24 slim_337622509 1.42e-05
25 slim_337622597 2.28e-05
26 slim_337622504 7.8e-06
27 slim_337622607 1.79e-05
28 slim_337622554 9e-07
29 slim_337622552 1.9e-05
30 slim_337622549 2.02e-05
31 slim_337622537 1.69e-05
32 slim_337622363 1.13e-05
33 slim_337622438 7.4e-06
34 slim_337622417 1.39e-05
35 slim_337622608 2.26e-05
36 slim_337622579 1.87e-05
37 slim_337622556 1.8e-05
38 slim_337622033 8.2e-06
39 slim_337622604 1e-07
40 slim_337622578 1.39e-05
41 slim_337622527 1.38e-05
42 slim_337622429 9.6e-06
43 slim_337622450 1.84e-05
44 slim_337622117 5.4e-06
45 slim_337622559 7.8e-06
46 slim_337622459 1.85e-05
47 slim_337622440 1.79e-05
48 slim_337622595 1.87e-05
49 slim_337622496 1.82e-05
50 slim_337622591 1.68e-05
51 slim_337622475 1.35e-05
52 slim_337622395 1.69e-05
53 slim_337622380 1.85e-05
54 slim_337622568 1.52e-05
55 slim_337622540 9.9e-06
56 slim_337622590 6.8e-06
57 slim_337622514 1.6e-05
58 slim_337622584 1.03e-05
59 slim_337622490 1.41e-05
60 slim_337622502 1e-05
61 slim_337622507 1.03e-05
62 slim_337622562 1e-07
63 slim_337622598 7.8e-06
64 slim_337622596 1.81e-05
65 slim_337622474 1.63e-05
66 slim_337622581 1.18e-05
67 slim_337622583 2.25e-05
68 slim_337622573 1.02e-05
69 slim_337622575 1.21e-05
70 slim_337622547 1.38e-05
71 slim_337622553 1.84e-05
72 slim_337622610 2.19e-05
73 slim_337622358 2.26e-05
74 slim_337622208 1.83e-05
75 slim_337622571 1.16e-05
76 slim_337622478 1.57e-05
77 slim_337622557 1e-06
78 slim_337622538 1.85e-05
79 slim_337622315 1.43e-05
80 slim_337622580 1.58e-05
81 slim_337622368 1.65e-05
82 slim_337622566 1.45e-05
83 slim_337622356 2.22e-05
84 slim_337622201 1.37e-05
85 slim_337622481 1.54e-05
86 slim_337622570 1.03e-05
87 slim_337622601 2e-05
88 slim_337622510 2.17e-05
89 slim_337622545 1.46e-05
90 slim_337622576 1.46e-05
91 slim_337622603 2.05e-05
92 slim_337622491 1.61e-05
93 slim_337622599 1.63e-05
94 slim_337622526 1.22e-05
95 slim_337622421 1.94e-05
96 slim_337622482 1.57e-05
97 slim_337622612 1.84e-05
98 slim_337622611 1.54e-05
99 slim_337622609 2.2e-06
