 pedigree_id het
0 slim_337550579 1.46e-05
1 slim_337550405 4.7e-06
2 slim_337550539 2.11e-05
3 slim_337550547 1.79e-05
4 slim_337550577 1.28e-05
5 slim_337550237 1.69e-05
6 slim_337550550 1.49e-05
7 slim_337550534 1.24e-05
8 slim_337550575 2.05e-05
9 slim_337550527 1.9e-05
10 slim_337550572 1.08e-05
11 slim_337550586 1.94e-05
12 slim_337550489 1.52e-05
13 slim_337550583 1.98e-05
14 slim_337550488 1.85e-05
15 slim_337550432 1.71e-05
16 slim_337550465 1.61e-05
17 slim_337550574 4e-06
18 slim_337550522 1.71e-05
19 slim_337550515 1.61e-05
20 slim_337550498 1.77e-05
21 slim_337550363 2.1e-05
22 slim_337550464 1.93e-05
23 slim_337550508 2.19e-05
24 slim_337550490 2.04e-05
25 slim_337550528 1.69e-05
26 slim_337550495 1.13e-05
27 slim_337550492 1.15e-05
28 slim_337550470 1.91e-05
29 slim_337550455 2.12e-05
30 slim_337550564 8.9e-06
31 slim_337550436 1.89e-05
32 slim_337550347 2.11e-05
33 slim_337550545 2.12e-05
34 slim_337550551 1.44e-05
35 slim_337550504 7.4e-06
36 slim_337550499 1.29e-05
37 slim_337550406 1.79e-05
38 slim_337550334 1.8e-06
39 slim_337550541 1.71e-05
40 slim_337550476 1.96e-05
41 slim_337550516 1.89e-05
42 slim_337550569 1.4e-05
43 slim_337550576 1.18e-05
44 slim_337550505 1.42e-05
45 slim_337550500 1.95e-05
46 slim_337550507 1.87e-05
47 slim_337550478 1.44e-05
48 slim_337550496 1.68e-05
49 slim_337550548 1.57e-05
50 slim_337550424 1.69e-05
51 slim_337550403 2.12e-05
52 slim_337550530 1.7e-05
53 slim_337550310 1.83e-05
54 slim_337550433 1.95e-05
55 slim_337550570 8.9e-06
56 slim_337550588 1.49e-05
57 slim_337550543 1.24e-05
58 slim_337550553 1.28e-05
59 slim_337550446 1e-07
60 slim_337550381 1.91e-05
61 slim_337550559 1.84e-05
62 slim_337550578 8.9e-06
63 slim_337550337 1.53e-05
64 slim_337550472 2.05e-05
65 slim_337550573 1.91e-05
66 slim_337550283 1.37e-05
67 slim_337550523 1.97e-05
68 slim_337550561 1.14e-05
69 slim_337550518 1.2e-05
70 slim_337550429 1.78e-05
71 slim_337550580 1.6e-05
72 slim_337550542 1.52e-05
73 slim_337550585 1.61e-05
74 slim_337550562 1.19e-05
75 slim_337550382 1.7e-05
76 slim_337550365 1.19e-05
77 slim_337550529 1.52e-05
78 slim_337550565 1.46e-05
79 slim_337550514 1.83e-05
80 slim_337550555 2.8e-06
81 slim_337550506 1.69e-05
82 slim_337550477 1.06e-05
83 slim_337550462 1.71e-05
84 slim_337550512 1.69e-05
85 slim_337550568 2e-05
86 slim_337550556 1.85e-05
87 slim_337550567 2.07e-05
88 slim_337550303 1.85e-05
89 slim_337550459 5.1e-06
90 slim_337550080 1.89e-05
91 slim_337550582 1.54e-05
92 slim_337550563 1.48e-05
93 slim_337550445 1.15e-05
