 pedigree_id het
0 slim_337726727 2.7e-06
1 slim_337726777 1.19e-05
2 slim_337726772 1.61e-05
3 slim_337726690 7.3e-06
4 slim_337726659 1.6e-05
5 slim_337726541 1.21e-05
6 slim_337726757 1.27e-05
7 slim_337726761 1.52e-05
8 slim_337726499 1.6e-05
9 slim_337726703 3.9e-06
10 slim_337726733 2.01e-05
11 slim_337726745 2.38e-05
12 slim_337726622 1.57e-05
13 slim_337726689 8.2e-06
14 slim_337726731 1.4e-05
15 slim_337726706 2.04e-05
16 slim_337726696 1.68e-05
17 slim_337726677 1.37e-05
18 slim_337726712 1.43e-05
19 slim_337726765 1.49e-05
20 slim_337726681 1.6e-05
21 slim_337726717 1.18e-05
22 slim_337726732 1.8e-05
23 slim_337726702 1.26e-05
24 slim_337726650 1.19e-05
25 slim_337726678 1.3e-05
26 slim_337726714 1.38e-05
27 slim_337726487 1.02e-05
28 slim_337726781 2.3e-06
29 slim_337726741 1.31e-05
30 slim_337726674 8.7e-06
31 slim_337726588 8.7e-06
32 slim_337726669 1.78e-05
33 slim_337726763 1.67e-05
34 slim_337726729 9.1e-06
35 slim_337726591 1.19e-05
36 slim_337726609 1.09e-05
37 slim_337726533 2.2e-05
38 slim_337726739 1.37e-05
39 slim_337726662 1.42e-05
40 slim_337726770 1.37e-05
41 slim_337726790 5.8e-06
42 slim_337726713 7.8e-06
43 slim_337726537 8.4e-06
44 slim_337726754 1.28e-05
45 slim_337726265 1.47e-05
46 slim_337726482 7.9e-06
47 slim_337726738 8.9e-06
48 slim_337726666 2.3e-06
49 slim_337726325 1.27e-05
50 slim_337726564 1.43e-05
51 slim_337726376 1.45e-05
52 slim_337726787 1.38e-05
53 slim_337726667 9e-06
54 slim_337726778 1.69e-05
55 slim_337726694 1.21e-05
56 slim_337726742 9.9e-06
57 slim_337726791 1.28e-05
58 slim_337726737 1.31e-05
59 slim_337726644 1e-05
60 slim_337726686 1.15e-05
61 slim_337726766 1.76e-05
62 slim_337726773 1.2e-05
63 slim_337726762 8.5e-06
64 slim_337726393 1.14e-05
65 slim_337726522 1.8e-06
66 slim_337726743 1.26e-05
67 slim_337726764 1.13e-05
68 slim_337726682 2e-07
69 slim_337726660 1.21e-05
70 slim_337726730 1.29e-05
71 slim_337726705 2.4e-05
72 slim_337726755 8.7e-06
73 slim_337726716 1.35e-05
74 slim_337726607 1.54e-05
75 slim_337726639 1.51e-05
76 slim_337726489 1.8e-06
77 slim_337726510 1.03e-05
78 slim_337726668 1.72e-05
79 slim_337726568 9e-06
80 slim_337726718 1.32e-05
81 slim_337726753 1.21e-05
82 slim_337726769 1.38e-05
83 slim_337726749 1.33e-05
84 slim_337726775 8.5e-06
85 slim_337726715 1.65e-05
86 slim_337726631 1.2e-05
87 slim_337726679 1.87e-05
88 slim_337726616 1.69e-05
89 slim_337726561 1.47e-05
90 slim_337726771 1.66e-05
91 slim_337726752 1.2e-05
92 slim_337726721 1.16e-05
93 slim_337726536 8.6e-06
94 slim_337726767 3.9e-06
95 slim_337726724 1.26e-05
96 slim_337726601 1.38e-05
97 slim_337726776 1.61e-05
98 slim_337726789 1.2e-05
99 slim_337726303 1.01e-05
