 pedigree_id het
0 slim_337621188 4e-06
1 slim_337621316 2.03e-05
2 slim_337621323 1.89e-05
3 slim_337621331 3.6e-06
4 slim_337621376 1.76e-05
5 slim_337621364 1.01e-05
6 slim_337621292 1.18e-05
7 slim_337621225 1.48e-05
8 slim_337621374 1.85e-05
9 slim_337621320 8.4e-06
10 slim_337621372 1.83e-05
11 slim_337621329 1.3e-06
12 slim_337621309 1.19e-05
13 slim_337621254 9.6e-06
14 slim_337621298 1.07e-05
15 slim_337621306 9.4e-06
16 slim_337621321 1.71e-05
17 slim_337621366 8e-07
18 slim_337621257 1.97e-05
19 slim_337621265 8.4e-06
20 slim_337621324 1.51e-05
21 slim_337621369 1.19e-05
22 slim_337621371 7.6e-06
23 slim_337621085 1.79e-05
24 slim_337621286 1.45e-05
25 slim_337621173 1.72e-05
26 slim_337620717 1.05e-05
27 slim_337621300 1.36e-05
28 slim_337621214 1.75e-05
29 slim_337621351 1.38e-05
30 slim_337621336 1.89e-05
31 slim_337621283 1.57e-05
32 slim_337621335 5.2e-06
33 slim_337621303 6.4e-06
34 slim_337621328 7.9e-06
35 slim_337621375 2.02e-05
36 slim_337621050 5.6e-06
37 slim_337621315 1.89e-05
38 slim_337621129 1.51e-05
39 slim_337621233 1.3e-05
40 slim_337621162 6.5e-06
41 slim_337621363 8.4e-06
42 slim_337621145 1.5e-05
43 slim_337621247 1.07e-05
44 slim_337620955 8.1e-06
45 slim_337621347 8.4e-06
46 slim_337621148 1.52e-05
47 slim_337621344 1.27e-05
48 slim_337621244 7.5e-06
49 slim_337621294 2.4e-06
50 slim_337621380 4.8e-06
51 slim_337621353 1.55e-05
52 slim_337621297 1.48e-05
53 slim_337621365 8.4e-06
54 slim_337621255 8.9e-06
55 slim_337621340 1.78e-05
56 slim_337621373 1.72e-05
57 slim_337621284 1.84e-05
58 slim_337621134 1.76e-05
59 slim_337621133 9.5e-06
60 slim_337621038 9.9e-06
61 slim_337621312 1.11e-05
62 slim_337621383 1.77e-05
63 slim_337621124 1.8e-06
64 slim_337620535 1.48e-05
65 slim_337621330 7.8e-06
66 slim_337621273 1.66e-05
67 slim_337621304 1.52e-05
68 slim_337621345 1.85e-05
69 slim_337621216 6.7e-06
70 slim_337621354 1.6e-05
71 slim_337621346 1.78e-05
72 slim_337621352 5.6e-06
73 slim_337621215 1.74e-05
74 slim_337621359 1.81e-05
75 slim_337621291 1.85e-05
76 slim_337621302 6e-07
77 slim_337621379 1.37e-05
78 slim_337621106 7.5e-06
79 slim_337621230 1.34e-05
80 slim_337621337 2.6e-06
81 slim_337621261 1.85e-05
82 slim_337621348 1.07e-05
83 slim_337620950 2.2e-06
84 slim_337621232 1e-05
85 slim_337621183 1.79e-05
86 slim_337621358 6e-06
87 slim_337621199 1.18e-05
88 slim_337621362 7.2e-06
89 slim_337621343 1.66e-05
90 slim_337620809 1.28e-05
91 slim_337621355 8.3e-06
92 slim_337621382 1.81e-05
93 slim_337620988 8.9e-06
94 slim_337621290 1.29e-05
95 slim_337621153 2.3e-06
96 slim_337621270 1.43e-05
97 slim_337621370 1.88e-05
98 slim_337621167 1.8e-05
99 slim_337621279 1.52e-05
