 pedigree_id het
0 slim_337591450 1.98e-05
1 slim_337591385 9.8e-06
2 slim_337591444 1.56e-05
3 slim_337591364 6.7e-06
4 slim_337591464 2.59e-05
5 slim_337591354 3.01e-05
6 slim_337591282 1.6e-05
7 slim_337591331 6.4e-06
8 slim_337591335 2.69e-05
9 slim_337591469 5.7e-06
10 slim_337591461 8.5e-06
11 slim_337591007 2.11e-05
12 slim_337591348 8.7e-06
13 slim_337591467 2.98e-05
14 slim_337591401 1.9e-06
15 slim_337591287 2.99e-05
16 slim_337591302 2.82e-05
17 slim_337591157 1.58e-05
18 slim_337591351 2.13e-05
19 slim_337591004 2.56e-05
20 slim_337591352 1.22e-05
21 slim_337591296 1.29e-05
22 slim_337591022 8.8e-06
23 slim_337591453 1.81e-05
24 slim_337591404 1.98e-05
25 slim_337591359 1.79e-05
26 slim_337591428 2.04e-05
27 slim_337591289 6.2e-06
28 slim_337591249 1.1e-05
29 slim_337591399 2.8e-05
30 slim_337591334 2.12e-05
31 slim_337591442 2.11e-05
32 slim_337591342 8.4e-06
33 slim_337591409 6.4e-06
34 slim_337591471 8e-06
35 slim_337591414 8.2e-06
36 slim_337591366 8.9e-06
37 slim_337591318 2e-05
38 slim_337591470 6.5e-06
39 slim_337591415 1.12e-05
40 slim_337590878 1.75e-05
41 slim_337591437 1.22e-05
42 slim_337591405 1.2e-05
43 slim_337591356 8.3e-06
44 slim_337591463 2.3e-05
45 slim_337591332 8.8e-06
46 slim_337591466 7.7e-06
47 slim_337591337 6.2e-06
48 slim_337591371 3.08e-05
49 slim_337591426 1.22e-05
50 slim_337591303 1.64e-05
51 slim_337591265 7.3e-06
52 slim_337591343 3.05e-05
53 slim_337591322 2.08e-05
54 slim_337591314 3.02e-05
55 slim_337591150 1.2e-05
56 slim_337591447 1.75e-05
57 slim_337591411 1.7e-05
58 slim_337591459 2.23e-05
59 slim_337591185 2.49e-05
60 slim_337591374 2.71e-05
61 slim_337591441 2.13e-05
62 slim_337591368 1.9e-05
63 slim_337591276 1.08e-05
64 slim_337590890 2.2e-05
65 slim_337591387 2.1e-05
66 slim_337591457 8.9e-06
67 slim_337591301 1.24e-05
68 slim_337591419 1.28e-05
69 slim_337591378 1.42e-05
70 slim_337591424 2.54e-05
71 slim_337591407 2.13e-05
72 slim_337591403 2.14e-05
73 slim_337591193 2.57e-05
74 slim_337591446 2.29e-05
75 slim_337591329 1.77e-05
76 slim_337591438 2.1e-05
77 slim_337591427 8.6e-06
78 slim_337591363 1.25e-05
79 slim_337591397 9.2e-06
80 slim_337590912 2.53e-05
81 slim_337591244 2.79e-05
82 slim_337591443 3.03e-05
83 slim_337591455 1.14e-05
84 slim_337591462 6.9e-06
85 slim_337591465 9.6e-06
86 slim_337591372 2.13e-05
87 slim_337591312 2.3e-06
88 slim_337591435 2.57e-05
89 slim_337591300 2.71e-05
90 slim_337591361 1.88e-05
91 slim_337591458 1.02e-05
92 slim_337591456 2.73e-05
93 slim_337591245 2.13e-05
94 slim_337591113 2.04e-05
95 slim_337591383 4e-07
96 slim_337591449 1.18e-05
97 slim_337591358 1.19e-05
