 pedigree_id het
0 slim_762551055 3.3e-06
1 slim_762551062 4.8e-06
2 slim_762551142 4.5e-06
3 slim_762551118 4.4e-06
4 slim_762551056 4e-06
5 slim_762551096 3.2e-06
6 slim_762551114 3.9e-06
7 slim_762551091 2.7e-06
8 slim_762551121 3.9e-06
9 slim_762551090 3.1e-06
10 slim_762551141 5.3e-06
11 slim_762551154 4.4e-06
12 slim_762551061 5.1e-06
13 slim_762551085 3.3e-06
14 slim_762551135 5.5e-06
15 slim_762551104 3.9e-06
16 slim_762551092 1.9e-06
17 slim_762551080 5e-06
18 slim_762551099 4.5e-06
19 slim_762551101 3.8e-06
20 slim_762551089 3.9e-06
21 slim_762551093 5.7e-06
22 slim_762551068 2.8e-06
23 slim_762551109 3.1e-06
24 slim_762551120 3.9e-06
25 slim_762551079 3e-07
26 slim_762551065 3.7e-06
27 slim_762551150 4.4e-06
28 slim_762551127 5e-06
29 slim_762551126 1.9e-06
30 slim_762551130 3.8e-06
31 slim_762551082 5.1e-06
32 slim_762551119 5e-06
33 slim_762551149 5e-06
34 slim_762551117 4.8e-06
35 slim_762551159 3.8e-06
36 slim_762551081 4.2e-06
37 slim_762551158 3.8e-06
38 slim_762551137 3.9e-06
39 slim_762551059 4e-06
40 slim_762551102 3.3e-06
41 slim_762551057 2.2e-06
42 slim_762551124 4.3e-06
43 slim_762551095 6.1e-06
44 slim_762551066 2.6e-06
45 slim_762551069 3.5e-06
46 slim_762551054 0.0
47 slim_762551073 5.1e-06
48 slim_762551151 5e-06
49 slim_762551132 5.6e-06
50 slim_762551107 4.5e-06
51 slim_762551074 5e-06
52 slim_762551138 5.5e-06
53 slim_762551148 4e-06
54 slim_762551108 4.3e-06
55 slim_762551094 5.7e-06
56 slim_762551052 3.5e-06
57 slim_762551111 3.5e-06
58 slim_762551157 5.1e-06
59 slim_762551144 5.4e-06
60 slim_762551146 2.8e-06
61 slim_762551060 4.8e-06
62 slim_762551116 1.9e-06
63 slim_762551088 3.1e-06
64 slim_762551156 5.4e-06
65 slim_762551070 4.2e-06
66 slim_762551153 4.7e-06
67 slim_762551106 4e-06
68 slim_762551155 6.2e-06
69 slim_762551053 3.4e-06
70 slim_762551134 3.8e-06
71 slim_762551072 3.9e-06
72 slim_762551125 3.2e-06
73 slim_762551084 4.1e-06
74 slim_762551110 3.6e-06
75 slim_762551122 3.9e-06
76 slim_762551136 5.3e-06
77 slim_762551115 5.8e-06
78 slim_762551071 4.4e-06
79 slim_762551063 1.5e-06
80 slim_762551077 4.3e-06
81 slim_762551083 2.9e-06
82 slim_762551113 5.4e-06
83 slim_762551152 4.3e-06
84 slim_762551098 3.6e-06
85 slim_762551139 4.1e-06
86 slim_762551100 2.9e-06
87 slim_762551064 2.2e-06
88 slim_762551128 6.1e-06
89 slim_762551078 3.9e-06
90 slim_762551129 5.6e-06
91 slim_762551131 1.8e-06
92 slim_762551112 1.9e-06
93 slim_762551145 5.8e-06
94 slim_762551147 2e-07
95 slim_762551133 4.6e-06
96 slim_762551140 5e-06
97 slim_762551075 2.4e-06
98 slim_762551143 4.9e-06
99 slim_762551067 4.2e-06
