 pedigree_id het
0 slim_337537487 1.97e-05
1 slim_337537651 1.94e-05
2 slim_337537746 1.87e-05
3 slim_337537506 2.01e-05
4 slim_337537687 2.08e-05
5 slim_337537542 8e-06
6 slim_337537596 1.91e-05
7 slim_337537688 1.13e-05
8 slim_337537706 4.2e-06
9 slim_337537578 1.98e-05
10 slim_337537705 8.7e-06
11 slim_337537639 2.07e-05
12 slim_337537636 1.67e-05
13 slim_337537698 1.11e-05
14 slim_337537737 1.14e-05
15 slim_337537541 5e-07
16 slim_337537673 1.24e-05
17 slim_337537697 8.7e-06
18 slim_337537653 1.43e-05
19 slim_337537623 1.88e-05
20 slim_337537747 1.85e-05
21 slim_337537714 1.8e-05
22 slim_337537745 1.5e-05
23 slim_337537686 2e-05
24 slim_337537726 1.1e-05
25 slim_337537743 1.98e-05
26 slim_337537581 2.18e-05
27 slim_337537689 2.18e-05
28 slim_337537654 1.16e-05
29 slim_337537611 1.17e-05
30 slim_337537571 1.82e-05
31 slim_337537713 2.18e-05
32 slim_337537722 1.2e-06
33 slim_337537545 1.14e-05
34 slim_337537751 1.86e-05
35 slim_337537423 1.5e-05
36 slim_337537707 1.84e-05
37 slim_337537531 1.96e-05
38 slim_337537750 1.42e-05
39 slim_337537749 1.84e-05
40 slim_337537646 2.21e-05
41 slim_337537659 1.09e-05
42 slim_337537721 1.25e-05
43 slim_337537650 9e-06
44 slim_337537643 1.31e-05
45 slim_337537645 1.03e-05
46 slim_337537462 1.73e-05
47 slim_337537730 1.97e-05
48 slim_337537602 8.6e-06
49 slim_337537473 2.15e-05
50 slim_337537647 2e-05
51 slim_337537513 2.2e-06
52 slim_337537710 1.97e-05
53 slim_337537669 1.11e-05
54 slim_337537608 2.2e-06
55 slim_337537679 8.6e-06
56 slim_337537728 1.77e-05
57 slim_337537692 1.52e-05
58 slim_337537676 1.08e-05
59 slim_337537729 9.6e-06
60 slim_337537672 4.1e-06
61 slim_337537725 1.81e-05
62 slim_337537648 1.51e-05
63 slim_337537488 1.02e-05
64 slim_337537480 4.3e-06
65 slim_337537665 1.5e-05
66 slim_337537626 1.43e-05
67 slim_337537724 1.35e-05
68 slim_337537634 1.5e-05
69 slim_337537642 1.56e-05
70 slim_337537734 1.99e-05
71 slim_337537681 1.96e-05
72 slim_337537700 1.58e-05
73 slim_337537614 1.09e-05
74 slim_337537662 1.82e-05
75 slim_337537719 7.9e-06
76 slim_337537731 1.66e-05
77 slim_337537206 1.12e-05
78 slim_337537447 1.62e-05
79 slim_337537556 2e-07
80 slim_337537716 1.45e-05
81 slim_337537720 2.11e-05
82 slim_337537671 1.53e-05
83 slim_337537617 1.17e-05
84 slim_337537717 1.31e-05
85 slim_337537658 1.38e-05
86 slim_337537740 2e-07
87 slim_337537708 1.07e-05
88 slim_337537736 8.9e-06
89 slim_337537601 1.62e-05
90 slim_337537579 1.16e-05
91 slim_337537741 1.2e-06
92 slim_337537438 3.2e-06
93 slim_337537693 2.08e-05
94 slim_337537735 7.8e-06
95 slim_337537615 1.37e-05
96 slim_337537744 3.3e-06
97 slim_337537606 7.3e-06
98 slim_337537521 1.39e-05
99 slim_337537677 1.87e-05
