 pedigree_id het
0 slim_337708660 1.01e-05
1 slim_337708696 1.33e-05
2 slim_337708616 1.57e-05
3 slim_337708741 9.3e-06
4 slim_337708680 5e-06
5 slim_337708618 9.3e-06
6 slim_337708576 5e-07
7 slim_337708727 1.55e-05
8 slim_337708558 1.65e-05
9 slim_337708708 8e-06
10 slim_337708712 1.88e-05
11 slim_337708583 2e-07
12 slim_337708471 1.98e-05
13 slim_337708742 1.23e-05
14 slim_337708367 4.5e-06
15 slim_337708636 1.4e-05
16 slim_337708485 6.6e-06
17 slim_337708448 1.09e-05
18 slim_337708524 1.93e-05
19 slim_337708726 1.83e-05
20 slim_337708571 9.9e-06
21 slim_337708686 1e-05
22 slim_337708609 9e-07
23 slim_337708627 1.73e-05
24 slim_337708720 5.1e-06
25 slim_337708734 1.44e-05
26 slim_337708566 1.97e-05
27 slim_337708578 1.68e-05
28 slim_337708639 1.22e-05
29 slim_337708494 5.1e-06
30 slim_337708731 1e-07
31 slim_337708671 1.2e-06
32 slim_337708695 1.66e-05
33 slim_337708702 1.38e-05
34 slim_337708714 1.15e-05
35 slim_337708573 1.41e-05
36 slim_337708718 1.35e-05
37 slim_337708725 1.71e-05
38 slim_337708729 1.39e-05
39 slim_337708682 1.35e-05
40 slim_337708363 1.01e-05
41 slim_337708721 7e-07
42 slim_337708674 7.9e-06
43 slim_337708673 6.9e-06
44 slim_337708658 1.93e-05
45 slim_337708642 1.46e-05
46 slim_337708414 1.88e-05
47 slim_337708629 1.55e-05
48 slim_337708676 1.1e-06
49 slim_337708678 1.83e-05
50 slim_337708701 1.15e-05
51 slim_337708737 1.57e-05
52 slim_337708644 1.32e-05
53 slim_337708605 1.25e-05
54 slim_337708586 8.1e-06
55 slim_337708716 1.89e-05
56 slim_337708653 1.71e-05
57 slim_337708614 5.3e-06
58 slim_337708713 1.53e-05
59 slim_337708740 1.12e-05
60 slim_337708705 6.6e-06
61 slim_337708592 6.5e-06
62 slim_337708663 6.8e-06
63 slim_337708733 1.78e-05
64 slim_337708458 1.5e-06
65 slim_337708659 1.96e-05
66 slim_337708730 7.2e-06
67 slim_337708560 1.2e-05
68 slim_337708568 1.97e-05
69 slim_337708646 1.01e-05
70 slim_337708738 6.4e-06
71 slim_337708561 1.1e-06
72 slim_337708579 3e-06
73 slim_337708722 1.36e-05
74 slim_337708710 1.85e-05
75 slim_337708410 5.2e-06
76 slim_337708251 9.6e-06
77 slim_337708698 1.01e-05
78 slim_337708666 2.6e-06
79 slim_337708687 1.91e-05
80 slim_337708559 2e-06
81 slim_337708675 1.33e-05
82 slim_337708739 6.2e-06
83 slim_337708652 1e-05
84 slim_337708744 2.2e-06
85 slim_337708723 1.54e-05
86 slim_337708645 1.1e-05
87 slim_337708356 7.5e-06
88 slim_337708736 1.75e-05
89 slim_337708637 9.7e-06
90 slim_337708688 2e-06
91 slim_337708735 1.06e-05
92 slim_337708450 8.5e-06
93 slim_337708709 0.0
94 slim_337708516 5.4e-06
95 slim_337708487 1.87e-05
96 slim_337708528 1.05e-05
97 slim_337708611 1.23e-05
98 slim_337708635 1.34e-05
99 slim_337708706 1e-05
