 pedigree_id het
0 slim_762082122 7.6e-06
1 slim_762082094 7.4e-06
2 slim_762082068 1.9e-06
3 slim_762082081 7e-07
4 slim_762082131 4.1e-06
5 slim_762082106 1e-07
6 slim_762082136 4.3e-06
7 slim_762082166 2e-06
8 slim_762082063 7.3e-06
9 slim_762082083 5.8e-06
10 slim_762082103 2.6e-06
11 slim_762082153 3.5e-06
12 slim_762082096 3.2e-06
13 slim_762082110 1.8e-06
14 slim_762082085 4.5e-06
15 slim_762082170 3.5e-06
16 slim_762082157 6.2e-06
17 slim_762082156 4.9e-06
18 slim_762082058 5.6e-06
19 slim_762082147 7.4e-06
20 slim_762082108 5.8e-06
21 slim_762082120 4e-06
22 slim_762082097 3.9e-06
23 slim_762082071 6.4e-06
24 slim_762082126 8e-06
25 slim_762082095 5.8e-06
26 slim_762082102 7.3e-06
27 slim_762082107 3e-06
28 slim_762082109 7.7e-06
29 slim_762082064 6.9e-06
30 slim_762082087 4.4e-06
31 slim_762082059 3.5e-06
32 slim_762082089 5.9e-06
33 slim_762082145 7.7e-06
34 slim_762082146 3.8e-06
35 slim_762082119 1.5e-06
36 slim_762082077 5.7e-06
37 slim_762082116 2.1e-06
38 slim_762082061 6.4e-06
39 slim_762082088 5.4e-06
40 slim_762082084 4.2e-06
41 slim_762082137 6e-07
42 slim_762082090 5.9e-06
43 slim_762082121 5.5e-06
44 slim_762082171 4.9e-06
45 slim_762082118 5.3e-06
46 slim_762082076 6.8e-06
47 slim_762082115 5.5e-06
48 slim_762082135 5.7e-06
49 slim_762082105 7.3e-06
50 slim_762082092 2e-07
51 slim_762082141 3.1e-06
52 slim_762082060 8.1e-06
53 slim_762082101 8e-06
54 slim_762082169 7e-06
55 slim_762082165 4.4e-06
56 slim_762082082 4.2e-06
57 slim_762082151 2.1e-06
58 slim_762082113 8.1e-06
59 slim_762082099 2.4e-06
60 slim_762082066 6.2e-06
61 slim_762082168 4.7e-06
62 slim_762082078 2.7e-06
63 slim_762082073 4.5e-06
64 slim_762082124 6e-07
65 slim_762082080 1e-07
66 slim_762082172 8.1e-06
67 slim_762082142 2.2e-06
68 slim_762082130 5.5e-06
69 slim_762082143 6.6e-06
70 slim_762082155 5e-06
71 slim_762082150 3.9e-06
72 slim_762082104 4.5e-06
73 slim_762082154 7.3e-06
74 slim_762082117 5.7e-06
75 slim_762082133 5.5e-06
76 slim_762082138 4.6e-06
77 slim_762082132 7.4e-06
78 slim_762082091 5.8e-06
79 slim_762082159 6.4e-06
80 slim_762082134 7.7e-06
81 slim_762082164 5.3e-06
82 slim_762082111 5.8e-06
83 slim_762082123 7.4e-06
84 slim_762082093 6.9e-06
85 slim_762082158 2.5e-06
86 slim_762082144 6.2e-06
87 slim_762082065 7e-07
88 slim_762082057 2.1e-06
89 slim_762082167 3.6e-06
90 slim_762082149 4.6e-06
91 slim_762082125 5.2e-06
92 slim_762082161 3.2e-06
93 slim_762082112 5.5e-06
94 slim_762082148 7.3e-06
95 slim_762082127 4.3e-06
96 slim_762082162 7.9e-06
97 slim_762082100 6.2e-06
98 slim_762082075 6.4e-06
99 slim_762082086 5.2e-06
