 pedigree_id het
0 slim_762544886 5.7e-06
1 slim_762544817 5.8e-06
2 slim_762544887 4.8e-06
3 slim_762544891 3.5e-06
4 slim_762544850 5.2e-06
5 slim_762544925 4.2e-06
6 slim_762544924 3.7e-06
7 slim_762544814 4.9e-06
8 slim_762544833 3.6e-06
9 slim_762544910 6.5e-06
10 slim_762544819 5.4e-06
11 slim_762544846 2.4e-06
12 slim_762544828 4.7e-06
13 slim_762544923 4.9e-06
14 slim_762544904 2.9e-06
15 slim_762544859 5.4e-06
16 slim_762544809 4.5e-06
17 slim_762544867 4.9e-06
18 slim_762544901 5.4e-06
19 slim_762544907 5.9e-06
20 slim_762544806 5.5e-06
21 slim_762544903 3.5e-06
22 slim_762544824 4.8e-06
23 slim_762544866 4.3e-06
24 slim_762544919 5.5e-06
25 slim_762544876 4.6e-06
26 slim_762544906 3.4e-06
27 slim_762544911 5.7e-06
28 slim_762544822 3.2e-06
29 slim_762544873 6.2e-06
30 slim_762544905 5.4e-06
31 slim_762544844 3.1e-06
32 slim_762544847 3.1e-06
33 slim_762544898 4.5e-06
34 slim_762544881 5.7e-06
35 slim_762544909 1.9e-06
36 slim_762544897 4.7e-06
37 slim_762544840 5.8e-06
38 slim_762544917 5.3e-06
39 slim_762544896 5.8e-06
40 slim_762544830 6.2e-06
41 slim_762544893 5.4e-06
42 slim_762544827 3.2e-06
43 slim_762544872 6.6e-06
44 slim_762544885 3.6e-06
45 slim_762544908 6.3e-06
46 slim_762544839 4.6e-06
47 slim_762544858 3.5e-06
48 slim_762544918 4.5e-06
49 slim_762544812 6.5e-06
50 slim_762544920 1.8e-06
51 slim_762544912 4.3e-06
52 slim_762544835 4.7e-06
53 slim_762544862 6e-06
54 slim_762544868 2.3e-06
55 slim_762544863 3.9e-06
56 slim_762544890 6e-06
57 slim_762544842 6.2e-06
58 slim_762544865 3.6e-06
59 slim_762544810 2.5e-06
60 slim_762544854 3.9e-06
61 slim_762544870 5.7e-06
62 slim_762544913 3.9e-06
63 slim_762544916 4.3e-06
64 slim_762544837 4.5e-06
65 slim_762544899 6.7e-06
66 slim_762544922 5.1e-06
67 slim_762544889 6.5e-06
68 slim_762544818 6.1e-06
69 slim_762544857 5.9e-06
70 slim_762544832 5.3e-06
71 slim_762544834 4.3e-06
72 slim_762544892 3.5e-06
73 slim_762544856 4.4e-06
74 slim_762544852 5.7e-06
75 slim_762544855 1.2e-06
76 slim_762544883 2.9e-06
77 slim_762544811 5.7e-06
78 slim_762544808 3.5e-06
79 slim_762544902 1e-06
80 slim_762544826 4.2e-06
81 slim_762544871 2.6e-06
82 slim_762544820 3.9e-06
83 slim_762544849 6.3e-06
84 slim_762544880 0.0
85 slim_762544816 3.5e-06
86 slim_762544823 4.8e-06
87 slim_762544869 2.4e-06
88 slim_762544895 4.1e-06
89 slim_762544875 4.3e-06
90 slim_762544838 4.6e-06
91 slim_762544829 4.9e-06
92 slim_762544926 3.9e-06
93 slim_762544900 4.8e-06
94 slim_762544888 3.8e-06
95 slim_762544845 3.7e-06
96 slim_762544841 5.2e-06
97 slim_762544914 3.1e-06
98 slim_762544884 5e-06
99 slim_762544851 5.3e-06
