 pedigree_id het
0 slim_762774414 3.2e-06
1 slim_762774457 2.6e-06
2 slim_762774411 3.2e-06
3 slim_762774441 2.2e-06
4 slim_762774398 4.9e-06
5 slim_762774477 4.4e-06
6 slim_762774480 1e-07
7 slim_762774401 2e-06
8 slim_762774437 3.2e-06
9 slim_762774385 3.6e-06
10 slim_762774483 5e-06
11 slim_762774390 3.3e-06
12 slim_762774440 3.1e-06
13 slim_762774473 4.6e-06
14 slim_762774471 4.3e-06
15 slim_762774397 2.1e-06
16 slim_762774475 2.9e-06
17 slim_762774451 3.7e-06
18 slim_762774407 3.2e-06
19 slim_762774428 1.9e-06
20 slim_762774396 2.5e-06
21 slim_762774470 0.0
22 slim_762774479 3e-07
23 slim_762774412 3.3e-06
24 slim_762774408 3.7e-06
25 slim_762774446 3.3e-06
26 slim_762774388 3.2e-06
27 slim_762774433 4.8e-06
28 slim_762774444 3.7e-06
29 slim_762774422 2.5e-06
30 slim_762774472 3e-06
31 slim_762774447 3.7e-06
32 slim_762774435 4e-06
33 slim_762774384 3.5e-06
34 slim_762774383 3.9e-06
35 slim_762774432 4.8e-06
36 slim_762774410 3.1e-06
37 slim_762774400 5.1e-06
38 slim_762774448 1.9e-06
39 slim_762774464 2.5e-06
40 slim_762774436 5.1e-06
41 slim_762774442 2.7e-06
42 slim_762774449 3.2e-06
43 slim_762774455 3.8e-06
44 slim_762774418 3.7e-06
45 slim_762774459 3.8e-06
46 slim_762774391 2.5e-06
47 slim_762774393 3.4e-06
48 slim_762774478 3.9e-06
49 slim_762774465 4.9e-06
50 slim_762774423 3.4e-06
51 slim_762774461 3.9e-06
52 slim_762774392 3.4e-06
53 slim_762774484 3.1e-06
54 slim_762774452 4.2e-06
55 slim_762774466 3.3e-06
56 slim_762774387 4.1e-06
57 slim_762774469 2.1e-06
58 slim_762774395 3.8e-06
59 slim_762774450 3.2e-06
60 slim_762774406 3.6e-06
61 slim_762774426 2.9e-06
62 slim_762774456 3e-06
63 slim_762774417 4.3e-06
64 slim_762774454 2.6e-06
65 slim_762774462 3.7e-06
66 slim_762774425 5.1e-06
67 slim_762774482 4.5e-06
68 slim_762774467 3.3e-06
69 slim_762774438 4.5e-06
70 slim_762774453 2e-07
71 slim_762774439 2.8e-06
72 slim_762774460 4.1e-06
73 slim_762774421 3.1e-06
74 slim_762774424 4.8e-06
75 slim_762774420 3.7e-06
76 slim_762774409 3.8e-06
77 slim_762774404 2.4e-06
78 slim_762774474 8e-07
79 slim_762774389 2.5e-06
80 slim_762774476 3.4e-06
81 slim_762774481 4.3e-06
82 slim_762774463 1.7e-06
83 slim_762774434 2.6e-06
84 slim_762774468 3.7e-06
85 slim_762774399 3.2e-06
86 slim_762774413 5.1e-06
87 slim_762774405 4.3e-06
88 slim_762774429 3.4e-06
89 slim_762774386 2.9e-06
90 slim_762774430 2.6e-06
91 slim_762774416 2.1e-06
92 slim_762774415 3.8e-06
93 slim_762774458 3.1e-06
94 slim_762774402 1.2e-06
95 slim_762774403 2.8e-06
96 slim_762774419 2.8e-06
97 slim_762774394 3.7e-06
98 slim_762774427 1.9e-06
99 slim_762774445 3e-06
