 pedigree_id het
0 slim_337625273 1.35e-05
1 slim_337625148 7.2e-06
2 slim_337625266 1.55e-05
3 slim_337625196 2.33e-05
4 slim_337624962 8.2e-06
5 slim_337625163 1.48e-05
6 slim_337624859 7e-06
7 slim_337625261 1.55e-05
8 slim_337625086 8.6e-06
9 slim_337625250 1.13e-05
10 slim_337625127 1.59e-05
11 slim_337625259 2e-07
12 slim_337625231 1.2e-05
13 slim_337625090 1.65e-05
14 slim_337625243 1.61e-05
15 slim_337625150 2.24e-05
16 slim_337625249 5e-06
17 slim_337625257 9.3e-06
18 slim_337625262 1.68e-05
19 slim_337625221 1.39e-05
20 slim_337625122 1.61e-05
21 slim_337625267 4e-07
22 slim_337625246 1.3e-05
23 slim_337625210 1.34e-05
24 slim_337625128 1.54e-05
25 slim_337625264 1.79e-05
26 slim_337625265 1e-07
27 slim_337625218 1e-07
28 slim_337625252 1.17e-05
29 slim_337624882 1.83e-05
30 slim_337625217 2.2e-05
31 slim_337625242 6.6e-06
32 slim_337625134 2.7e-06
33 slim_337625165 4.3e-06
34 slim_337625220 7.2e-06
35 slim_337625238 1.43e-05
36 slim_337625180 7.4e-06
37 slim_337625055 1.44e-05
38 slim_337624813 9e-06
39 slim_337625083 1.26e-05
40 slim_337625195 1.46e-05
41 slim_337625248 1.17e-05
42 slim_337625211 1.89e-05
43 slim_337625227 1.61e-05
44 slim_337625169 5.3e-06
45 slim_337625253 1.54e-05
46 slim_337625232 1.33e-05
47 slim_337625269 1.22e-05
48 slim_337625230 8.7e-06
49 slim_337625255 1.76e-05
50 slim_337625097 1.11e-05
51 slim_337625271 1.54e-05
52 slim_337625201 1e-05
53 slim_337625239 1.27e-05
54 slim_337625263 1.76e-05
55 slim_337625244 1.54e-05
56 slim_337625194 1.43e-05
57 slim_337625174 2.48e-05
58 slim_337625200 1.51e-05
59 slim_337625164 1.23e-05
60 slim_337625096 7.7e-06
61 slim_337625237 4e-07
62 slim_337625099 9.7e-06
63 slim_337625254 8.6e-06
64 slim_337625192 1.5e-05
65 slim_337625270 4e-07
66 slim_337625146 1.8e-05
67 slim_337624973 1.16e-05
68 slim_337625225 2e-07
69 slim_337625155 1.94e-05
70 slim_337625158 9e-06
71 slim_337624879 2.42e-05
72 slim_337624946 1.43e-05
73 slim_337625234 9.1e-06
74 slim_337625222 1.4e-05
75 slim_337625236 1.49e-05
76 slim_337625204 1.05e-05
77 slim_337625272 1.47e-05
78 slim_337625229 9.6e-06
79 slim_337625175 1.54e-05
80 slim_337625198 9.2e-06
81 slim_337625076 1.46e-05
82 slim_337625049 1.62e-05
83 slim_337625256 2.42e-05
84 slim_337625223 3.1e-06
85 slim_337625228 1.17e-05
86 slim_337625191 1.33e-05
87 slim_337625212 2.25e-05
88 slim_337625258 1.11e-05
89 slim_337625215 1.08e-05
90 slim_337625235 1.06e-05
91 slim_337625143 2.16e-05
92 slim_337625126 1.09e-05
93 slim_337625184 1.71e-05
94 slim_337625268 1.18e-05
95 slim_337625166 4.7e-06
96 slim_337625024 1.53e-05
97 slim_337625145 8.9e-06
98 slim_337625063 8.5e-06
99 slim_337625177 3e-06
