 pedigree_id het
0 slim_762751279 4.6e-06
1 slim_762751266 4.9e-06
2 slim_762751246 6.6e-06
3 slim_762751292 6.8e-06
4 slim_762751319 6.9e-06
5 slim_762751326 2.9e-06
6 slim_762751333 6.2e-06
7 slim_762751255 7.9e-06
8 slim_762751347 6e-06
9 slim_762751323 7.4e-06
10 slim_762751284 4.7e-06
11 slim_762751324 6.1e-06
12 slim_762751297 6.2e-06
13 slim_762751314 5e-06
14 slim_762751312 6.3e-06
15 slim_762751260 7.3e-06
16 slim_762751293 2.4e-06
17 slim_762751248 6.9e-06
18 slim_762751313 7e-06
19 slim_762751269 5.8e-06
20 slim_762751356 6.8e-06
21 slim_762751338 6.9e-06
22 slim_762751354 6.1e-06
23 slim_762751257 7.6e-06
24 slim_762751275 6.8e-06
25 slim_762751353 6.4e-06
26 slim_762751343 3e-06
27 slim_762751339 4.6e-06
28 slim_762751286 7.8e-06
29 slim_762751351 6e-06
30 slim_762751296 2.5e-06
31 slim_762751306 8.1e-06
32 slim_762751265 7.4e-06
33 slim_762751316 6.7e-06
34 slim_762751264 4.1e-06
35 slim_762751259 5.6e-06
36 slim_762751277 5.7e-06
37 slim_762751317 6e-06
38 slim_762751348 6.8e-06
39 slim_762751344 5.2e-06
40 slim_762751322 6.6e-06
41 slim_762751336 7e-06
42 slim_762751299 5.2e-06
43 slim_762751295 7.5e-06
44 slim_762751337 7.8e-06
45 slim_762751349 6.7e-06
46 slim_762751315 3.5e-06
47 slim_762751249 7.4e-06
48 slim_762751271 4.5e-06
49 slim_762751330 6.5e-06
50 slim_762751309 6e-06
51 slim_762751303 1.5e-06
52 slim_762751300 6.3e-06
53 slim_762751256 4.1e-06
54 slim_762751282 6.7e-06
55 slim_762751281 6.9e-06
56 slim_762751294 7.3e-06
57 slim_762751331 6.7e-06
58 slim_762751327 8e-06
59 slim_762751290 4.2e-06
60 slim_762751305 3.8e-06
61 slim_762751247 3.7e-06
62 slim_762751258 4.3e-06
63 slim_762751341 7e-06
64 slim_762751245 6.2e-06
65 slim_762751301 4.2e-06
66 slim_762751346 7.6e-06
67 slim_762751335 4.7e-06
68 slim_762751274 3.4e-06
69 slim_762751288 3e-06
70 slim_762751253 2.3e-06
71 slim_762751283 7.5e-06
72 slim_762751329 6.4e-06
73 slim_762751352 3.1e-06
74 slim_762751250 3.4e-06
75 slim_762751287 4.5e-06
76 slim_762751302 5.1e-06
77 slim_762751278 2.8e-06
78 slim_762751254 1.1e-06
79 slim_762751320 6.5e-06
80 slim_762751276 6.7e-06
81 slim_762751321 6.5e-06
82 slim_762751345 1.5e-06
83 slim_762751268 6e-06
84 slim_762751261 1.5e-06
85 slim_762751272 1.1e-06
86 slim_762751263 6.3e-06
87 slim_762751334 2.6e-06
88 slim_762751267 7.6e-06
89 slim_762751273 7.6e-06
90 slim_762751318 6.3e-06
91 slim_762751251 5.2e-06
92 slim_762751289 3.1e-06
93 slim_762751280 6.1e-06
94 slim_762751355 6.8e-06
95 slim_762751298 5.9e-06
96 slim_762751325 5.9e-06
97 slim_762751262 6.5e-06
98 slim_762751307 7.3e-06
99 slim_762751270 2.7e-06
