 pedigree_id het
0 slim_337629947 1.01e-05
1 slim_337630027 5.3e-06
2 slim_337630066 4.3e-06
3 slim_337630004 8.5e-06
4 slim_337630072 2.2e-06
5 slim_337630063 5.7e-06
6 slim_337629970 1.12e-05
7 slim_337629927 1e-06
8 slim_337630081 8.9e-06
9 slim_337629805 8.3e-06
10 slim_337629775 5e-06
11 slim_337630071 1.16e-05
12 slim_337630080 6.9e-06
13 slim_337630036 9.8e-06
14 slim_337630088 6.2e-06
15 slim_337630048 7.3e-06
16 slim_337629996 6.2e-06
17 slim_337629868 8.9e-06
18 slim_337629961 7.5e-06
19 slim_337629889 8.7e-06
20 slim_337629979 1.18e-05
21 slim_337629529 4.4e-06
22 slim_337629913 1.26e-05
23 slim_337630024 7.6e-06
24 slim_337629928 7.9e-06
25 slim_337630041 5e-06
26 slim_337629573 1.08e-05
27 slim_337630089 1.26e-05
28 slim_337630014 9.1e-06
29 slim_337630040 6.1e-06
30 slim_337629720 9.2e-06
31 slim_337630058 8.4e-06
32 slim_337629890 1.03e-05
33 slim_337630042 9.9e-06
34 slim_337630094 1.17e-05
35 slim_337629848 5.7e-06
36 slim_337630031 9.7e-06
37 slim_337630074 2.9e-06
38 slim_337629945 6.2e-06
39 slim_337630005 9.8e-06
40 slim_337629974 6.3e-06
41 slim_337629993 1.14e-05
42 slim_337630021 5.5e-06
43 slim_337629937 9.9e-06
44 slim_337630085 5.1e-06
45 slim_337630084 9.5e-06
46 slim_337630090 1.04e-05
47 slim_337629955 1.6e-06
48 slim_337629665 8.8e-06
49 slim_337630077 7.9e-06
50 slim_337630057 4.9e-06
51 slim_337630051 9.3e-06
52 slim_337630092 1.29e-05
53 slim_337630019 9.2e-06
54 slim_337629519 8.6e-06
55 slim_337630043 9.6e-06
56 slim_337630065 5.1e-06
57 slim_337630087 4.5e-06
58 slim_337629845 8.8e-06
59 slim_337630023 8.7e-06
60 slim_337629740 1.03e-05
61 slim_337629992 4e-07
62 slim_337630079 4.7e-06
63 slim_337629576 5.6e-06
64 slim_337630015 1.01e-05
65 slim_337630050 1.07e-05
66 slim_337630091 1.08e-05
67 slim_337630044 7.3e-06
68 slim_337629922 1.11e-05
69 slim_337630069 8.2e-06
70 slim_337630086 5.8e-06
71 slim_337630075 6.3e-06
72 slim_337630078 1.14e-05
73 slim_337629981 1.19e-05
74 slim_337629933 1.02e-05
75 slim_337630047 1.08e-05
76 slim_337630045 1.1e-05
77 slim_337630093 6.1e-06
78 slim_337630017 1.13e-05
79 slim_337630068 6.5e-06
80 slim_337630059 5e-06
81 slim_337630083 8.8e-06
82 slim_337630013 9.3e-06
83 slim_337629901 4.5e-06
84 slim_337629931 4.6e-06
85 slim_337629853 9.4e-06
86 slim_337630073 9.1e-06
87 slim_337630067 1.03e-05
88 slim_337630070 8.2e-06
89 slim_337630003 8.6e-06
90 slim_337630012 9.2e-06
91 slim_337629745 3.1e-06
92 slim_337629907 1.04e-05
93 slim_337630010 5.2e-06
94 slim_337629957 5.4e-06
95 slim_337630033 1.33e-05
96 slim_337629985 1.28e-05
97 slim_337630000 1.04e-05
98 slim_337630028 6.2e-06
99 slim_337629828 5.7e-06
