 pedigree_id het
0 slim_337613933 6.4e-06
1 slim_337613917 5.8e-06
2 slim_337613977 1.93e-05
3 slim_337614004 1.41e-05
4 slim_337613973 1.89e-05
5 slim_337613950 1.4e-05
6 slim_337613948 1.97e-05
7 slim_337613984 2.22e-05
8 slim_337613594 6.3e-06
9 slim_337613996 1.62e-05
10 slim_337613889 1.63e-05
11 slim_337613927 2.15e-05
12 slim_337613661 1.81e-05
13 slim_337613965 2e-05
14 slim_337613928 1.45e-05
15 slim_337613833 1.37e-05
16 slim_337613786 1.51e-05
17 slim_337613980 8.1e-06
18 slim_337613941 1.35e-05
19 slim_337613966 1.42e-05
20 slim_337613956 2.16e-05
21 slim_337613944 6.8e-06
22 slim_337613932 4.1e-06
23 slim_337613979 1.19e-05
24 slim_337613998 2.03e-05
25 slim_337613866 2.7e-06
26 slim_337613945 2.37e-05
27 slim_337613898 2.12e-05
28 slim_337613899 1.76e-05
29 slim_337613935 9.5e-06
30 slim_337613989 6.6e-06
31 slim_337613643 5e-07
32 slim_337613823 1.22e-05
33 slim_337613871 1.37e-05
34 slim_337613905 1.8e-05
35 slim_337614008 1.57e-05
36 slim_337613920 1.7e-05
37 slim_337613974 1.31e-05
38 slim_337613988 1.64e-05
39 slim_337613910 1.04e-05
40 slim_337613906 1.81e-05
41 slim_337613938 1.56e-05
42 slim_337613978 1.75e-05
43 slim_337613959 5e-07
44 slim_337613915 4e-07
45 slim_337613869 3.3e-06
46 slim_337613805 1.83e-05
47 slim_337613737 1.48e-05
48 slim_337613609 2.03e-05
49 slim_337613936 2.08e-05
50 slim_337613901 1.34e-05
51 slim_337613964 1.28e-05
52 slim_337613411 1.53e-05
53 slim_337613955 1.34e-05
54 slim_337614010 1.14e-05
55 slim_337613918 2.06e-05
56 slim_337613818 1.44e-05
57 slim_337613715 1.61e-05
58 slim_337613992 1.57e-05
59 slim_337614007 1.09e-05
60 slim_337613893 1.27e-05
61 slim_337613994 8.8e-06
62 slim_337613961 1.28e-05
63 slim_337613896 1.52e-05
64 slim_337613967 1.33e-05
65 slim_337614012 5.3e-06
66 slim_337613997 9.2e-06
67 slim_337613987 1.36e-05
68 slim_337613962 1.93e-05
69 slim_337613983 1.62e-05
70 slim_337613807 1.81e-05
71 slim_337613991 1.94e-05
72 slim_337614003 1.62e-05
73 slim_337614005 1.61e-05
74 slim_337613764 1.4e-05
75 slim_337613982 7.8e-06
76 slim_337613975 1.91e-05
77 slim_337613953 1.66e-05
78 slim_337613720 1.82e-05
79 slim_337613969 1.84e-05
80 slim_337614006 1.86e-05
81 slim_337613855 1.05e-05
82 slim_337613995 2.13e-05
83 slim_337614001 1.99e-05
84 slim_337613970 1.23e-05
85 slim_337613952 3e-07
86 slim_337613771 1.59e-05
