 slim_762532696 slim_762532697 slim_762532666 slim_762532682 slim_762532698 slim_762532667 slim_762532659 slim_762532663 slim_762532684 slim_762532669 slim_762532668 slim_762532683 slim_762532685 slim_762532686 slim_762532675 slim_762532662 slim_762532679 slim_762532692 slim_762532670 slim_762532693 slim_762532664 slim_762532678 slim_762532665 slim_762532677 slim_762532694 slim_762532661 slim_762532687 slim_762532673 slim_762532658 slim_762532688 slim_762532690 slim_762532680 slim_762532676 slim_762532657 slim_762532695 slim_762532671 slim_762532681 slim_762532674 slim_762532660 slim_762532672 slim_762532689 slim_762532691
0 1.8e-06 2e-06 1.5e-06 1.85e-06 1.8e-06 1.35e-06 1.6e-06 1.45e-06 1.6e-06 1.65e-06 1.55e-06 1.5e-06 1.45e-06 1.4e-06 1.6e-06 1.8e-06 2.4e-06 1.3e-06 1.85e-06 1.5e-06 1.95e-06 1.75e-06 1.35e-06 2.35e-06 1.8e-06 1.5e-06 1.5e-06 1.55e-06 2e-06 1.55e-06 2.5e-06 1.45e-06 1.45e-06 3e-06 1.35e-06 1.55e-06 1.85e-06 1.25e-06 3.25e-06 1.2e-06 1.8e-06 2.4e-06
1 2e-06 1.8e-06 2.25e-06 1.65e-06 1.8e-06 1.25e-06 2.4e-06 1.65e-06 2.45e-06 2.25e-06 2.3e-06 2.5e-06 2.4e-06 2.35e-06 2.3e-06 1.5e-06 1.85e-06 1.5e-06 1.7e-06 1.7e-06 2.05e-06 1.15e-06 2.05e-06 2.15e-06 1.95e-06 2.35e-06 1.65e-06 2.3e-06 1.7e-06 2.3e-06 2.3e-06 2.4e-06 1.75e-06 1.8e-06 2.15e-06 2.25e-06 1.55e-06 2e-06 2.05e-06 2.3e-06 2e-06 2.55e-06
2 1.5e-06 2.25e-06 2.1e-06 2.1e-06 2e-06 1.6e-06 1.7e-06 1.65e-06 1.65e-06 1.55e-06 1.1e-06 1.85e-06 1.45e-06 1.3e-06 1.7e-06 2.2e-06 2.4e-06 1.55e-06 1.85e-06 1.3e-06 2.3e-06 1.8e-06 1.65e-06 2.4e-06 1.9e-06 1.75e-06 1.6e-06 1.1e-06 2.3e-06 1.75e-06 2.5e-06 1.45e-06 1.55e-06 2.95e-06 1.55e-06 1.55e-06 2.1e-06 1.4e-06 3.2e-06 1.3e-06 1.75e-06 2.6e-06
3 1.85e-06 1.65e-06 2.1e-06 3e-06 1.9e-06 1.65e-06 1.95e-06 1.85e-06 1.95e-06 2.2e-06 2.15e-06 2.1e-06 1.9e-06 1.85e-06 1.7e-06 1.85e-06 2.3e-06 1.75e-06 1.85e-06 1.9e-06 2.1e-06 1.65e-06 1.8e-06 2.1e-06 1.85e-06 1.9e-06 1.6e-06 2.15e-06 1.7e-06 1.7e-06 2.3e-06 1.9e-06 1.9e-06 2.4e-06 2.05e-06 2.2e-06 1.55e-06 1.9e-06 2.65e-06 2.05e-06 1.95e-06 2.6e-06
4 1.8e-06 1.8e-06 2e-06 1.9e-06 2e-06 1.4e-06 1.6e-06 1.65e-06 1.75e-06 2e-06 2.05e-06 2e-06 1.6e-06 1.55e-06 1.3e-06 2.05e-06 2.45e-06 1.35e-06 2.25e-06 1.55e-06 2.15e-06 1.1e-06 1.25e-06 2.05e-06 1.55e-06 1.75e-06 1.15e-06 2.05e-06 1.8e-06 1.15e-06 2.3e-06 1.6e-06 1.6e-06 2.65e-06 1.8e-06 2.05e-06 1.85e-06 1.65e-06 2.95e-06 2e-06 1.75e-06 2.3e-06
5 1.35e-06 1.25e-06 1.6e-06 1.65e-06 1.4e-06 1.3e-06 1.7e-06 1.15e-06 1.7e-06 1.65e-06 1.65e-06 1.85e-06 1.7e-06 1.65e-06 1.55e-06 1.45e-06 1.85e-06 9.5e-07 1.75e-06 1.3e-06 1.7e-06 9e-07 1.35e-06 2.05e-06 1.6e-06 1.65e-06 1.1e-06 1.65e-06 1.7e-06 1.6e-06 2.2e-06 1.7e-06 1.15e-06 2.3e-06 1.4e-06 1.55e-06 1.55e-06 1.25e-06 2.6e-06 1.7e-06 1.45e-06 2.05e-06
6 1.6e-06 2.4e-06 1.7e-06 1.95e-06 1.6e-06 1.7e-06 2e-06 1.85e-06 1.1e-06 2e-06 1.75e-06 1.8e-06 1.4e-06 1.35e-06 1e-06 2.3e-06 2.65e-06 1.6e-06 2.3e-06 1.7e-06 2.3e-06 1.75e-06 1.25e-06 2.1e-06 1.65e-06 1.55e-06 1.4e-06 1.75e-06 1.95e-06 1.05e-06 2.35e-06 1.35e-06 1.45e-06 2.95e-06 1.3e-06 1.9e-06 2e-06 1.25e-06 3.25e-06 1.75e-06 1.45e-06 2.45e-06
7 1.45e-06 1.65e-06 1.65e-06 1.85e-06 1.65e-06 1.15e-06 1.85e-06 2.2e-06 1.85e-06 1.7e-06 1.7e-06 1.8e-06 1.65e-06 1.6e-06 1.7e-06 1.8e-06 2.15e-06 1.35e-06 1.85e-06 1.45e-06 1.75e-06 1.35e-06 1.55e-06 2.25e-06 1.75e-06 1.45e-06 1.35e-06 1.7e-06 1.9e-06 1.65e-06 2.4e-06 1.65e-06 1.4e-06 2.7e-06 1.7e-06 1.75e-06 1.75e-06 1.55e-06 2.95e-06 1.55e-06 1.8e-06 2.3e-06
8 1.6e-06 2.45e-06 1.65e-06 1.95e-06 1.75e-06 1.7e-06 1.1e-06 1.85e-06 1.9e-06 2e-06 1.7e-06 1.8e-06 1.35e-06 1.3e-06 9.5e-07 2.3e-06 2.8e-06 1.55e-06 2.3e-06 1.7e-06 2.35e-06 1.75e-06 1.35e-06 2.2e-06 1.75e-06 1.55e-06 1.35e-06 1.7e-06 2.1e-06 1.15e-06 2.45e-06 1.3e-06 1.6e-06 3.2e-06 1.15e-06 1.9e-06 2e-06 1.2e-06 3.5e-06 1.75e-06 1.3e-06 2.45e-06
9 1.65e-06 2.25e-06 1.55e-06 2.2e-06 2e-06 1.65e-06 2e-06 1.7e-06 2e-06 2.7e-06 1.6e-06 1.95e-06 1.65e-06 1.5e-06 1.8e-06 2.25e-06 2.35e-06 1.85e-06 1.95e-06 1.55e-06 2.15e-06 1.95e-06 1.8e-06 2.55e-06 2.05e-06 1.75e-06 1.75e-06 1.6e-06 2.25e-06 1.85e-06 2.75e-06 1.65e-06 1.6e-06 3.15e-06 1.95e-06 1.7e-06 2.15e-06 1.85e-06 3.4e-06 1.4e-06 2.15e-06 2.7e-06
