 slim_762078385 slim_762078378 slim_762078366 slim_762078371 slim_762078388 slim_762078386 slim_762078402 slim_762078373 slim_762078382 slim_762078390 slim_762078389 slim_762078395 slim_762078358 slim_762078372 slim_762078359 slim_762078392 slim_762078374 slim_762078404 slim_762078376 slim_762078367 slim_762078362 slim_762078360 slim_762078355 slim_762078375 slim_762078397 slim_762078398 slim_762078364 slim_762078369 slim_762078406 slim_762078403 slim_762078368 slim_762078380 slim_762078363 slim_762078405 slim_762078396 slim_762078399 slim_762078384 slim_762078379 slim_762078381 slim_762078354 slim_762078370 slim_762078383 slim_762078361 slim_762078365 slim_762078377 slim_762078394 slim_762078391 slim_762078393 slim_762078400 slim_762078387 slim_762078356 slim_762078357 slim_762078401
0 2.9e-06 2.1e-06 2.25e-06 2.1e-06 1.75e-06 1.85e-06 2.35e-06 1.65e-06 1.95e-06 1.9e-06 2.4e-06 1.85e-06 1.8e-06 1.85e-06 2.05e-06 1.9e-06 1.75e-06 2e-06 2.1e-06 2.55e-06 2.45e-06 1.95e-06 2.25e-06 1.9e-06 2.45e-06 2.3e-06 1.85e-06 1.95e-06 1.7e-06 2.8e-06 1.8e-06 1.7e-06 2.45e-06 1.85e-06 2e-06 2.65e-06 2.3e-06 1.55e-06 2.65e-06 1.75e-06 2.2e-06 2.4e-06 2.3e-06 1.65e-06 1.75e-06 1.7e-06 2.35e-06 1.85e-06 2.15e-06 1.8e-06 1.9e-06 1.95e-06 2.25e-06
1 2.1e-06 2.5e-06 1.8e-06 1.7e-06 1.75e-06 2.4e-06 2.25e-06 1.85e-06 1.55e-06 2.5e-06 1.95e-06 1.7e-06 2.25e-06 1.65e-06 2e-06 1.95e-06 2.3e-06 2e-06 1.9e-06 2.65e-06 2.25e-06 1.6e-06 2.25e-06 2e-06 2.55e-06 2.2e-06 1.65e-06 2.65e-06 2.25e-06 2.3e-06 2.2e-06 2e-06 2.25e-06 2e-06 1.9e-06 1.85e-06 2.45e-06 2e-06 2.05e-06 2.15e-06 2.1e-06 2.4e-06 1.55e-06 1.8e-06 2.1e-06 1.95e-06 1.9e-06 2.45e-06 1.25e-06 1.7e-06 1.6e-06 1.5e-06 1.8e-06
2 2.25e-06 1.8e-06 2.8e-06 1.9e-06 1.65e-06 2.25e-06 1.75e-06 1.8e-06 1.85e-06 2.25e-06 1.6e-06 1.85e-06 2.15e-06 1.95e-06 1.7e-06 2.1e-06 2.25e-06 2.2e-06 2.1e-06 2.35e-06 2e-06 1.7e-06 2.05e-06 2.05e-06 2.25e-06 2.05e-06 1.9e-06 2.5e-06 2.25e-06 1.5e-06 2.05e-06 1.9e-06 2e-06 1.8e-06 1.75e-06 1.95e-06 2.1e-06 2.05e-06 1.9e-06 2e-06 1.75e-06 2.2e-06 1.9e-06 1.8e-06 2.05e-06 1.85e-06 1.55e-06 2.2e-06 1.8e-06 1.65e-06 1.8e-06 1.7e-06 1.45e-06
3 2.1e-06 1.7e-06 1.9e-06 2.5e-06 1.95e-06 2.15e-06 2.05e-06 2.05e-06 1.65e-06 1.7e-06 1.8e-06 2.2e-06 2.05e-06 1.75e-06 1.9e-06 2.25e-06 2.15e-06 1.75e-06 1.45e-06 2.35e-06 2.2e-06 1.75e-06 1.9e-06 1.95e-06 2.1e-06 2.3e-06 1.8e-06 1.95e-06 2.15e-06 1.9e-06 1.85e-06 2.15e-06 2.2e-06 2.1e-06 2.05e-06 1.7e-06 1.9e-06 2.25e-06 2.15e-06 1.85e-06 1.9e-06 2.05e-06 1.55e-06 2.2e-06 2.3e-06 2.1e-06 2e-06 1.65e-06 1.25e-06 2.05e-06 1.7e-06 1.75e-06 1.9e-06
4 1.75e-06 1.75e-06 1.65e-06 1.95e-06 1e-06 1.6e-06 1.65e-06 5e-07 1.5e-06 2.35e-06 1.85e-06 9.5e-07 1.45e-06 1.7e-06 1.15e-06 1.6e-06 1.65e-06 2.45e-06 2.45e-06 2.6e-06 1.9e-06 1.45e-06 2.15e-06 1.95e-06 2.6e-06 1.75e-06 1.6e-06 2.5e-06 1.85e-06 2.55e-06 1.45e-06 7e-07 1.75e-06 9.5e-07 1.35e-06 2.65e-06 2.55e-06 9e-07 2.2e-06 1.4e-06 1.55e-06 2.5e-06 2.5e-06 1.1e-06 8e-07 5.5e-07 1.75e-06 2.3e-06 2.4e-06 7e-07 1.45e-06 1.9e-06 1.65e-06
5 1.85e-06 2.4e-06 2.25e-06 2.15e-06 1.6e-06 2.7e-06 1.9e-06 1.75e-06 2.2e-06 1.6e-06 2.2e-06 1.9e-06 1.4e-06 2.25e-06 1.85e-06 2e-06 1.65e-06 2e-06 2.15e-06 2.35e-06 2.25e-06 2.15e-06 2.15e-06 1.9e-06 2.1e-06 2.15e-06 2.15e-06 1.6e-06 1.55e-06 2.5e-06 1.7e-06 1.65e-06 2.35e-06 1.7e-06 2e-06 2.7e-06 1.95e-06 1.85e-06 2.65e-06 1.65e-06 1.95e-06 2.2e-06 2.7e-06 1.8e-06 1.75e-06 1.65e-06 2.35e-06 1.55e-06 2.55e-06 1.75e-06 2.15e-06 2.2e-06 2.25e-06
6 2.35e-06 2.25e-06 1.75e-06 2.05e-06 1.65e-06 1.9e-06 2.6e-06 1.7e-06 2e-06 2.15e-06 1.6e-06 1.95e-06 2e-06 2.05e-06 1.55e-06 2.35e-06 2.15e-06 2.4e-06 2.25e-06 2.25e-06 1.9e-06 1.95e-06 2.1e-06 2.3e-06 2.2e-06 1.9e-06 2.05e-06 2.45e-06 2.25e-06 1.4e-06 1.95e-06 1.65e-06 1.95e-06 1.7e-06 2.05e-06 2.15e-06 1.95e-06 1.9e-06 2.05e-06 1.9e-06 1.5e-06 2.2e-06 2.2e-06 2e-06 1.8e-06 1.6e-06 1.85e-06 2.1e-06 2.2e-06 1.85e-06 1.95e-06 2.15e-06 1.7e-06
7 1.65e-06 1.85e-06 1.8e-06 2.05e-06 5e-07 1.75e-06 1.7e-06 0.0 1.25e-06 2.55e-06 2.1e-06 8.5e-07 1.7e-06 1.6e-06 1.25e-06 1.7e-06 1.75e-06 2.65e-06 2.55e-06 2.75e-06 2.05e-06 1.2e-06 2.15e-06 2.1e-06 2.9e-06 1.75e-06 1.6e-06 2.8e-06 2.1e-06 2.75e-06 1.3e-06 3e-07 1.65e-06 9e-07 1.5e-06 2.8e-06 2.75e-06 8e-07 2.25e-06 1.25e-06 1.5e-06 2.75e-06 2.4e-06 1.25e-06 6.5e-07 1.5e-07 1.9e-06 2.5e-06 2.4e-06 8e-07 1.2e-06 2.05e-06 1.8e-06
8 1.95e-06 1.55e-06 1.85e-06 1.65e-06 1.5e-06 2.2e-06 2e-06 1.25e-06 2.5e-06 2.4e-06 1.95e-06 1.7e-06 2.1e-06 1.5e-06 1.85e-06 2.1e-06 2.15e-06 2e-06 1.85e-06 2.55e-06 2.15e-06 1.35e-06 2.05e-06 2.15e-06 2.5e-06 2e-06 1.55e-06 2.6e-06 2.2e-06 2.2e-06 1.85e-06 1.45e-06 1.95e-06 1.75e-06 1.95e-06 1.85e-06 2.35e-06 1.75e-06 1.95e-06 1.8e-06 1.8e-06 2.4e-06 1.45e-06 1.85e-06 1.75e-06 1.4e-06 1.95e-06 2.35e-06 1.25e-06 1.65e-06 1.3e-06 1.65e-06 1.85e-06
9 1.9e-06 2.5e-06 2.25e-06 1.7e-06 2.35e-06 1.6e-06 2.15e-06 2.55e-06 2.4e-06 1e-07 2.15e-06 2.5e-06 1.55e-06 2.45e-06 2.3e-06 1.95e-06 1.7e-06 1.5e-06 1.2e-06 1.7e-06 2.4e-06 2.35e-06 1.4e-06 1.15e-06 1.45e-06 2.4e-06 2.45e-06 5.5e-07 1.35e-06 1.9e-06 1.35e-06 2.35e-06 2.5e-06 1.95e-06 2.05e-06 2.25e-06 1.2e-06 2.75e-06 2.6e-06 1.3e-06 2.05e-06 1.35e-06 2.35e-06 2.3e-06 2.7e-06 2.5e-06 2.35e-06 5e-08 2.15e-06 2.55e-06 2.35e-06 2e-06 2.25e-06
10 2.4e-06 1.95e-06 1.6e-06 1.8e-06 1.85e-06 2.2e-06 1.6e-06 2.1e-06 1.95e-06 2.15e-06 2e-06 2.15e-06 2.1e-06 1.95e-06 1.4e-06 2.2e-06 2.25e-06 2.1e-06 2e-06 2e-06 1.7e-06 1.9e-06 1.9e-06 2.25e-06 2e-06 1.7e-06 1.9e-06 2.4e-06 2.25e-06 1.25e-06 2.15e-06 2.1e-06 1.95e-06 1.95e-06 2.05e-06 1.7e-06 1.9e-06 2.15e-06 1.4e-06 2.1e-06 1.65e-06 1.75e-06 1.8e-06 2.05e-06 2.15e-06 2.05e-06 1.7e-06 2.1e-06 1.7e-06 1.95e-06 1.9e-06 1.85e-06 1.6e-06
11 1.85e-06 1.7e-06 1.85e-06 2.2e-06 9.5e-07 1.9e-06 1.95e-06 8.5e-07 1.7e-06 2.5e-06 2.15e-06 1.7e-06 1.85e-06 1.85e-06 1.55e-06 1.6e-06 1.9e-06 2.6e-06 2.55e-06 2.75e-06 2.15e-06 1.6e-06 2.4e-06 1.85e-06 2.85e-06 1.8e-06 1.8e-06 2.7e-06 2e-06 2.8e-06 1.7e-06 8.5e-07 2.05e-06 1.2e-06 1.5e-06 2.8e-06 2.7e-06 1.2e-06 2.45e-06 1.65e-06 1.8e-06 2.65e-06 2.55e-06 1.2e-06 1.1e-06 8.5e-07 1.95e-06 2.45e-06 2.45e-06 1.05e-06 1.65e-06 1.85e-06 1.85e-06
12 1.8e-06 2.25e-06 2.15e-06 2.05e-06 1.45e-06 1.4e-06 2e-06 1.7e-06 2.1e-06 1.55e-06 2.1e-06 1.85e-06 2.2e-06 2.15e-06 1.75e-06 1.85e-06 1.5e-06 1.85e-06 2.05e-06 2.25e-06 2.1e-06 2.05e-06 2.1e-06 1.8e-06 1.95e-06 2.1e-06 1.95e-06 1.5e-06 1.3e-06 2.45e-06 1.65e-06 1.65e-06 2.25e-06 1.65e-06 1.9e-06 2.55e-06 1.95e-06 1.7e-06 2.55e-06 1.6e-06 1.95e-06 2.1e-06 2.6e-06 1.6e-06 1.65e-06 1.65e-06 2.25e-06 1.5e-06 2.4e-06 1.5e-06 2.05e-06 2.05e-06 2.15e-06
13 1.85e-06 1.65e-06 1.95e-06 1.75e-06 1.7e-06 2.25e-06 2.05e-06 1.6e-06 1.5e-06 2.45e-06 1.95e-06 1.85e-06 2.15e-06 2.8e-06 1.85e-06 2.15e-06 2.1e-06 2.1e-06 1.95e-06 2.55e-06 2.15e-06 1.6e-06 2.25e-06 2.25e-06 2.55e-06 2.05e-06 1.5e-06 2.65e-06 2.15e-06 2.25e-06 2.05e-06 1.7e-06 2.15e-06 1.9e-06 2.05e-06 1.95e-06 2.4e-06 1.45e-06 2.1e-06 2e-06 1.9e-06 2.4e-06 1.6e-06 1.7e-06 1.7e-06 1.65e-06 2.05e-06 2.4e-06 1.4e-06 1.75e-06 1.55e-06 1.7e-06 1.95e-06
