 slim_762368987 slim_762369003 slim_762368991 slim_762369011 slim_762369017 slim_762369000 slim_762369005 slim_762369019 slim_762369013 slim_762368986 slim_762369006 slim_762368990 slim_762368997 slim_762368999 slim_762369018 slim_762368989 slim_762369008 slim_762368998 slim_762369020 slim_762369012 slim_762369009 slim_762368988 slim_762369002 slim_762368994 slim_762368996 slim_762368995 slim_762368992 slim_762369004 slim_762369010 slim_762368993 slim_762368985 slim_762369015 slim_762369014 slim_762369001 slim_762369007 slim_762369016
0 1.9e-06 1.9e-06 1.25e-06 2.5e-06 1.9e-06 2.05e-06 2.15e-06 1.8e-06 2.1e-06 2.5e-06 1.85e-06 2.2e-06 2.2e-06 2.25e-06 1.9e-06 1.9e-06 1.55e-06 2.05e-06 1.95e-06 1.7e-06 1.6e-06 1.65e-06 2e-06 2.2e-06 1.5e-06 2e-06 2.1e-06 2.6e-06 2.15e-06 1.75e-06 2.2e-06 1.45e-06 1.4e-06 1.75e-06 1.65e-06 1.3e-06
1 1.9e-06 1.9e-06 2e-06 1.7e-06 1.55e-06 1.3e-06 1.55e-06 1.1e-06 1.9e-06 1.65e-06 1.4e-06 1.7e-06 2.05e-06 2.1e-06 1.4e-06 1.75e-06 1.7e-06 2.2e-06 1.05e-06 1.8e-06 1.45e-06 2.15e-06 1.8e-06 1.95e-06 1.9e-06 1.3e-06 1.9e-06 2.05e-06 1.5e-06 1.4e-06 1.8e-06 1.9e-06 1.55e-06 1.4e-06 1.3e-06 1.8e-06
2 1.25e-06 2e-06 7e-07 2.4e-06 1.9e-06 1.85e-06 1.95e-06 1.7e-06 2.15e-06 2.2e-06 1.6e-06 2e-06 1.85e-06 2.15e-06 1.95e-06 2.05e-06 1.8e-06 2.05e-06 2.05e-06 1.85e-06 1.8e-06 2e-06 1.95e-06 1.6e-06 1.65e-06 1.95e-06 2.15e-06 2.25e-06 1.9e-06 1.75e-06 2.2e-06 1.1e-06 1.85e-06 1.75e-06 1.45e-06 1.1e-06
3 2.5e-06 1.7e-06 2.4e-06 2.3e-06 1.8e-06 1.95e-06 1.9e-06 2.4e-06 1.9e-06 1.45e-06 2.25e-06 2.1e-06 2.05e-06 2.05e-06 1.75e-06 2.4e-06 2.05e-06 2.45e-06 1.8e-06 1.9e-06 2.1e-06 2.5e-06 1.9e-06 1.9e-06 2.5e-06 1.8e-06 1.9e-06 1.65e-06 1.9e-06 1.65e-06 1.85e-06 2.45e-06 2.2e-06 1.65e-06 2.05e-06 2.3e-06
4 1.9e-06 1.55e-06 1.9e-06 1.8e-06 1.8e-06 1.4e-06 1.7e-06 1.85e-06 1.7e-06 1.4e-06 1.55e-06 1.95e-06 1.8e-06 1.75e-06 1.25e-06 2.2e-06 1.65e-06 2.15e-06 1.6e-06 1.75e-06 1.9e-06 2.4e-06 1.45e-06 1.8e-06 1.85e-06 1.55e-06 1.7e-06 1.9e-06 1.7e-06 9e-07 1.4e-06 2.05e-06 1.25e-06 9e-07 1.35e-06 1.85e-06
5 2.05e-06 1.3e-06 1.85e-06 1.95e-06 1.4e-06 2e-06 1.5e-06 1.15e-06 1.85e-06 1.5e-06 1.2e-06 1.65e-06 1.85e-06 2.1e-06 1.4e-06 1.9e-06 1.9e-06 2.25e-06 1.25e-06 1.95e-06 1.7e-06 2.55e-06 1.8e-06 1.85e-06 2e-06 1.55e-06 1.85e-06 1.9e-06 1.4e-06 1.25e-06 1.85e-06 2.05e-06 1.85e-06 1.25e-06 1.15e-06 1.95e-06
6 2.15e-06 1.55e-06 1.95e-06 1.9e-06 1.7e-06 1.5e-06 2.2e-06 1.35e-06 2.05e-06 1.65e-06 1.45e-06 1.7e-06 1.65e-06 1.95e-06 1.75e-06 1.95e-06 1.85e-06 2.25e-06 1.6e-06 1.7e-06 1.8e-06 2.5e-06 1.75e-06 1.85e-06 2.15e-06 1.65e-06 2.05e-06 1.55e-06 1.35e-06 1.6e-06 1.8e-06 2.15e-06 1.9e-06 1.6e-06 1.4e-06 2.1e-06
7 1.8e-06 1.1e-06 1.7e-06 2.4e-06 1.85e-06 1.15e-06 1.35e-06 3e-07 2.35e-06 2.2e-06 9.5e-07 1.55e-06 2.1e-06 2.2e-06 1.75e-06 1.55e-06 1.9e-06 2.3e-06 1.15e-06 2e-06 1.4e-06 2.4e-06 2e-06 2.15e-06 1.85e-06 1.6e-06 2.35e-06 2.35e-06 1.25e-06 1.7e-06 2.15e-06 1.8e-06 1.65e-06 1.7e-06 9.5e-07 1.8e-06
8 2.1e-06 1.9e-06 2.15e-06 1.9e-06 1.7e-06 1.85e-06 2.05e-06 2.35e-06 2.6e-06 1.6e-06 2.15e-06 2e-06 2.05e-06 2.25e-06 1.7e-06 1.85e-06 1.95e-06 1.85e-06 1.95e-06 1.75e-06 2e-06 1.75e-06 1.8e-06 2e-06 2.1e-06 2e-06 1.3e-06 1.75e-06 2e-06 1.55e-06 1.95e-06 2.2e-06 2.05e-06 1.55e-06 1.95e-06 2e-06
9 2.5e-06 1.65e-06 2.2e-06 1.45e-06 1.4e-06 1.5e-06 1.65e-06 2.2e-06 1.6e-06 1.1e-06 1.9e-06 1.7e-06 1.65e-06 2e-06 1.5e-06 2.35e-06 2.1e-06 2.25e-06 1.7e-06 1.9e-06 2.2e-06 2.7e-06 1.55e-06 1.25e-06 2.4e-06 1.65e-06 1.6e-06 1.2e-06 1.65e-06 1.25e-06 1.25e-06 2.5e-06 2.25e-06 1.25e-06 1.7e-06 2.3e-06
10 1.85e-06 1.4e-06 1.6e-06 2.25e-06 1.55e-06 1.2e-06 1.45e-06 9.5e-07 2.15e-06 1.9e-06 1.6e-06 1.75e-06 1.75e-06 2.1e-06 1.5e-06 1.85e-06 1.9e-06 2.1e-06 1.4e-06 1.95e-06 1.7e-06 2.45e-06 1.9e-06 1.9e-06 1.7e-06 1.65e-06 2.15e-06 2.2e-06 1.4e-06 1.4e-06 1.95e-06 1.75e-06 1.65e-06 1.4e-06 8e-07 1.75e-06
11 2.2e-06 1.7e-06 2e-06 2.1e-06 1.95e-06 1.65e-06 1.7e-06 1.55e-06 2e-06 1.7e-06 1.75e-06 2.4e-06 2.05e-06 2.2e-06 1.95e-06 1.95e-06 2.1e-06 2.25e-06 1.75e-06 1.95e-06 1.75e-06 2.35e-06 1.65e-06 1.85e-06 2.2e-06 1.9e-06 2e-06 1.45e-06 1.65e-06 1.8e-06 2e-06 2.15e-06 2.2e-06 1.8e-06 1.55e-06 2e-06
12 2.2e-06 2.05e-06 1.85e-06 2.05e-06 1.8e-06 1.85e-06 1.65e-06 2.1e-06 2.05e-06 1.65e-06 1.75e-06 2.05e-06 2.3e-06 2.1e-06 1.85e-06 2.35e-06 2e-06 1.9e-06 2.1e-06 1.8e-06 2.15e-06 2.55e-06 1.95e-06 1.85e-06 1.85e-06 2.05e-06 2.05e-06 1.65e-06 1.75e-06 1.65e-06 1.95e-06 2.2e-06 2.15e-06 1.65e-06 1.55e-06 2.15e-06
13 2.25e-06 2.1e-06 2.15e-06 2.05e-06 1.75e-06 2.1e-06 1.95e-06 2.2e-06 2.25e-06 2e-06 2.1e-06 2.2e-06 2.1e-06 2.9e-06 2.05e-06 2.4e-06 2.05e-06 2.45e-06 2.15e-06 1.95e-06 2.2e-06 2.6e-06 1.8e-06 2.1e-06 2.3e-06 2.15e-06 2.25e-06 2e-06 1.95e-06 1.7e-06 1.85e-06 2.35e-06 1.8e-06 1.7e-06 1.9e-06 2.2e-06
14 1.9e-06 1.4e-06 1.95e-06 1.75e-06 1.25e-06 1.4e-06 1.75e-06 1.75e-06 1.7e-06 1.5e-06 1.5e-06 1.95e-06 1.85e-06 2.05e-06 2e-06 2.1e-06 1.55e-06 2.1e-06 1.45e-06 1.75e-06 1.6e-06 2.05e-06 1.75e-06 1.85e-06 1.8e-06 1.55e-06 1.7e-06 2e-06 1.7e-06 1.1e-06 1.7e-06 1.75e-06 1.55e-06 1.1e-06 1.3e-06 1.75e-06
15 1.9e-06 1.75e-06 2.05e-06 2.4e-06 2.2e-06 1.9e-06 1.95e-06 1.55e-06 1.85e-06 2.35e-06 1.85e-06 1.95e-06 2.35e-06 2.4e-06 2.1e-06 2.8e-06 2e-06 1.95e-06 1.75e-06 1.85e-06 1.75e-06 1.65e-06 2.05e-06 2.35e-06 2e-06 2.1e-06 1.85e-06 2.25e-06 1.9e-06 2.05e-06 2.3e-06 2e-06 1.9e-06 2.05e-06 1.8e-06 1.9e-06
16 1.55e-06 1.7e-06 1.8e-06 2.05e-06 1.65e-06 1.9e-06 1.85e-06 1.9e-06 1.95e-06 2.1e-06 1.9e-06 2.1e-06 2e-06 2.05e-06 1.55e-06 2e-06 2.3e-06 2.15e-06 1.75e-06 1.45e-06 1.4e-06 1.7e-06 1.8e-06 2.2e-06 1.7e-06 1.9e-06 1.95e-06 2.1e-06 1.95e-06 1.5e-06 1.95e-06 1.65e-06 1.4e-06 1.5e-06 1.7e-06 1.6e-06
17 2.05e-06 2.2e-06 2.05e-06 2.45e-06 2.15e-06 2.25e-06 2.25e-06 2.3e-06 1.85e-06 2.25e-06 2.1e-06 2.25e-06 1.9e-06 2.45e-06 2.1e-06 1.95e-06 2.15e-06 3.1e-06 2.25e-06 1.95e-06 2.15e-06 1.8e-06 2.1e-06 2.25e-06 1.7e-06 2.3e-06 1.85e-06 2.25e-06 2.25e-06 2e-06 2.3e-06 2.05e-06 2.05e-06 2e-06 1.9e-06 1.95e-06
18 1.95e-06 1.05e-06 2.05e-06 1.8e-06 1.6e-06 1.25e-06 1.6e-06 1.15e-06 1.95e-06 1.7e-06 1.4e-06 1.75e-06 2.1e-06 2.15e-06 1.45e-06 1.75e-06 1.75e-06 2.25e-06 2e-06 1.85e-06 1.5e-06 2.2e-06 1.85e-06 2e-06 1.95e-06 1.4e-06 1.95e-06 2.1e-06 1.55e-06 1.45e-06 1.85e-06 1.95e-06 1.6e-06 1.45e-06 1.35e-06 1.85e-06
19 1.7e-06 1.8e-06 1.85e-06 1.9e-06 1.75e-06 1.95e-06 1.7e-06 2e-06 1.75e-06 1.9e-06 1.95e-06 1.95e-06 1.8e-06 1.95e-06 1.75e-06 1.85e-06 1.45e-06 1.95e-06 1.85e-06 2.7e-06 1.65e-06 1.7e-06 1.7e-06 2e-06 1.8e-06 1.95e-06 1.75e-06 1.7e-06 1.8e-06 1.6e-06 1.85e-06 1.85e-06 1.6e-06 1.6e-06 1.75e-06 1.7e-06
20 1.6e-06 1.45e-06 1.8e-06 2.1e-06 1.9e-06 1.7e-06 1.8e-06 1.4e-06 2e-06 2.2e-06 1.7e-06 1.75e-06 2.15e-06 2.2e-06 1.6e-06 1.75e-06 1.4e-06 2.15e-06 1.5e-06 1.65e-06 2.1e-06 1.65e-06 1.95e-06 2.25e-06 1.75e-06 1.8e-06 2e-06 2.2e-06 1.75e-06 1.75e-06 2.2e-06 1.6e-06 1.65e-06 1.75e-06 1.5e-06 1.6e-06
