 slim_762476622 slim_762476618 slim_762476601 slim_762476633 slim_762476595 slim_762476614 slim_762476606 slim_762476623 slim_762476616 slim_762476626 slim_762476591 slim_762476628 slim_762476634 slim_762476600 slim_762476621 slim_762476620 slim_762476599 slim_762476613 slim_762476605 slim_762476619 slim_762476607 slim_762476603 slim_762476631 slim_762476632 slim_762476610 slim_762476593 slim_762476596 slim_762476625 slim_762476627 slim_762476592 slim_762476615 slim_762476611 slim_762476604 slim_762476608 slim_762476598 slim_762476635 slim_762476630 slim_762476602 slim_762476594 slim_762476624 slim_762476612 slim_762476629 slim_762476597 slim_762476617 slim_762476609
0 2e-06 1.75e-06 2.25e-06 2.15e-06 1.95e-06 1.45e-06 1.55e-06 1.9e-06 1.55e-06 1.55e-06 1.6e-06 2.15e-06 1.55e-06 1.4e-06 1.65e-06 1.6e-06 2.35e-06 1.6e-06 1.7e-06 1.3e-06 2.05e-06 1.55e-06 1.55e-06 1.1e-06 1.75e-06 1.6e-06 2.05e-06 1.95e-06 1.8e-06 1.8e-06 1.55e-06 1.95e-06 1.8e-06 2.4e-06 2.5e-06 1.3e-06 1.15e-06 1.8e-06 1.8e-06 1.4e-06 2.05e-06 1.5e-06 1.45e-06 1.55e-06 2.2e-06
1 1.75e-06 2.1e-06 1.8e-06 2.15e-06 2.05e-06 1.65e-06 1.45e-06 1.55e-06 1.55e-06 2.05e-06 1.5e-06 2.45e-06 1.55e-06 1.45e-06 1.9e-06 2.1e-06 2.35e-06 1.5e-06 1.6e-06 1.4e-06 2.25e-06 1.45e-06 1.55e-06 1.25e-06 1.85e-06 1.5e-06 1.8e-06 2.45e-06 1.95e-06 2.05e-06 1.45e-06 2.4e-06 1.55e-06 2.65e-06 2.75e-06 1.8e-06 1.15e-06 2.05e-06 2.05e-06 1.65e-06 2.1e-06 1.45e-06 1.75e-06 1.4e-06 2.2e-06
2 2.25e-06 1.8e-06 1.5e-06 1.3e-06 1.9e-06 1.65e-06 1.4e-06 1.4e-06 1.45e-06 2.05e-06 1.45e-06 2.05e-06 1.5e-06 1.95e-06 1.9e-06 2.1e-06 1.45e-06 1.4e-06 1.5e-06 1.8e-06 1.9e-06 1.4e-06 1.45e-06 2.05e-06 1.9e-06 1.45e-06 9e-07 2.05e-06 1.45e-06 2.05e-06 1.35e-06 2e-06 1.05e-06 1.85e-06 1.85e-06 2e-06 2e-06 2.05e-06 1.4e-06 2.1e-06 1.2e-06 1.65e-06 1.8e-06 1.3e-06 1.35e-06
3 2.15e-06 2.15e-06 1.3e-06 2.1e-06 1.7e-06 1.65e-06 1.65e-06 1.65e-06 1.8e-06 1.55e-06 1.7e-06 1.4e-06 1.75e-06 2.2e-06 1.7e-06 1.6e-06 1.35e-06 1.75e-06 1.85e-06 2.2e-06 1.7e-06 1.65e-06 1.8e-06 2.35e-06 1.75e-06 1.85e-06 1.1e-06 1.5e-06 1.5e-06 1.9e-06 1.7e-06 1.45e-06 1.45e-06 1.25e-06 1.45e-06 1.85e-06 2.3e-06 1.85e-06 1.2e-06 2.35e-06 1.25e-06 2.2e-06 1.8e-06 1.75e-06 1.15e-06
4 1.95e-06 2.05e-06 1.9e-06 1.7e-06 2.7e-06 1.8e-06 1.9e-06 2e-06 2e-06 1.85e-06 1.95e-06 1.6e-06 2e-06 2.05e-06 1.6e-06 1.9e-06 2e-06 1.95e-06 2.05e-06 2.05e-06 1.95e-06 1.9e-06 2e-06 1.85e-06 1.65e-06 1.95e-06 2.1e-06 1.8e-06 2.05e-06 1.8e-06 1.9e-06 1.75e-06 2.05e-06 1.55e-06 1.75e-06 1.6e-06 1.8e-06 1.75e-06 1.7e-06 2.2e-06 2.1e-06 2.1e-06 2e-06 1.9e-06 1.8e-06
5 1.45e-06 1.65e-06 1.65e-06 1.65e-06 1.8e-06 2.1e-06 1.2e-06 1.45e-06 1.3e-06 1.75e-06 1.25e-06 2.05e-06 1.3e-06 1.5e-06 1.65e-06 1.8e-06 1.85e-06 1.25e-06 1.3e-06 1.5e-06 2e-06 1.2e-06 1.25e-06 1.25e-06 1.65e-06 1.4e-06 1.3e-06 2.05e-06 1.6e-06 1.8e-06 1.15e-06 2e-06 1.4e-06 2.15e-06 2.25e-06 1.45e-06 1.2e-06 1.8e-06 1.45e-06 1.6e-06 1.2e-06 1.55e-06 1.6e-06 1.2e-06 1.7e-06
6 1.55e-06 1.45e-06 1.4e-06 1.65e-06 1.9e-06 1.2e-06 1.7e-06 1.15e-06 1.05e-06 2.15e-06 9.5e-07 2.45e-06 9.5e-07 1.4e-06 1.75e-06 2.2e-06 1.8e-06 1e-06 1.1e-06 1.3e-06 2.2e-06 8.5e-07 1.05e-06 1.05e-06 1.75e-06 1.2e-06 9e-07 2.45e-06 1.7e-06 1.9e-06 9.5e-07 2.4e-06 1.1e-06 2.55e-06 2.65e-06 1.55e-06 1e-06 1.9e-06 1.45e-06 1.5e-06 1.35e-06 1.35e-06 1.7e-06 1e-06 1.7e-06
7 1.9e-06 1.55e-06 1.4e-06 1.65e-06 2e-06 1.45e-06 1.15e-06 1.9e-06 1.25e-06 2.15e-06 1.2e-06 2.4e-06 1.2e-06 1.75e-06 1.85e-06 2.2e-06 1.85e-06 1.25e-06 1.35e-06 1.6e-06 2.3e-06 1.15e-06 1.25e-06 1.4e-06 1.9e-06 1.4e-06 1e-06 2.4e-06 1.75e-06 2e-06 1.2e-06 2.35e-06 1.25e-06 2.45e-06 2.55e-06 1.85e-06 1.4e-06 2e-06 1.65e-06 1.8e-06 1.45e-06 1.7e-06 2e-06 1.25e-06 1.7e-06
8 1.55e-06 1.55e-06 1.45e-06 1.8e-06 2e-06 1.3e-06 1.05e-06 1.25e-06 1.9e-06 2.25e-06 1.1e-06 2.55e-06 1.05e-06 1.5e-06 1.75e-06 2.3e-06 2e-06 1.05e-06 1.15e-06 1.3e-06 2.3e-06 1.05e-06 1e-06 1.05e-06 1.85e-06 1.2e-06 1.1e-06 2.55e-06 1.8e-06 1.85e-06 1e-06 2.5e-06 1.25e-06 2.65e-06 2.75e-06 1.55e-06 1.1e-06 1.9e-06 1.6e-06 1.45e-06 1.4e-06 1.4e-06 1.8e-06 1.1e-06 1.85e-06
9 1.55e-06 2.05e-06 2.05e-06 1.55e-06 1.85e-06 1.75e-06 2.15e-06 2.15e-06 2.25e-06 4e-07 2.2e-06 8e-07 2.25e-06 1.9e-06 1.65e-06 2.5e-07 1.75e-06 2.2e-06 2.3e-06 2e-06 1.35e-06 2.15e-06 2.25e-06 2.3e-06 1.65e-06 2.2e-06 2.15e-06 7e-07 1.2e-06 1.8e-06 2.15e-06 6.5e-07 1.9e-06 1.1e-06 1.2e-06 1.8e-06 2.25e-06 1.8e-06 1.7e-06 2.1e-06 1.85e-06 2.25e-06 1.1e-06 2.15e-06 1.6e-06
