 slim_762051506 slim_762051526 slim_762051525 slim_762051527 slim_762051523 slim_762051520 slim_762051514 slim_762051518 slim_762051529 slim_762051504 slim_762051522 slim_762051510 slim_762051531 slim_762051505 slim_762051538 slim_762051507 slim_762051536 slim_762051537 slim_762051511 slim_762051533 slim_762051517 slim_762051508 slim_762051512 slim_762051513 slim_762051535 slim_762051532 slim_762051521 slim_762051516 slim_762051539 slim_762051509 slim_762051528 slim_762051515 slim_762051519 slim_762051534 slim_762051530 slim_762051524
0 1.6e-06 1.75e-06 1.3e-06 1.35e-06 9e-07 2.05e-06 2.3e-06 1.3e-06 1.1e-06 1.2e-06 1.05e-06 2.15e-06 1.6e-06 1.2e-06 1.9e-06 2.3e-06 1.15e-06 1.8e-06 1.7e-06 1e-06 1.05e-06 2.3e-06 1.3e-06 1.65e-06 1.75e-06 1.9e-06 1.3e-06 1.4e-06 1.75e-06 2.25e-06 1.15e-06 1.85e-06 2.25e-06 2e-06 1.1e-06 1.15e-06
1 1.75e-06 3e-06 1.95e-06 1.75e-06 1.6e-06 2.2e-06 2.45e-06 2e-06 1.8e-06 1.9e-06 1.75e-06 2.7e-06 2e-06 2e-06 2.55e-06 1.8e-06 1.8e-06 2.4e-06 2.1e-06 1.65e-06 1.75e-06 2.1e-06 2e-06 1.85e-06 2.05e-06 2.25e-06 2e-06 1.9e-06 2.4e-06 2e-06 1.85e-06 2.5e-06 2.15e-06 1.8e-06 1.8e-06 1.85e-06
2 1.3e-06 1.95e-06 1.2e-06 1.55e-06 1.3e-06 1.85e-06 1.85e-06 1.05e-06 1.3e-06 1.4e-06 1.1e-06 2.25e-06 1.7e-06 1.1e-06 1.8e-06 2.5e-06 1.15e-06 2.05e-06 1.6e-06 1.1e-06 1.25e-06 2.4e-06 9.5e-07 1.3e-06 1.5e-06 2.15e-06 1.35e-06 1.55e-06 1.7e-06 2.5e-06 9.5e-07 1.65e-06 1.8e-06 2.05e-06 1.15e-06 9.5e-07
3 1.35e-06 1.75e-06 1.55e-06 1.6e-06 1.2e-06 2.25e-06 2.5e-06 1.45e-06 1.2e-06 1.4e-06 1.05e-06 2.2e-06 1.1e-06 1.55e-06 2.05e-06 1.75e-06 1.1e-06 1.9e-06 1.6e-06 9.5e-07 1.15e-06 2.3e-06 1.45e-06 1.85e-06 1.6e-06 1.45e-06 1.4e-06 1.45e-06 1.85e-06 2.35e-06 1.25e-06 2.1e-06 2.2e-06 2e-06 1.1e-06 1.25e-06
4 9e-07 1.6e-06 1.3e-06 1.2e-06 3e-07 2.45e-06 2.35e-06 1.1e-06 8.5e-07 8.5e-07 8e-07 2.35e-06 1.5e-06 1.35e-06 1.85e-06 2.25e-06 9.5e-07 2e-06 1.7e-06 8e-07 8e-07 2.2e-06 1.15e-06 1.5e-06 1.7e-06 2.25e-06 1.15e-06 1.55e-06 1.6e-06 2.6e-06 9.5e-07 1.9e-06 2.35e-06 1.85e-06 8.5e-07 9.5e-07
5 2.05e-06 2.2e-06 1.85e-06 2.25e-06 2.45e-06 3e-06 2.3e-06 2.3e-06 2.35e-06 2.4e-06 2.2e-06 2.45e-06 2.35e-06 1.9e-06 2.75e-06 2.35e-06 2.15e-06 2.25e-06 2e-06 2.1e-06 2.3e-06 2.5e-06 2.25e-06 1.85e-06 2.2e-06 1.95e-06 2.35e-06 2.05e-06 2.7e-06 1.85e-06 2.25e-06 2.6e-06 1.7e-06 2.3e-06 2.25e-06 2.25e-06
6 2.3e-06 2.45e-06 1.85e-06 2.5e-06 2.35e-06 2.3e-06 2.9e-06 2.25e-06 2.2e-06 2.2e-06 2.1e-06 2.85e-06 2.55e-06 2.05e-06 1.85e-06 2.9e-06 2e-06 2.85e-06 2.45e-06 2e-06 2.2e-06 2.7e-06 2.15e-06 1.8e-06 2.25e-06 3.05e-06 2.15e-06 2.55e-06 1.85e-06 2.95e-06 2.15e-06 1.7e-06 2.2e-06 2.5e-06 2.15e-06 2.15e-06
7 1.3e-06 2e-06 1.05e-06 1.45e-06 1.1e-06 2.3e-06 2.25e-06 1.5e-06 1.05e-06 1.25e-06 1.05e-06 2.25e-06 1.6e-06 1.35e-06 1.85e-06 2.5e-06 1.1e-06 1.9e-06 1.65e-06 1.05e-06 9.5e-07 2.35e-06 1e-06 1.5e-06 1.7e-06 2.2e-06 1.2e-06 1.7e-06 1.75e-06 2.7e-06 1e-06 1.8e-06 2.2e-06 2.1e-06 1.1e-06 1e-06
8 1.1e-06 1.8e-06 1.3e-06 1.2e-06 8.5e-07 2.35e-06 2.2e-06 1.05e-06 1.1e-06 9e-07 6.5e-07 2.05e-06 1.25e-06 1.25e-06 1.5e-06 2.45e-06 7.5e-07 1.7e-06 1.4e-06 7.5e-07 7e-07 2.15e-06 9.5e-07 1.5e-06 1.7e-06 2.2e-06 9e-07 1.55e-06 1.45e-06 2.75e-06 8.5e-07 1.6e-06 2.25e-06 1.9e-06 7e-07 8.5e-07
9 1.2e-06 1.9e-06 1.4e-06 1.4e-06 8.5e-07 2.4e-06 2.2e-06 1.25e-06 9e-07 1.1e-06 8.5e-07 2.2e-06 1.35e-06 1.3e-06 1.6e-06 2.35e-06 7.5e-07 1.7e-06 1.55e-06 8.5e-07 1e-06 2.15e-06 1.15e-06 1.55e-06 1.75e-06 2.25e-06 9.5e-07 1.75e-06 1.6e-06 2.7e-06 1.15e-06 1.65e-06 2.3e-06 1.8e-06 9e-07 1.15e-06
10 1.05e-06 1.75e-06 1.1e-06 1.05e-06 8e-07 2.2e-06 2.1e-06 1.05e-06 6.5e-07 8.5e-07 8e-07 1.95e-06 1.15e-06 1.1e-06 1.45e-06 2.4e-06 6e-07 1.75e-06 1.3e-06 6e-07 7.5e-07 2.15e-06 8e-07 1.35e-06 1.55e-06 2.05e-06 8e-07 1.4e-06 1.35e-06 2.7e-06 6.5e-07 1.5e-06 2.1e-06 1.75e-06 4.5e-07 6.5e-07
11 2.15e-06 2.7e-06 2.25e-06 2.2e-06 2.35e-06 2.45e-06 2.85e-06 2.25e-06 2.05e-06 2.2e-06 1.95e-06 3.4e-06 2.15e-06 2.15e-06 2.35e-06 2.9e-06 1.95e-06 2.2e-06 1.9e-06 2.05e-06 2.15e-06 2.55e-06 2.1e-06 2.55e-06 2.2e-06 2.15e-06 1.95e-06 2.2e-06 2.35e-06 2.6e-06 2.1e-06 2.2e-06 2.55e-06 2.65e-06 2e-06 2.1e-06
12 1.6e-06 2e-06 1.7e-06 1.1e-06 1.5e-06 2.35e-06 2.55e-06 1.6e-06 1.25e-06 1.35e-06 1.15e-06 2.15e-06 2e-06 1.65e-06 1.85e-06 1.9e-06 1.1e-06 1.85e-06 1.45e-06 1.2e-06 1.4e-06 2.25e-06 1.35e-06 1.95e-06 1.7e-06 1.6e-06 1.35e-06 1.65e-06 1.85e-06 2.45e-06 1.4e-06 2e-06 2.3e-06 1.95e-06 1.2e-06 1.4e-06
13 1.2e-06 2e-06 1.1e-06 1.55e-06 1.35e-06 1.9e-06 2.05e-06 1.35e-06 1.25e-06 1.3e-06 1.1e-06 2.15e-06 1.65e-06 1.4e-06 1.8e-06 2.55e-06 1.1e-06 1.9e-06 1.6e-06 1.05e-06 1.2e-06 2.4e-06 1.25e-06 1.45e-06 1.55e-06 2.05e-06 1.25e-06 1.3e-06 1.75e-06 2.45e-06 1.25e-06 1.75e-06 2e-06 2.1e-06 1.15e-06 1.25e-06
14 1.9e-06 2.55e-06 1.8e-06 2.05e-06 1.85e-06 2.75e-06 1.85e-06 1.85e-06 1.5e-06 1.6e-06 1.45e-06 2.35e-06 1.85e-06 1.8e-06 2.3e-06 3.05e-06 1.4e-06 2.35e-06 1.85e-06 1.55e-06 1.7e-06 2.65e-06 1.5e-06 2.1e-06 2.05e-06 2.75e-06 1.5e-06 2.2e-06 1.3e-06 3.2e-06 1.6e-06 1.25e-06 2.65e-06 2.45e-06 1.5e-06 1.6e-06
15 2.3e-06 1.8e-06 2.5e-06 1.75e-06 2.25e-06 2.35e-06 2.9e-06 2.5e-06 2.45e-06 2.35e-06 2.4e-06 2.9e-06 1.9e-06 2.55e-06 3.05e-06 2.4e-06 2.25e-06 2.45e-06 2.35e-06 2.2e-06 2.4e-06 2.2e-06 2.6e-06 2.4e-06 2.15e-06 1.75e-06 2.55e-06 2.15e-06 2.95e-06 1.75e-06 2.55e-06 3e-06 2.35e-06 1.9e-06 2.45e-06 2.55e-06
16 1.15e-06 1.8e-06 1.15e-06 1.1e-06 9.5e-07 2.15e-06 2e-06 1.1e-06 7.5e-07 7.5e-07 6e-07 1.95e-06 1.1e-06 1.1e-06 1.4e-06 2.25e-06 9e-07 1.55e-06 1.3e-06 6e-07 8.5e-07 2.1e-06 9e-07 1.4e-06 1.55e-06 1.95e-06 8e-07 1.45e-06 1.35e-06 2.6e-06 8.5e-07 1.45e-06 2.05e-06 1.75e-06 6.5e-07 8.5e-07
17 1.8e-06 2.4e-06 2.05e-06 1.9e-06 2e-06 2.25e-06 2.85e-06 1.9e-06 1.7e-06 1.7e-06 1.75e-06 2.2e-06 1.85e-06 1.9e-06 2.35e-06 2.45e-06 1.55e-06 2.9e-06 1.75e-06 1.7e-06 1.8e-06 2.5e-06 1.95e-06 2.35e-06 2.2e-06 1.8e-06 1.85e-06 1.95e-06 2.35e-06 2.25e-06 1.95e-06 2.3e-06 2.4e-06 2.3e-06 1.8e-06 1.95e-06
18 1.7e-06 2.1e-06 1.6e-06 1.6e-06 1.7e-06 2e-06 2.45e-06 1.65e-06 1.4e-06 1.55e-06 1.3e-06 1.9e-06 1.45e-06 1.6e-06 1.85e-06 2.35e-06 1.3e-06 1.75e-06 2.1e-06 1.4e-06 1.55e-06 2.25e-06 1.35e-06 1.9e-06 1.8e-06 1.75e-06 1.45e-06 1.7e-06 1.9e-06 2.2e-06 1.45e-06 1.9e-06 1.8e-06 2.05e-06 1.35e-06 1.45e-06
19 1e-06 1.65e-06 1.1e-06 9.5e-07 8e-07 2.1e-06 2e-06 1.05e-06 7.5e-07 8.5e-07 6e-07 2.05e-06 1.2e-06 1.05e-06 1.55e-06 2.2e-06 6e-07 1.7e-06 1.4e-06 8e-07 7e-07 2.2e-06 1e-06 1.35e-06 1.5e-06 1.9e-06 9e-07 1.35e-06 1.4e-06 2.55e-06 8.5e-07 1.6e-06 2e-06 1.85e-06 6.5e-07 8.5e-07
