 slim_761968095 slim_761968078 slim_761968073 slim_761968057 slim_761968071 slim_761968102 slim_761968083 slim_761968046 slim_761968061 slim_761968098 slim_761968063 slim_761968050 slim_761968074 slim_761968096 slim_761968107 slim_761968104 slim_761968093 slim_761968075 slim_761968056 slim_761968059 slim_761968049 slim_761968068 slim_761968040 slim_761968092 slim_761968077 slim_761968108 slim_761968084 slim_761968060 slim_761968088 slim_761968103 slim_761968080 slim_761968109 slim_761968072 slim_761968042 slim_761968062 slim_761968045 slim_761968100 slim_761968044 slim_761968058 slim_761968087 slim_761968041 slim_761968069 slim_761968085 slim_761968052 slim_761968094 slim_761968110 slim_761968111 slim_761968053 slim_761968047 slim_761968081 slim_761968090 slim_761968091 slim_761968105 slim_761968064 slim_761968082 slim_761968054 slim_761968043 slim_761968086 slim_761968089 slim_761968106 slim_761968097 slim_761968048 slim_761968079 slim_761968066 slim_761968065 slim_761968099 slim_761968067 slim_761968055 slim_761968101 slim_761968051 slim_761968076 slim_761968112 slim_761968070
0 6.85e-05 6.425e-05 6.22e-05 9.94e-05 5.255e-05 7.705e-05 5.865e-05 9.345e-05 4.67e-05 7.685e-05 0.0001023 7.375e-05 6e-05 4.63e-05 5.685e-05 7.6e-05 4.63e-05 6.665e-05 7.14e-05 5.52e-05 8.215e-05 7.54e-05 7.235e-05 5.55e-05 4.485e-05 7.04e-05 4.175e-05 4.84e-05 4.26e-05 6.885e-05 7.265e-05 9e-05 4.615e-05 6.14e-05 5.175e-05 9.655e-05 4.035e-05 0.00010185 4.235e-05 6.45e-05 4.3e-05 6.63e-05 7.22e-05 6.535e-05 4.355e-05 3.92e-05 4.48e-05 3.79e-05 9.655e-05 6.495e-05 5.575e-05 9.025e-05 4.885e-05 5.055e-05 4.825e-05 5.81e-05 7.565e-05 4.18e-05 4.445e-05 4.63e-05 9.09e-05 8.175e-05 6.19e-05 6.045e-05 5.69e-05 6.59e-05 6.89e-05 8.185e-05 4.28e-05 6.92e-05 7.055e-05 4.32e-05 5.245e-05
1 6.425e-05 3.79e-05 6.675e-05 8.49e-05 6.37e-05 7.655e-05 4.41e-05 4.255e-05 5.445e-05 3.645e-05 6.4e-05 3.525e-05 2.05e-05 5.715e-05 7.46e-05 9.53e-05 6.02e-05 2.75e-05 3.69e-05 7.375e-05 3.035e-05 4.845e-05 5.4e-05 6.17e-05 5.73e-05 5.63e-05 4.67e-05 4.375e-05 7.42e-05 6.45e-05 6.82e-05 7.515e-05 4.68e-05 5.5e-05 5.635e-05 3.45e-05 6.765e-05 6.305e-05 4.575e-05 8.655e-05 7.09e-05 7.725e-05 6.36e-05 3.43e-05 5.685e-05 4.815e-05 2.085e-05 5.255e-05 3.45e-05 3.36e-05 4.58e-05 7.495e-05 5.67e-05 6.035e-05 5.725e-05 8.15e-05 5.585e-05 7.98e-05 6.495e-05 5.58e-05 3.46e-05 6.37e-05 3.875e-05 6.88e-05 8.015e-05 3.73e-05 7.975e-05 2.715e-05 5.885e-05 4.325e-05 8.16e-05 4.8e-05 6.23e-05
2 6.22e-05 6.675e-05 8.71e-05 8.94e-05 7.075e-05 7.96e-05 6.335e-05 8.495e-05 5.085e-05 7.475e-05 9.195e-05 7.295e-05 6.545e-05 6.82e-05 4.88e-05 7.47e-05 6.65e-05 6.455e-05 8.22e-05 5.485e-05 7.8e-05 6.555e-05 7.125e-05 6.58e-05 6.595e-05 8.59e-05 5.255e-05 6.045e-05 4.885e-05 6.525e-05 7.83e-05 8.035e-05 6.055e-05 5.755e-05 7.055e-05 8.29e-05 6.755e-05 9.845e-05 4.395e-05 4.38e-05 5.29e-05 5.48e-05 6.06e-05 5.745e-05 7.2e-05 5.25e-05 5.865e-05 6.7e-05 8.29e-05 7.4e-05 5.89e-05 7.1e-05 6.835e-05 7.215e-05 6.935e-05 7.965e-05 8.775e-05 4.61e-05 5.99e-05 5.12e-05 8.3e-05 7.945e-05 7.06e-05 4.445e-05 4.53e-05 7.495e-05 6e-05 7.135e-05 5.62e-05 6.71e-05 8.605e-05 6.335e-05 6.66e-05
3 9.94e-05 8.49e-05 8.94e-05 0.0001002 8.88e-05 8.235e-05 8.435e-05 6.49e-05 9.54e-05 7.6e-05 7.265e-05 8.46e-05 9.07e-05 9.665e-05 8.485e-05 8.025e-05 9.025e-05 8.75e-05 8.27e-05 9.53e-05 7.035e-05 7.92e-05 7.42e-05 8.825e-05 9.885e-05 7.755e-05 9.45e-05 8.84e-05 9.695e-05 8.04e-05 7.685e-05 6.765e-05 9.62e-05 9.685e-05 9.115e-05 7.165e-05 9.75e-05 5.01e-05 9.84e-05 9.02e-05 9.755e-05 8.46e-05 7.62e-05 9.02e-05 9.5e-05 9.405e-05 8.935e-05 9.885e-05 7.165e-05 8.39e-05 8.41e-05 6.405e-05 9e-05 8.74e-05 9.03e-05 9.11e-05 7.21e-05 0.00010075 9.14e-05 9.56e-05 7.75e-05 7.425e-05 8.59e-05 8.79e-05 8.875e-05 8.56e-05 9.145e-05 8.885e-05 9.59e-05 8.385e-05 8.51e-05 9.125e-05 9.195e-05
4 5.255e-05 6.37e-05 7.075e-05 8.88e-05 6.52e-05 8.71e-05 6.795e-05 8.57e-05 6.685e-05 7.64e-05 9.915e-05 7.77e-05 6.515e-05 3.57e-05 6.66e-05 9.46e-05 3.325e-05 6.945e-05 6.53e-05 5.885e-05 7.21e-05 5.46e-05 7.97e-05 3.305e-05 5.32e-05 6.645e-05 6.39e-05 4.25e-05 7.18e-05 8.43e-05 8.465e-05 7.36e-05 5.11e-05 7.92e-05 3.575e-05 8.765e-05 4.7e-05 9.46e-05 6.47e-05 7.66e-05 6.39e-05 5.235e-05 7.1e-05 7.345e-05 3.58e-05 6.22e-05 5.27e-05 4.23e-05 8.765e-05 5.35e-05 4.55e-05 8.295e-05 3.53e-05 3.695e-05 3.33e-05 7.145e-05 6.6e-05 7.665e-05 4.76e-05 6.635e-05 8.775e-05 8.97e-05 5.5e-05 6.895e-05 7.185e-05 5.575e-05 6.895e-05 8.19e-05 5.76e-05 5.48e-05 7.785e-05 5.14e-05 3.545e-05
5 7.705e-05 7.655e-05 7.96e-05 8.235e-05 8.71e-05 7.06e-05 8.565e-05 6.865e-05 7.77e-05 6.72e-05 9.77e-05 9.3e-05 7.655e-05 7.78e-05 0.0001004 8.795e-05 7.565e-05 8.01e-05 7.755e-05 8.53e-05 7.95e-05 8.625e-05 5.48e-05 8.245e-05 8.965e-05 6.67e-05 7.57e-05 7.49e-05 8.845e-05 4.37e-05 7.345e-05 8.565e-05 6.785e-05 8.175e-05 8.13e-05 7.215e-05 5.58e-05 5.75e-05 5.14e-05 9.725e-05 8.57e-05 9.585e-05 0.0001051 6.49e-05 8.35e-05 7.355e-05 7.175e-05 8.1e-05 7.215e-05 8.045e-05 7.475e-05 8.33e-05 7.755e-05 7.695e-05 7.85e-05 7.63e-05 7.055e-05 8.1e-05 8.71e-05 7.705e-05 7.22e-05 4.665e-05 7.565e-05 7.955e-05 9.3e-05 8.165e-05 7.405e-05 8.49e-05 5.265e-05 7.96e-05 7.635e-05 6.19e-05 8.44e-05
6 5.865e-05 4.41e-05 6.335e-05 8.435e-05 6.795e-05 8.565e-05 8.12e-05 5.845e-05 5.525e-05 5.735e-05 6.65e-05 4.2e-05 4.425e-05 6.825e-05 5.495e-05 7.67e-05 6.59e-05 4.685e-05 5.425e-05 6.885e-05 4.625e-05 5.79e-05 6.46e-05 7.265e-05 5.975e-05 6.86e-05 5.005e-05 5.905e-05 5.29e-05 7.165e-05 7.215e-05 7.515e-05 5.72e-05 5.61e-05 6.54e-05 5.635e-05 7.585e-05 7.35e-05 5.755e-05 6.725e-05 5.965e-05 7.095e-05 5.22e-05 5.04e-05 5.835e-05 5.03e-05 4.52e-05 5.715e-05 5.635e-05 5.24e-05 5.89e-05 7.135e-05 6.765e-05 6.885e-05 6.585e-05 8.125e-05 6.61e-05 6.19e-05 5.665e-05 5.76e-05 5.645e-05 7.49e-05 5.105e-05 6.21e-05 6.22e-05 4.965e-05 7.825e-05 4.59e-05 6.745e-05 5.795e-05 8.135e-05 6.245e-05 6.815e-05
7 9.345e-05 4.255e-05 8.495e-05 6.49e-05 8.57e-05 6.865e-05 5.845e-05 4.8e-05 8.33e-05 3.975e-05 5.435e-05 4.515e-05 4.695e-05 8.76e-05 9.485e-05 9.55e-05 8.56e-05 4.645e-05 4.21e-05 9.51e-05 2.725e-05 5.81e-05 4.915e-05 8.755e-05 8.895e-05 5.435e-05 7.87e-05 7.44e-05 0.0001005 6.125e-05 7.49e-05 6.52e-05 7.465e-05 7.31e-05 8.185e-05 2.41e-05 9.075e-05 2.4e-05 7.535e-05 0.00010265 9.71e-05 9.515e-05 7.45e-05 4.85e-05 8.49e-05 8.11e-05 5.825e-05 8.505e-05 2.41e-05 4.955e-05 6.77e-05 6.045e-05 8.22e-05 8.305e-05 8.275e-05 0.0001004 4.95e-05 0.00010635 9.305e-05 8.48e-05 2.995e-05 5.155e-05 5.245e-05 8.53e-05 0.00010035 4.96e-05 9.48e-05 3.515e-05 8.325e-05 5.715e-05 8.81e-05 7.55e-05 8.845e-05
8 4.67e-05 5.445e-05 5.085e-05 9.54e-05 6.685e-05 7.77e-05 5.525e-05 8.33e-05 6.65e-05 6.425e-05 9.32e-05 6.485e-05 4.88e-05 6.12e-05 4.975e-05 7e-05 6.16e-05 5.265e-05 6.94e-05 5.04e-05 7.565e-05 7.41e-05 6.385e-05 6.76e-05 4.45e-05 7.45e-05 3.65e-05 5.045e-05 3.505e-05 6.34e-05 6.84e-05 8.85e-05 4.895e-05 4.81e-05 6.625e-05 8.345e-05 5.505e-05 9.425e-05 3.45e-05 4.795e-05 3.865e-05 6.655e-05 6.59e-05 5.57e-05 5.715e-05 3.47e-05 3.505e-05 4.835e-05 8.345e-05 6.51e-05 5.615e-05 7.84e-05 5.85e-05 6.32e-05 6.165e-05 6.67e-05 7.935e-05 3.58e-05 5.37e-05 3.49e-05 7.775e-05 7.46e-05 6.38e-05 5.1e-05 4.93e-05 6.905e-05 6.41e-05 6.64e-05 4.555e-05 6.985e-05 7.915e-05 4.57e-05 6.54e-05
9 7.685e-05 3.645e-05 7.475e-05 7.6e-05 7.64e-05 6.72e-05 5.735e-05 3.975e-05 6.425e-05 6.37e-05 7.015e-05 5.06e-05 3.505e-05 6.98e-05 8.48e-05 9.58e-05 7.285e-05 4.03e-05 4.78e-05 8.155e-05 4.345e-05 6.17e-05 4.9e-05 7.54e-05 6.865e-05 5.295e-05 5.87e-05 5.675e-05 8.445e-05 5.95e-05 7.23e-05 7.38e-05 5.86e-05 6.405e-05 7.065e-05 3.33e-05 7.8e-05 4.455e-05 5.335e-05 9.36e-05 7.955e-05 8.75e-05 7.88e-05 4.525e-05 7.035e-05 6.135e-05 3.525e-05 6.445e-05 3.33e-05 4.885e-05 5.69e-05 6.92e-05 6.89e-05 7.175e-05 7.01e-05 8.53e-05 5.415e-05 8.92e-05 7.84e-05 6.46e-05 3.335e-05 5.165e-05 5.12e-05 7.66e-05 9.06e-05 5.14e-05 8.315e-05 4.01e-05 6.755e-05 5.645e-05 8.535e-05 5.87e-05 7.5e-05
10 0.0001023 6.4e-05 9.195e-05 7.265e-05 9.915e-05 9.77e-05 6.65e-05 5.435e-05 9.32e-05 7.015e-05 8.31e-05 5.2e-05 6.98e-05 0.00010515 8.635e-05 7.985e-05 0.0001039 6.395e-05 6.555e-05 0.00010305 4.985e-05 7.055e-05 8.135e-05 0.00010705 9.47e-05 8.275e-05 9.16e-05 9.725e-05 9.32e-05 9.15e-05 7.795e-05 7.64e-05 9.3e-05 8.04e-05 9.65e-05 4.96e-05 0.0001145 6.335e-05 0.00010145 9.32e-05 9.96e-05 9.715e-05 6.765e-05 7.145e-05 9.31e-05 9.315e-05 8.46e-05 9.87e-05 4.96e-05 7.055e-05 9.1e-05 7.48e-05 0.0001039 0.0001032 0.0001029 9.81e-05 7.5e-05 0.00010225 9.72e-05 9.54e-05 5.54e-05 8.56e-05 7.235e-05 9.32e-05 9.305e-05 6.665e-05 0.00010035 4.915e-05 0.00010675 7.66e-05 8.585e-05 0.0001005 9.905e-05
