 slim_761990784 slim_761990832 slim_761990800 slim_761990803 slim_761990821 slim_761990802 slim_761990809 slim_761990786 slim_761990794 slim_761990813 slim_761990804 slim_761990811 slim_761990775 slim_761990829 slim_761990776 slim_761990796 slim_761990787 slim_761990830 slim_761990789 slim_761990801 slim_761990825 slim_761990772 slim_761990812 slim_761990778 slim_761990822 slim_761990805 slim_761990831 slim_761990799 slim_761990823 slim_761990827 slim_761990798 slim_761990782 slim_761990824 slim_761990774 slim_761990816 slim_761990833 slim_761990819 slim_761990797 slim_761990791 slim_761990815 slim_761990785 slim_761990779 slim_761990777 slim_761990792 slim_761990834 slim_761990820 slim_761990826 slim_761990807 slim_761990780 slim_761990806 slim_761990810 slim_761990795 slim_761990818 slim_761990783 slim_761990828 slim_761990788 slim_761990814 slim_761990808 slim_761990773 slim_761990793 slim_761990817 slim_761990790 slim_761990781
10 4.015e-05 7.48e-05 3.175e-05 4.295e-05 3.865e-05 3.735e-05 7.685e-05 3.155e-05 3.215e-05 7.87e-05 6.27e-05 7.53e-05 3.825e-05 3.98e-05 7.48e-05 0.00010515 6.665e-05 3.185e-05 5.52e-05 3.185e-05 3.83e-05 3.175e-05 6.86e-05 3.17e-05 3.835e-05 3.645e-05 7.52e-05 6.955e-05 3.14e-05 3.155e-05 3.21e-05 3.735e-05 6.295e-05 3.825e-05 3.15e-05 3.16e-05 6.315e-05 3.175e-05 3.56e-05 4.355e-05 4.635e-05 6.66e-05 3.17e-05 7.48e-05 6.31e-05 4.655e-05 3.68e-05 3.2e-05 6.91e-05 6.785e-05 3.785e-05 3.235e-05 3.79e-05 3.22e-05 3.17e-05 7.515e-05 4.99e-05 4.03e-05 6.845e-05 4.3e-05 3.215e-05 8.315e-05 7.515e-05
11 6.02e-05 7.48e-05 7.17e-05 7.58e-05 6.5e-05 7.69e-05 6.005e-05 7.45e-05 6.985e-05 6.195e-05 7.53e-05 0.0001166 6.5e-05 7.03e-05 7.48e-05 6.985e-05 7.59e-05 7.515e-05 6.015e-05 7.18e-05 6.29e-05 6.52e-05 6.425e-05 6.87e-05 6.295e-05 7.1e-05 6.825e-05 7.49e-05 7.53e-05 7.525e-05 6.515e-05 7.69e-05 7.82e-05 6.5e-05 7.87e-05 7.525e-05 6.82e-05 7.17e-05 7.7e-05 7.645e-05 7.625e-05 7.59e-05 6.87e-05 7.835e-05 6.735e-05 6.015e-05 6.445e-05 7.16e-05 7.485e-05 7.4e-05 6.53e-05 5.985e-05 6.865e-05 5.875e-05 6.515e-05 7.495e-05 6.99e-05 6.035e-05 6.505e-05 7.615e-05 5.87e-05 6.995e-05 6.825e-05
12 2.4e-05 7.135e-05 1.385e-05 4.135e-05 1.385e-05 2.39e-05 6.68e-05 5.855e-05 4.68e-05 5.535e-05 3.825e-05 6.5e-05 2.73e-05 4e-05 7.135e-05 0.00010125 8.775e-05 3.835e-05 2.54e-05 1.395e-05 2.775e-05 2.225e-05 8.535e-05 4.675e-05 2.78e-05 2.695e-05 7.99e-05 6.595e-05 3.825e-05 3.825e-05 2.24e-05 2.39e-05 8.665e-05 1.365e-05 6.27e-05 3.825e-05 7.07e-05 1.385e-05 3.925e-05 4.785e-05 5.93e-05 8.775e-05 4.675e-05 9.59e-05 7.86e-05 1.55e-05 3.55e-05 1.395e-05 6.57e-05 7.54e-05 1.375e-05 3.085e-05 3.815e-05 3.09e-05 2.22e-05 7.16e-05 4.255e-05 2.415e-05 6.505e-05 6.22e-05 3.085e-05 7.315e-05 7.99e-05
13 3.32e-05 8.56e-05 4.65e-05 5.755e-05 4e-05 4.7e-05 7.005e-05 3.305e-05 3.455e-05 6.44e-05 3.98e-05 7.03e-05 4e-05 6.6e-05 8.56e-05 0.00010125 7.13e-05 3.98e-05 4.22e-05 4.66e-05 3.345e-05 4e-05 7.01e-05 3.32e-05 3.35e-05 4.48e-05 7.91e-05 8e-05 3.98e-05 3.99e-05 3.995e-05 4.7e-05 7.085e-05 4e-05 3.31e-05 3.985e-05 7.095e-05 4.65e-05 3.985e-05 5.745e-05 5.405e-05 7.125e-05 3.32e-05 7.885e-05 6.75e-05 3.335e-05 3.825e-05 4.635e-05 7.995e-05 7.575e-05 4.015e-05 3.465e-05 3.34e-05 3.355e-05 3.995e-05 8.56e-05 5.065e-05 3.335e-05 7.685e-05 5.085e-05 3.35e-05 7.88e-05 7.905e-05
14 7.575e-05 6.1e-05 6.145e-05 6.57e-05 7.18e-05 6.745e-05 7.53e-05 8.435e-05 7.86e-05 8.205e-05 7.48e-05 7.48e-05 7.135e-05 8.56e-05 0.000122 7.15e-05 7.485e-05 7.515e-05 8.19e-05 6.155e-05 7.935e-05 6.495e-05 7.405e-05 7.865e-05 7.94e-05 6.385e-05 6.495e-05 6.155e-05 7.48e-05 7.48e-05 6.535e-05 6.745e-05 7.82e-05 7.135e-05 8.85e-05 7.485e-05 6.835e-05 6.145e-05 7.795e-05 6.7e-05 7.635e-05 7.485e-05 7.865e-05 7.475e-05 7.27e-05 8.21e-05 6.775e-05 6.165e-05 6.105e-05 6.725e-05 7.09e-05 6.875e-05 8.455e-05 6.895e-05 6.49e-05 6.16e-05 7.66e-05 7.59e-05 6.45e-05 7.625e-05 6.89e-05 7.195e-05 6.49e-05
15 9.72e-05 7.15e-05 0.0001041 0.00010175 0.00010145 0.0001038 6.865e-05 0.000102 0.00010345 5.73e-05 0.00010515 6.985e-05 0.00010125 0.00010125 7.15e-05 7.8e-05 7.32e-05 0.00010525 8.71e-05 0.0001042 0.00010135 0.0001011 6.94e-05 0.00010225 0.0001014 0.0001001 6.87e-05 7.17e-05 0.00010515 0.00010515 0.00010125 0.0001038 7.995e-05 0.00010125 0.0001063 0.0001052 7.59e-05 0.0001041 0.00010415 0.00010245 8.725e-05 7.32e-05 0.00010225 7.27e-05 7.21e-05 9.725e-05 9.725e-05 0.0001042 7.145e-05 7.49e-05 0.00010095 9.94e-05 0.00010205 9.835e-05 0.00010105 7.18e-05 9.925e-05 9.735e-05 7.255e-05 0.00010025 9.83e-05 6.77e-05 6.865e-05
16 7.745e-05 7.485e-05 8.425e-05 7.205e-05 8.79e-05 8.125e-05 7.695e-05 4.91e-05 5.66e-05 8.57e-05 6.665e-05 7.59e-05 8.775e-05 7.13e-05 7.485e-05 7.32e-05 9.8e-05 6.68e-05 9.095e-05 8.435e-05 7.5e-05 7.28e-05 5.475e-05 5.525e-05 7.505e-05 7.535e-05 6.355e-05 6.93e-05 6.665e-05 6.675e-05 7.29e-05 8.125e-05 5.275e-05 8.775e-05 4.92e-05 6.68e-05 5.88e-05 8.425e-05 7.105e-05 6.685e-05 6.155e-05 4.905e-05 5.525e-05 5.735e-05 5.18e-05 9.225e-05 6.4e-05 8.44e-05 6.91e-05 6.135e-05 8.75e-05 6.265e-05 7e-05 6.155e-05 7.275e-05 7.49e-05 7.535e-05 7.76e-05 7.23e-05 5.51e-05 6.15e-05 7.94e-05 6.35e-05
17 3.975e-05 7.515e-05 3.17e-05 4.29e-05 3.81e-05 3.77e-05 7.675e-05 3.16e-05 3.185e-05 7.88e-05 3.185e-05 7.515e-05 3.835e-05 3.98e-05 7.515e-05 0.00010525 6.68e-05 6.29e-05 5.505e-05 3.18e-05 3.81e-05 3.18e-05 6.855e-05 3.16e-05 3.815e-05 3.65e-05 7.5e-05 6.925e-05 3.185e-05 3.18e-05 3.15e-05 3.77e-05 6.315e-05 3.835e-05 3.16e-05 3.185e-05 6.315e-05 3.17e-05 3.605e-05 4.3e-05 4.63e-05 6.68e-05 3.16e-05 7.5e-05 6.305e-05 4.62e-05 3.63e-05 3.205e-05 6.945e-05 6.785e-05 3.845e-05 3.185e-05 3.815e-05 3.17e-05 3.175e-05 7.495e-05 4.955e-05 3.99e-05 6.88e-05 4.28e-05 3.165e-05 8.315e-05 7.495e-05
18 2.725e-05 8.19e-05 3.835e-05 6.57e-05 2.535e-05 4.21e-05 6.02e-05 6.755e-05 5.825e-05 3.065e-05 5.52e-05 6.015e-05 2.54e-05 4.22e-05 8.19e-05 8.71e-05 9.095e-05 5.505e-05 2.48e-05 3.845e-05 3.16e-05 4.025e-05 8.555e-05 5.695e-05 3.165e-05 4.505e-05 8.37e-05 7.62e-05 5.52e-05 5.52e-05 4.015e-05 4.21e-05 9.325e-05 2.54e-05 7.185e-05 5.52e-05 7.835e-05 3.835e-05 5.205e-05 7.195e-05 7.295e-05 9.095e-05 5.695e-05 9.865e-05 8.285e-05 1.245e-05 4.685e-05 3.83e-05 7.62e-05 8.315e-05 2.565e-05 4.335e-05 4.225e-05 4.215e-05 4.02e-05 8.19e-05 5.38e-05 2.74e-05 7.32e-05 7.875e-05 4.21e-05 6.895e-05 8.37e-05
19 3.055e-05 6.155e-05 7.5e-07 2.84e-05 1.395e-05 1.58e-05 7.34e-05 5.865e-05 4.6e-05 6.795e-05 3.185e-05 7.18e-05 1.395e-05 4.66e-05 6.155e-05 0.0001042 8.435e-05 3.18e-05 3.845e-05 1.5e-06 3.425e-05 1.58e-05 8.545e-05 4.68e-05 3.43e-05 1.94e-05 7.66e-05 5.585e-05 3.185e-05 3.19e-05 1.575e-05 1.58e-05 8.06e-05 1.395e-05 6.29e-05 3.19e-05 6.45e-05 7.5e-07 3.535e-05 3.51e-05 5.305e-05 8.435e-05 4.68e-05 9.26e-05 7.575e-05 2.855e-05 3.44e-05 1.3e-06 5.58e-05 6.81e-05 1.375e-05 2.99e-05 4.475e-05 3.09e-05 1.575e-05 6.155e-05 4.29e-05 3.07e-05 5.865e-05 5.575e-05 3.085e-05 7.63e-05 7.655e-05
