 slim_762181659 slim_762181693 slim_762181658 slim_762181676 slim_762181648 slim_762181668 slim_762181646 slim_762181680 slim_762181671 slim_762181667 slim_762181675 slim_762181662 slim_762181665 slim_762181683 slim_762181656 slim_762181652 slim_762181686 slim_762181669 slim_762181661 slim_762181679 slim_762181677 slim_762181641 slim_762181649 slim_762181651 slim_762181674 slim_762181640 slim_762181642 slim_762181657 slim_762181670 slim_762181647 slim_762181684 slim_762181650 slim_762181666 slim_762181672 slim_762181655 slim_762181689 slim_762181688 slim_762181660 slim_762181691 slim_762181692 slim_762181643 slim_762181663 slim_762181653 slim_762181673 slim_762181682 slim_762181681 slim_762181654 slim_762181687 slim_762181690 slim_762181644 slim_762181678 slim_762181685 slim_762181645 slim_762181664
0 1.6e-06 1.45e-06 2.4e-06 2.1e-06 1.25e-06 2e-06 1.6e-06 1.4e-06 1.2e-06 1.15e-06 1.7e-06 1.4e-06 2.4e-06 1.95e-06 1.3e-06 1e-06 1.95e-06 2.6e-06 1.75e-06 1.7e-06 1.5e-06 2.25e-06 2.05e-06 1.55e-06 2.2e-06 1.65e-06 2.25e-06 2.4e-06 2.25e-06 1.95e-06 1.6e-06 1.9e-06 1.1e-06 2.75e-06 1.95e-06 1.8e-06 2.1e-06 2.15e-06 1.1e-06 2.25e-06 2.05e-06 1.65e-06 1.6e-06 2.45e-06 1.3e-06 1.8e-06 1.2e-06 1e-06 2.55e-06 1.35e-06 1.85e-06 2.15e-06 2.6e-06 1.55e-06
1 1.45e-06 2.3e-06 2.45e-06 2.1e-06 1.35e-06 2.3e-06 1.75e-06 1.7e-06 1.7e-06 1.7e-06 1.7e-06 1.7e-06 2.05e-06 2.15e-06 1.75e-06 1.4e-06 2.05e-06 2.4e-06 1.75e-06 2e-06 1.8e-06 2.2e-06 2.25e-06 2e-06 2.3e-06 2.05e-06 2.15e-06 2.45e-06 2.3e-06 2.3e-06 1.95e-06 2.2e-06 1.65e-06 2.6e-06 2.05e-06 2.05e-06 2.2e-06 2.1e-06 1.5e-06 2.3e-06 2.1e-06 1.75e-06 1.8e-06 2.1e-06 1.8e-06 2.15e-06 1.85e-06 1.4e-06 2.3e-06 1.55e-06 1.95e-06 2.1e-06 2.45e-06 1.8e-06
2 2.4e-06 2.45e-06 1.4e-06 2.45e-06 2.25e-06 1.8e-06 2.4e-06 2.4e-06 2.4e-06 2.55e-06 2.55e-06 2.5e-06 2.4e-06 1.6e-06 2.4e-06 2.65e-06 2.4e-06 2.4e-06 2.35e-06 1.5e-06 2.4e-06 1.6e-06 2.55e-06 1.6e-06 1.05e-06 1.65e-06 2.15e-06 7e-07 2.2e-06 2.25e-06 2.55e-06 2.7e-06 2.5e-06 2.35e-06 1.5e-06 1.65e-06 1.55e-06 2.05e-06 2.65e-06 8e-07 1.95e-06 2.1e-06 1.8e-06 2.45e-06 2.05e-06 1.7e-06 2.6e-06 2.65e-06 1.55e-06 2.6e-06 2.35e-06 2.35e-06 2.2e-06 2.85e-06
3 2.1e-06 2.1e-06 2.45e-06 2.7e-06 2.15e-06 2.4e-06 2.05e-06 2.55e-06 2e-06 2.3e-06 1.85e-06 2.65e-06 2.55e-06 1.95e-06 2e-06 2.45e-06 2.6e-06 2.6e-06 2.25e-06 2.05e-06 1.65e-06 2.55e-06 2.1e-06 2.45e-06 2.3e-06 2.25e-06 2.65e-06 2.45e-06 2.2e-06 2.6e-06 1.7e-06 1.75e-06 2.25e-06 2.8e-06 1.85e-06 2.05e-06 2.4e-06 2.15e-06 2.45e-06 2.3e-06 2.3e-06 2.2e-06 2.5e-06 2.6e-06 2.5e-06 2.2e-06 2.3e-06 2.45e-06 2.45e-06 2.05e-06 1.45e-06 1.95e-06 2.65e-06 2.15e-06
4 1.25e-06 1.35e-06 2.25e-06 2.15e-06 2.1e-06 2e-06 1.45e-06 1.25e-06 1.5e-06 1.3e-06 1.8e-06 1.25e-06 1.95e-06 2e-06 1.55e-06 1.25e-06 2.05e-06 2.3e-06 1.6e-06 1.85e-06 1.9e-06 1.95e-06 2.2e-06 1.55e-06 2.05e-06 1.75e-06 2.1e-06 2.25e-06 2.25e-06 1.95e-06 1.95e-06 2.15e-06 1.25e-06 2.45e-06 2.1e-06 1.9e-06 1.95e-06 2e-06 1.35e-06 2.1e-06 1.9e-06 1.5e-06 1.7e-06 2e-06 1.7e-06 1.85e-06 1.5e-06 1.25e-06 2.25e-06 1.7e-06 2e-06 2.05e-06 2.3e-06 1.85e-06
5 2e-06 2.3e-06 1.8e-06 2.4e-06 2e-06 2.9e-06 1.85e-06 2.1e-06 2e-06 1.85e-06 2.5e-06 2.2e-06 2.55e-06 1.9e-06 2.05e-06 2.3e-06 2.55e-06 2.75e-06 2.15e-06 1.75e-06 2.1e-06 2.05e-06 2.6e-06 1.75e-06 1.85e-06 1.75e-06 2.55e-06 1.8e-06 2.3e-06 2.3e-06 1.95e-06 2e-06 1.8e-06 2.7e-06 1.95e-06 1.8e-06 1.95e-06 2.05e-06 2.3e-06 1.65e-06 2.2e-06 2.05e-06 2.05e-06 2.6e-06 2.1e-06 1.7e-06 1.95e-06 2.3e-06 2.3e-06 2.35e-06 2.25e-06 2.1e-06 2.55e-06 2.3e-06
6 1.6e-06 1.75e-06 2.4e-06 2.05e-06 1.45e-06 1.85e-06 1.7e-06 1.5e-06 1.75e-06 1.55e-06 2.2e-06 1.75e-06 2.55e-06 1.9e-06 1.8e-06 2.1e-06 2.75e-06 2.7e-06 1.6e-06 1.9e-06 2.1e-06 2.2e-06 2.25e-06 1.65e-06 2.05e-06 1.55e-06 2.8e-06 2.4e-06 2.6e-06 2.35e-06 1.8e-06 1.75e-06 1.5e-06 3e-06 2.4e-06 1.95e-06 2.2e-06 1.75e-06 1.95e-06 2.25e-06 2.2e-06 1.8e-06 2.1e-06 2.6e-06 2.1e-06 1.35e-06 1.35e-06 2.1e-06 2.75e-06 2.25e-06 2.05e-06 1.95e-06 2.85e-06 2.05e-06
7 1.4e-06 1.7e-06 2.4e-06 2.55e-06 1.25e-06 2.1e-06 1.5e-06 1e-06 1.45e-06 1.2e-06 2.1e-06 7.5e-07 2.1e-06 2.2e-06 1.5e-06 1.35e-06 2.35e-06 2.4e-06 1.85e-06 2.05e-06 2.45e-06 1.95e-06 2.35e-06 1.15e-06 2.05e-06 1.7e-06 2.4e-06 2.4e-06 2.65e-06 1.75e-06 2.45e-06 2.6e-06 1.15e-06 2.65e-06 2.6e-06 2.1e-06 1.95e-06 2.3e-06 1.2e-06 2.25e-06 1.8e-06 1.45e-06 1.8e-06 2.15e-06 1.8e-06 1.8e-06 1.2e-06 1.35e-06 2.55e-06 2.15e-06 2.4e-06 2.55e-06 2.5e-06 2.25e-06
8 1.2e-06 1.7e-06 2.4e-06 2e-06 1.5e-06 2e-06 1.75e-06 1.45e-06 2e-06 1.3e-06 2e-06 1.55e-06 2.2e-06 1.9e-06 1.15e-06 1.35e-06 2.15e-06 2.6e-06 2e-06 1.65e-06 1.2e-06 2.25e-06 2.2e-06 1.65e-06 2.4e-06 1.8e-06 2.4e-06 2.4e-06 2.05e-06 1.9e-06 1.35e-06 1.65e-06 1.25e-06 2.6e-06 1.7e-06 1.75e-06 2.1e-06 2.1e-06 1.35e-06 2.25e-06 1.9e-06 1.55e-06 1.95e-06 2.25e-06 1.65e-06 1.95e-06 1.25e-06 1.35e-06 2.35e-06 1.45e-06 1.75e-06 1.95e-06 2.45e-06 1.7e-06
9 1.15e-06 1.7e-06 2.55e-06 2.3e-06 1.3e-06 1.85e-06 1.55e-06 1.2e-06 1.3e-06 1.6e-06 2e-06 1.2e-06 2.5e-06 2.05e-06 1.35e-06 1.1e-06 2.25e-06 2.8e-06 1.85e-06 1.9e-06 1.85e-06 2.3e-06 2.4e-06 1.45e-06 2.35e-06 1.7e-06 2.5e-06 2.55e-06 2.4e-06 1.95e-06 1.85e-06 2e-06 8e-07 2.9e-06 2.3e-06 1.9e-06 2.15e-06 2.25e-06 1.2e-06 2.35e-06 2.05e-06 1.65e-06 1.8e-06 2.55e-06 1.6e-06 1.8e-06 1.2e-06 1.1e-06 2.75e-06 1.7e-06 2.15e-06 2.3e-06 2.75e-06 1.8e-06
