 slim_761992964 slim_761992974 slim_761992994 slim_761992945 slim_761992995 slim_761992971 slim_761992988 slim_761992996 slim_761992977 slim_761992982 slim_761992959 slim_761992957 slim_761992980 slim_761992970 slim_761992984 slim_761992968 slim_761992958 slim_761992979 slim_761992962 slim_761992969 slim_761992953 slim_761992987 slim_761992991 slim_761992950 slim_761992961 slim_761992993 slim_761992951 slim_761992976 slim_761992966 slim_761992949 slim_761992975 slim_761992956 slim_761992955 slim_761992981 slim_761992972 slim_761992992 slim_761992973 slim_761992952 slim_761992965 slim_761992990 slim_761992978 slim_761992967 slim_761992946 slim_761992989 slim_761992954 slim_761992985 slim_761992947 slim_761992948 slim_761992960 slim_761992983 slim_761992944 slim_761992986 slim_761992963
0 3.04e-05 4.16e-05 3.725e-05 3.93e-05 3.805e-05 3.135e-05 4.34e-05 4.74e-05 6.08e-05 1.72e-05 2.895e-05 4.31e-05 3.8e-05 2.905e-05 5.29e-05 2.735e-05 1.745e-05 2.335e-05 5.11e-05 2.875e-05 2.715e-05 4.45e-05 3.925e-05 3.3e-05 3.735e-05 4.035e-05 3.735e-05 3.86e-05 3.135e-05 6.095e-05 2.895e-05 2.66e-05 3.935e-05 3.715e-05 3.71e-05 2.4e-05 1.535e-05 3.835e-05 1.65e-05 2.895e-05 2.76e-05 2.735e-05 3.925e-05 4.36e-05 4.99e-05 2.73e-05 3.495e-05 3.24e-05 2.955e-05 2.62e-05 1.795e-05 3.925e-05 1.55e-05
1 4.16e-05 4.41e-05 4.17e-05 2.69e-05 2.64e-05 3.155e-05 4.26e-05 2.235e-05 2.215e-05 4.15e-05 3.7e-05 2.895e-05 3.28e-05 3.435e-05 3.85e-05 4.115e-05 3.08e-05 5.55e-05 4.965e-05 3.68e-05 4.17e-05 4.085e-05 2.64e-05 2.255e-05 2.475e-05 2.865e-05 4.055e-05 2.595e-05 2.845e-05 2.24e-05 3.7e-05 3.02e-05 2.65e-05 4.315e-05 2.78e-05 4.77e-05 3.41e-05 2.805e-05 3.23e-05 3.7e-05 3.21e-05 4.115e-05 3.135e-05 5.13e-05 2.87e-05 4.33e-05 4.735e-05 2.68e-05 2.64e-05 4.465e-05 4.19e-05 2.645e-05 5.035e-05
2 3.725e-05 4.17e-05 6.02e-05 4.31e-05 4.245e-05 3.17e-05 4.555e-05 4.18e-05 5.3e-05 3.61e-05 3.405e-05 4.375e-05 4.23e-05 4.16e-05 5.105e-05 3.125e-05 3.4e-05 3.4e-05 4.31e-05 3.385e-05 4.33e-05 4.27e-05 4.345e-05 4.06e-05 4.03e-05 4.05e-05 3.16e-05 3.085e-05 3.81e-05 5.13e-05 3.405e-05 3.21e-05 4.355e-05 4.405e-05 3.45e-05 3.475e-05 3.945e-05 4.3e-05 3.66e-05 3.405e-05 3.58e-05 3.125e-05 4.285e-05 4.46e-05 5.195e-05 4.415e-05 4.065e-05 3.54e-05 3.205e-05 3.565e-05 3.645e-05 4.345e-05 3.635e-05
3 3.93e-05 2.69e-05 4.31e-05 5.05e-05 2.545e-05 3.4e-05 4.355e-05 2.7e-05 2.525e-05 3.8e-05 3.93e-05 3.49e-05 3.315e-05 3.815e-05 4.095e-05 4.36e-05 2.56e-05 5.415e-05 5.46e-05 3.91e-05 4.355e-05 4.07e-05 2.525e-05 2.865e-05 2.7e-05 3.46e-05 4.065e-05 2.885e-05 2.995e-05 2.705e-05 3.93e-05 2.75e-05 2.54e-05 4.53e-05 3.39e-05 4.45e-05 3.1e-05 3.09e-05 2.8e-05 3.93e-05 2.99e-05 4.36e-05 3.135e-05 5.305e-05 3.32e-05 4.545e-05 4.965e-05 2.73e-05 2.69e-05 4.125e-05 3.91e-05 2.535e-05 4.885e-05
4 3.805e-05 2.64e-05 4.245e-05 2.545e-05 4.66e-05 3.295e-05 4.33e-05 2.65e-05 2.54e-05 3.7e-05 3.865e-05 3.525e-05 3.2e-05 3.845e-05 4.165e-05 4.29e-05 2.35e-05 5.385e-05 5.535e-05 3.845e-05 4.43e-05 4.06e-05 2.44e-05 2.86e-05 2.63e-05 3.4e-05 4e-05 2.78e-05 2.925e-05 2.755e-05 3.865e-05 2.655e-05 2.45e-05 4.515e-05 3.38e-05 4.325e-05 2.875e-05 3.035e-05 2.6e-05 3.865e-05 2.775e-05 4.29e-05 3.115e-05 5.38e-05 3.315e-05 4.525e-05 4.94e-05 2.66e-05 2.52e-05 4.015e-05 3.85e-05 2.445e-05 4.86e-05
5 3.135e-05 3.155e-05 3.17e-05 3.4e-05 3.295e-05 4.03e-05 4.31e-05 3.145e-05 4.255e-05 3.105e-05 2.87e-05 3.59e-05 3.58e-05 3.445e-05 4.83e-05 3.1e-05 2.54e-05 3.905e-05 4.665e-05 2.85e-05 3.795e-05 4.14e-05 3.405e-05 2.935e-05 2.995e-05 3.32e-05 3.18e-05 2.07e-05 2.75e-05 4.06e-05 2.87e-05 2.24e-05 3.41e-05 4.12e-05 2.32e-05 3.575e-05 2.88e-05 3.215e-05 2.71e-05 2.87e-05 2.5e-05 3.1e-05 3.42e-05 4.685e-05 4.41e-05 4.095e-05 4.375e-05 2.585e-05 2.305e-05 3.29e-05 3.105e-05 3.405e-05 3.515e-05
6 4.34e-05 4.26e-05 4.555e-05 4.355e-05 4.33e-05 4.31e-05 8.31e-05 4.26e-05 4.215e-05 4.47e-05 4.37e-05 4.385e-05 4.47e-05 4.405e-05 4.2e-05 4.54e-05 4.475e-05 4.625e-05 4.245e-05 4.35e-05 4.405e-05 4.32e-05 4.35e-05 4.27e-05 4.22e-05 4.38e-05 4.57e-05 4.215e-05 4.185e-05 4.225e-05 4.37e-05 4.365e-05 4.36e-05 4.49e-05 4.275e-05 4.545e-05 4.16e-05 4.205e-05 4.325e-05 4.37e-05 4.23e-05 4.54e-05 4.355e-05 4.34e-05 4.395e-05 4.535e-05 4.655e-05 4.34e-05 4.325e-05 4.38e-05 4.41e-05 4.35e-05 4.515e-05
7 4.74e-05 2.235e-05 4.18e-05 2.7e-05 2.65e-05 3.145e-05 4.26e-05 3.24e-05 1.63e-05 4.735e-05 3.7e-05 2.88e-05 3.29e-05 4.005e-05 3.84e-05 4.705e-05 3.67e-05 6.145e-05 4.96e-05 3.68e-05 4.745e-05 4.095e-05 2.65e-05 2.835e-05 2.465e-05 2.855e-05 4.065e-05 2.005e-05 2.84e-05 1.63e-05 3.7e-05 3.025e-05 2.645e-05 4.315e-05 2.77e-05 5.365e-05 3.995e-05 2.795e-05 3.825e-05 3.7e-05 3.01e-05 4.705e-05 3.145e-05 5.13e-05 2.845e-05 4.905e-05 5.32e-05 2.685e-05 2.65e-05 4.48e-05 4.575e-05 2.655e-05 5.615e-05
8 6.08e-05 2.215e-05 5.3e-05 2.525e-05 2.54e-05 4.255e-05 4.215e-05 1.63e-05 0.0 6.02e-05 4.82e-05 2.87e-05 3.34e-05 4.71e-05 3.03e-05 6.21e-05 4.865e-05 7.685e-05 5.085e-05 4.8e-05 5.495e-05 4.085e-05 2.42e-05 3.315e-05 2.605e-05 3.11e-05 5.06e-05 2.73e-05 3.48e-05 2.55e-06 4.82e-05 4.055e-05 2.44e-05 4.54e-05 3.59e-05 6.69e-05 5.105e-05 2.895e-05 4.965e-05 4.82e-05 3.88e-05 6.21e-05 3.135e-05 5.3e-05 1.96e-05 5.58e-05 5.995e-05 3.365e-05 3.595e-05 5.84e-05 5.975e-05 2.43e-05 7.17e-05
9 1.72e-05 4.15e-05 3.61e-05 3.8e-05 3.7e-05 3.105e-05 4.47e-05 4.735e-05 6.02e-05 3.1e-05 2.86e-05 4.295e-05 3.7e-05 2.965e-05 5.305e-05 2.78e-05 1.59e-05 2.34e-05 5.125e-05 2.845e-05 2.73e-05 4.34e-05 3.8e-05 3.305e-05 3.745e-05 4.035e-05 3.62e-05 3.8e-05 3.25e-05 6.045e-05 2.86e-05 2.53e-05 3.81e-05 3.68e-05 3.705e-05 2.46e-05 1.835e-05 3.945e-05 1.695e-05 2.865e-05 2.835e-05 2.78e-05 3.83e-05 4.33e-05 4.98e-05 2.735e-05 3.53e-05 3.13e-05 2.86e-05 2.625e-05 1.905e-05 3.805e-05 1.585e-05
