 slim_762406169 slim_762406140 slim_762406146 slim_762406183 slim_762406182 slim_762406150 slim_762406170 slim_762406142 slim_762406173 slim_762406179 slim_762406171 slim_762406153 slim_762406161 slim_762406141 slim_762406193 slim_762406143 slim_762406164 slim_762406147 slim_762406157 slim_762406168 slim_762406184 slim_762406187 slim_762406151 slim_762406160 slim_762406159 slim_762406135 slim_762406163 slim_762406162 slim_762406145 slim_762406156 slim_762406190 slim_762406191 slim_762406132 slim_762406131 slim_762406172 slim_762406137 slim_762406139 slim_762406176 slim_762406134 slim_762406158 slim_762406167 slim_762406165 slim_762406144 slim_762406155 slim_762406149 slim_762406138 slim_762406192 slim_762406166 slim_762406185 slim_762406188 slim_762406136 slim_762406177 slim_762406152 slim_762406154 slim_762406148 slim_762406189 slim_762406194 slim_762406174 slim_762406186 slim_762406178 slim_762406175 slim_762406181 slim_762406133 slim_762406180
0 2.3e-06 1.45e-06 1.15e-06 1.65e-06 1.35e-06 1.65e-06 1.35e-06 1.35e-06 1.45e-06 1.25e-06 1.3e-06 1.4e-06 1.3e-06 1.35e-06 1.3e-06 1.9e-06 1.65e-06 1.3e-06 1.55e-06 1.35e-06 1.5e-06 1.45e-06 1.4e-06 1.25e-06 1.4e-06 2.15e-06 1.55e-06 1.4e-06 1.95e-06 1.3e-06 1.3e-06 1.3e-06 1.55e-06 1.95e-06 1.5e-06 1.4e-06 1.5e-06 1.5e-06 1.4e-06 1.4e-06 1.35e-06 1.4e-06 1.4e-06 1.3e-06 1.25e-06 1.4e-06 1.5e-06 1.35e-06 1.5e-06 1.45e-06 1.55e-06 1.7e-06 1.3e-06 1.35e-06 1.5e-06 1.5e-06 1.5e-06 1.45e-06 1.45e-06 1.55e-06 1.2e-06 1.4e-06 1.35e-06 1.5e-06
1 1.45e-06 1.2e-06 1.45e-06 8e-07 1.55e-06 1.6e-06 1.4e-06 1.4e-06 1.05e-06 1.2e-06 1e-06 1.7e-06 1.3e-06 9.5e-07 1.2e-06 1.3e-06 1e-06 1.35e-06 8e-07 1.4e-06 1.2e-06 1.1e-06 8.5e-07 1.55e-06 1e-06 1.5e-06 1.35e-06 1.7e-06 1.6e-06 1.6e-06 9.5e-07 1e-06 1.25e-06 1.8e-06 1.55e-06 1.1e-06 9e-07 8.5e-07 1.25e-06 1e-06 1.6e-06 1.45e-06 1.6e-06 1.4e-06 9e-07 1.1e-06 1e-06 1.25e-06 9e-07 1.5e-06 1e-06 1.3e-06 1.3e-06 1.5e-06 9.5e-07 9.5e-07 1.05e-06 8e-07 9.5e-07 1.2e-06 1.4e-06 1.35e-06 1e-06 1.15e-06
2 1.15e-06 1.45e-06 2.3e-06 1.65e-06 1.35e-06 1.65e-06 1.35e-06 1.35e-06 1.45e-06 1.25e-06 1.3e-06 1.4e-06 1.3e-06 1.35e-06 1.3e-06 1.9e-06 1.65e-06 1.3e-06 1.55e-06 1.35e-06 1.5e-06 1.45e-06 1.4e-06 1.25e-06 1.4e-06 2.15e-06 1.55e-06 1.4e-06 1.95e-06 1.3e-06 1.3e-06 1.3e-06 1.55e-06 1.95e-06 1.5e-06 1.4e-06 1.5e-06 1.5e-06 1.4e-06 1.4e-06 1.35e-06 1.4e-06 1.4e-06 1.3e-06 1.25e-06 1.4e-06 1.5e-06 1.35e-06 1.5e-06 1.45e-06 1.55e-06 1.7e-06 1.3e-06 1.35e-06 1.5e-06 1.5e-06 1.5e-06 1.45e-06 1.45e-06 1.55e-06 1.2e-06 1.4e-06 1.35e-06 1.5e-06
3 1.65e-06 8e-07 1.65e-06 1.2e-06 1.7e-06 1.8e-06 1.7e-06 1.65e-06 1.15e-06 1.3e-06 1.3e-06 1.9e-06 1.5e-06 1.15e-06 1.35e-06 1.45e-06 9e-07 1.6e-06 9e-07 1.65e-06 1.2e-06 1.35e-06 1e-06 1.7e-06 1.25e-06 1.65e-06 1.4e-06 1.85e-06 1.7e-06 1.75e-06 1.2e-06 1.3e-06 1.5e-06 1.95e-06 1.75e-06 1.15e-06 9e-07 9e-07 1.35e-06 1.25e-06 1.75e-06 1.7e-06 1.75e-06 1.55e-06 1.15e-06 1.15e-06 1.1e-06 1.45e-06 9e-07 1.7e-06 9.5e-07 1.4e-06 1.5e-06 1.7e-06 1.05e-06 1e-06 1.2e-06 9.5e-07 1.05e-06 1.4e-06 1.5e-06 1.55e-06 1.3e-06 1.15e-06
4 1.35e-06 1.55e-06 1.35e-06 1.7e-06 1.8e-06 1.3e-06 1.8e-06 1.45e-06 1.25e-06 1.15e-06 1.6e-06 1.6e-06 1e-06 1.3e-06 1.35e-06 2e-06 1.8e-06 1.4e-06 1.75e-06 1.45e-06 1.4e-06 1.35e-06 1.65e-06 1.1e-06 1.25e-06 2.25e-06 1.55e-06 1.25e-06 1.8e-06 1.15e-06 1.2e-06 1.6e-06 1.5e-06 2e-06 1.25e-06 1.65e-06 1.7e-06 1.6e-06 1.3e-06 1.25e-06 1.05e-06 1.5e-06 1.2e-06 1.2e-06 1.15e-06 1.65e-06 1.35e-06 9.5e-07 1.7e-06 1.1e-06 1.6e-06 1.6e-06 1.1e-06 1e-06 1.3e-06 1.6e-06 1.75e-06 1.55e-06 1.3e-06 1.45e-06 1.05e-06 1.05e-06 1.35e-06 1.35e-06
5 1.65e-06 1.6e-06 1.65e-06 1.8e-06 1.3e-06 8e-07 1.7e-06 1.2e-06 8.5e-07 1.7e-06 1.5e-06 1.8e-06 7e-07 1.35e-06 1.7e-06 2.05e-06 1.6e-06 1.15e-06 1.9e-06 1.2e-06 1.1e-06 1.1e-06 1.8e-06 1.25e-06 8e-07 2.2e-06 2e-06 1.3e-06 1.8e-06 1.1e-06 1.05e-06 1.5e-06 8.5e-07 1.95e-06 8.5e-07 1.5e-06 1.55e-06 1.35e-06 1.7e-06 8e-07 1.3e-06 1.25e-06 1.35e-06 1.35e-06 1e-06 1.5e-06 1.35e-06 5.5e-07 1.55e-06 9e-07 1.65e-06 1.3e-06 1e-06 8e-07 1.2e-06 1.45e-06 1.9e-06 1.3e-06 1.4e-06 1.25e-06 1.6e-06 7.5e-07 1.05e-06 1.15e-06
6 1.35e-06 1.4e-06 1.35e-06 1.7e-06 1.8e-06 1.7e-06 4e-07 1.05e-06 1.3e-06 1.95e-06 6e-07 1.5e-06 1.6e-06 1.5e-06 1.65e-06 1.9e-06 1.3e-06 1e-06 1.5e-06 1e-06 1.5e-06 1.35e-06 1.25e-06 2.1e-06 1.15e-06 2.05e-06 2.3e-06 2.15e-06 2.15e-06 2.05e-06 1.3e-06 6e-07 1.4e-06 2.2e-06 1.8e-06 8e-07 1.15e-06 1.15e-06 1.95e-06 1.15e-06 1.8e-06 1.05e-06 2.05e-06 1.85e-06 1.25e-06 8e-07 1.7e-06 1.45e-06 1.15e-06 1.5e-06 1.55e-06 1.55e-06 1.5e-06 1.2e-06 1.65e-06 1.05e-06 1.15e-06 1.1e-06 1.75e-06 1.4e-06 2.25e-06 1.55e-06 1.1e-06 1.5e-06
7 1.35e-06 1.4e-06 1.35e-06 1.65e-06 1.45e-06 1.2e-06 1.05e-06 1.7e-06 1.15e-06 1.6e-06 1e-06 1.6e-06 8.5e-07 1.3e-06 1.45e-06 1.75e-06 1.45e-06 9e-07 1.5e-06 1e-06 1.2e-06 1.1e-06 1.35e-06 1.35e-06 1.05e-06 2e-06 2e-06 1.5e-06 1.75e-06 1.4e-06 9.5e-07 1e-06 1.15e-06 1.9e-06 1.05e-06 1.15e-06 1.25e-06 1.25e-06 1.7e-06 1.05e-06 1.4e-06 9.5e-07 1.55e-06 1.45e-06 9e-07 1.15e-06 1.4e-06 9.5e-07 1.25e-06 1.05e-06 1.5e-06 1.4e-06 1e-06 9.5e-07 1.4e-06 1.25e-06 1.45e-06 1.2e-06 1.35e-06 1.3e-06 1.65e-06 1e-06 1.05e-06 1.2e-06
8 1.45e-06 1.05e-06 1.45e-06 1.15e-06 1.25e-06 8.5e-07 1.3e-06 1.15e-06 1e-06 1.4e-06 1.05e-06 1.6e-06 9e-07 1.05e-06 1.4e-06 1.55e-06 9.5e-07 1.1e-06 1.35e-06 1.1e-06 8.5e-07 9e-07 1.3e-06 1.4e-06 6e-07 1.7e-06 1.7e-06 1.45e-06 1.55e-06 1.3e-06 8.5e-07 1.05e-06 9e-07 1.75e-06 1.1e-06 9.5e-07 9.5e-07 7.5e-07 1.35e-06 6e-07 1.3e-06 1.15e-06 1.35e-06 1.25e-06 8e-07 9.5e-07 1.1e-06 6.5e-07 9.5e-07 1e-06 1.05e-06 1.05e-06 1e-06 9e-07 9.5e-07 8.5e-07 1.4e-06 6.5e-07 1.15e-06 1.05e-06 1.55e-06 8.5e-07 8e-07 8.5e-07
9 1.25e-06 1.2e-06 1.25e-06 1.3e-06 1.15e-06 1.7e-06 1.95e-06 1.6e-06 1.4e-06 1.1e-06 1.55e-06 1.6e-06 1.15e-06 1.1e-06 1.05e-06 1.6e-06 1.6e-06 1.55e-06 1.3e-06 1.65e-06 1.45e-06 1.4e-06 1.2e-06 1e-06 1.45e-06 1.95e-06 1.15e-06 1.25e-06 1.6e-06 1.15e-06 1.15e-06 1.55e-06 1.65e-06 1.85e-06 1.45e-06 1.65e-06 1.5e-06 1.5e-06 9.5e-07 1.45e-06 1.15e-06 1.7e-06 1.2e-06 1.1e-06 1.1e-06 1.65e-06 1.2e-06 1.25e-06 1.5e-06 1.45e-06 1.1e-06 1.6e-06 1.1e-06 1.55e-06 1.2e-06 1.6e-06 1.5e-06 1.45e-06 1.05e-06 1.55e-06 7e-07 1.3e-06 1.45e-06 1.35e-06
