 slim_762293913 slim_762293904 slim_762293917 slim_762293933 slim_762293928 slim_762293912 slim_762293944 slim_762293947 slim_762293898 slim_762293926 slim_762293906 slim_762293920 slim_762293911 slim_762293927 slim_762293922 slim_762293899 slim_762293908 slim_762293924 slim_762293900 slim_762293935 slim_762293901 slim_762293919 slim_762293934 slim_762293916 slim_762293931 slim_762293936 slim_762293923 slim_762293915 slim_762293942 slim_762293952 slim_762293946 slim_762293921 slim_762293903 slim_762293939 slim_762293932 slim_762293905 slim_762293938 slim_762293954 slim_762293930 slim_762293918 slim_762293940 slim_762293909 slim_762293948 slim_762293945 slim_762293929 slim_762293943 slim_762293949 slim_762293955 slim_762293902 slim_762293914 slim_762293950 slim_762293925 slim_762293941 slim_762293951 slim_762293937 slim_762293953 slim_762293956 slim_762293907 slim_762293910
0 1.8e-06 1.15e-06 1.5e-06 9.5e-07 2.15e-06 2e-06 1.4e-06 1e-06 9.5e-07 1.4e-06 1.65e-06 2.05e-06 1.6e-06 1.6e-06 1.65e-06 1.6e-06 1.75e-06 1.2e-06 9e-07 1e-06 1.35e-06 1.95e-06 1.6e-06 1.55e-06 1.35e-06 1.55e-06 1.6e-06 1e-06 1.9e-06 2e-06 1.45e-06 1.7e-06 1e-06 2e-06 9e-07 1.4e-06 1.75e-06 1.1e-06 1.55e-06 1.55e-06 1.95e-06 1.55e-06 1e-06 1.15e-06 1.55e-06 1.6e-06 2.2e-06 2.05e-06 1.1e-06 9e-07 1.55e-06 1.05e-06 1.8e-06 1.45e-06 1.55e-06 1.7e-06 1.9e-06 1.5e-06 1.75e-06
1 1.15e-06 1.3e-06 1.8e-06 1.15e-06 2.2e-06 2e-06 1.75e-06 1.25e-06 8.5e-07 1.6e-06 1.75e-06 2.1e-06 1.25e-06 1.9e-06 1.75e-06 1.6e-06 1.8e-06 1.15e-06 8.5e-07 1.15e-06 1.25e-06 1.9e-06 1.5e-06 1.65e-06 1.25e-06 1.45e-06 1.9e-06 9.5e-07 1.6e-06 2e-06 1.8e-06 1.2e-06 1e-06 2.1e-06 7.5e-07 1.5e-06 1.8e-06 1.3e-06 1.6e-06 1.7e-06 2e-06 1.5e-06 1.05e-06 7.5e-07 1.9e-06 1.9e-06 2.15e-06 1.95e-06 1.3e-06 7.5e-07 1.9e-06 1.3e-06 1.45e-06 1.55e-06 1.4e-06 1.95e-06 1.8e-06 1.55e-06 1.35e-06
2 1.5e-06 1.8e-06 2.6e-06 1.55e-06 1.85e-06 1.85e-06 1.45e-06 1.6e-06 1.55e-06 1.4e-06 1.45e-06 1.55e-06 1.8e-06 1.45e-06 1.8e-06 1.45e-06 1.8e-06 1.6e-06 1.55e-06 1.55e-06 1.7e-06 1.45e-06 1.85e-06 1.65e-06 1.7e-06 1.8e-06 1.55e-06 1.6e-06 2.1e-06 1.75e-06 1.55e-06 1.95e-06 1.4e-06 1.6e-06 1.7e-06 1.45e-06 1.55e-06 1.65e-06 1.55e-06 1.35e-06 1.4e-06 1.8e-06 1.55e-06 1.8e-06 1.55e-06 1.65e-06 1.75e-06 1.95e-06 1.6e-06 1.7e-06 1.65e-06 1.65e-06 1.85e-06 1.5e-06 1.6e-06 1.5e-06 1.75e-06 1.6e-06 1.85e-06
3 9.5e-07 1.15e-06 1.55e-06 1.8e-06 2.15e-06 2e-06 1.4e-06 9.5e-07 9.5e-07 1.4e-06 1.65e-06 2.1e-06 1.6e-06 1.65e-06 1.65e-06 1.6e-06 1.75e-06 1.2e-06 9e-07 9.5e-07 1.35e-06 2e-06 1.6e-06 1.55e-06 1.35e-06 1.55e-06 1.6e-06 1e-06 1.9e-06 2e-06 1.45e-06 1.7e-06 1e-06 2e-06 9e-07 1.4e-06 1.75e-06 1.1e-06 1.55e-06 1.6e-06 1.95e-06 1.55e-06 1e-06 1.15e-06 1.5e-06 1.6e-06 2.2e-06 2.05e-06 1.05e-06 9e-07 1.55e-06 1.05e-06 1.8e-06 1.45e-06 1.55e-06 1.7e-06 1.9e-06 1.5e-06 1.75e-06
4 2.15e-06 2.2e-06 1.85e-06 2.15e-06 1.6e-06 1.15e-06 1.6e-06 2.15e-06 2.1e-06 1.5e-06 1.9e-06 1.45e-06 1.8e-06 2e-06 2.15e-06 1.85e-06 1.75e-06 2.1e-06 1.95e-06 2.15e-06 1.75e-06 1.55e-06 1.85e-06 1.45e-06 1.75e-06 1.75e-06 1.45e-06 2.05e-06 1.5e-06 1.2e-06 1.65e-06 2.1e-06 2e-06 9e-07 2.1e-06 1.65e-06 1.2e-06 2.2e-06 1.5e-06 1.85e-06 1.35e-06 1.7e-06 2.05e-06 2.15e-06 1.45e-06 1.45e-06 1.3e-06 1.6e-06 2.1e-06 2.1e-06 1.5e-06 2.2e-06 1.55e-06 1.8e-06 2e-06 2e-06 1.65e-06 1.5e-06 1.85e-06
5 2e-06 2e-06 1.85e-06 2e-06 1.15e-06 1.8e-06 1.6e-06 2.05e-06 2e-06 1.5e-06 1.9e-06 1.7e-06 1.45e-06 2e-06 2.05e-06 1.8e-06 1.85e-06 1.95e-06 1.85e-06 2e-06 1.45e-06 1.7e-06 1.9e-06 1.4e-06 1.45e-06 1.85e-06 1.65e-06 1.9e-06 1.45e-06 1.35e-06 1.65e-06 1.95e-06 1.85e-06 1.2e-06 2e-06 1.6e-06 1e-06 2.1e-06 1.65e-06 1.85e-06 1.45e-06 1.85e-06 1.95e-06 2e-06 1.65e-06 1.45e-06 1.4e-06 1.55e-06 2e-06 2e-06 1.5e-06 2.1e-06 1.7e-06 1.8e-06 1.95e-06 2e-06 1.6e-06 1.45e-06 1.9e-06
6 1.4e-06 1.75e-06 1.45e-06 1.4e-06 1.6e-06 1.6e-06 1.5e-06 1.4e-06 1.7e-06 9.5e-07 1.6e-06 2.15e-06 1.5e-06 1.5e-06 1.45e-06 1.7e-06 1.85e-06 1.15e-06 1.4e-06 1.5e-06 1.65e-06 2.15e-06 2.15e-06 1.4e-06 1.65e-06 2.1e-06 1.15e-06 1.55e-06 1.85e-06 1.9e-06 1.1e-06 1.7e-06 1.25e-06 1.4e-06 1.85e-06 1.2e-06 1.1e-06 1.45e-06 1.5e-06 1.65e-06 1.6e-06 2.05e-06 1.5e-06 1.7e-06 1.15e-06 1.25e-06 2e-06 1.8e-06 1.5e-06 1.85e-06 1.25e-06 1.45e-06 1.55e-06 1.6e-06 2.1e-06 1.6e-06 1.4e-06 1.55e-06 1.9e-06
7 1e-06 1.25e-06 1.6e-06 9.5e-07 2.15e-06 2.05e-06 1.4e-06 1.8e-06 9.5e-07 1.4e-06 1.7e-06 2.15e-06 1.7e-06 1.7e-06 1.65e-06 1.7e-06 1.8e-06 1.25e-06 9e-07 1e-06 1.4e-06 2.1e-06 1.65e-06 1.6e-06 1.4e-06 1.6e-06 1.6e-06 1.05e-06 1.95e-06 2.05e-06 1.45e-06 1.75e-06 1.05e-06 2e-06 9e-07 1.45e-06 1.8e-06 1.1e-06 1.6e-06 1.65e-06 2e-06 1.55e-06 1e-06 1.2e-06 1.5e-06 1.6e-06 2.25e-06 2.1e-06 1.1e-06 9e-07 1.55e-06 1.05e-06 1.85e-06 1.55e-06 1.65e-06 1.75e-06 1.95e-06 1.55e-06 1.8e-06
8 9.5e-07 8.5e-07 1.55e-06 9.5e-07 2.1e-06 2e-06 1.7e-06 9.5e-07 6e-07 1.45e-06 1.5e-06 1.65e-06 1.6e-06 1.65e-06 1.75e-06 1.45e-06 1.65e-06 1.4e-06 5.5e-07 9e-07 1.1e-06 1.55e-06 1.15e-06 1.6e-06 1.1e-06 1.1e-06 1.85e-06 8e-07 1.75e-06 1.75e-06 1.75e-06 1.5e-06 8.5e-07 1.9e-06 3e-07 1.35e-06 1.85e-06 1.05e-06 1.45e-06 1.35e-06 1.65e-06 1.05e-06 7e-07 8e-07 1.8e-06 1.8e-06 1.9e-06 1.9e-06 1.1e-06 3e-07 1.75e-06 1e-06 1.75e-06 1.45e-06 1.05e-06 1.7e-06 1.85e-06 1.35e-06 1.45e-06
9 1.4e-06 1.6e-06 1.4e-06 1.4e-06 1.5e-06 1.5e-06 9.5e-07 1.4e-06 1.45e-06 1.5e-06 1.35e-06 1.95e-06 1.4e-06 1.55e-06 1.45e-06 1.4e-06 1.65e-06 1.2e-06 1.25e-06 1.4e-06 1.5e-06 1.9e-06 2e-06 1.2e-06 1.5e-06 1.95e-06 1.2e-06 1.3e-06 1.75e-06 1.75e-06 1.15e-06 1.55e-06 1.05e-06 1.25e-06 1.65e-06 1.05e-06 1.05e-06 1.45e-06 1.3e-06 1.3e-06 1.35e-06 1.9e-06 1.2e-06 1.55e-06 1.2e-06 1.3e-06 1.8e-06 1.65e-06 1.5e-06 1.65e-06 1.3e-06 1.45e-06 1.45e-06 1.5e-06 1.8e-06 1.55e-06 1.3e-06 1.35e-06 1.7e-06
