 slim_762440318 slim_762440306 slim_762440310 slim_762440300 slim_762440323 slim_762440304 slim_762440294 slim_762440319 slim_762440325 slim_762440297 slim_762440312 slim_762440317 slim_762440313 slim_762440324 slim_762440308 slim_762440296 slim_762440293 slim_762440327 slim_762440316 slim_762440322 slim_762440301 slim_762440321 slim_762440299 slim_762440303 slim_762440295 slim_762440320 slim_762440328 slim_762440326 slim_762440305 slim_762440302 slim_762440309 slim_762440298 slim_762440315 slim_762440311 slim_762440314 slim_762440307
0 2.1e-06 1.45e-06 1.55e-06 1.4e-06 1.45e-06 1.65e-06 1.6e-06 1.4e-06 1.5e-06 1.6e-06 1.35e-06 1.3e-06 1.75e-06 1.7e-06 1.4e-06 1.65e-06 1.4e-06 1.65e-06 1.95e-06 1.45e-06 1.45e-06 1.35e-06 1.6e-06 1.45e-06 1.6e-06 1.4e-06 1.55e-06 2e-06 1.25e-06 1.3e-06 1.6e-06 1.75e-06 1.6e-06 1.6e-06 1.5e-06 1.15e-06
1 1.45e-06 1e-06 1.55e-06 1.9e-06 1.35e-06 1.4e-06 1.35e-06 1.3e-06 7.5e-07 2.25e-06 5e-07 2.15e-06 1.65e-06 1.25e-06 7.5e-07 9e-07 2.05e-06 1.4e-06 1.05e-06 7.5e-07 1.8e-06 1.4e-06 8.5e-07 2.2e-06 1.35e-06 1.95e-06 1.35e-06 1.45e-06 1.9e-06 1.4e-06 8e-07 1.65e-06 8e-07 8e-07 1.4e-06 5.5e-07
2 1.55e-06 1.55e-06 2.3e-06 1.2e-06 1.5e-06 1.5e-06 1.8e-06 1.45e-06 1.3e-06 1.9e-06 1.45e-06 1.55e-06 1.55e-06 1.75e-06 1.2e-06 1.3e-06 1.4e-06 1.6e-06 1.5e-06 1.5e-06 1.45e-06 1.5e-06 1.25e-06 1.55e-06 1.65e-06 1.65e-06 1.6e-06 1.65e-06 1.5e-06 1.6e-06 1.55e-06 1.55e-06 1.4e-06 1.55e-06 1.15e-06 1.35e-06
3 1.4e-06 1.9e-06 1.2e-06 8e-07 1.45e-06 1.65e-06 1.75e-06 1.4e-06 1.85e-06 1.45e-06 1.7e-06 7.5e-07 1.7e-06 2.3e-06 1.75e-06 1.95e-06 7.5e-07 1.5e-06 2.2e-06 1.95e-06 9.5e-07 1.3e-06 1.9e-06 7e-07 1.35e-06 1.2e-06 1.3e-06 1.7e-06 1e-06 1.55e-06 1.95e-06 1.7e-06 1.95e-06 1.95e-06 1.45e-06 1.7e-06
4 1.45e-06 1.35e-06 1.5e-06 1.45e-06 2.1e-06 1.55e-06 1.65e-06 1.05e-06 1.15e-06 1.6e-06 1.25e-06 1.6e-06 1.45e-06 1.7e-06 1.25e-06 1.25e-06 1.35e-06 1.35e-06 1.7e-06 1.2e-06 1.45e-06 1.45e-06 1.25e-06 1.65e-06 1.6e-06 1.35e-06 1.55e-06 1.9e-06 1.2e-06 1.45e-06 1.5e-06 1.45e-06 1.25e-06 1.5e-06 1.35e-06 1.15e-06
5 1.65e-06 1.4e-06 1.5e-06 1.65e-06 1.55e-06 2e-06 1.65e-06 1.5e-06 1.45e-06 1.9e-06 1.4e-06 1.85e-06 1.75e-06 1.55e-06 1.45e-06 1.5e-06 1.6e-06 1.85e-06 1.25e-06 1.5e-06 1.7e-06 1.65e-06 1.45e-06 1.9e-06 1.7e-06 1.65e-06 1.65e-06 1.45e-06 1.5e-06 1.65e-06 1.2e-06 1.75e-06 1.4e-06 1.2e-06 1.25e-06 1.4e-06
6 1.6e-06 1.35e-06 1.8e-06 1.75e-06 1.65e-06 1.65e-06 2.6e-06 1.6e-06 1.55e-06 1.7e-06 1.3e-06 1.8e-06 1.95e-06 1.85e-06 1.55e-06 1.7e-06 1.8e-06 1.85e-06 1.8e-06 1.6e-06 1.8e-06 1.7e-06 1.65e-06 1.9e-06 1.6e-06 1.6e-06 1.6e-06 1.9e-06 1.6e-06 1.4e-06 1.55e-06 1.95e-06 1.6e-06 1.55e-06 1.7e-06 1.4e-06
7 1.4e-06 1.3e-06 1.45e-06 1.4e-06 1.05e-06 1.5e-06 1.6e-06 2e-06 1.1e-06 1.55e-06 1.2e-06 1.55e-06 1.4e-06 1.65e-06 1.2e-06 1.25e-06 1.3e-06 1.35e-06 1.65e-06 1.2e-06 1.4e-06 1.4e-06 1.2e-06 1.6e-06 1.55e-06 1.3e-06 1.5e-06 1.85e-06 1.15e-06 1.4e-06 1.45e-06 1.4e-06 1.25e-06 1.45e-06 1.3e-06 1.1e-06
8 1.5e-06 7.5e-07 1.3e-06 1.85e-06 1.15e-06 1.45e-06 1.55e-06 1.1e-06 3e-07 2.3e-06 7.5e-07 2.3e-06 1.4e-06 1.3e-06 5e-07 3e-07 2.2e-06 9.5e-07 8e-07 5e-07 1.9e-06 1.5e-06 2.5e-07 2.35e-06 1.65e-06 2.05e-06 1.6e-06 1.55e-06 1.95e-06 1.45e-06 9.5e-07 1.4e-06 4.5e-07 9.5e-07 1.05e-06 6.5e-07
9 1.6e-06 2.25e-06 1.9e-06 1.45e-06 1.6e-06 1.9e-06 1.7e-06 1.55e-06 2.3e-06 1.7e-06 2.15e-06 1.25e-06 1.7e-06 2.3e-06 2.2e-06 2.45e-06 1.1e-06 2.25e-06 2.7e-06 2.25e-06 1.5e-06 1.7e-06 2.4e-06 1.35e-06 1.95e-06 9.5e-07 1.9e-06 2.55e-06 9e-07 1.45e-06 2.35e-06 1.7e-06 2.4e-06 2.35e-06 1.8e-06 1.95e-06
