 slim_762430643 slim_762430606 slim_762430638 slim_762430641 slim_762430608 slim_762430631 slim_762430627 slim_762430616 slim_762430620 slim_762430632 slim_762430623 slim_762430644 slim_762430612 slim_762430636 slim_762430610 slim_762430607 slim_762430622 slim_762430619 slim_762430609 slim_762430611 slim_762430639 slim_762430624 slim_762430621 slim_762430640 slim_762430614 slim_762430642 slim_762430635 slim_762430625 slim_762430618 slim_762430615 slim_762430617 slim_762430605 slim_762430633 slim_762430637 slim_762430630 slim_762430634 slim_762430626 slim_762430629 slim_762430628 slim_762430613
0 2.1e-06 1.45e-06 2.25e-06 1.75e-06 1.5e-06 1.95e-06 1.3e-06 1.6e-06 1.9e-06 1.95e-06 1.65e-06 1.2e-06 1.8e-06 1.55e-06 1.75e-06 1.5e-06 1.7e-06 2.05e-06 1.95e-06 1.9e-06 1.85e-06 1.8e-06 1.85e-06 1.6e-06 1.85e-06 1.95e-06 1.85e-06 1.9e-06 1.75e-06 1.2e-06 1.7e-06 2.2e-06 2.45e-06 1.75e-06 2.2e-06 1.15e-06 1.45e-06 2.4e-06 2.3e-06 1.75e-06
1 1.45e-06 2e-06 1.9e-06 2e-06 1.95e-06 2.3e-06 1.8e-06 1.45e-06 1.75e-06 1.7e-06 2.05e-06 1.85e-06 2.05e-06 1.75e-06 1.9e-06 1.3e-06 1.85e-06 1.75e-06 1.75e-06 1.6e-06 2.1e-06 1.45e-06 1.6e-06 1.6e-06 1.55e-06 2.1e-06 1.75e-06 2e-06 1.95e-06 1.2e-06 2.1e-06 1.9e-06 2.3e-06 1.7e-06 2.35e-06 1.8e-06 2.05e-06 2.2e-06 2.15e-06 1.85e-06
2 2.25e-06 1.9e-06 1.6e-06 1.5e-06 2.2e-06 2.5e-06 1.95e-06 1.3e-06 2.25e-06 1.65e-06 2.25e-06 1.95e-06 1.9e-06 1.85e-06 1.5e-06 1.8e-06 2.15e-06 8e-07 2.05e-06 1.6e-06 2.55e-06 9.5e-07 1.6e-06 1.35e-06 1.35e-06 2.35e-06 1.55e-06 1.7e-06 1.4e-06 2.15e-06 2.3e-06 1.9e-06 2.85e-06 2.05e-06 2.65e-06 1.9e-06 2.15e-06 2.55e-06 2e-06 2.2e-06
3 1.75e-06 2e-06 1.5e-06 2.3e-06 1.65e-06 2.05e-06 1.4e-06 1.35e-06 2e-06 1.8e-06 1.75e-06 1.3e-06 1.8e-06 1.45e-06 1.35e-06 1.75e-06 1.8e-06 1.15e-06 1.85e-06 1.7e-06 2.2e-06 1.3e-06 1.65e-06 1.3e-06 1.45e-06 2.1e-06 1.6e-06 1.7e-06 1.25e-06 1.95e-06 1.8e-06 2.1e-06 2.7e-06 1.85e-06 2.3e-06 1.25e-06 1.55e-06 2.45e-06 2.05e-06 1.9e-06
4 1.5e-06 1.95e-06 2.2e-06 1.65e-06 1.6e-06 1.55e-06 1.05e-06 1.55e-06 1.95e-06 1.9e-06 1.3e-06 9e-07 1.45e-06 1.45e-06 1.65e-06 1.5e-06 1.6e-06 2e-06 2e-06 1.9e-06 1.85e-06 1.75e-06 1.85e-06 1.45e-06 1.85e-06 1.75e-06 1.85e-06 1.6e-06 1.5e-06 1.7e-06 1.35e-06 2e-06 2.25e-06 1.45e-06 1.75e-06 9e-07 1.15e-06 2.2e-06 2.05e-06 1.5e-06
5 1.95e-06 2.3e-06 2.5e-06 2.05e-06 1.55e-06 1.2e-06 1.4e-06 1.8e-06 2.35e-06 2.2e-06 8.5e-07 1.2e-06 1.2e-06 1.8e-06 2e-06 1.85e-06 1.75e-06 2.35e-06 2.4e-06 2.3e-06 1e-06 2.15e-06 2.25e-06 1.85e-06 2.25e-06 1.3e-06 2.15e-06 1.85e-06 1.85e-06 2e-06 9e-07 1.55e-06 2.7e-06 1.05e-06 6.5e-07 1.2e-06 9.5e-07 2.65e-06 2.7e-06 9.5e-07
6 1.3e-06 1.8e-06 1.95e-06 1.4e-06 1.05e-06 1.4e-06 8e-07 1.35e-06 1.65e-06 1.85e-06 1.1e-06 5e-07 1.3e-06 1.05e-06 1.35e-06 1.35e-06 1.25e-06 1.8e-06 1.7e-06 1.65e-06 1.65e-06 1.55e-06 1.6e-06 1e-06 1.6e-06 1.5e-06 1.5e-06 1.45e-06 1.3e-06 1.55e-06 1.1e-06 1.95e-06 2.35e-06 1.35e-06 1.75e-06 4.5e-07 7e-07 2.3e-06 2.2e-06 1.4e-06
7 1.6e-06 1.45e-06 1.3e-06 1.35e-06 1.55e-06 1.8e-06 1.35e-06 1.4e-06 1.65e-06 1.35e-06 1.55e-06 1.35e-06 1.5e-06 1.3e-06 1.3e-06 1.25e-06 1.6e-06 9e-07 1.5e-06 1.3e-06 1.85e-06 8.5e-07 1.25e-06 1e-06 1.05e-06 1.8e-06 1.25e-06 1.45e-06 1.25e-06 1.25e-06 1.6e-06 1.6e-06 2.25e-06 1.35e-06 1.85e-06 1.3e-06 1.55e-06 2e-06 1.8e-06 1.25e-06
8 1.9e-06 1.75e-06 2.25e-06 2e-06 1.95e-06 2.35e-06 1.65e-06 1.65e-06 1e-07 1.4e-06 2.05e-06 1.8e-06 2.1e-06 1.35e-06 2.05e-06 9e-07 1.2e-06 2e-06 5.5e-07 1.05e-06 2.4e-06 1.7e-06 9e-07 1.6e-06 1.3e-06 1.55e-06 1.4e-06 2.2e-06 2.05e-06 1.75e-06 2.1e-06 2.25e-06 1.5e-06 1.75e-06 2.4e-06 1.75e-06 2.05e-06 1.9e-06 2.35e-06 1.95e-06
9 1.95e-06 1.7e-06 1.65e-06 1.8e-06 1.9e-06 2.2e-06 1.85e-06 1.35e-06 1.4e-06 2.1e-06 1.9e-06 1.9e-06 1.75e-06 1.65e-06 1.7e-06 1.25e-06 1.8e-06 1.3e-06 1.45e-06 1.35e-06 2.25e-06 1.2e-06 1.3e-06 1.4e-06 1.3e-06 1.8e-06 1.4e-06 1.8e-06 1.75e-06 1.8e-06 1.95e-06 1.75e-06 2.15e-06 1.65e-06 2e-06 1.85e-06 2.15e-06 2.1e-06 1.9e-06 1.8e-06
10 1.65e-06 2.05e-06 2.25e-06 1.75e-06 1.3e-06 8.5e-07 1.1e-06 1.55e-06 2.05e-06 1.9e-06 1.6e-06 9.5e-07 1.15e-06 1.5e-06 1.7e-06 1.6e-06 1.55e-06 2.05e-06 2.1e-06 2e-06 1.2e-06 1.85e-06 1.95e-06 1.55e-06 1.95e-06 1.3e-06 1.9e-06 1.65e-06 1.6e-06 1.75e-06 8.5e-07 1.55e-06 2.5e-06 1.05e-06 8.5e-07 9e-07 9.5e-07 2.45e-06 2.4e-06 1e-06
11 1.2e-06 1.85e-06 1.95e-06 1.3e-06 9e-07 1.2e-06 5e-07 1.35e-06 1.8e-06 1.9e-06 9.5e-07 3e-07 1.3e-06 1e-06 1.25e-06 1.4e-06 1.2e-06 1.8e-06 1.85e-06 1.75e-06 1.5e-06 1.6e-06 1.7e-06 1.15e-06 1.7e-06 1.45e-06 1.6e-06 1.4e-06 1.1e-06 1.55e-06 9.5e-07 1.95e-06 2.45e-06 1.35e-06 1.7e-06 2.5e-07 5e-07 2.4e-06 2.25e-06 1.35e-06
12 1.8e-06 2.05e-06 1.9e-06 1.8e-06 1.45e-06 1.2e-06 1.3e-06 1.5e-06 2.1e-06 1.75e-06 1.15e-06 1.3e-06 1.9e-06 1.7e-06 1.75e-06 1.6e-06 1.75e-06 1.85e-06 2.15e-06 1.9e-06 1.45e-06 1.6e-06 1.85e-06 1.45e-06 1.85e-06 1.5e-06 1.8e-06 1.6e-06 1.7e-06 1.8e-06 1.2e-06 1.55e-06 2.5e-06 1.15e-06 1.1e-06 1.25e-06 1.3e-06 2.45e-06 2.25e-06 1.15e-06
