 slim_762394267 slim_762394276 slim_762394286 slim_762394280 slim_762394289 slim_762394265 slim_762394278 slim_762394269 slim_762394296 slim_762394260 slim_762394298 slim_762394302 slim_762394306 slim_762394279 slim_762394263 slim_762394292 slim_762394264 slim_762394258 slim_762394270 slim_762394305 slim_762394300 slim_762394287 slim_762394294 slim_762394290 slim_762394297 slim_762394274 slim_762394272 slim_762394288 slim_762394308 slim_762394301 slim_762394273 slim_762394283 slim_762394293 slim_762394291 slim_762394262 slim_762394309 slim_762394261 slim_762394268 slim_762394259 slim_762394271 slim_762394282 slim_762394303 slim_762394307 slim_762394266 slim_762394299 slim_762394284 slim_762394295 slim_762394277 slim_762394281 slim_762394275 slim_762394304 slim_762394285
0 2.6e-06 2.1e-06 1.7e-06 1.4e-06 1.7e-06 1.7e-06 2.3e-06 1.9e-06 1.85e-06 1.95e-06 2.3e-06 1.75e-06 1.4e-06 2.3e-06 1.75e-06 2.45e-06 1.3e-06 1.7e-06 1.3e-06 1.75e-06 2.05e-06 1.45e-06 2.6e-06 2.1e-06 1.75e-06 1.85e-06 2.1e-06 1.85e-06 1.8e-06 2e-06 1.95e-06 2.15e-06 1.9e-06 2.15e-06 1.85e-06 2.1e-06 2e-06 2.4e-06 2.45e-06 2.25e-06 2.4e-06 2.05e-06 2.25e-06 1.75e-06 2.3e-06 1.6e-06 1.85e-06 1.9e-06 2.4e-06 2.05e-06 1.4e-06 1.85e-06
1 2.1e-06 2.8e-06 1.85e-06 2.1e-06 2e-06 2.35e-06 2.1e-06 2.25e-06 1.75e-06 2.45e-06 1.45e-06 1.7e-06 2.1e-06 2e-06 1.8e-06 1.9e-06 2e-06 1.75e-06 2e-06 2.15e-06 1.75e-06 1.75e-06 2.2e-06 2.15e-06 2.4e-06 2.4e-06 2.1e-06 2.2e-06 1.85e-06 2.2e-06 2.4e-06 2.15e-06 2.4e-06 1.85e-06 1.75e-06 2.7e-06 1.55e-06 2.1e-06 2.8e-06 2e-06 1.55e-06 2.45e-06 2.35e-06 1.85e-06 1.45e-06 1.8e-06 1.95e-06 1.8e-06 1.6e-06 1.4e-06 2.1e-06 2.4e-06
2 1.7e-06 1.85e-06 1.5e-06 2.75e-06 2.3e-06 2.4e-06 2.15e-06 2.35e-06 2e-06 2.8e-06 1.05e-06 2.5e-06 2.75e-06 2.1e-06 1.75e-06 1.65e-06 2.65e-06 1.7e-06 2.65e-06 1.45e-06 2.5e-06 2.45e-06 1.85e-06 2.05e-06 2.5e-06 2.4e-06 1.45e-06 2.3e-06 2.5e-06 1.85e-06 2.45e-06 2.45e-06 2.55e-06 2.25e-06 2e-06 2.5e-06 2.45e-06 2.2e-06 2.5e-06 1.95e-06 1.85e-06 2.35e-06 2.05e-06 2.6e-06 1.05e-06 2.4e-06 2.4e-06 2.2e-06 2e-06 1.8e-06 2.75e-06 1.4e-06
3 1.4e-06 2.1e-06 2.75e-06 2e-07 1.2e-06 1.5e-06 2.5e-06 1.6e-06 1.5e-06 9.5e-07 2.9e-06 1.15e-06 1e-07 2.4e-06 1.5e-06 3e-06 1e-07 1.45e-06 1e-07 2.5e-06 1.55e-06 6e-07 3.25e-06 2.35e-06 1.1e-06 1.6e-06 2.85e-06 1.55e-06 1e-06 2.45e-06 1.65e-06 1.8e-06 1.45e-06 2.05e-06 1.5e-06 1.8e-06 1.6e-06 2.5e-06 2.5e-06 2.25e-06 2.45e-06 1.95e-06 2.7e-06 9.5e-07 2.9e-06 9.5e-07 1.3e-06 1.7e-06 2.45e-06 2.05e-06 1e-07 2.95e-06
4 1.7e-06 2e-06 2.3e-06 1.2e-06 2.2e-06 1.95e-06 2.2e-06 1.55e-06 1.75e-06 1.55e-06 2.35e-06 1.55e-06 1.2e-06 1.85e-06 1.75e-06 2.15e-06 1.1e-06 1.7e-06 1.1e-06 1.95e-06 1.75e-06 1.3e-06 2.6e-06 1.6e-06 1.65e-06 1.75e-06 2.55e-06 1.5e-06 1.5e-06 2.25e-06 1.95e-06 1.85e-06 1.75e-06 1.5e-06 1.75e-06 1.8e-06 1.8e-06 1.95e-06 2.15e-06 2e-06 2.15e-06 1.85e-06 2e-06 1.5e-06 2.35e-06 1.5e-06 1.5e-06 1.55e-06 2.2e-06 1.95e-06 1.2e-06 2.45e-06
5 1.7e-06 2.35e-06 2.4e-06 1.5e-06 1.95e-06 2.8e-06 2.25e-06 2.15e-06 2e-06 2.05e-06 2.75e-06 2e-06 1.5e-06 2.65e-06 2.15e-06 2.75e-06 1.4e-06 2.1e-06 1.4e-06 2.25e-06 2.35e-06 1.65e-06 2.5e-06 2.5e-06 1.8e-06 1.75e-06 2.15e-06 2.1e-06 2e-06 2.5e-06 1.75e-06 2.3e-06 1.95e-06 2.35e-06 2e-06 2.25e-06 2e-06 2.75e-06 2.35e-06 2.4e-06 2.65e-06 2.3e-06 2.65e-06 1.8e-06 2.75e-06 1.75e-06 2e-06 2.2e-06 2.5e-06 2.3e-06 1.5e-06 2e-06
6 2.3e-06 2.1e-06 2.15e-06 2.5e-06 2.2e-06 2.25e-06 3e-06 2.4e-06 2.25e-06 2.6e-06 2.1e-06 2.25e-06 2.5e-06 1.9e-06 2.3e-06 2.2e-06 2.4e-06 2.25e-06 2.4e-06 1.9e-06 2e-06 2.2e-06 1.9e-06 2.45e-06 2.25e-06 2.1e-06 2.1e-06 2.35e-06 2e-06 2.2e-06 2.1e-06 2.55e-06 2.25e-06 2.05e-06 2.25e-06 2.3e-06 2.05e-06 2e-06 2.25e-06 2.15e-06 1.85e-06 2.55e-06 2.6e-06 2.25e-06 2.1e-06 2.45e-06 2.25e-06 1.8e-06 2.15e-06 2.05e-06 2.5e-06 1.85e-06
7 1.9e-06 2.25e-06 2.35e-06 1.6e-06 1.55e-06 2.15e-06 2.4e-06 3e-06 2e-06 1.9e-06 2.45e-06 1.95e-06 1.6e-06 1.9e-06 2e-06 2e-06 1.5e-06 1.95e-06 1.5e-06 2.2e-06 2.15e-06 1.7e-06 2.65e-06 1.8e-06 1.85e-06 1.95e-06 2.6e-06 1.5e-06 1.9e-06 2.45e-06 2.15e-06 2.2e-06 1.95e-06 1.95e-06 2e-06 1.75e-06 2.2e-06 1.9e-06 2.3e-06 2.15e-06 2.4e-06 1.9e-06 1.8e-06 1.9e-06 2.45e-06 1.9e-06 1.9e-06 2e-06 2.45e-06 2.2e-06 1.6e-06 2.45e-06
8 1.85e-06 1.75e-06 2e-06 1.5e-06 1.75e-06 2e-06 2.25e-06 2e-06 2.8e-06 1.9e-06 1.65e-06 1.9e-06 1.5e-06 2.2e-06 1.6e-06 2.05e-06 1.4e-06 1.55e-06 1.4e-06 2.35e-06 2.1e-06 1.6e-06 2.25e-06 2.2e-06 1.85e-06 2.1e-06 2.15e-06 1.95e-06 1.7e-06 2.45e-06 2.1e-06 1.95e-06 2.1e-06 2.05e-06 1.4e-06 2.25e-06 1.85e-06 2.3e-06 2.55e-06 1.85e-06 1.8e-06 2.2e-06 2.4e-06 1.7e-06 1.65e-06 1.55e-06 1.7e-06 2.1e-06 1.85e-06 1.7e-06 1.5e-06 2.45e-06
9 1.95e-06 2.45e-06 2.8e-06 9.5e-07 1.55e-06 2.05e-06 2.6e-06 1.9e-06 1.9e-06 1.9e-06 2.75e-06 2e-06 9.5e-07 2.5e-06 1.85e-06 2.8e-06 9.5e-07 1.8e-06 9.5e-07 2.55e-06 2.2e-06 1.45e-06 3e-06 2.55e-06 1.5e-06 1.9e-06 2.9e-06 1.85e-06 1.65e-06 2.8e-06 1.95e-06 1.8e-06 1.85e-06 2.3e-06 1.9e-06 1.5e-06 2.35e-06 2.6e-06 1.95e-06 2.15e-06 2.6e-06 2.2e-06 2.85e-06 1.7e-06 2.75e-06 1.8e-06 1.8e-06 2.05e-06 2.7e-06 2.4e-06 9.5e-07 2.95e-06
