 slim_761983339 slim_761983347 slim_761983324 slim_761983333 slim_761983323 slim_761983362 slim_761983342 slim_761983352 slim_761983361 slim_761983327 slim_761983358 slim_761983364 slim_761983346 slim_761983354 slim_761983365 slim_761983334 slim_761983335 slim_761983332 slim_761983326 slim_761983351 slim_761983328 slim_761983341 slim_761983357 slim_761983363 slim_761983356 slim_761983353 slim_761983337 slim_761983366 slim_761983325 slim_761983329 slim_761983371 slim_761983372 slim_761983336 slim_761983330 slim_761983350 slim_761983344 slim_761983368 slim_761983367 slim_761983369 slim_761983355 slim_761983348 slim_761983340 slim_761983338 slim_761983331 slim_761983359 slim_761983370 slim_761983360 slim_761983349 slim_761983345 slim_761983343
0 0.0001587 0.0001224 0.00012405 0.00014005 0.0001132 9.985e-05 9.855e-05 8.54e-05 0.00012835 0.00010335 0.000139 0.0001382 9.72e-05 0.0001233 0.0001034 0.00011725 0.000136 0.00011265 0.00014 0.00011655 0.00011405 0.00012295 0.00011645 0.0001138 8.26e-05 9.135e-05 9.12e-05 9.44e-05 8.855e-05 7.945e-05 0.00011645 9.135e-05 0.0001283 0.00012735 0.00014065 0.00011305 9.14e-05 9.125e-05 0.00012995 0.00011695 9.73e-05 8.975e-05 0.00013595 0.00010145 0.00011575 8.535e-05 0.00011635 0.0001493 9.75e-05 9.725e-05
1 0.0001224 0.0001641 0.0001358 0.0001501 0.00010545 8.435e-05 0.0001221 0.0001457 8.94e-05 8.95e-05 0.0001739 0.0001054 8.21e-05 0.00013015 8.95e-05 0.00016195 0.0001288 0.0001058 0.000158 0.00013645 8.96e-05 0.0001207 0.00016185 0.00011005 0.00011485 0.00013025 0.0001138 9.02e-05 8.305e-05 0.00012245 0.00016185 0.00011395 8.935e-05 0.0001386 0.0001568 0.00010535 0.000114 0.00011385 0.0001215 0.000114 8.205e-05 0.0001221 0.0001381 9.06e-05 0.0001056 0.00014565 0.00011385 0.00017475 8.22e-05 8.215e-05
2 0.00012405 0.0001358 0.0001709 9.76e-05 0.0001052 0.00011495 0.00012015 0.0001286 0.00014105 0.00011805 0.0001407 0.0001282 0.0001127 0.00013085 0.0001181 0.00013865 0.0001418 0.0001284 0.0001055 0.00011465 0.0001259 0.00012435 0.00013945 0.0001209 0.0001128 0.00013355 0.00012055 0.00011005 0.0001049 0.000124 0.00013945 0.0001206 0.000141 0.0001349 9.55e-05 0.00010515 0.00012075 0.0001206 0.00013645 0.0001189 0.0001128 0.0001114 0.00013885 0.00011685 0.00012375 0.00012855 0.0001436 0.0001239 0.000113 0.00011265
3 0.00014005 0.0001501 9.76e-05 0.0001313 9.725e-05 0.00013085 0.00016045 0.000169 0.00015395 0.00013255 0.00011715 0.00011865 0.0001285 0.00013165 0.0001326 0.00015175 0.0001503 0.00014125 8.81e-05 0.000134 0.00013955 0.0001442 0.00015165 0.00013855 0.00014485 0.0001611 0.00014865 0.0001284 0.00012465 0.0001401 0.00015165 0.0001488 0.0001539 0.0001334 6.565e-05 9.705e-05 0.00014885 0.0001487 0.00014635 0.000141 0.0001286 0.00014985 0.00014195 0.00013045 0.0001511 0.00016895 0.0001702 9.995e-05 0.0001288 0.00012855
4 0.0001132 0.00010545 0.0001052 9.725e-05 8.29e-05 4.645e-05 0.00014885 0.0001652 0.0001205 5.66e-05 0.0001512 0.00010545 4.15e-05 0.0001102 5.655e-05 0.00017195 0.0001172 8.12e-05 0.0001317 0.00013425 8.55e-05 0.00011585 0.00017235 9.68e-05 0.0001086 0.00013655 0.00010325 6.17e-05 4.67e-05 0.00011315 0.00017235 0.0001033 0.00012045 0.00012065 0.00012315 4.15e-05 0.00010345 0.0001033 0.0001021 0.00010125 4.155e-05 0.00011485 0.0001507 5.2e-05 0.0001162 0.00016515 0.0001672 0.0001662 4.165e-05 4.145e-05
5 9.985e-05 8.435e-05 0.00011495 0.00013085 4.645e-05 1.03e-05 0.0001326 0.0001492 9.675e-05 1.75e-05 0.0001747 0.0001257 5.2e-06 9.485e-05 1.755e-05 0.00016685 9.495e-05 4.87e-05 0.00014985 0.00011835 6.445e-05 8.81e-05 0.0001672 6.96e-05 9.08e-05 0.00010795 7.71e-05 3.1e-05 1.88e-05 9.98e-05 0.0001672 7.71e-05 9.67e-05 0.00011195 0.00014695 4.645e-05 7.73e-05 7.715e-05 8.26e-05 7.65e-05 5.15e-06 9.645e-05 0.0001485 2.225e-05 8.705e-05 0.00014915 0.00015635 0.00017955 5.3e-06 5.15e-06
6 9.855e-05 0.0001221 0.00012015 0.00016045 0.00014885 0.0001326 8.56e-05 4.295e-05 0.00012025 0.000131 0.0001499 0.0001381 0.00013265 0.00015215 0.00013105 0.00010715 0.00014605 0.0001345 0.00015725 0.00010265 0.0001374 0.00011765 0.00010705 0.0001251 7.45e-05 7.1e-05 8.77e-05 0.00011745 0.0001194 9.86e-05 0.00010705 8.785e-05 0.0001202 0.0001565 0.0001606 0.0001487 8.79e-05 8.775e-05 0.0001478 0.00011885 0.00013275 6.835e-05 0.000146 0.0001372 8.505e-05 4.29e-05 7.71e-05 0.0001636 0.00013295 0.0001327
7 8.54e-05 0.0001457 0.0001286 0.000169 0.0001652 0.0001492 4.295e-05 3e-07 0.0001426 0.0001461 0.0001346 0.0001617 0.000149 0.00015975 0.00014615 8.525e-05 0.00015325 0.00014685 0.00016205 8.69e-05 0.0001489 0.000124 8.31e-05 0.0001327 6.125e-05 4.15e-05 7.455e-05 0.00013255 0.00013575 8.545e-05 8.31e-05 7.47e-05 0.00014255 0.0001641 0.0001656 0.00016505 7.46e-05 7.46e-05 0.00015625 0.00012645 0.0001491 5.52e-05 0.00015415 0.00015355 0.0001107 1.5e-07 7.12e-05 0.00016145 0.0001493 0.00014905
8 0.00012835 8.94e-05 0.00014105 0.00015395 0.0001205 9.675e-05 0.00012025 0.0001426 0.0001629 8.94e-05 0.00016495 0.00011255 9.71e-05 0.0001304 8.945e-05 0.000153 0.0001162 0.00010845 0.0001533 0.00013955 8.95e-05 0.0001057 0.0001529 0.00011015 0.0001208 0.00012705 0.00011975 9.01e-05 9.81e-05 0.0001284 0.0001529 0.0001199 8.145e-05 0.0001387 0.00016065 0.00012035 0.00011995 0.0001198 0.000124 0.0001143 9.72e-05 0.00012805 0.00012935 0.0001056 0.00010045 0.00014255 0.00011195 0.0001637 9.74e-05 9.715e-05
9 0.00010335 8.95e-05 0.00011805 0.00013255 5.66e-05 1.75e-05 0.000131 0.0001461 8.94e-05 3.05e-05 0.00016605 0.0001307 1.53e-05 9.295e-05 1.535e-05 0.0001582 8.295e-05 4.92e-05 0.00014575 0.0001193 6.22e-05 7.37e-05 0.00015855 6.755e-05 9.43e-05 0.00010475 8.06e-05 2.875e-05 2.895e-05 0.0001033 0.00015855 8.06e-05 8.935e-05 0.0001099 0.00014865 5.655e-05 8.08e-05 8.065e-05 8.295e-05 7.445e-05 1.54e-05 9.995e-05 0.0001403 3.235e-05 8.245e-05 0.00014605 0.00015475 0.0001691 1.56e-05 1.525e-05
