 slim_762274033 slim_762274050 slim_762274038 slim_762274048 slim_762274032 slim_762274049 slim_762274069 slim_762274074 slim_762274041 slim_762274055 slim_762274072 slim_762274071 slim_762274056 slim_762274076 slim_762274037 slim_762274057 slim_762274054 slim_762274031 slim_762274059 slim_762274053 slim_762274052 slim_762274075 slim_762274039 slim_762274060 slim_762274066 slim_762274065 slim_762274067 slim_762274051 slim_762274068 slim_762274046 slim_762274034 slim_762274073 slim_762274040 slim_762274044 slim_762274070 slim_762274063 slim_762274058 slim_762274061 slim_762274064 slim_762274035 slim_762274043 slim_762274047 slim_762274042 slim_762274030 slim_762274045 slim_762274036 slim_762274062
0 1.3e-06 9e-07 1.4e-06 1.7e-06 1.55e-06 1.8e-06 8.5e-07 1.75e-06 1.9e-06 1.65e-06 1.25e-06 1.85e-06 2.05e-06 9.5e-07 1.8e-06 1.25e-06 2.6e-06 9e-07 1.55e-06 2.1e-06 1.8e-06 2.4e-06 8.5e-07 1.6e-06 1.15e-06 2.1e-06 1.45e-06 1.65e-06 9.5e-07 7e-07 9e-07 6.5e-07 1.9e-06 1.15e-06 1.55e-06 1.7e-06 1.2e-06 2e-06 1.45e-06 1.8e-06 1.2e-06 1.1e-06 1.05e-06 2e-06 7.5e-07 9e-07 1.05e-06
1 9e-07 1.4e-06 1.25e-06 1.7e-06 1.2e-06 1.55e-06 1e-06 1.65e-06 1.65e-06 1.65e-06 1.45e-06 1.65e-06 1.95e-06 9e-07 1.65e-06 1.2e-06 2.55e-06 7e-07 1.5e-06 2e-06 1.65e-06 2.25e-06 1e-06 1.55e-06 1.3e-06 2e-06 1.65e-06 1.6e-06 1.15e-06 1.1e-06 8e-07 7e-07 1.9e-06 1.15e-06 1.65e-06 1.7e-06 1e-06 2e-06 1.35e-06 1.85e-06 1.2e-06 1.1e-06 1.1e-06 1.8e-06 1e-06 8e-07 1.2e-06
2 1.4e-06 1.25e-06 1.3e-06 1.3e-06 1.35e-06 1.4e-06 1e-06 1.45e-06 1.55e-06 1.4e-06 1.4e-06 1.35e-06 1.8e-06 8.5e-07 1.7e-06 1.2e-06 2.3e-06 1.25e-06 1.55e-06 1.65e-06 1.35e-06 2e-06 1.2e-06 1.65e-06 1.1e-06 1.65e-06 1.85e-06 1.8e-06 1.5e-06 1.5e-06 1e-06 1.35e-06 1.8e-06 1.05e-06 1.6e-06 1.7e-06 1.35e-06 1.85e-06 1.45e-06 2.15e-06 1.3e-06 1e-06 1.15e-06 1.25e-06 1.5e-06 1e-06 1.2e-06
3 1.7e-06 1.7e-06 1.3e-06 1.9e-06 1.4e-06 1.75e-06 1.25e-06 1.55e-06 1.85e-06 1.65e-06 1.65e-06 1.8e-06 1.4e-06 1.4e-06 1.65e-06 1.75e-06 2e-06 1.7e-06 1.45e-06 1.7e-06 1.7e-06 1.8e-06 1.45e-06 1.9e-06 1.3e-06 1.7e-06 1.55e-06 1.9e-06 1.75e-06 1.65e-06 1.65e-06 1.75e-06 1.9e-06 1.4e-06 1.3e-06 2.05e-06 1.8e-06 2.05e-06 1.9e-06 2.15e-06 1.65e-06 1.35e-06 1.55e-06 1.45e-06 1.8e-06 1.65e-06 1.4e-06
4 1.55e-06 1.2e-06 1.35e-06 1.4e-06 1.6e-06 1.5e-06 1.35e-06 1.55e-06 1.6e-06 1.9e-06 1.75e-06 1.65e-06 1.5e-06 1.2e-06 1.45e-06 1.55e-06 2.25e-06 1.2e-06 1.35e-06 1.95e-06 1.7e-06 1.95e-06 1.25e-06 1.9e-06 1.45e-06 1.95e-06 1.5e-06 1.9e-06 1.55e-06 1.45e-06 1.35e-06 1.6e-06 2.1e-06 1.6e-06 1.5e-06 2.1e-06 1.3e-06 2.15e-06 1.7e-06 2.25e-06 1.75e-06 1.55e-06 1.35e-06 1.65e-06 1.65e-06 1.35e-06 1.55e-06
5 1.8e-06 1.55e-06 1.4e-06 1.75e-06 1.5e-06 2.3e-06 1.6e-06 1.45e-06 1.3e-06 1.95e-06 1.8e-06 1.55e-06 1.75e-06 1.4e-06 1.85e-06 1.75e-06 1.6e-06 1.55e-06 1.85e-06 1.4e-06 1.35e-06 1.3e-06 1.7e-06 1.75e-06 1.7e-06 1.4e-06 2.1e-06 1.55e-06 1.95e-06 1.95e-06 1.45e-06 1.65e-06 1.9e-06 1.6e-06 1.95e-06 2e-06 1.75e-06 2.1e-06 1.9e-06 2e-06 1.6e-06 1.55e-06 1.65e-06 1.35e-06 1.9e-06 1.45e-06 1.8e-06
6 8.5e-07 1e-06 1e-06 1.25e-06 1.35e-06 1.6e-06 5e-07 1.35e-06 1.7e-06 1.35e-06 1.2e-06 1.55e-06 1.7e-06 6e-07 1.4e-06 9.5e-07 2.2e-06 1e-06 1.25e-06 1.85e-06 1.5e-06 2.2e-06 8e-07 1.55e-06 1e-06 1.85e-06 1.15e-06 1.65e-06 9.5e-07 9e-07 8.5e-07 8.5e-07 1.7e-06 1e-06 9.5e-07 1.45e-06 1.1e-06 1.7e-06 1.2e-06 1.8e-06 1.15e-06 9.5e-07 9e-07 1.7e-06 9.5e-07 8.5e-07 6.5e-07
7 1.75e-06 1.65e-06 1.45e-06 1.55e-06 1.55e-06 1.45e-06 1.35e-06 2.2e-06 1.55e-06 1.9e-06 1.75e-06 1.75e-06 1.7e-06 1.35e-06 1.85e-06 1.75e-06 1.55e-06 1.65e-06 1.75e-06 1.55e-06 1.5e-06 1.45e-06 1.55e-06 1.95e-06 1.55e-06 1.55e-06 1.8e-06 1.7e-06 1.8e-06 1.7e-06 1.6e-06 1.8e-06 2e-06 1.65e-06 1.65e-06 2.1e-06 1.75e-06 2.15e-06 1.9e-06 1.95e-06 1.75e-06 1.6e-06 1.5e-06 1.45e-06 1.85e-06 1.6e-06 1.5e-06
8 1.9e-06 1.65e-06 1.55e-06 1.85e-06 1.6e-06 1.3e-06 1.7e-06 1.55e-06 2.5e-06 2.05e-06 1.9e-06 1.7e-06 1.85e-06 1.55e-06 1.95e-06 1.9e-06 1.7e-06 1.65e-06 1.95e-06 1.5e-06 1.45e-06 1.4e-06 1.8e-06 1.85e-06 1.8e-06 1.5e-06 2.2e-06 1.65e-06 2.05e-06 2.05e-06 1.6e-06 1.75e-06 2e-06 1.7e-06 2.05e-06 2.15e-06 1.85e-06 2.2e-06 2e-06 2.1e-06 1.7e-06 1.65e-06 1.75e-06 1.45e-06 2e-06 1.6e-06 1.85e-06
9 1.65e-06 1.65e-06 1.4e-06 1.65e-06 1.9e-06 1.95e-06 1.35e-06 1.9e-06 2.05e-06 2.1e-06 1.65e-06 1.95e-06 2.05e-06 1.5e-06 1.65e-06 1.5e-06 2.35e-06 1.65e-06 1.7e-06 1.8e-06 1.8e-06 2.1e-06 1.6e-06 1.9e-06 1.4e-06 1.8e-06 2.1e-06 1.95e-06 1.5e-06 1.75e-06 1.6e-06 1.55e-06 1.55e-06 1.35e-06 1.85e-06 1.5e-06 1.55e-06 1.85e-06 1.45e-06 1.8e-06 1.5e-06 1.3e-06 1.65e-06 1.65e-06 1.75e-06 1.6e-06 1.55e-06
10 1.25e-06 1.45e-06 1.4e-06 1.65e-06 1.75e-06 1.8e-06 1.2e-06 1.75e-06 1.9e-06 1.65e-06 2.1e-06 1.8e-06 1.95e-06 1.3e-06 1.95e-06 1.65e-06 2.3e-06 1.45e-06 1.85e-06 1.6e-06 1.7e-06 2e-06 1.15e-06 1.8e-06 1.2e-06 1.6e-06 1.75e-06 1.85e-06 1.45e-06 1.1e-06 1.45e-06 1.45e-06 1.85e-06 1.4e-06 1.75e-06 1.85e-06 1.65e-06 2.05e-06 1.75e-06 2.1e-06 1.3e-06 1.35e-06 1.3e-06 1.7e-06 1.25e-06 1.45e-06 1.35e-06
11 1.85e-06 1.65e-06 1.35e-06 1.8e-06 1.65e-06 1.55e-06 1.55e-06 1.75e-06 1.7e-06 1.95e-06 1.8e-06 2.2e-06 1.6e-06 1.25e-06 1.95e-06 1.7e-06 2.4e-06 1.65e-06 1.9e-06 1.8e-06 1.65e-06 2.05e-06 1.75e-06 1.5e-06 1.75e-06 1.8e-06 2.25e-06 2e-06 2e-06 2.05e-06 1.45e-06 1.7e-06 2.05e-06 1.6e-06 2e-06 2.1e-06 1.8e-06 1.8e-06 1.85e-06 2.3e-06 1.6e-06 1.55e-06 1.65e-06 1.65e-06 1.95e-06 1.45e-06 1.75e-06
12 2.05e-06 1.95e-06 1.8e-06 1.4e-06 1.5e-06 1.75e-06 1.7e-06 1.7e-06 1.85e-06 2.05e-06 1.95e-06 1.6e-06 2e-06 1.8e-06 1.7e-06 2.15e-06 1.9e-06 1.95e-06 1.65e-06 1.7e-06 1.9e-06 1.65e-06 1.85e-06 1.7e-06 1.8e-06 1.7e-06 1.75e-06 1.95e-06 2.1e-06 2.05e-06 1.95e-06 2e-06 2e-06 1.85e-06 1.55e-06 2.3e-06 2.1e-06 1.95e-06 2.15e-06 2.15e-06 1.85e-06 1.8e-06 1.95e-06 1.65e-06 2.15e-06 1.95e-06 1.85e-06
13 9.5e-07 9e-07 8.5e-07 1.4e-06 1.2e-06 1.4e-06 6e-07 1.35e-06 1.55e-06 1.5e-06 1.3e-06 1.25e-06 1.8e-06 7e-07 1.55e-06 8.5e-07 2.5e-06 9e-07 1.3e-06 1.95e-06 1.4e-06 2.3e-06 8e-07 1.6e-06 1.1e-06 1.95e-06 1.45e-06 1.75e-06 1.05e-06 1e-06 7e-07 9.5e-07 1.85e-06 1.1e-06 1.35e-06 1.55e-06 1e-06 1.8e-06 1.15e-06 2e-06 1.25e-06 1.05e-06 8.5e-07 1.7e-06 1.05e-06 7e-07 8e-07
14 1.8e-06 1.65e-06 1.7e-06 1.65e-06 1.45e-06 1.85e-06 1.4e-06 1.85e-06 1.95e-06 1.65e-06 1.95e-06 1.95e-06 1.7e-06 1.55e-06 2.4e-06 1.75e-06 2.2e-06 1.65e-06 1.6e-06 2e-06 1.9e-06 2.05e-06 1.7e-06 2e-06 1.75e-06 2e-06 1.7e-06 2e-06 1.75e-06 1.85e-06 1.65e-06 1.7e-06 1.95e-06 1.75e-06 1.55e-06 1.9e-06 1.7e-06 2.15e-06 1.7e-06 2.05e-06 1.8e-06 1.7e-06 1.75e-06 1.85e-06 1.9e-06 1.65e-06 1.75e-06
15 1.25e-06 1.2e-06 1.2e-06 1.75e-06 1.55e-06 1.75e-06 9.5e-07 1.75e-06 1.9e-06 1.5e-06 1.65e-06 1.7e-06 2.15e-06 8.5e-07 1.75e-06 1.5e-06 2.8e-06 1.2e-06 1.35e-06 2.25e-06 1.75e-06 2.6e-06 1.2e-06 1.85e-06 1.45e-06 2.25e-06 1.85e-06 2e-06 1.1e-06 1.4e-06 1e-06 1.15e-06 1.85e-06 1.35e-06 1.7e-06 1.55e-06 1.05e-06 1.65e-06 1.2e-06 1.95e-06 1.5e-06 1.3e-06 1.25e-06 2e-06 1.35e-06 1e-06 1.2e-06
16 2.6e-06 2.55e-06 2.3e-06 2e-06 2.25e-06 1.6e-06 2.2e-06 1.55e-06 1.7e-06 2.35e-06 2.3e-06 2.4e-06 1.9e-06 2.5e-06 2.2e-06 2.8e-06 7e-07 2.55e-06 2.45e-06 1.05e-06 1.7e-06 5e-07 2.5e-06 2.35e-06 2.2e-06 1.05e-06 2.35e-06 1.5e-06 2.7e-06 2.6e-06 2.6e-06 2.55e-06 2e-06 2.25e-06 2.15e-06 2.45e-06 2.75e-06 2.6e-06 2.8e-06 1.9e-06 2.2e-06 2.2e-06 2.55e-06 1.4e-06 2.7e-06 2.6e-06 2.5e-06
17 9e-07 7e-07 1.25e-06 1.7e-06 1.2e-06 1.55e-06 1e-06 1.65e-06 1.65e-06 1.65e-06 1.45e-06 1.65e-06 1.95e-06 9e-07 1.65e-06 1.2e-06 2.55e-06 1.4e-06 1.5e-06 2e-06 1.65e-06 2.25e-06 1e-06 1.55e-06 1.3e-06 2e-06 1.65e-06 1.6e-06 1.15e-06 1.1e-06 8e-07 7e-07 1.9e-06 1.15e-06 1.65e-06 1.7e-06 1e-06 2e-06 1.35e-06 1.85e-06 1.2e-06 1.1e-06 1.1e-06 1.8e-06 1e-06 8e-07 1.2e-06
18 1.55e-06 1.5e-06 1.55e-06 1.45e-06 1.35e-06 1.85e-06 1.25e-06 1.75e-06 1.95e-06 1.7e-06 1.85e-06 1.9e-06 1.65e-06 1.3e-06 1.6e-06 1.35e-06 2.45e-06 1.5e-06 2.2e-06 2.15e-06 1.9e-06 2.25e-06 1.35e-06 1.95e-06 1.6e-06 2.15e-06 1.6e-06 2e-06 1.35e-06 1.6e-06 1.45e-06 1.5e-06 1.9e-06 1.6e-06 1.45e-06 1.85e-06 1.35e-06 1.9e-06 1.55e-06 1.95e-06 1.75e-06 1.55e-06 1.55e-06 1.95e-06 1.65e-06 1.45e-06 1.45e-06
19 2.1e-06 2e-06 1.65e-06 1.7e-06 1.95e-06 1.4e-06 1.85e-06 1.55e-06 1.5e-06 1.8e-06 1.6e-06 1.8e-06 1.7e-06 1.95e-06 2e-06 2.25e-06 1.05e-06 2e-06 2.15e-06 1.4e-06 1.35e-06 7e-07 2.05e-06 1.75e-06 1.75e-06 7e-07 2.35e-06 1.35e-06 2.35e-06 2.3e-06 1.95e-06 1.9e-06 1.6e-06 1.6e-06 2.05e-06 1.9e-06 2.3e-06 2.1e-06 2.2e-06 1.8e-06 1.35e-06 1.55e-06 2.05e-06 1.1e-06 2.2e-06 1.95e-06 2.05e-06
20 1.8e-06 1.65e-06 1.35e-06 1.7e-06 1.7e-06 1.35e-06 1.5e-06 1.5e-06 1.45e-06 1.8e-06 1.7e-06 1.65e-06 1.9e-06 1.4e-06 1.9e-06 1.75e-06 1.7e-06 1.65e-06 1.9e-06 1.35e-06 2.1e-06 1.4e-06 1.7e-06 1.8e-06 1.65e-06 1.35e-06 2.2e-06 1.6e-06 2e-06 2e-06 1.5e-06 1.65e-06 1.8e-06 1.5e-06 1.9e-06 1.8e-06 1.85e-06 2.1e-06 1.75e-06 2e-06 1.5e-06 1.45e-06 1.6e-06 1.35e-06 1.9e-06 1.5e-06 1.65e-06
21 2.4e-06 2.25e-06 2e-06 1.8e-06 1.95e-06 1.3e-06 2.2e-06 1.45e-06 1.4e-06 2.1e-06 2e-06 2.05e-06 1.65e-06 2.3e-06 2.05e-06 2.6e-06 5e-07 2.25e-06 2.25e-06 7e-07 1.4e-06 3e-07 2.3e-06 2e-06 2e-06 7e-07 2.35e-06 1.25e-06 2.6e-06 2.5e-06 2.3e-06 2.25e-06 1.75e-06 1.95e-06 2.15e-06 2.25e-06 2.55e-06 2.35e-06 2.55e-06 1.75e-06 1.8e-06 1.9e-06 2.35e-06 1e-06 2.5e-06 2.3e-06 2.4e-06
22 8.5e-07 1e-06 1.2e-06 1.45e-06 1.25e-06 1.7e-06 8e-07 1.55e-06 1.8e-06 1.6e-06 1.15e-06 1.75e-06 1.85e-06 8e-07 1.7e-06 1.2e-06 2.5e-06 1e-06 1.35e-06 2.05e-06 1.7e-06 2.3e-06 9e-07 1.9e-06 9e-07 2.05e-06 1.2e-06 1.9e-06 9e-07 4.5e-07 1.1e-06 1.25e-06 1.95e-06 1.35e-06 1.4e-06 1.75e-06 1.1e-06 2.05e-06 1.4e-06 2.15e-06 1.5e-06 1.3e-06 8.5e-07 1.9e-06 9.5e-07 1.1e-06 9e-07
23 1.6e-06 1.55e-06 1.65e-06 1.9e-06 1.9e-06 1.75e-06 1.55e-06 1.95e-06 1.85e-06 1.9e-06 1.8e-06 1.5e-06 1.7e-06 1.6e-06 2e-06 1.85e-06 2.35e-06 1.55e-06 1.95e-06 1.75e-06 1.8e-06 2e-06 1.9e-06 2.3e-06 1.85e-06 1.75e-06 2.3e-06 1.7e-06 1.95e-06 2.1e-06 1.4e-06 1.15e-06 1.9e-06 1.4e-06 2e-06 2e-06 1.9e-06 1.65e-06 1.9e-06 1.9e-06 1.3e-06 1.35e-06 1.85e-06 1.75e-06 1.7e-06 1.4e-06 1.8e-06
