 slim_762482295 slim_762482306 slim_762482298 slim_762482293 slim_762482324 slim_762482301 slim_762482290 slim_762482305 slim_762482291 slim_762482287 slim_762482289 slim_762482321 slim_762482318 slim_762482304 slim_762482311 slim_762482308 slim_762482320 slim_762482286 slim_762482313 slim_762482322 slim_762482317 slim_762482310 slim_762482327 slim_762482300 slim_762482307 slim_762482292 slim_762482299 slim_762482294 slim_762482325 slim_762482319 slim_762482283 slim_762482309 slim_762482284 slim_762482297 slim_762482316 slim_762482315 slim_762482302 slim_762482303 slim_762482285 slim_762482296 slim_762482326 slim_762482323 slim_762482288 slim_762482314 slim_762482312
0 2.5e-06 1.55e-06 1.8e-06 1.4e-06 1.35e-06 2.25e-06 1.75e-06 2.05e-06 1.85e-06 1.65e-06 1.5e-06 2.15e-06 1.55e-06 2.25e-06 1.95e-06 1.45e-06 1.9e-06 1.25e-06 1.4e-06 1.65e-06 1.5e-06 1.7e-06 2.05e-06 2.15e-06 1.6e-06 1.3e-06 1.85e-06 1.75e-06 2e-06 2.15e-06 1.3e-06 1.95e-06 1.5e-06 1.35e-06 1.9e-06 2.1e-06 1.95e-06 1.35e-06 1.75e-06 1.8e-06 2.15e-06 1.65e-06 1.35e-06 1.5e-06 1.8e-06
1 1.55e-06 1.9e-06 1.7e-06 1.45e-06 1.05e-06 2.45e-06 1.95e-06 2.1e-06 2.1e-06 1.55e-06 1.2e-06 2.4e-06 1.65e-06 2.3e-06 2e-06 1.35e-06 1.75e-06 1.05e-06 1.55e-06 1.25e-06 1.4e-06 1.3e-06 2.1e-06 2.4e-06 1.7e-06 9.5e-07 1.85e-06 1.65e-06 1.85e-06 2.05e-06 1.1e-06 2.05e-06 1.3e-06 1.1e-06 1.25e-06 2.05e-06 2.05e-06 1.05e-06 1.35e-06 1.5e-06 1.95e-06 1.3e-06 1.3e-06 1.4e-06 1.5e-06
2 1.8e-06 1.7e-06 1.9e-06 1.7e-06 1.45e-06 1.95e-06 1.5e-06 1.6e-06 1.6e-06 1.55e-06 1.75e-06 1.65e-06 1.1e-06 1.75e-06 1.25e-06 1.35e-06 1.3e-06 1.55e-06 1.3e-06 1.7e-06 1.2e-06 1.7e-06 1.5e-06 1.75e-06 1.15e-06 1.5e-06 1.8e-06 1.6e-06 1.85e-06 1.4e-06 1.6e-06 1.4e-06 1.8e-06 1.65e-06 1.9e-06 1.9e-06 1.35e-06 1.45e-06 1.8e-06 1.35e-06 1.85e-06 1.55e-06 1.35e-06 1.3e-06 1.6e-06
3 1.4e-06 1.45e-06 1.7e-06 2.3e-06 1.25e-06 2e-06 1.5e-06 1.95e-06 1.6e-06 1.55e-06 1.35e-06 1.9e-06 1.45e-06 2.15e-06 1.85e-06 1.35e-06 1.8e-06 1.25e-06 1.35e-06 1.55e-06 1.4e-06 1.6e-06 1.95e-06 1.9e-06 1.5e-06 1.2e-06 1.85e-06 1.65e-06 1.9e-06 2.05e-06 1.3e-06 1.85e-06 1.5e-06 1.35e-06 1.8e-06 1.85e-06 1.85e-06 1.25e-06 1.65e-06 1.7e-06 2.05e-06 1.55e-06 1.3e-06 1.4e-06 1.7e-06
4 1.35e-06 1.05e-06 1.45e-06 1.25e-06 3e-07 2.55e-06 2e-06 2.2e-06 2.2e-06 9.5e-07 1.2e-06 2.5e-06 1.65e-06 2.35e-06 2e-06 1e-06 1.85e-06 2.5e-07 1.2e-06 1.1e-06 1.35e-06 1.2e-06 2.1e-06 2.5e-06 1.7e-06 2e-07 1.5e-06 1.3e-06 1.5e-06 1.9e-06 3e-07 2.05e-06 5e-07 3.5e-07 1.95e-06 2.35e-06 2.05e-06 1.5e-07 1.2e-06 9e-07 2.25e-06 1.8e-06 7.5e-07 9.5e-07 1.9e-06
5 2.25e-06 2.45e-06 1.95e-06 2e-06 2.55e-06 2.8e-06 1.55e-06 1.5e-06 1.6e-06 2.4e-06 2.3e-06 1.8e-06 1.5e-06 1.75e-06 1.85e-06 2.05e-06 1.9e-06 2.6e-06 1.8e-06 2.35e-06 1.9e-06 2.35e-06 1.5e-06 1.5e-06 1.55e-06 2.55e-06 2.15e-06 1.95e-06 2.1e-06 1.95e-06 2.65e-06 1.5e-06 2.85e-06 2.7e-06 2.25e-06 1.95e-06 1.45e-06 2.55e-06 2.45e-06 2.6e-06 1.8e-06 1.9e-06 2.2e-06 2.05e-06 2.05e-06
6 1.75e-06 1.95e-06 1.5e-06 1.5e-06 2e-06 1.55e-06 1.3e-06 1.5e-06 8e-07 2.05e-06 1.8e-06 1.3e-06 1.05e-06 1.95e-06 1.4e-06 1.35e-06 1.6e-06 2.05e-06 1.3e-06 2.05e-06 1.45e-06 2.05e-06 1.65e-06 1.65e-06 1.1e-06 2e-06 2.2e-06 2e-06 2.25e-06 2.1e-06 2.1e-06 1.55e-06 2.3e-06 2.15e-06 2e-06 1.75e-06 1.7e-06 2e-06 2.15e-06 2.15e-06 2.1e-06 1.5e-06 1.65e-06 1.35e-06 1.55e-06
7 2.05e-06 2.1e-06 1.6e-06 1.95e-06 2.2e-06 1.5e-06 1.5e-06 1.9e-06 1.55e-06 2.05e-06 2.15e-06 1.9e-06 1.05e-06 1.4e-06 1.5e-06 1.55e-06 1.6e-06 2.25e-06 1.4e-06 2e-06 1.5e-06 2e-06 1.05e-06 1.4e-06 1.1e-06 2.2e-06 1.75e-06 1.55e-06 1.7e-06 1.65e-06 2.3e-06 1.05e-06 2.5e-06 2.35e-06 1.9e-06 1.9e-06 1.05e-06 2.2e-06 2.1e-06 2.3e-06 1.4e-06 1.5e-06 1.85e-06 1.6e-06 1.7e-06
8 1.85e-06 2.1e-06 1.6e-06 1.6e-06 2.2e-06 1.6e-06 8e-07 1.55e-06 1.3e-06 2.15e-06 1.95e-06 1.3e-06 1.05e-06 2e-06 1.45e-06 1.45e-06 1.65e-06 2.25e-06 1.3e-06 2.25e-06 1.55e-06 2.25e-06 1.7e-06 1.65e-06 1.1e-06 2.2e-06 2.3e-06 2.1e-06 2.4e-06 2.2e-06 2.3e-06 1.55e-06 2.5e-06 2.35e-06 2.15e-06 1.85e-06 1.7e-06 2.2e-06 2.35e-06 2.35e-06 2.2e-06 1.55e-06 1.75e-06 1.45e-06 1.6e-06
9 1.65e-06 1.55e-06 1.55e-06 1.55e-06 9.5e-07 2.4e-06 2.05e-06 2.05e-06 2.15e-06 1.6e-06 1.7e-06 2.15e-06 1.6e-06 2.1e-06 1.75e-06 1.3e-06 1.6e-06 9e-07 1.2e-06 1.55e-06 1.55e-06 1.65e-06 1.95e-06 2.1e-06 1.65e-06 8.5e-07 1.65e-06 1.45e-06 1.55e-06 1.85e-06 9.5e-07 1.85e-06 9.5e-07 1e-06 2.25e-06 2.25e-06 1.65e-06 9.5e-07 1.65e-06 1.35e-06 2.2e-06 1.95e-06 1e-06 1.4e-06 2.05e-06
