 slim_762362520 slim_762362515 slim_762362523 slim_762362481 slim_762362509 slim_762362510 slim_762362479 slim_762362487 slim_762362493 slim_762362484 slim_762362478 slim_762362489 slim_762362513 slim_762362480 slim_762362499 slim_762362508 slim_762362495 slim_762362511 slim_762362497 slim_762362512 slim_762362490 slim_762362507 slim_762362522 slim_762362517 slim_762362486 slim_762362483 slim_762362498 slim_762362501 slim_762362488 slim_762362521 slim_762362500 slim_762362504 slim_762362496 slim_762362506 slim_762362485 slim_762362502 slim_762362516 slim_762362477 slim_762362514 slim_762362503 slim_762362519 slim_762362505 slim_762362494 slim_762362492 slim_762362482 slim_762362491 slim_762362518
0 2.9e-06 2.2e-06 2.05e-06 2.55e-06 2e-06 2.65e-06 2.5e-06 2.4e-06 2.95e-06 2.4e-06 2e-06 2.4e-06 2.4e-06 1.85e-06 2.3e-06 2.05e-06 2e-06 2.25e-06 2.3e-06 2.1e-06 2.2e-06 2.3e-06 1.8e-06 2.25e-06 2.35e-06 2.3e-06 2.1e-06 2.25e-06 2.35e-06 2.5e-06 2.55e-06 1.85e-06 2.9e-06 2.8e-06 2.85e-06 2.6e-06 2.2e-06 2.45e-06 2.5e-06 2.4e-06 2.1e-06 1.9e-06 2.2e-06 1.75e-06 2.35e-06 2.05e-06 2.35e-06
1 2.2e-06 2e-06 2.15e-06 2.3e-06 2.2e-06 2.4e-06 2.2e-06 2.3e-06 2.55e-06 1.7e-06 2.15e-06 2.3e-06 2.5e-06 1.5e-06 1.7e-06 1.2e-06 2e-06 1.8e-06 2.3e-06 2.1e-06 2.2e-06 1.9e-06 1.7e-06 2.35e-06 1.85e-06 2.25e-06 1.35e-06 1.85e-06 1.85e-06 2.6e-06 2.25e-06 1.5e-06 2.65e-06 2.35e-06 2.4e-06 2.25e-06 1.15e-06 2.25e-06 2.4e-06 2.45e-06 2.35e-06 1.4e-06 1.8e-06 1.7e-06 1.65e-06 2e-06 1.65e-06
2 2.05e-06 2.15e-06 2.6e-06 2.1e-06 1.9e-06 2.7e-06 2.5e-06 1.8e-06 2.4e-06 2.5e-06 1.85e-06 1.8e-06 2.45e-06 1.8e-06 2.3e-06 2.15e-06 2e-06 2.35e-06 1.9e-06 1.35e-06 2.1e-06 2.3e-06 1.8e-06 1.65e-06 2.4e-06 1.4e-06 2.15e-06 1.85e-06 2.4e-06 2.05e-06 1.5e-06 1.95e-06 2.7e-06 2.2e-06 2.7e-06 1.4e-06 2.2e-06 2.45e-06 1.9e-06 2.3e-06 1.95e-06 1.95e-06 1.85e-06 1.65e-06 2.45e-06 1.95e-06 1.85e-06
3 2.55e-06 2.3e-06 2.1e-06 2.9e-06 2.4e-06 2.05e-06 2.15e-06 2.2e-06 2.6e-06 2.05e-06 2.6e-06 2.2e-06 2.75e-06 2.4e-06 1.65e-06 2.3e-06 2e-06 2.35e-06 2.2e-06 2.05e-06 2.6e-06 2.7e-06 2.3e-06 2.05e-06 2.65e-06 2.35e-06 2.15e-06 1.95e-06 2.65e-06 2.3e-06 1.8e-06 2.5e-06 2.25e-06 2.45e-06 2.95e-06 1.65e-06 2.15e-06 2.15e-06 2.3e-06 2.6e-06 2.8e-06 2.35e-06 2.3e-06 2.5e-06 2e-06 2.8e-06 2e-06
4 2e-06 2.2e-06 1.9e-06 2.4e-06 2.4e-06 1.9e-06 2e-06 2e-06 2.25e-06 2.4e-06 1.55e-06 2e-06 1.8e-06 1.8e-06 2.2e-06 2.2e-06 1.85e-06 2.05e-06 2.1e-06 1.95e-06 1.45e-06 2.05e-06 1.75e-06 2.05e-06 2.05e-06 2.2e-06 2.2e-06 2.3e-06 2.05e-06 2e-06 2.45e-06 1.9e-06 2.3e-06 2.1e-06 2e-06 2.5e-06 2.2e-06 2.05e-06 2.1e-06 1.7e-06 1.65e-06 1.95e-06 2e-06 1.6e-06 2.35e-06 1.65e-06 2.35e-06
5 2.65e-06 2.4e-06 2.7e-06 2.05e-06 1.9e-06 2.4e-06 1.65e-06 2.7e-06 2.3e-06 2e-06 2.45e-06 2.7e-06 2.05e-06 2.6e-06 1.65e-06 2.45e-06 1.85e-06 2e-06 2.3e-06 2.65e-06 1.85e-06 2.55e-06 2.5e-06 2.9e-06 2.3e-06 2.9e-06 2.3e-06 2.7e-06 2.3e-06 2.35e-06 2.95e-06 2.5e-06 1.7e-06 2.25e-06 2.2e-06 2.85e-06 2.25e-06 1.75e-06 2.8e-06 2.15e-06 2.7e-06 2.45e-06 2.6e-06 2.5e-06 1.95e-06 2.55e-06 2.8e-06
6 2.5e-06 2.2e-06 2.5e-06 2.15e-06 2e-06 1.65e-06 2.5e-06 2.4e-06 1.9e-06 1.95e-06 2e-06 2.4e-06 1.7e-06 2.25e-06 1.55e-06 2.2e-06 1.65e-06 1.75e-06 2.15e-06 2.4e-06 1.95e-06 2.2e-06 2.3e-06 2.7e-06 1.85e-06 2.5e-06 2.05e-06 2.55e-06 1.85e-06 2.4e-06 2.75e-06 2.2e-06 1.95e-06 2.1e-06 1.55e-06 2.75e-06 2.15e-06 1.6e-06 2.5e-06 2.2e-06 2.25e-06 2.2e-06 2.4e-06 2.2e-06 1.9e-06 2.1e-06 2.6e-06
7 2.4e-06 2.3e-06 1.8e-06 2.2e-06 2e-06 2.7e-06 2.4e-06 2.8e-06 2.25e-06 2.65e-06 1.8e-06 1.4e-06 2e-06 1.95e-06 2.5e-06 2.2e-06 2.3e-06 2.2e-06 2.05e-06 1.75e-06 2.1e-06 2e-06 2.1e-06 1.75e-06 2.15e-06 1.85e-06 2.2e-06 1.8e-06 2.15e-06 2.3e-06 1.55e-06 1.9e-06 2.85e-06 2.15e-06 2.2e-06 1.6e-06 2.4e-06 2.4e-06 1.5e-06 2.4e-06 1.75e-06 2e-06 1.85e-06 1.65e-06 2.6e-06 1.55e-06 1.8e-06
8 2.95e-06 2.55e-06 2.4e-06 2.6e-06 2.25e-06 2.3e-06 1.9e-06 2.25e-06 2.3e-06 2.6e-06 2.25e-06 2.25e-06 1.85e-06 2.55e-06 2.5e-06 2.5e-06 2.4e-06 1.95e-06 1.9e-06 2.35e-06 2.15e-06 2.45e-06 2.75e-06 2.8e-06 1.85e-06 2.1e-06 2.5e-06 2.5e-06 1.85e-06 2.15e-06 2.3e-06 2.35e-06 2.25e-06 1.75e-06 1.25e-06 2.3e-06 2.7e-06 2.2e-06 2.35e-06 2.6e-06 2.5e-06 2.55e-06 2.35e-06 2.3e-06 2.55e-06 2.15e-06 2.5e-06
9 2.4e-06 1.7e-06 2.5e-06 2.05e-06 2.4e-06 2e-06 1.95e-06 2.65e-06 2.6e-06 2.9e-06 2.5e-06 2.65e-06 2.5e-06 1.9e-06 1.45e-06 1.85e-06 1.85e-06 1.9e-06 2.3e-06 2.45e-06 2.4e-06 2.45e-06 2.25e-06 2.7e-06 2.25e-06 2.6e-06 1.75e-06 2.35e-06 2.25e-06 2.6e-06 2.6e-06 2.1e-06 2.3e-06 2.55e-06 2.55e-06 2.6e-06 2e-06 2e-06 2.75e-06 2.6e-06 2.7e-06 2.05e-06 2.35e-06 2.15e-06 1.45e-06 2.45e-06 2.05e-06
