 slim_761943180 slim_761943197 slim_761943194 slim_761943174 slim_761943184 slim_761943195 slim_761943169 slim_761943181 slim_761943173 slim_761943175 slim_761943187 slim_761943179 slim_761943165 slim_761943196 slim_761943183 slim_761943178 slim_761943166 slim_761943168 slim_761943172 slim_761943189 slim_761943193 slim_761943176 slim_761943191 slim_761943190 slim_761943171 slim_761943192 slim_761943170 slim_761943164 slim_761943177 slim_761943167 slim_761943188 slim_761943186 slim_761943185 slim_761943182
0 4.85e-05 2.445e-05 4.965e-05 3.91e-05 5.03e-05 3.9e-05 5.435e-05 3.84e-05 5.25e-05 5.66e-05 3.26e-05 5.37e-05 3.845e-05 6.605e-05 2.425e-05 3.92e-05 7.115e-05 4.38e-05 5.235e-05 4.96e-05 5.09e-05 3.84e-05 3.9e-05 5.315e-05 3.83e-05 5.25e-05 2.45e-05 5.315e-05 5.42e-05 4.935e-05 5.325e-05 2.425e-05 3.905e-05 5e-05
1 2.445e-05 6e-07 4.43e-05 2.195e-05 5.17e-05 4.615e-05 4.8e-05 3.865e-05 2.865e-05 5.79e-05 3.96e-05 3.345e-05 3.13e-05 5.06e-05 2.435e-05 4.62e-05 6.965e-05 4.53e-05 2.85e-05 4.425e-05 4.915e-05 1.45e-05 2.195e-05 3.62e-05 1.44e-05 2.865e-05 4.83e-05 3.62e-05 4.085e-05 4.4e-05 3.615e-05 2.435e-05 4.62e-05 5.145e-05
2 4.965e-05 4.43e-05 8.75e-05 4.96e-05 4.945e-05 5.5e-05 5.615e-05 4.945e-05 4.39e-05 6.295e-05 5.505e-05 5.1e-05 4.87e-05 5.81e-05 4.955e-05 5.51e-05 6.295e-05 4.95e-05 4.395e-05 4.38e-05 5.125e-05 4.395e-05 4.95e-05 4.93e-05 4.405e-05 4.39e-05 5.45e-05 4.95e-05 5.65e-05 4.39e-05 4.94e-05 4.955e-05 5.505e-05 4.935e-05
3 3.91e-05 2.195e-05 4.96e-05 4.38e-05 4.935e-05 3.92e-05 3.27e-05 3.93e-05 2.225e-05 5.675e-05 3.905e-05 2.52e-05 3.2e-05 4.685e-05 3.9e-05 3.92e-05 5.435e-05 4.94e-05 2.21e-05 4.955e-05 5.26e-05 2.21e-05 2.2e-05 2.22e-05 2.2e-05 2.225e-05 5.62e-05 2.22e-05 2.5e-05 4.93e-05 2.21e-05 3.9e-05 3.925e-05 4.93e-05
4 5.03e-05 5.17e-05 4.945e-05 4.935e-05 9.4e-05 4.805e-05 5.245e-05 5.03e-05 5.165e-05 5.945e-05 4.8e-05 5.455e-05 4.96e-05 6.145e-05 5.02e-05 4.805e-05 5.925e-05 4.715e-05 5.15e-05 4.935e-05 5.245e-05 5.17e-05 4.945e-05 4.945e-05 5.16e-05 5.165e-05 4.855e-05 4.945e-05 5.225e-05 4.93e-05 4.935e-05 5.02e-05 4.81e-05 4.725e-05
5 3.9e-05 4.615e-05 5.5e-05 3.92e-05 4.805e-05 6.39e-05 3.905e-05 3.905e-05 4.61e-05 5.55e-05 3.21e-05 4.545e-05 3.915e-05 6.245e-05 3.9e-05 3.225e-05 5.59e-05 4.8e-05 4.595e-05 5.495e-05 5.44e-05 4.61e-05 3.905e-05 3.91e-05 4.6e-05 4.61e-05 3.24e-05 3.91e-05 3.835e-05 5.475e-05 3.925e-05 3.9e-05 3.205e-05 4.8e-05
6 5.435e-05 4.8e-05 5.615e-05 3.27e-05 5.245e-05 3.905e-05 3.2e-05 4.28e-05 2.475e-05 5.54e-05 4.31e-05 2.045e-05 3.785e-05 4.675e-05 5.425e-05 3.915e-05 3.795e-05 5.65e-05 2.46e-05 5.61e-05 5.17e-05 3.635e-05 3.26e-05 2.105e-05 3.625e-05 2.475e-05 6.095e-05 2.105e-05 1.67e-05 5.59e-05 2.115e-05 5.425e-05 3.91e-05 5.235e-05
7 3.84e-05 3.865e-05 4.945e-05 3.93e-05 5.03e-05 3.905e-05 4.28e-05 7.65e-05 3.84e-05 5.905e-05 3.91e-05 4.195e-05 3.83e-05 5.915e-05 3.84e-05 3.925e-05 5.965e-05 5.025e-05 3.845e-05 4.94e-05 5.325e-05 3.84e-05 3.92e-05 3.905e-05 3.85e-05 3.84e-05 3.84e-05 3.925e-05 4.27e-05 4.94e-05 3.915e-05 3.84e-05 3.91e-05 5.015e-05
8 5.25e-05 2.865e-05 4.39e-05 2.225e-05 5.165e-05 4.61e-05 2.475e-05 3.84e-05 7e-07 6.26e-05 5.25e-05 1e-05 3.105e-05 3.65e-05 5.24e-05 4.62e-05 4.645e-05 5.805e-05 3.5e-07 4.385e-05 5.365e-05 1.445e-05 2.215e-05 8.05e-06 1.445e-05 4e-07 7.595e-05 8.1e-06 1.765e-05 4.385e-05 8.15e-06 5.24e-05 4.615e-05 5.145e-05
9 5.66e-05 5.79e-05 6.295e-05 5.675e-05 5.945e-05 5.55e-05 5.54e-05 5.905e-05 6.26e-05 0.0001009 5.31e-05 5.665e-05 5.655e-05 5.645e-05 5.65e-05 5.56e-05 5.515e-05 5.705e-05 6.245e-05 6.29e-05 5.7e-05 6.02e-05 5.665e-05 5.91e-05 6.01e-05 6.26e-05 5.57e-05 5.91e-05 5.305e-05 6.27e-05 5.92e-05 5.65e-05 5.555e-05 5.925e-05
