 slim_337480933 slim_337480942 slim_337480968 slim_337480914 slim_337480918 slim_337480924 slim_337480438 slim_337480739 slim_337480880 slim_337480800 slim_337480852 slim_337480964 slim_337480992 slim_337481006 slim_337480810 slim_337480865 slim_337480930 slim_337480980 slim_337480902 slim_337480977 slim_337480791 slim_337480887 slim_337480978 slim_337480832 slim_337480917 slim_337481000 slim_337480989 slim_337480993 slim_337480891 slim_337480970 slim_337481003 slim_337480873 slim_337480912 slim_337480936 slim_337480827 slim_337480948 slim_337480990 slim_337480770 slim_337480938 slim_337480494 slim_337480764 slim_337480838 slim_337480963 slim_337480862 slim_337480956 slim_337480840 slim_337480293 slim_337480620 slim_337480700 slim_337480870 slim_337480922 slim_337480716 slim_337480893 slim_337481004 slim_337480997 slim_337480801 slim_337480819 slim_337480944 slim_337480985 slim_337480943 slim_337480939 slim_337480951 slim_337480906 slim_337480934 slim_337481001 slim_337480885 slim_337480898 slim_337480967 slim_337480913 slim_337480708 slim_337480969 slim_337480996 slim_337480973 slim_337480787 slim_337480972 slim_337480830 slim_337480981 slim_337480849 slim_337480962 slim_337481005 slim_337480931 slim_337480932 slim_337480991 slim_337481011 slim_337481009 slim_337480916
0 3.86e-05 0.00033425 0.0001635 0.00038915 0.00019325 0.0002658 0.00050295 0.0002772 0.0005153 1.985e-05 0.0003213 0.00025725 9.73e-05 0.00016345 0.00019905 0.00053895 0.00033645 0.00026585 0.0004415 0.00026575 0.0004744 0.0005666 0.0003337 0.0002876 0.00026555 0.0001189 0.00036645 0.00023475 1.965e-05 0.0004453 0.0002349 0.0003586 0.0003889 0.0002349 0.00025135 0.00048075 0.0004323 1.97e-05 0.00058855 0.0002459 4.07e-05 0.00016325 0.0003085 0.00041325 0.00055465 0.0005475 0.0005575 0.000617 0.00026555 0.00026575 0.0002655 0.0004991 0.00043705 2e-05 0.00050325 0.00019975 0.0002657 0.0002678 0.00045845 0.0002347 1.97e-05 0.0004093 0.00030745 0.0002874 0.00040115 0.00025705 0.00031795 0.00023475 0.00023515 0.00053885 0.0003226 0.0005116 0.00032055 0.00022645 0.0003711 0.00016315 0.00038075 0.00045235 0.00022195 0.0005497 0.00026575 0.0002347 1.96e-05 7.805e-05 0.0002892 0.00034275
1 0.00033425 0.0003931 0.00028915 0.00031465 0.0002958 0.0002655 0.0002608 0.000418 0.00057135 0.00033385 0.0002294 0.0003294 0.00029845 0.0002888 0.0003474 0.0004802 0.00033785 0.0002657 0.0003942 0.00026575 0.00043935 0.00035815 0.0004439 0.0002876 0.00026545 0.00033385 0.0003353 0.0003699 0.0003341 0.00043975 0.0003406 0.00040785 0.00033305 0.0002656 0.0003332 0.0001969 0.00049215 0.0003338 0.0004522 0.0003111 0.00033855 0.0002889 0.00044275 0.0003134 0.0003744 0.0004162 0.000452 0.0004805 0.00026525 0.00026545 0.00026535 0.000468 0.00033635 0.00033445 0.0002611 0.0003322 0.00026555 0.00031075 0.000197 0.00026555 0.00033385 0.00022035 0.0002438 0.00026585 0.00028445 0.0003292 0.0003628 0.00034045 0.00026585 0.0004801 0.0004897 0.00019715 0.00042685 0.00046245 0.0005493 0.00028885 0.0003787 0.0003976 0.0004047 0.00046175 0.00026545 0.0002657 0.0003337 0.0003341 0.0004727 0.00052055
2 0.0001635 0.00028915 0.000325 0.0003991 0.00019395 0.00027615 0.0003699 0.0003375 0.00054285 0.00016405 0.0002761 0.000258 0.0001636 0.00016375 0.0002874 0.0005001 0.00038655 0.0002762 0.0004122 0.0002756 0.0004451 0.00050755 0.000385 0.00029795 0.0002761 0.0002626 0.000295 0.0002746 0.00016335 0.00040595 0.00029055 0.0003749 0.0003993 0.0002448 0.00025125 0.00035725 0.0004991 0.0001639 0.00054085 0.00025625 0.0001851 0.00016265 0.0003759 0.00032865 0.000488 0.0005182 0.0005098 0.0005693 0.0002759 0.0002761 0.00027585 0.0004841 0.0003878 0.0001633 0.0003702 0.00022465 0.00027605 0.0002781 0.000335 0.00024455 0.0001634 0.0002754 0.00016425 0.0002754 0.00025825 0.00025785 0.00028545 0.0002904 0.0002455 0.0005 0.00042735 0.0003881 0.00039485 0.000331 0.00045675 0.000163 0.00038125 0.00037525 0.0003061 0.0005204 0.0002761 0.00024455 0.00016375 0.00016355 0.00039395 0.0004289
3 0.00038915 0.00031465 0.0003991 0.0004792 0.00038305 0.0003147 0.00028945 0.0003614 0.0004891 0.00038925 0.00032435 0.0003641 0.0003992 0.0003993 0.0003245 0.0004046 0.00025 0.00031485 0.0004393 0.00031445 0.0004663 0.0003356 0.00042085 0.0003146 0.00031455 0.00031455 0.00041505 0.0003653 0.000389 0.0004399 0.0003275 0.0004078 0.0002982 0.0003454 0.00035525 0.00027085 0.00032065 0.0003891 0.00038895 0.00039485 0.00037275 0.00039905 0.00039535 0.0004389 0.0003209 0.0003551 0.0004196 0.0004225 0.00031455 0.00031465 0.0003145 0.00040305 0.00038375 0.00038915 0.00028975 0.00036785 0.0003147 0.0003725 0.000293 0.0003453 0.00038905 0.00032475 0.00040935 0.0003147 0.00037425 0.00036395 0.0004053 0.00032735 0.0003458 0.0004045 0.0004134 0.0002402 0.0004101 0.000483 0.0004971 0.000399 0.0002895 0.00040545 0.00042725 0.0004132 0.00031475 0.00034535 0.00038895 0.0003893 0.00043 0.00046355
4 0.00019325 0.0002958 0.00019395 0.00038305 0.0003849 0.00028285 0.00035455 0.00034475 0.00053545 0.000193 0.0002829 0.000265 0.00019365 0.0001936 0.0002937 0.00047795 0.00037055 0.00028285 0.00041175 0.00028305 0.00043745 0.0004851 0.00038485 0.0003047 0.00028275 0.0002694 0.0003029 0.0002821 0.0001931 0.0004067 0.0002966 0.000381 0.0003763 0.00025185 0.0002584 0.00034155 0.00047605 0.00019285 0.0005183 0.00027785 0.00021405 0.0001937 0.00037555 0.00033595 0.00046535 0.00049575 0.0004872 0.00054685 0.00028255 0.0002828 0.0002824 0.0004616 0.00037215 0.00019345 0.00035485 0.0002525 0.0002827 0.00027755 0.00034155 0.00025175 0.000193 0.0002833 0.00019405 0.000283 0.0002657 0.0002648 0.00029395 0.00029635 0.0002521 0.00047785 0.0004272 0.00037245 0.0003955 0.0003529 0.00045725 0.00019365 0.0003654 0.0003762 0.0003133 0.0004907 0.00028275 0.0002519 0.00019275 0.00019325 0.0003938 0.00042865
5 0.0002658 0.0002655 0.00027615 0.0003147 0.00028285 0.00053 0.0003163 0.0003621 0.0005285 0.00026545 0.0002752 0.0003163 0.00027565 0.00027565 0.0003246 0.0004801 0.0003249 0.0002655 0.00040725 0.00026585 0.0004524 0.0004098 0.0004082 0.00028745 0.00026555 0.00026535 0.00033535 0.0003302 0.00026555 0.0004397 0.00032725 0.0004079 0.00033305 0.0002656 0.00032015 0.0002655 0.00043625 0.00026505 0.00046345 0.0003111 0.00027025 0.0002759 0.0003869 0.00035935 0.0003871 0.00042925 0.0004632 0.00049165 0.0002655 0.0002652 0.00026545 0.00044645 0.00034765 0.0002657 0.0003166 0.0003046 0.00026535 0.00031075 0.00026555 0.0002656 0.00026555 0.0002759 0.00028625 0.0002659 0.00032685 0.000316 0.0003525 0.0003274 0.00026575 0.00048 0.0004342 0.0002658 0.00040995 0.00040715 0.0004919 0.00027585 0.0003656 0.0003972 0.00034745 0.00047475 0.0002657 0.00026575 0.0002652 0.0002658 0.0004172 0.0004634
6 0.00050295 0.0002608 0.0003699 0.00028945 0.00035455 0.0003163 0.0002211 0.00044055 0.00057135 0.0005212 0.0002706 0.0003155 0.000436 0.0003702 0.0004491 0.00036235 0.00033935 0.0003163 0.00044645 0.000298 0.0004916 0.00031325 0.0004984 0.00031605 0.0003162 0.00044955 0.00031795 0.00042455 0.0005028 0.0004166 0.00041575 0.0004545 0.00033895 0.00032865 0.00037425 0.0001419 0.0004453 0.00052105 0.0003713 0.0004145 0.0005047 0.0003518 0.00047185 0.0003366 0.00026675 0.0003625 0.00040185 0.00038705 0.00031585 0.00031625 0.0003158 0.00042465 0.0003291 0.000521 0.0001111 0.0004216 0.00031615 0.0003916 0.00016395 0.00032855 0.00050285 0.00016515 0.00021895 0.0002762 0.0001651 0.0003159 0.00030845 0.0004156 0.0003472 0.00036225 0.00055115 0.000111 0.00049995 0.0006207 0.00057385 0.00035175 0.00028945 0.0003209 0.000485 0.00043855 0.0003162 0.0003286 0.00052045 0.00044515 0.0005677 0.0005764
7 0.0002772 0.000418 0.0003375 0.0003614 0.00034475 0.0003621 0.00044055 0.0005527 0.00042025 0.0002776 0.0004146 0.0003562 0.0003298 0.0003382 0.0003298 0.0004446 0.0003604 0.0003622 0.0004508 0.00036175 0.00046555 0.000489 0.00038075 0.0003618 0.0003621 0.0003021 0.000398 0.00029765 0.00027705 0.0004267 0.0003385 0.00039215 0.00040145 0.0003619 0.00033765 0.0004465 0.000331 0.00027745 0.0004769 0.00037685 0.00027745 0.00033765 0.0003315 0.0004679 0.00041605 0.0004505 0.0004767 0.0005105 0.0003619 0.00036205 0.00036185 0.00042745 0.00043455 0.000277 0.00044085 0.0003142 0.00036205 0.00037675 0.00044645 0.00036165 0.00027725 0.00042265 0.000399 0.00036155 0.00041695 0.00035605 0.0003903 0.00033835 0.0003623 0.0004445 0.000366 0.00044655 0.00040405 0.00036635 0.0004258 0.0003376 0.0003558 0.00039215 0.0003499 0.00046535 0.0003621 0.00036155 0.0002773 0.00027975 0.0003662 0.0003925
8 0.0005153 0.00057135 0.00054285 0.0004891 0.00053545 0.0005285 0.00057135 0.00042025 0.0005065 0.0005178 0.0005775 0.00056065 0.00056405 0.000543 0.00052765 0.00042865 0.00051145 0.0005286 0.0003963 0.00052605 0.00035055 0.0004544 0.000475 0.00052825 0.0005285 0.0005058 0.0004565 0.00044 0.00051515 0.00041095 0.00052655 0.0004496 0.00047325 0.00052585 0.0005037 0.00053905 0.0003463 0.00051765 0.00048125 0.00048265 0.00051765 0.00054035 0.0003855 0.0005791 0.00039625 0.00039635 0.0004809 0.00051485 0.0005283 0.00052845 0.00052825 0.0003676 0.000499 0.00051775 0.00057165 0.00048035 0.00052845 0.00048245 0.00053905 0.00052575 0.0005152 0.00055365 0.00056775 0.0005255 0.00058565 0.00056065 0.0005736 0.0005264 0.00052865 0.00042855 0.00038565 0.00053915 0.00044115 0.00038555 0.0005017 0.0005403 0.00052155 0.00041075 0.0004858 0.00035065 0.0005285 0.0005258 0.00051735 0.00049595 0.0003853 0.00047065
9 1.985e-05 0.00033385 0.00016405 0.00038925 0.000193 0.00026545 0.0005212 0.0002776 0.0005178 1.1e-06 0.00032095 0.00025745 9.715e-05 0.00016295 0.00018055 0.00054145 0.00033655 0.0002655 0.000444 0.0002843 0.0004769 0.0005691 0.00032485 0.00028725 0.0002655 0.00011855 0.00038455 0.00023465 1.96e-05 0.00044765 0.00021645 0.0003424 0.00038915 0.0002529 0.00025125 0.000499 0.0004324 7.5e-07 0.00059785 0.00024565 2.205e-05 0.00018165 0.00030845 0.00042285 0.0005729 0.00055 0.0005668 0.0006263 0.00026505 0.0002652 0.00026525 0.0005016 0.0004553 2.1e-06 0.0005215 0.0001879 0.00026535 0.000268 0.0004766 0.00025285 1.91e-05 0.0004274 0.00032555 0.00030585 0.0004194 0.0002567 0.00033595 0.0002164 0.0002348 0.00054135 0.00030685 0.00052985 0.0003233 0.0002102 0.0003803 0.0001816 0.00038085 0.00047045 0.00023995 0.0005522 0.00026525 0.0002532 1.2e-06 7.745e-05 0.00027355 0.0003333
