 slim_762053204 slim_762053210 slim_762053208 slim_762053224 slim_762053191 slim_762053216 slim_762053185 slim_762053221 slim_762053222 slim_762053190 slim_762053202 slim_762053226 slim_762053223 slim_762053218 slim_762053230 slim_762053193 slim_762053189 slim_762053184 slim_762053220 slim_762053225 slim_762053214 slim_762053197 slim_762053219 slim_762053229 slim_762053201 slim_762053183 slim_762053194 slim_762053233 slim_762053186 slim_762053211 slim_762053203 slim_762053231 slim_762053198 slim_762053181 slim_762053187 slim_762053205 slim_762053180 slim_762053196 slim_762053182 slim_762053206 slim_762053232 slim_762053195 slim_762053207 slim_762053192 slim_762053209 slim_762053188 slim_762053200 slim_762053213 slim_762053217 slim_762053199 slim_762053227 slim_762053215 slim_762053228 slim_762053212
0 2e-06 1.65e-06 1.8e-06 1.4e-06 1.45e-06 1.65e-06 1.8e-06 1.65e-06 1.85e-06 1.75e-06 1.75e-06 1.65e-06 1.85e-06 1.65e-06 1.65e-06 1.7e-06 1.75e-06 2.1e-06 1.35e-06 1.4e-06 1.55e-06 1.85e-06 1.65e-06 1.35e-06 1.7e-06 1.95e-06 1.7e-06 1.65e-06 1.85e-06 1.55e-06 1.3e-06 1.65e-06 1.65e-06 1.6e-06 1.85e-06 1.4e-06 1.55e-06 1.7e-06 1.65e-06 1.65e-06 1.4e-06 1.65e-06 1.65e-06 1.8e-06 1.7e-06 1.4e-06 1.4e-06 1.55e-06 1.3e-06 1.95e-06 1.45e-06 1.55e-06 1.65e-06 1.55e-06
1 1.65e-06 1.9e-06 1.5e-06 1.2e-06 1.2e-06 1.3e-06 1.35e-06 1.7e-06 1.7e-06 1.25e-06 1.4e-06 1.7e-06 1.75e-06 1.45e-06 1.4e-06 1.25e-06 1.45e-06 1.4e-06 1.45e-06 1.4e-06 1.4e-06 1.6e-06 1.45e-06 1.2e-06 1.7e-06 1.4e-06 1.45e-06 1.45e-06 1.85e-06 1.25e-06 1.55e-06 1.15e-06 1.7e-06 1.4e-06 1.75e-06 1.75e-06 1.2e-06 1.25e-06 1.5e-06 1.6e-06 1.55e-06 1.45e-06 9.5e-07 1.7e-06 1.1e-06 1.45e-06 1.45e-06 1.25e-06 1.75e-06 1.55e-06 1.5e-06 1.5e-06 1.45e-06 1.5e-06
2 1.8e-06 1.5e-06 2.4e-06 1.5e-06 1.45e-06 1.5e-06 1.85e-06 1.4e-06 1.75e-06 1.75e-06 1.75e-06 1.4e-06 1.85e-06 1.3e-06 1.6e-06 1.55e-06 1.7e-06 1.7e-06 1.4e-06 1.4e-06 1.65e-06 1.8e-06 1.8e-06 1.35e-06 1.25e-06 1.45e-06 1.65e-06 1.4e-06 1.4e-06 1.55e-06 1.75e-06 1.75e-06 1.35e-06 1.4e-06 1.9e-06 1.9e-06 1.5e-06 1.65e-06 1.5e-06 1.6e-06 1.5e-06 1.45e-06 1.5e-06 1.8e-06 1.6e-06 1.65e-06 1.65e-06 1.55e-06 1.95e-06 1.45e-06 1.3e-06 1.5e-06 1.4e-06 1.55e-06
3 1.4e-06 1.2e-06 1.5e-06 7e-07 9.5e-07 8e-07 1.15e-06 1.35e-06 1e-06 9e-07 1.3e-06 1.35e-06 1e-06 1.2e-06 1.05e-06 9.5e-07 1.2e-06 1.7e-06 1.2e-06 1.15e-06 6e-07 1.1e-06 8.5e-07 1.1e-06 1.3e-06 1.45e-06 9.5e-07 1e-06 1.5e-06 7.5e-07 1.45e-06 1.1e-06 1.35e-06 1.15e-06 1.05e-06 1.7e-06 8.5e-07 1.05e-06 1.35e-06 9.5e-07 1.2e-06 1.05e-06 1.2e-06 9.5e-07 1.15e-06 1.15e-06 1.15e-06 7.5e-07 1.3e-06 1.45e-06 1.25e-06 8.5e-07 1e-06 1.1e-06
4 1.45e-06 1.2e-06 1.45e-06 9.5e-07 1.1e-06 9.5e-07 1.25e-06 1.3e-06 1.3e-06 1.1e-06 1.3e-06 1.3e-06 1.4e-06 1.1e-06 1.2e-06 1e-06 1.35e-06 1.35e-06 1.2e-06 1.15e-06 9.5e-07 1.25e-06 1.15e-06 1e-06 1.3e-06 1.15e-06 1.1e-06 1.1e-06 1.45e-06 7.5e-07 1.55e-06 1.3e-06 1.25e-06 1.2e-06 1.4e-06 1.7e-06 1.1e-06 1.05e-06 1.3e-06 1.2e-06 1.25e-06 1.1e-06 1.2e-06 1.35e-06 9e-07 1.2e-06 1.2e-06 7.5e-07 1.5e-06 1.3e-06 1.25e-06 1.2e-06 1.1e-06 9.5e-07
5 1.65e-06 1.3e-06 1.5e-06 8e-07 9.5e-07 1e-06 1.25e-06 1.25e-06 1.1e-06 1e-06 1.4e-06 1.25e-06 1.4e-06 1e-06 1.15e-06 9e-07 1.25e-06 1.45e-06 1.25e-06 1.2e-06 1e-06 1.1e-06 1.1e-06 1.1e-06 1.15e-06 1.1e-06 9.5e-07 8.5e-07 1.4e-06 8e-07 1.65e-06 1.35e-06 1.15e-06 1.15e-06 1.5e-06 1.9e-06 9.5e-07 1.1e-06 1.3e-06 1.1e-06 1.35e-06 9.5e-07 1.3e-06 1.35e-06 1.05e-06 1.35e-06 1.35e-06 8e-07 1.6e-06 1.15e-06 1.3e-06 1.15e-06 8.5e-07 1.2e-06
6 1.8e-06 1.35e-06 1.85e-06 1.15e-06 1.25e-06 1.25e-06 1.6e-06 1.45e-06 1.5e-06 1.05e-06 1.25e-06 1.45e-06 1.65e-06 1.3e-06 1.25e-06 1.35e-06 1.65e-06 1.6e-06 1.55e-06 1.5e-06 1.4e-06 1.05e-06 1.6e-06 1.4e-06 1.45e-06 1.55e-06 9e-07 1.2e-06 1.6e-06 1.15e-06 1.9e-06 1.25e-06 1.5e-06 1.55e-06 1.65e-06 2.1e-06 1.4e-06 1.4e-06 1.65e-06 1.4e-06 1.65e-06 1.2e-06 1.35e-06 1.6e-06 1.05e-06 1.3e-06 1.25e-06 1.15e-06 1.7e-06 1.6e-06 1.6e-06 1.4e-06 1.2e-06 1.4e-06
7 1.65e-06 1.7e-06 1.4e-06 1.35e-06 1.3e-06 1.25e-06 1.45e-06 3e-07 1.35e-06 1.4e-06 1.05e-06 1.5e-07 1.55e-06 6e-07 1.65e-06 1.45e-06 1.85e-06 1.65e-06 1e-06 1.15e-06 1.55e-06 1.35e-06 1.85e-06 1.4e-06 3e-07 1.35e-06 1.2e-06 5.5e-07 4e-07 1.25e-06 1.8e-06 1.65e-06 2.5e-07 1.05e-06 1.6e-06 1.95e-06 1.6e-06 1.6e-06 1.2e-06 1.1e-06 1.3e-06 6e-07 1.7e-06 1.5e-06 1.25e-06 1.65e-06 1.65e-06 1.25e-06 1.6e-06 1e-06 1.15e-06 9e-07 5.5e-07 8.5e-07
8 1.85e-06 1.7e-06 1.75e-06 1e-06 1.3e-06 1.1e-06 1.5e-06 1.35e-06 1.4e-06 1.25e-06 1.55e-06 1.35e-06 1.05e-06 1.25e-06 1.45e-06 1.3e-06 1.5e-06 1.95e-06 1.45e-06 1.4e-06 1.25e-06 1.35e-06 1.55e-06 1.45e-06 1.25e-06 1.6e-06 1.2e-06 1.1e-06 1.5e-06 1.1e-06 1.95e-06 1.6e-06 1.3e-06 1.45e-06 1.15e-06 2.15e-06 1.3e-06 1.5e-06 1.4e-06 9.5e-07 1.25e-06 1.2e-06 1.7e-06 1e-06 1.5e-06 1.55e-06 1.55e-06 1.1e-06 1.7e-06 1.5e-06 1.5e-06 1.3e-06 1.1e-06 1.35e-06
9 1.75e-06 1.25e-06 1.75e-06 9e-07 1.1e-06 1e-06 1.05e-06 1.4e-06 1.25e-06 1.4e-06 1.15e-06 1.4e-06 1.45e-06 1.2e-06 1.35e-06 1.1e-06 1.35e-06 1.55e-06 1.45e-06 1.4e-06 1.15e-06 1.2e-06 1.35e-06 1.3e-06 1.35e-06 1.45e-06 1.05e-06 1.05e-06 1.55e-06 9e-07 1.8e-06 1.15e-06 1.4e-06 1.4e-06 1.5e-06 2.05e-06 1.2e-06 1.2e-06 1.5e-06 1.2e-06 1.5e-06 1.1e-06 1.25e-06 1.4e-06 1e-06 1.45e-06 1.45e-06 9e-07 1.5e-06 1.5e-06 1.5e-06 1.25e-06 1.05e-06 1.25e-06
10 1.75e-06 1.4e-06 1.75e-06 1.3e-06 1.3e-06 1.4e-06 1.25e-06 1.05e-06 1.55e-06 1.15e-06 1.6e-06 1.05e-06 1.65e-06 1.2e-06 1.7e-06 1.4e-06 1.85e-06 1.7e-06 1.4e-06 1.45e-06 1.55e-06 1.5e-06 1.65e-06 1.55e-06 1.1e-06 1.7e-06 1.35e-06 1.05e-06 1.25e-06 1.2e-06 1.85e-06 1.3e-06 1.1e-06 1.4e-06 1.65e-06 2.05e-06 1.55e-06 1.4e-06 1.45e-06 1.35e-06 1.55e-06 1.05e-06 1.4e-06 1.6e-06 1.1e-06 1.7e-06 1.7e-06 1.2e-06 1.65e-06 1.5e-06 1.5e-06 1.25e-06 1.05e-06 1.2e-06
