 slim_762445664 slim_762445676 slim_762445670 slim_762445668 slim_762445650 slim_762445683 slim_762445685 slim_762445666 slim_762445675 slim_762445671 slim_762445679 slim_762445673 slim_762445661 slim_762445655 slim_762445653 slim_762445677 slim_762445663 slim_762445674 slim_762445651 slim_762445667 slim_762445656 slim_762445669 slim_762445662 slim_762445657 slim_762445649 slim_762445659 slim_762445681 slim_762445652 slim_762445672 slim_762445658 slim_762445660 slim_762445678 slim_762445686 slim_762445684 slim_762445665 slim_762445682 slim_762445680 slim_762445654
0 2e-06 2.35e-06 1.7e-06 1.05e-06 1.7e-06 2.55e-06 2.2e-06 2e-06 1.7e-06 1.65e-06 1.25e-06 1.65e-06 2.2e-06 2e-06 2.1e-06 1.4e-06 1.35e-06 1.2e-06 2.5e-06 1.75e-06 1.05e-06 1.8e-06 1.65e-06 1.3e-06 2e-06 1.8e-06 1.2e-06 1.9e-06 1.3e-06 1.8e-06 1.35e-06 1.4e-06 2.6e-06 1.9e-06 2.45e-06 1.85e-06 2.85e-06 1.85e-06
1 2.35e-06 3e-06 2.05e-06 2.15e-06 2.2e-06 2.55e-06 2.25e-06 2.5e-06 2.55e-06 2.35e-06 2.55e-06 1.85e-06 2.1e-06 2.55e-06 2.65e-06 2.7e-06 2.65e-06 2.4e-06 2.85e-06 2.55e-06 2.25e-06 2.55e-06 2.55e-06 2.45e-06 2.3e-06 2.35e-06 2.5e-06 2.45e-06 2.5e-06 1.8e-06 2.6e-06 2.55e-06 1.95e-06 2.05e-06 2.7e-06 2.6e-06 2.7e-06 2.35e-06
2 1.7e-06 2.05e-06 2.6e-06 1.35e-06 2.2e-06 2.4e-06 2.2e-06 1.8e-06 1.85e-06 2.05e-06 1.9e-06 1.95e-06 1.9e-06 2.6e-06 2.7e-06 2.2e-06 2.15e-06 1.75e-06 2.55e-06 2.4e-06 1.6e-06 2.4e-06 2.15e-06 1.65e-06 2e-06 2.05e-06 1.75e-06 2.5e-06 1.85e-06 2.1e-06 1.85e-06 1.9e-06 1.9e-06 1.65e-06 2.25e-06 2.45e-06 2.75e-06 2.25e-06
3 1.05e-06 2.15e-06 1.35e-06 1e-07 2.05e-06 2.45e-06 2.6e-06 1.1e-06 1.75e-06 1.05e-06 1.75e-06 1e-06 2.1e-06 2.45e-06 2.55e-06 2.15e-06 2.1e-06 1.1e-06 2.75e-06 2e-06 9e-07 2e-06 2.25e-06 1.1e-06 1.6e-06 1.9e-06 9.5e-07 2.35e-06 1.2e-06 1.4e-06 1.55e-06 1.25e-06 2.7e-06 1.85e-06 1.85e-06 2.05e-06 2.6e-06 1.5e-06
4 1.7e-06 2.2e-06 2.2e-06 2.05e-06 2.2e-06 2.5e-06 2e-06 2.95e-06 2e-06 2.05e-06 1.5e-06 1.85e-06 2.15e-06 1.55e-06 1.65e-06 1.5e-06 1.45e-06 1.75e-06 2.55e-06 1.7e-06 1.6e-06 1.75e-06 1.75e-06 1.75e-06 2.2e-06 1.8e-06 1.9e-06 1.45e-06 1.85e-06 1.55e-06 1.65e-06 1.95e-06 2.75e-06 2.2e-06 2.95e-06 1.8e-06 2.75e-06 1.85e-06
5 2.55e-06 2.55e-06 2.4e-06 2.45e-06 2.5e-06 3.4e-06 2.05e-06 2.65e-06 2.2e-06 2.65e-06 2.35e-06 2.6e-06 2e-06 2.7e-06 2.8e-06 2.7e-06 2.65e-06 2.55e-06 2.65e-06 2.7e-06 2.45e-06 2.8e-06 2.75e-06 2.25e-06 2.2e-06 2.45e-06 2.4e-06 2.6e-06 2.65e-06 2.35e-06 2.6e-06 2.8e-06 2.55e-06 2.55e-06 2.65e-06 2.85e-06 2.65e-06 2.55e-06
6 2.2e-06 2.25e-06 2.2e-06 2.6e-06 2e-06 2.05e-06 3.1e-06 2.8e-06 2.2e-06 2.8e-06 1.95e-06 2.6e-06 1.9e-06 2.25e-06 2.35e-06 1.95e-06 1.9e-06 2.25e-06 2.45e-06 2.4e-06 2.1e-06 2.45e-06 1.9e-06 2.25e-06 2.25e-06 2e-06 2.4e-06 2.15e-06 2.35e-06 2.3e-06 2.15e-06 2.45e-06 2e-06 2.1e-06 2.9e-06 2.5e-06 2.9e-06 2.6e-06
7 2e-06 2.5e-06 1.8e-06 1.1e-06 2.95e-06 2.65e-06 2.8e-06 2.2e-06 2.35e-06 2e-06 2.6e-06 2.05e-06 2.4e-06 3.3e-06 3.4e-06 3e-06 2.95e-06 2.05e-06 2.65e-06 2.85e-06 1.85e-06 2.85e-06 2.8e-06 2.05e-06 2.15e-06 2.55e-06 1.9e-06 3.2e-06 2.15e-06 2.45e-06 2.45e-06 2.2e-06 2.25e-06 2.15e-06 1.85e-06 2.9e-06 2.5e-06 2.45e-06
8 1.7e-06 2.55e-06 1.85e-06 1.75e-06 2e-06 2.2e-06 2.2e-06 2.35e-06 1e-06 2.25e-06 1.05e-06 2.25e-06 1.7e-06 2.2e-06 2.3e-06 1.7e-06 1.65e-06 1.7e-06 2.6e-06 2.15e-06 1.6e-06 2.25e-06 1.8e-06 1e-06 2.35e-06 1.7e-06 1.3e-06 2.1e-06 1.8e-06 2.15e-06 1.45e-06 1.95e-06 2.45e-06 1.95e-06 2.75e-06 2.3e-06 3.05e-06 2.2e-06
9 1.65e-06 2.35e-06 2.05e-06 1.05e-06 2.05e-06 2.65e-06 2.8e-06 2e-06 2.25e-06 2e-06 2.05e-06 1.45e-06 2.6e-06 2.3e-06 2.35e-06 2.3e-06 2.25e-06 1.65e-06 2.9e-06 1.6e-06 1.55e-06 1.75e-06 2.65e-06 1.75e-06 2e-06 2.45e-06 1.6e-06 2.2e-06 1.7e-06 1.8e-06 2.05e-06 1.9e-06 3.1e-06 2.5e-06 2.4e-06 1.75e-06 2.25e-06 1.6e-06
10 1.25e-06 2.55e-06 1.9e-06 1.75e-06 1.5e-06 2.35e-06 1.95e-06 2.6e-06 1.05e-06 2.05e-06 1.2e-06 2.15e-06 2e-06 1.65e-06 1.75e-06 9e-07 8.5e-07 1.3e-06 2.35e-06 1.55e-06 1.2e-06 1.7e-06 1.4e-06 1e-06 2.15e-06 1.7e-06 1.25e-06 1.55e-06 1.4e-06 2.05e-06 1.1e-06 1.6e-06 2.6e-06 1.95e-06 2.9e-06 1.75e-06 3e-06 2e-06
11 1.65e-06 1.85e-06 1.95e-06 1e-06 1.85e-06 2.6e-06 2.6e-06 2.05e-06 2.25e-06 1.45e-06 2.15e-06 1.9e-06 2.2e-06 2.25e-06 2.35e-06 2.45e-06 2.4e-06 1.7e-06 3e-06 2.1e-06 1.55e-06 2.1e-06 2.55e-06 1.7e-06 1.95e-06 2.05e-06 1.65e-06 2.15e-06 1.8e-06 1.1e-06 2.05e-06 1.85e-06 2.95e-06 2.3e-06 2.4e-06 2.15e-06 2.65e-06 1.6e-06
12 2.2e-06 2.1e-06 1.9e-06 2.1e-06 2.15e-06 2e-06 1.9e-06 2.4e-06 1.7e-06 2.6e-06 2e-06 2.2e-06 2.9e-06 2.5e-06 2.6e-06 2.45e-06 2.4e-06 2.25e-06 2.65e-06 2.7e-06 2.1e-06 2.7e-06 2.25e-06 1.8e-06 2.05e-06 1.85e-06 2.1e-06 2.4e-06 2.35e-06 1.9e-06 2.15e-06 2.4e-06 2.05e-06 2e-06 2.6e-06 2.75e-06 2.9e-06 2.4e-06
13 2e-06 2.55e-06 2.6e-06 2.45e-06 1.55e-06 2.7e-06 2.25e-06 3.3e-06 2.2e-06 2.3e-06 1.65e-06 2.25e-06 2.5e-06 2.6e-06 1.7e-06 1.35e-06 1.35e-06 1.9e-06 2.7e-06 1.8e-06 1.9e-06 1.8e-06 1.85e-06 2e-06 2.45e-06 2.1e-06 2.15e-06 1.3e-06 2.1e-06 1.95e-06 1.8e-06 2.15e-06 3.05e-06 2.6e-06 3.3e-06 1.85e-06 2.95e-06 2.1e-06
14 2.1e-06 2.65e-06 2.7e-06 2.55e-06 1.65e-06 2.8e-06 2.35e-06 3.4e-06 2.3e-06 2.35e-06 1.75e-06 2.35e-06 2.6e-06 1.7e-06 2.8e-06 1.7e-06 1.65e-06 2.1e-06 2.85e-06 1.85e-06 2e-06 1.7e-06 1.85e-06 2.1e-06 2.5e-06 2.25e-06 2.25e-06 1.6e-06 2.05e-06 2.05e-06 2e-06 2.1e-06 3.15e-06 2.7e-06 3.4e-06 1.75e-06 3e-06 1.95e-06
15 1.4e-06 2.7e-06 2.2e-06 2.15e-06 1.5e-06 2.7e-06 1.95e-06 3e-06 1.7e-06 2.3e-06 9e-07 2.45e-06 2.45e-06 1.35e-06 1.7e-06 2e-07 1.5e-07 1.15e-06 2.2e-06 1.45e-06 1.3e-06 1.65e-06 1.1e-06 1.55e-06 2.4e-06 1.75e-06 1.6e-06 1.4e-06 1.45e-06 2.35e-06 1e-06 1.7e-06 2.65e-06 2.1e-06 3.2e-06 1.7e-06 3.15e-06 2.25e-06
16 1.35e-06 2.65e-06 2.15e-06 2.1e-06 1.45e-06 2.65e-06 1.9e-06 2.95e-06 1.65e-06 2.25e-06 8.5e-07 2.4e-06 2.4e-06 1.35e-06 1.65e-06 1.5e-07 1e-07 1.1e-06 2.15e-06 1.4e-06 1.25e-06 1.6e-06 1.05e-06 1.5e-06 2.35e-06 1.7e-06 1.55e-06 1.35e-06 1.4e-06 2.3e-06 9e-07 1.65e-06 2.6e-06 2.05e-06 3.15e-06 1.65e-06 3.1e-06 2.2e-06
17 1.2e-06 2.4e-06 1.75e-06 1.1e-06 1.75e-06 2.55e-06 2.25e-06 2.05e-06 1.7e-06 1.65e-06 1.3e-06 1.7e-06 2.25e-06 1.9e-06 2.1e-06 1.15e-06 1.1e-06 2.1e-06 2.45e-06 1.7e-06 1.1e-06 1.8e-06 1.65e-06 1.3e-06 2e-06 1.8e-06 1.25e-06 1.85e-06 1.3e-06 1.85e-06 1.25e-06 1.45e-06 2.65e-06 1.95e-06 2.5e-06 1.85e-06 2.85e-06 1.85e-06
18 2.5e-06 2.85e-06 2.55e-06 2.75e-06 2.55e-06 2.65e-06 2.45e-06 2.65e-06 2.6e-06 2.9e-06 2.35e-06 3e-06 2.65e-06 2.7e-06 2.85e-06 2.2e-06 2.15e-06 2.45e-06 4e-06 2.6e-06 2.4e-06 2.7e-06 2.35e-06 2.6e-06 2.8e-06 2.65e-06 2.65e-06 2.6e-06 2.6e-06 2.95e-06 2.45e-06 2.75e-06 2.4e-06 2.6e-06 2.5e-06 2.75e-06 2.45e-06 2.95e-06
