 slim_337476321 slim_337476336 slim_337476399 slim_337476437 slim_337476294 slim_337476387 slim_337476424 slim_337476149 slim_337476426 slim_337476406 slim_337476392 slim_337476312 slim_337476337 slim_337476283 slim_337476415 slim_337476335 slim_337476352 slim_337476419 slim_337476311 slim_337476289 slim_337476358 slim_337476412 slim_337476442 slim_337476136 slim_337476328 slim_337476413 slim_337476326 slim_337476418 slim_337476435 slim_337476395 slim_337476385 slim_337476270 slim_337476411 slim_337475989 slim_337475811 slim_337476428 slim_337476366 slim_337476359 slim_337476423 slim_337476403 slim_337476379 slim_337476440 slim_337476346 slim_337476360 slim_337476390 slim_337476217 slim_337476401 slim_337476376 slim_337476432 slim_337476345 slim_337476436 slim_337476372 slim_337476227 slim_337476422 slim_337476038 slim_337476427 slim_337476396 slim_337476397 slim_337476290 slim_337476194 slim_337476096 slim_337476341 slim_337476417 slim_337476429 slim_337476332 slim_337476433 slim_337476306 slim_337476407 slim_337476241 slim_337476409 slim_337476386 slim_337476431 slim_337476425 slim_337476255 slim_337476368 slim_337476410 slim_337476222 slim_337476206 slim_337476243 slim_337476175 slim_337475852 slim_337476226 slim_337476315 slim_337476064 slim_337476367 slim_337476190 slim_337476314 slim_337476420 slim_337476402 slim_337476389 slim_337476351 slim_337476240 slim_337476334 slim_337476057 slim_337476266 slim_337475920 slim_337476439 slim_337476257
0 0.0004743 0.00046445 0.00078195 0.0004646 0.0005203 0.00053645 0.00089715 0.0007293 0.00055575 0.00023755 0.00081175 0.000596 0.0006472 0.00087405 0.00071805 0.00090345 0.0005244 0.0009039 0.00088835 0.00052435 0.00086925 0.0007407 0.0005481 0.00054825 0.0006915 0.0008038 0.00086375 0.0004645 0.00087295 0.00083355 0.0008792 0.0009034 0.0008742 0.0006651 0.00055565 0.00078155 0.00087415 0.0007851 0.0008959 0.0006774 0.0008076 0.00081255 0.00081605 0.0007834 0.00090585 0.00068435 0.0008167 0.00052425 0.00055085 0.0005467 0.000839 0.00053755 0.00052025 0.000555 0.0008888 0.00086545 0.00074865 0.0008743 0.0004644 0.0007291 0.0007831 0.0007458 0.0005873 0.00065845 0.00023715 0.00089715 0.00091195 0.00068645 0.0008682 0.0006098 0.00076475 0.00058125 0.0007515 0.0008973 0.0007838 0.0005507 0.00081425 0.0007644 0.00040345 0.00078295 0.00055055 0.00041205 0.0008363 0.0005244 0.0007924 0.0006914 0.0008701 0.00080995 0.00046625 0.00085465 0.0008657 0.0008299 0.00078145 0.0005786 0.00055585 0.0006304 0.00054485 0.00083855
1 0.00046445 0.000487 0.0004836 0.0002441 0.0005353 0.0004954 0.00091785 0.0007974 0.00057555 0.0002439 0.0007939 0.0005614 0.0008425 0.0009073 0.0006496 0.0009183 0.0007212 0.00089745 0.00088515 0.00050045 0.00090875 0.0005416 0.00078305 0.0005623 0.00024415 0.0008039 0.0008725 0.000244 0.0008735 0.00086825 0.0008739 0.00091825 0.00090725 0.00058045 0.00057545 0.00054145 0.0009074 0.0008881 0.0008839 0.0005436 0.00090355 0.00083655 0.00075215 0.0005608 0.00092285 0.00057425 0.00070355 0.00072125 0.0005769 0.0005747 0.0008519 0.000572 0.00053525 0.0004835 0.00087005 0.00089135 0.0004916 0.00090755 0.0002439 0.000629 0.0005605 0.00053695 0.00081175 0.00070105 0.00024355 0.00091785 0.0009231 0.0006444 0.0008164 0.0008328 0.00083765 0.00068265 0.00050075 0.000918 0.0008528 0.00057675 0.00088305 0.0008011 0.0005307 0.0005759 0.0005766 0.0003312 0.00074105 0.0005005 0.00082815 0.00024405 0.00088155 0.0008189 0.0005613 0.00086985 0.0008427 0.0008298 0.0005417 0.00080665 0.00057565 0.0005308 0.00044325 0.000867
2 0.00078195 0.0004836 0.0005649 0.0004834 0.0007585 0.000692 0.0008801 0.000794 0.0007837 0.00068405 0.0007909 0.00064895 0.00081995 0.00088345 0.00073465 0.0008747 0.0007171 0.00083035 0.0008502 0.00061905 0.0008572 0.00047775 0.00078015 0.0006821 0.00028265 0.0008353 0.00072955 0.00048365 0.0007505 0.00083175 0.00074505 0.00087465 0.00087745 0.00058395 0.0007836 0.00045025 0.00088355 0.00080615 0.000747 0.000558 0.00084855 0.00086515 0.00079245 0.00043555 0.0008814 0.0006972 0.0006486 0.00071715 0.00075735 0.0007629 0.00071055 0.00076085 0.00075845 0.00048325 0.00070255 0.000715 0.00037205 0.0008837 0.0004832 0.00065025 0.00043525 0.00054475 0.0008796 0.00071755 0.0006838 0.0008801 0.0008758 0.00072525 0.00055645 0.000813 0.0008192 0.00078995 0.0004185 0.00088025 0.0006551 0.0007572 0.0007987 0.00083625 0.0007871 0.0005832 0.00075705 0.0006836 0.00070255 0.0006191 0.0007599 0.0002825 0.0008273 0.0008318 0.0007522 0.00072755 0.0007154 0.00078795 0.00044985 0.0008782 0.00078385 0.00058645 0.00049805 0.0008582
3 0.0004646 0.0002441 0.0004834 0.0004872 0.00053535 0.00049555 0.00091795 0.0007975 0.0005756 0.0002439 0.000794 0.0005615 0.0008426 0.0009074 0.00064975 0.0009184 0.00072125 0.00089755 0.00088525 0.00050045 0.00090885 0.0005416 0.00078315 0.00056235 0.0002438 0.000804 0.0008726 0.00024415 0.0008736 0.00086835 0.000874 0.00091835 0.00090735 0.00058055 0.0005755 0.0005419 0.0009075 0.0008882 0.000884 0.0005437 0.00090365 0.00083665 0.00075225 0.00056065 0.00092295 0.0005745 0.00070365 0.0007213 0.000577 0.00057475 0.000852 0.00057195 0.0005353 0.00048345 0.00087015 0.00089145 0.0004914 0.00090765 0.0002437 0.00062905 0.00056035 0.0005366 0.00081185 0.00070115 0.00024375 0.00091795 0.0009232 0.00064445 0.00081645 0.0008329 0.00083775 0.0006827 0.0005004 0.0009181 0.00085285 0.0005768 0.00088315 0.0008012 0.0005307 0.0005756 0.00057665 0.0003312 0.00074115 0.00050055 0.00082825 0.00024365 0.00088165 0.000819 0.00056125 0.00086995 0.00084275 0.00082995 0.00054155 0.00080675 0.0005758 0.00053075 0.00044335 0.0008671
4 0.0005203 0.0005353 0.0007585 0.00053535 0.000783 0.00062805 0.0008082 0.00055365 0.0005815 0.00039175 0.00078885 0.0006129 0.00069205 0.0007715 0.0007209 0.00083325 0.0007722 0.00083305 0.0008262 0.0006436 0.0008234 0.00071455 0.0007472 0.0006186 0.00067875 0.0007284 0.0008587 0.00053535 0.0007908 0.00063315 0.0008158 0.0008332 0.0007943 0.00067345 0.0005815 0.0007443 0.0007716 0.0007966 0.00082735 0.0006294 0.00073915 0.00071035 0.0007109 0.0007571 0.0007927 0.0006782 0.00062255 0.00077225 0.00063345 0.00064965 0.00061325 0.0006452 0.00039155 0.00061505 0.000858 0.00087135 0.0007747 0.00077175 0.0005351 0.0006795 0.0007568 0.00058375 0.0007313 0.0007071 0.00039165 0.0008082 0.00081755 0.0006178 0.00085655 0.00074505 0.0007436 0.0005279 0.00078725 0.00080835 0.00072765 0.00063325 0.0007639 0.00050615 0.00056665 0.0007253 0.0006331 0.0004704 0.0007843 0.0006437 0.00073315 0.00067865 0.00088975 0.00072055 0.0005126 0.0008543 0.00087015 0.00087235 0.0007442 0.0007467 0.0005818 0.0007101 0.00060245 0.0005815
5 0.00053645 0.0004954 0.000692 0.00049555 0.00062805 0.0008258 0.00089865 0.0007575 0.00065115 0.0004133 0.0008059 0.00068585 0.0007858 0.0008891 0.0005326 0.00086635 0.0007741 0.0008139 0.00087315 0.0006508 0.00090995 0.0006753 0.00069135 0.00056805 0.00057765 0.0007705 0.00083495 0.0004955 0.0008404 0.0008866 0.00080805 0.0008663 0.0008571 0.00073845 0.00065105 0.0006845 0.0008892 0.0008953 0.0008498 0.00066155 0.0008875 0.00079595 0.0007709 0.00068805 0.00091895 0.00051905 0.0008023 0.00077415 0.00067175 0.00064585 0.00082045 0.00064505 0.000628 0.00060985 0.00082765 0.0008383 0.00072735 0.00088935 0.00049535 0.0006837 0.00068775 0.00066325 0.0008042 0.0007348 0.00041305 0.00089865 0.00088645 0.0006942 0.00086835 0.00082405 0.0007806 0.0007187 0.00073315 0.0008988 0.00082535 0.00067175 0.00080265 0.0007563 0.00058935 0.00073355 0.0006716 0.0004946 0.0007918 0.0006507 0.00069635 0.00057755 0.00086695 0.000763 0.00064005 0.00083415 0.00089825 0.00066175 0.00068445 0.0007838 0.0006513 0.0006715 0.00058515 0.00086595
6 0.00089715 0.00091785 0.0008801 0.00091795 0.0008082 0.00089865 0.0003302 0.0008029 0.00054295 0.0009209 0.0004757 0.00089515 0.00086355 0.0001651 0.00075255 0.0002133 0.00076975 0.0004947 0.0004499 0.00079335 0.00048305 0.0008818 0.0007678 0.0007914 0.00091485 0.00081305 0.00076465 0.0009179 0.0005058 0.000748 0.0005538 0.00021325 0.00022545 0.00086575 0.0005429 0.0008805 0.00016525 0.00049185 0.0005057 0.00088595 0.00050845 0.0005283 0.0003695 0.0008633 0.0002164 0.00090105 0.00063715 0.0007698 0.00086075 0.000802 0.00075345 0.00081755 0.00080815 0.00088315 0.00077305 0.0007473 0.000859 0.0001654 0.00091775 0.0007797 0.000863 0.0008139 0.0005705 0.00082775 0.00092065 0.0001652 0.00026425 0.0007839 0.0008229 0.0008428 0.00053765 0.00085285 0.0007905 0.0001654 0.0008214 0.0008606 0.0008378 0.0007997 0.0008939 0.0005402 0.00086045 0.00081705 0.0007776 0.0007934 0.00078295 0.00091475 0.0007245 0.0008227 0.00088625 0.0007803 0.00041555 0.00080705 0.0008804 0.00051925 0.00054315 0.00089085 0.0009025 0.0004303
7 0.0007293 0.0007974 0.000794 0.0007975 0.00055365 0.0007575 0.0008029 0.0007479 0.0007483 0.00073335 0.0007796 0.0006912 0.0004618 0.00076335 0.00079265 0.00082965 0.0007771 0.0008023 0.0008235 0.000781 0.00074645 0.00079115 0.0007311 0.000735 0.0008615 0.00064555 0.00083615 0.00079745 0.00077165 0.00055155 0.00079835 0.0008296 0.00078775 0.00070545 0.0007482 0.0008206 0.00076345 0.00075035 0.00081105 0.0007393 0.0006654 0.0006249 0.0007725 0.00080005 0.000715 0.00064985 0.0006288 0.00077715 0.0007313 0.00081295 0.0005561 0.00080915 0.0005536 0.00072995 0.00081095 0.00081545 0.00085955 0.0007636 0.0007973 0.0007529 0.00079975 0.0006518 0.00069595 0.00065745 0.0007331 0.0008029 0.00074155 0.0005199 0.0007278 0.0005721 0.00056865 0.00051495 0.00084525 0.00080305 0.0005986 0.00073115 0.0006647 0.0003907 0.0006095 0.0008126 0.000731 0.0007297 0.00085655 0.00078105 0.00057215 0.0008614 0.0008843 0.00064545 0.00061085 0.0008324 0.00083555 0.00081845 0.0008205 0.00078375 0.00074845 0.00067355 0.00075065 0.00056865
8 0.00055575 0.00057555 0.0007837 0.0005756 0.0005815 0.00065115 0.00054295 0.0007483 0.0008977 0.0004491 0.0006503 0.0007146 0.0008018 0.00044885 0.0006653 0.000594 0.0007341 0.0006976 0.0006691 0.0006274 0.0006636 0.00075225 0.00069745 0.00059075 0.0007019 0.0008254 0.0008716 0.0005756 0.00065385 0.00079595 0.0007048 0.00059395 0.0005058 0.0007614 0.0004489 0.0007802 0.000449 0.00074235 0.00074775 0.0007094 0.0007282 0.0006992 0.0005003 0.0007811 0.0005304 0.00071395 0.000708 0.00073415 0.0006636 0.0006669 0.000787 0.00067335 0.0005815 0.00065735 0.00087465 0.00087235 0.0007773 0.00044915 0.00057535 0.0006537 0.0007808 0.0007131 0.00063705 0.00075625 0.000449 0.00054295 0.0005812 0.0006685 0.00087165 0.00081675 0.00061565 0.00069075 0.00075395 0.00054315 0.0008336 0.0006634 0.0008827 0.00074855 0.00061735 0.0005756 0.00066325 0.00044895 0.00081245 0.0006275 0.00075775 0.0007018 0.00089345 0.0008369 0.00063425 0.0008781 0.00072135 0.00086365 0.0007801 0.00064955 0.0004492 0.0007437 0.0006528 0.00058145
9 0.00023755 0.0002439 0.00068405 0.0002439 0.00039175 0.0004133 0.0009209 0.00073335 0.0004491 6e-07 0.0008252 0.00056505 0.0007797 0.0008978 0.0006339 0.0009272 0.0007091 0.0009008 0.0008885 0.0004721 0.0009205 0.00060935 0.0006711 0.0004341 0.00048705 0.0007698 0.00088385 0.00024395 0.000872 0.0008629 0.00087825 0.00092715 0.0009036 0.0006813 0.00044905 0.0006665 0.0008979 0.0009154 0.00089495 0.00056235 0.00089075 0.00080215 0.00074855 0.0006855 0.0009296 0.0005678 0.0008031 0.00070915 0.00047185 0.00046115 0.0008333 0.00045845 0.0003917 0.00044085 0.0008814 0.0009027 0.00069235 0.00089805 0.00024365 0.0005978 0.0006852 0.00063655 0.00071785 0.0006718 5.5e-07 0.0009209 0.0009357 0.00060145 0.0009119 0.0008101 0.0007907 0.0005835 0.0007155 0.00092105 0.0008594 0.0004716 0.00087055 0.00073705 0.00036685 0.0006926 0.00047145 0.000175 0.00075245 0.00047225 0.0007794 0.00048695 0.00089775 0.0007809 0.00041905 0.0008812 0.0009438 0.0008645 0.0006664 0.00070905 0.0004494 0.00061005 0.00041375 0.0008404
