 slim_761991651 slim_761991639 slim_761991664 slim_761991638 slim_761991640 slim_761991659 slim_761991635 slim_761991655 slim_761991649 slim_761991642 slim_761991645 slim_761991646 slim_761991661 slim_761991665 slim_761991641 slim_761991643 slim_761991636 slim_761991644 slim_761991654 slim_761991658 slim_761991647 slim_761991663 slim_761991633 slim_761991648 slim_761991637 slim_761991660 slim_761991650 slim_761991656 slim_761991653 slim_761991662 slim_761991652 slim_761991657 slim_761991634
0 2.28e-05 2.18e-05 1.85e-05 1.66e-05 1.69e-05 1.655e-05 1.23e-05 1.58e-05 1.395e-05 1.41e-05 1.37e-05 1.67e-05 1.87e-05 1.185e-05 1.61e-05 1.57e-05 1.875e-05 1.405e-05 1.4e-05 1.175e-05 1.35e-05 1.235e-05 1.56e-05 1.155e-05 1.87e-05 1.39e-05 1.665e-05 1.36e-05 1.7e-05 1.585e-05 1.87e-05 1.35e-05 1.385e-05
1 2.18e-05 3e-06 5.85e-06 6.5e-06 2.73e-05 1.755e-05 3.185e-05 8.5e-06 1.98e-05 1.95e-05 9.95e-06 2.795e-05 6e-06 2.175e-05 8.25e-06 8.6e-06 5.05e-06 1.015e-05 1.01e-05 1.085e-05 9.85e-06 2.125e-05 1.785e-05 1.13e-05 5e-06 9.65e-06 7.55e-06 9.95e-06 1.74e-05 1.86e-05 5.45e-06 9.85e-06 1.015e-05
2 1.85e-05 5.85e-06 9.2e-06 7e-06 2.675e-05 1.75e-05 2.905e-05 5.05e-06 1.605e-05 1.605e-05 6.65e-06 2.755e-05 4.8e-06 1.89e-05 5.1e-06 5.05e-06 5.05e-06 6.95e-06 6.95e-06 8.5e-06 6.5e-06 1.87e-05 1.71e-05 8.25e-06 5e-06 6.85e-06 6.85e-06 6.6e-06 1.77e-05 1.705e-05 4.85e-06 6.5e-06 6.85e-06
3 1.66e-05 6.5e-06 7e-06 1.06e-05 2.695e-05 1.685e-05 2.77e-05 6.4e-06 1.625e-05 1.6e-05 5.9e-06 2.81e-05 7e-06 1.685e-05 6.3e-06 6.4e-06 6.35e-06 6.25e-06 6.15e-06 5.55e-06 5.9e-06 1.645e-05 1.665e-05 5.45e-06 6.3e-06 6e-06 6.25e-06 6e-06 1.69e-05 1.775e-05 6.5e-06 5.9e-06 6.1e-06
4 1.69e-05 2.73e-05 2.675e-05 2.695e-05 1.29e-05 1.695e-05 6.85e-06 2.77e-05 1.715e-05 1.71e-05 2.745e-05 6.95e-06 2.685e-05 1.69e-05 2.76e-05 2.785e-05 2.77e-05 2.765e-05 2.76e-05 2.695e-05 2.74e-05 1.695e-05 1.675e-05 2.71e-05 2.765e-05 2.745e-05 2.63e-05 2.75e-05 1.685e-05 1.61e-05 2.78e-05 2.74e-05 2.77e-05
5 1.655e-05 1.755e-05 1.75e-05 1.685e-05 1.695e-05 3.22e-05 1.68e-05 1.75e-05 1.71e-05 1.72e-05 1.7e-05 1.685e-05 1.75e-05 1.645e-05 1.765e-05 1.745e-05 1.76e-05 1.74e-05 1.72e-05 1.64e-05 1.705e-05 1.68e-05 1.635e-05 1.665e-05 1.755e-05 1.69e-05 1.705e-05 1.715e-05 1.71e-05 1.67e-05 1.775e-05 1.705e-05 1.715e-05
6 1.23e-05 3.185e-05 2.905e-05 2.77e-05 6.85e-06 1.68e-05 2e-06 2.78e-05 1.58e-05 1.56e-05 2.565e-05 5.65e-06 2.915e-05 1.245e-05 2.77e-05 2.77e-05 3e-05 2.585e-05 2.585e-05 2.355e-05 2.565e-05 1.23e-05 1.625e-05 2.365e-05 2.995e-05 2.575e-05 2.705e-05 2.575e-05 1.68e-05 1.565e-05 3.005e-05 2.565e-05 2.58e-05
7 1.58e-05 8.5e-06 5.05e-06 6.4e-06 2.77e-05 1.75e-05 2.78e-05 7e-07 1.29e-05 1.295e-05 2.65e-06 2.875e-05 5.05e-06 1.63e-05 7e-07 6e-07 4.4e-06 2.9e-06 2.85e-06 5.05e-06 2.45e-06 1.66e-05 1.665e-05 4.7e-06 4.3e-06 2.9e-06 7.15e-06 2.55e-06 1.785e-05 1.765e-05 3.9e-06 2.45e-06 2.85e-06
8 1.395e-05 1.98e-05 1.605e-05 1.625e-05 1.715e-05 1.71e-05 1.58e-05 1.29e-05 2.55e-05 1.305e-05 1.29e-05 1.835e-05 1.615e-05 1.42e-05 1.305e-05 1.29e-05 1.62e-05 1.31e-05 1.325e-05 1.31e-05 1.285e-05 1.475e-05 1.625e-05 1.3e-05 1.615e-05 1.315e-05 1.63e-05 1.295e-05 1.755e-05 1.64e-05 1.59e-05 1.285e-05 1.325e-05
9 1.41e-05 1.95e-05 1.605e-05 1.6e-05 1.71e-05 1.72e-05 1.56e-05 1.295e-05 1.305e-05 2.55e-05 1.3e-05 1.835e-05 1.605e-05 1.435e-05 1.275e-05 1.305e-05 1.62e-05 1.315e-05 1.32e-05 1.32e-05 1.305e-05 1.45e-05 1.635e-05 1.31e-05 1.615e-05 1.325e-05 1.605e-05 1.315e-05 1.725e-05 1.66e-05 1.59e-05 1.305e-05 1.335e-05
10 1.37e-05 9.95e-06 6.65e-06 5.9e-06 2.745e-05 1.7e-05 2.565e-05 2.65e-06 1.29e-05 1.3e-05 4.7e-06 2.84e-05 6.65e-06 1.42e-05 2.8e-06 2.45e-06 6.1e-06 2.7e-06 2.9e-06 2.95e-06 2.45e-06 1.435e-05 1.615e-05 2.5e-06 6.05e-06 2.9e-06 6.65e-06 2.55e-06 1.75e-05 1.735e-05 5.6e-06 2.45e-06 2.75e-06
11 1.67e-05 2.795e-05 2.755e-05 2.81e-05 6.95e-06 1.685e-05 5.65e-06 2.875e-05 1.835e-05 1.835e-05 2.84e-05 1.08e-05 2.775e-05 1.675e-05 2.88e-05 2.875e-05 2.85e-05 2.865e-05 2.86e-05 2.79e-05 2.825e-05 1.69e-05 1.67e-05 2.805e-05 2.845e-05 2.84e-05 2.745e-05 2.835e-05 1.71e-05 1.61e-05 2.86e-05 2.825e-05 2.85e-05
12 1.87e-05 6e-06 4.8e-06 7e-06 2.685e-05 1.75e-05 2.915e-05 5.05e-06 1.615e-05 1.605e-05 6.65e-06 2.775e-05 9.5e-06 1.905e-05 5e-06 5.05e-06 5.15e-06 7e-06 6.9e-06 8.65e-06 6.65e-06 1.87e-05 1.72e-05 8.35e-06 5.1e-06 6.9e-06 6.85e-06 6.75e-06 1.775e-05 1.72e-05 4.95e-06 6.65e-06 6.85e-06
13 1.185e-05 2.175e-05 1.89e-05 1.685e-05 1.69e-05 1.645e-05 1.245e-05 1.63e-05 1.42e-05 1.435e-05 1.42e-05 1.675e-05 1.905e-05 2.31e-05 1.655e-05 1.625e-05 1.9e-05 1.45e-05 1.445e-05 1.18e-05 1.41e-05 1.265e-05 1.55e-05 1.215e-05 1.895e-05 1.4e-05 1.705e-05 1.42e-05 1.7e-05 1.6e-05 1.92e-05 1.41e-05 1.435e-05
14 1.61e-05 8.25e-06 5.1e-06 6.3e-06 2.76e-05 1.765e-05 2.77e-05 7e-07 1.305e-05 1.275e-05 2.8e-06 2.88e-05 5e-06 1.655e-05 1e-06 8e-07 4.45e-06 2.95e-06 3e-06 5.3e-06 2.85e-06 1.645e-05 1.685e-05 4.95e-06 4.4e-06 3.2e-06 7.05e-06 2.95e-06 1.77e-05 1.785e-05 3.85e-06 2.85e-06 3.15e-06
