 slim_762218492 slim_762218515 slim_762218523 slim_762218494 slim_762218495 slim_762218521 slim_762218519 slim_762218499 slim_762218526 slim_762218497 slim_762218524 slim_762218490 slim_762218510 slim_762218537 slim_762218496 slim_762218534 slim_762218501 slim_762218506 slim_762218486 slim_762218530 slim_762218518 slim_762218508 slim_762218527 slim_762218525 slim_762218517 slim_762218516 slim_762218489 slim_762218487 slim_762218493 slim_762218488 slim_762218512 slim_762218503 slim_762218500 slim_762218522 slim_762218505 slim_762218514 slim_762218528 slim_762218531 slim_762218485 slim_762218533 slim_762218535 slim_762218509 slim_762218513 slim_762218520 slim_762218536 slim_762218507 slim_762218491 slim_762218532 slim_762218498 slim_762218529 slim_762218504 slim_762218511 slim_762218502
0 1.7e-06 2.25e-06 1.9e-06 1.9e-06 1.35e-06 1.3e-06 2.4e-06 1.2e-06 2.4e-06 1.85e-06 2.1e-06 2.3e-06 1.3e-06 2.6e-06 2.35e-06 2e-06 2.05e-06 1.65e-06 2.65e-06 1.1e-06 2.95e-06 2.15e-06 1.25e-06 2.55e-06 1.75e-06 1.7e-06 2.6e-06 1.75e-06 2e-06 2.2e-06 2.5e-06 2.3e-06 1e-06 2.2e-06 1.8e-06 2.05e-06 8.5e-07 2.5e-06 1.9e-06 2e-06 1.95e-06 1.5e-06 1.95e-06 2.55e-06 2.8e-06 2.15e-06 2.8e-06 1.6e-06 2e-06 1.55e-06 2.55e-06 1.9e-06 1.5e-06
1 2.25e-06 2.1e-06 1.8e-06 1.35e-06 2.1e-06 2.05e-06 2.15e-06 2.05e-06 2.2e-06 2.4e-06 2.1e-06 1.55e-06 2.05e-06 2.45e-06 2.2e-06 1.95e-06 1.75e-06 1.65e-06 2.45e-06 1.8e-06 2.55e-06 1.6e-06 2e-06 2.55e-06 2e-06 2.25e-06 2.45e-06 2.35e-06 1.9e-06 2.4e-06 1.85e-06 1.85e-06 2.45e-06 2.2e-06 1.6e-06 1.4e-06 2.15e-06 2.4e-06 1.7e-06 1.95e-06 1.9e-06 1.6e-06 1.85e-06 2.3e-06 2.55e-06 1.7e-06 2.25e-06 1.6e-06 1.8e-06 1.6e-06 1.9e-06 1.35e-06 1.8e-06
2 1.9e-06 1.8e-06 1.5e-06 1.45e-06 1.45e-06 1.4e-06 1.9e-06 1.95e-06 1.05e-06 1.8e-06 1.15e-06 1.95e-06 1.4e-06 1.4e-06 1.35e-06 1.05e-06 1.7e-06 1.4e-06 1.3e-06 1.6e-06 1.65e-06 1.9e-06 1.45e-06 1.8e-06 1.95e-06 1.55e-06 1.4e-06 1.6e-06 9e-07 1.9e-06 1.8e-06 1.6e-06 2.05e-06 1.25e-06 1.7e-06 2.1e-06 1.75e-06 1.35e-06 1.75e-06 1.05e-06 9e-07 8e-07 8.5e-07 1.2e-06 1.55e-06 1.4e-06 1.8e-06 1.4e-06 1.4e-06 1.65e-06 1.85e-06 1.45e-06 1.95e-06
3 1.9e-06 1.35e-06 1.45e-06 1.6e-06 1.55e-06 1.55e-06 2.05e-06 1.9e-06 2.05e-06 2.15e-06 1.55e-06 1.6e-06 1.55e-06 2.2e-06 1.75e-06 1.5e-06 1.65e-06 1.25e-06 2.3e-06 1.45e-06 2.5e-06 1.95e-06 1.45e-06 2.55e-06 2.3e-06 1.95e-06 2.2e-06 1.95e-06 1.5e-06 2.5e-06 1.55e-06 1.55e-06 2.2e-06 1.65e-06 1.3e-06 1.2e-06 1.7e-06 2.15e-06 1.85e-06 1.5e-06 1.55e-06 8e-07 1.45e-06 2.25e-06 2.35e-06 1.7e-06 2.5e-06 1.15e-06 1.75e-06 1.8e-06 1.6e-06 8.5e-07 1.55e-06
4 1.35e-06 2.1e-06 1.45e-06 1.55e-06 2e-06 1e-06 2.15e-06 1.35e-06 1.9e-06 1.7e-06 1.6e-06 2.15e-06 1e-06 2.05e-06 1.8e-06 1.5e-06 1.95e-06 1.5e-06 2.15e-06 1.55e-06 2.4e-06 2.05e-06 1.05e-06 2.4e-06 1.75e-06 1.8e-06 2.05e-06 1.85e-06 1.5e-06 2.4e-06 2.15e-06 1.95e-06 1.05e-06 1.7e-06 1.65e-06 2e-06 1.6e-06 1.95e-06 1.75e-06 1.5e-06 1.5e-06 1e-06 1.45e-06 2.05e-06 2.25e-06 1.75e-06 2.4e-06 1.4e-06 1.8e-06 1.85e-06 2.2e-06 1.6e-06 1.5e-06
5 1.3e-06 2.05e-06 1.4e-06 1.55e-06 1e-06 1.9e-06 2.1e-06 1.3e-06 1.85e-06 1.65e-06 1.55e-06 2.1e-06 9.5e-07 2e-06 1.8e-06 1.45e-06 1.9e-06 1.45e-06 2.1e-06 1.5e-06 2.35e-06 2e-06 1.05e-06 2.35e-06 1.7e-06 1.75e-06 2e-06 1.8e-06 1.5e-06 2.35e-06 2.1e-06 1.9e-06 1e-06 1.65e-06 1.6e-06 1.95e-06 1.55e-06 1.9e-06 1.7e-06 1.45e-06 1.45e-06 1e-06 1.45e-06 2e-06 2.2e-06 1.75e-06 2.35e-06 1.35e-06 1.75e-06 1.8e-06 2.15e-06 1.55e-06 1.45e-06
6 2.4e-06 2.15e-06 1.9e-06 2.05e-06 2.15e-06 2.1e-06 3.3e-06 2.2e-06 1.95e-06 2.25e-06 1.95e-06 2.25e-06 2.1e-06 2.05e-06 1.8e-06 1.9e-06 2.35e-06 2.05e-06 2.05e-06 2.15e-06 1.7e-06 1.8e-06 2.15e-06 2e-06 2.2e-06 2.2e-06 2.05e-06 2.2e-06 2e-06 2.4e-06 2.2e-06 2e-06 2.45e-06 1.9e-06 1.85e-06 2.05e-06 2.35e-06 2.1e-06 2.25e-06 1.9e-06 1.95e-06 1.8e-06 1.95e-06 2.15e-06 1.8e-06 1.95e-06 2e-06 1.75e-06 1.85e-06 2.2e-06 2.1e-06 2.05e-06 2.25e-06
7 1.2e-06 2.05e-06 1.95e-06 1.9e-06 1.35e-06 1.3e-06 2.2e-06 1.4e-06 2.45e-06 1.85e-06 2.25e-06 2.25e-06 1.3e-06 2.75e-06 2.5e-06 2.15e-06 2.2e-06 1.7e-06 2.7e-06 1.55e-06 3.1e-06 1.75e-06 1.25e-06 2.95e-06 1.55e-06 2.2e-06 2.75e-06 2.25e-06 2.05e-06 2.75e-06 2.5e-06 2.3e-06 8.5e-07 2.35e-06 1.5e-06 1.7e-06 1.7e-06 2.65e-06 1.9e-06 2.15e-06 2e-06 1.65e-06 2e-06 2.6e-06 2.95e-06 2.1e-06 2.75e-06 1.4e-06 1.7e-06 1.85e-06 2.55e-06 1.9e-06 1.35e-06
8 2.4e-06 2.2e-06 1.05e-06 2.05e-06 1.9e-06 1.85e-06 1.95e-06 2.45e-06 1.3e-06 1.7e-06 1.1e-06 2.2e-06 1.85e-06 9.5e-07 1.45e-06 1.25e-06 1.95e-06 1.85e-06 9.5e-07 2.1e-06 1.35e-06 2.1e-06 2e-06 1.55e-06 2.15e-06 1.7e-06 9.5e-07 1.5e-06 1.15e-06 1.8e-06 1.75e-06 1.55e-06 2.45e-06 1.25e-06 2.15e-06 2.65e-06 2.25e-06 1.15e-06 2e-06 1.25e-06 1.1e-06 1.4e-06 1.1e-06 1.05e-06 1e-06 1.65e-06 1.45e-06 1.95e-06 1.6e-06 2e-06 1.85e-06 2.05e-06 2.5e-06
9 1.85e-06 2.4e-06 1.8e-06 2.15e-06 1.7e-06 1.65e-06 2.25e-06 1.85e-06 1.7e-06 3e-06 1.65e-06 2.4e-06 1.65e-06 1.8e-06 2.05e-06 1.85e-06 2.3e-06 1.95e-06 2e-06 1.95e-06 2.3e-06 2.25e-06 1.7e-06 2.3e-06 2.05e-06 2.05e-06 1.8e-06 1.8e-06 1.9e-06 2.4e-06 2.15e-06 1.95e-06 1.7e-06 1.8e-06 2.05e-06 2.45e-06 2e-06 2.05e-06 2.05e-06 1.85e-06 1.85e-06 1.65e-06 1.85e-06 2.15e-06 1.9e-06 2.1e-06 2.2e-06 1.9e-06 2.05e-06 2.1e-06 2.25e-06 2.15e-06 2.05e-06
