 slim_761993918 slim_761993947 slim_761993932 slim_761993939 slim_761993948 slim_761993923 slim_761993941 slim_761993920 slim_761993938 slim_761993928 slim_761993926 slim_761993934 slim_761993922 slim_761993944 slim_761993940 slim_761993933 slim_761993916 slim_761993925 slim_761993927 slim_761993919 slim_761993915 slim_761993930 slim_761993946 slim_761993942 slim_761993921 slim_761993945 slim_761993931 slim_761993917 slim_761993943 slim_761993936 slim_761993935 slim_761993937 slim_761993924 slim_761993929
0 2.9e-06 2.35e-06 1.95e-06 2.2e-06 2.45e-06 1.95e-06 2.35e-06 2.1e-06 2.25e-06 2.5e-06 1.45e-06 1.65e-06 2.75e-06 2e-06 1.75e-06 2e-06 2.05e-06 2.1e-06 2.85e-06 2.55e-06 2.55e-06 2.05e-06 2.3e-06 2.35e-06 2.7e-06 2.35e-06 2.3e-06 2.8e-06 2.4e-06 2.05e-06 2.15e-06 2.2e-06 1.95e-06 1.65e-06
1 2.35e-06 1.6e-06 1.6e-06 2.05e-06 1.25e-06 2e-06 9.5e-07 1.95e-06 2.3e-06 2.5e-06 2.7e-06 2.1e-06 1.65e-06 1.75e-06 1.7e-06 1.95e-06 1.45e-06 2.25e-06 1.75e-06 1.7e-06 1.75e-06 2.45e-06 9.5e-07 8.5e-07 1.65e-06 1.4e-06 1.2e-06 2.15e-06 1.15e-06 1.85e-06 2.3e-06 1.65e-06 1.95e-06 2.4e-06
2 1.95e-06 1.6e-06 2.3e-06 1.9e-06 1.75e-06 1.85e-06 1.3e-06 1.65e-06 2.25e-06 2.95e-06 2.65e-06 2.3e-06 2e-06 1.7e-06 1.3e-06 1.95e-06 2e-06 2.45e-06 2.3e-06 2.05e-06 2.3e-06 2.5e-06 1.3e-06 1.45e-06 1.95e-06 1.65e-06 1.4e-06 2.65e-06 1.35e-06 1.55e-06 2.65e-06 1.95e-06 2e-06 2.65e-06
3 2.2e-06 2.05e-06 1.9e-06 2.6e-06 1.85e-06 2.15e-06 1.9e-06 2e-06 1.9e-06 2.55e-06 2.3e-06 1.8e-06 2.1e-06 2.2e-06 1.75e-06 2.05e-06 2.3e-06 2.35e-06 2.45e-06 1.95e-06 2.1e-06 2.5e-06 1.65e-06 2.2e-06 1.7e-06 2.35e-06 1.85e-06 1.9e-06 1.7e-06 1.95e-06 1.95e-06 2.15e-06 2e-06 2.4e-06
4 2.45e-06 1.25e-06 1.75e-06 1.85e-06 1.6e-06 2.05e-06 1.25e-06 1.8e-06 2e-06 2.3e-06 2.3e-06 1.8e-06 1.5e-06 2.15e-06 2.1e-06 1.6e-06 1.65e-06 2e-06 2e-06 1.6e-06 1.1e-06 2.25e-06 8.5e-07 1.7e-06 1.2e-06 1.7e-06 1.45e-06 1.85e-06 1.1e-06 1.7e-06 1.8e-06 1.3e-06 1.6e-06 2e-06
5 1.95e-06 2e-06 1.85e-06 2.15e-06 2.05e-06 3.4e-06 1.95e-06 2.05e-06 2.2e-06 2.65e-06 2.1e-06 1.95e-06 2.35e-06 2e-06 1.85e-06 2.1e-06 2e-06 2.05e-06 2.3e-06 2.3e-06 2.1e-06 2.35e-06 1.9e-06 2e-06 2.25e-06 2.3e-06 2.05e-06 2.55e-06 1.95e-06 2e-06 2.3e-06 2.1e-06 2.05e-06 2.1e-06
6 2.35e-06 9.5e-07 1.3e-06 1.9e-06 1.25e-06 1.95e-06 1.2e-06 1.7e-06 2.3e-06 2.7e-06 2.9e-06 2.25e-06 1.45e-06 1.65e-06 1.5e-06 1.85e-06 1.45e-06 2.3e-06 1.65e-06 1.6e-06 1.8e-06 2.55e-06 7.5e-07 6.5e-07 1.4e-06 1.1e-06 8.5e-07 2.2e-06 8e-07 1.65e-06 2.4e-06 1.55e-06 1.85e-06 2.6e-06
7 2.1e-06 1.95e-06 1.65e-06 2e-06 1.8e-06 2.05e-06 1.7e-06 2.5e-06 1.85e-06 2.5e-06 2.25e-06 2.1e-06 1.75e-06 1.7e-06 1.8e-06 1.85e-06 2.15e-06 2e-06 2.45e-06 1.85e-06 2.1e-06 2.05e-06 1.4e-06 2.15e-06 1.85e-06 2.05e-06 1.7e-06 2.35e-06 1.55e-06 1.3e-06 2.35e-06 1.85e-06 1.85e-06 2.25e-06
8 2.25e-06 2.3e-06 2.25e-06 1.9e-06 2e-06 2.2e-06 2.3e-06 1.85e-06 3.2e-06 2.35e-06 2e-06 1.9e-06 2.1e-06 2.15e-06 2.35e-06 2.05e-06 2.3e-06 2.05e-06 2.6e-06 2.05e-06 1.95e-06 2.2e-06 1.95e-06 2.7e-06 1.85e-06 2.65e-06 2.35e-06 1.9e-06 2.1e-06 1.8e-06 1.8e-06 2.05e-06 2e-06 2e-06
9 2.5e-06 2.5e-06 2.95e-06 2.55e-06 2.3e-06 2.65e-06 2.7e-06 2.5e-06 2.35e-06 2.8e-06 1.7e-06 1.8e-06 2.15e-06 2.7e-06 2.9e-06 2.15e-06 2.2e-06 2e-06 2.55e-06 2e-06 2.2e-06 1.85e-06 2.3e-06 3e-06 2.45e-06 2.8e-06 2.7e-06 1.9e-06 2.55e-06 2.45e-06 1.95e-06 2.05e-06 2.1e-06 1.6e-06
