 slim_762408706 slim_762408697 slim_762408685 slim_762408674 slim_762408694 slim_762408682 slim_762408709 slim_762408698 slim_762408704 slim_762408666 slim_762408687 slim_762408708 slim_762408669 slim_762408705 slim_762408692 slim_762408680 slim_762408673 slim_762408700 slim_762408695 slim_762408684 slim_762408671 slim_762408665 slim_762408676 slim_762408678 slim_762408667 slim_762408699 slim_762408679 slim_762408675 slim_762408686 slim_762408670 slim_762408702 slim_762408688 slim_762408696 slim_762408691 slim_762408683 slim_762408693 slim_762408703 slim_762408701 slim_762408668 slim_762408690 slim_762408689 slim_762408672 slim_762408707 slim_762408677 slim_762408681
0 1.4e-06 1.6e-06 1.95e-06 1.4e-06 3.2e-06 1.15e-06 2.5e-06 1.65e-06 1.8e-06 1.8e-06 1.9e-06 2e-06 2.15e-06 2.35e-06 1.15e-06 2.1e-06 1.7e-06 2.95e-06 2.2e-06 2.1e-06 2.2e-06 1.75e-06 2.05e-06 1.65e-06 2.4e-06 3.05e-06 2e-06 1.65e-06 2.05e-06 1.9e-06 1.45e-06 3.25e-06 1.75e-06 1.85e-06 3.45e-06 1.4e-06 3e-06 1.9e-06 2.35e-06 1.9e-06 1.8e-06 2.05e-06 1.4e-06 1.7e-06 2e-06
1 1.6e-06 2e-06 1.65e-06 1.95e-06 2.9e-06 1.6e-06 2.3e-06 1.35e-06 1.1e-06 1.85e-06 1.5e-06 1.3e-06 1.6e-06 1.7e-06 1.55e-06 1.5e-06 1.15e-06 2.65e-06 1.5e-06 1.3e-06 1.8e-06 1.45e-06 1.95e-06 1.55e-06 2e-06 2.7e-06 1.75e-06 1.9e-06 1.45e-06 1.7e-06 1.2e-06 2.95e-06 1.65e-06 1.25e-06 3.3e-06 1.35e-06 2.7e-06 1.3e-06 2.2e-06 1.65e-06 1.6e-06 1.75e-06 1.45e-06 1.6e-06 1.3e-06
2 1.95e-06 1.65e-06 2.7e-06 2.1e-06 2.85e-06 1.9e-06 1.35e-06 1.85e-06 1.95e-06 2.25e-06 1.85e-06 1.65e-06 2.25e-06 2.1e-06 1.7e-06 1.85e-06 2.05e-06 2.8e-06 1.85e-06 1.9e-06 1.75e-06 1.85e-06 1.6e-06 1.9e-06 1.75e-06 2.9e-06 2.15e-06 2.25e-06 2e-06 1.6e-06 1.6e-06 2.9e-06 1.75e-06 1.8e-06 3.1e-06 1.7e-06 2.85e-06 1.85e-06 1.95e-06 1.9e-06 1.75e-06 2.2e-06 2.05e-06 1.95e-06 1.95e-06
3 1.4e-06 1.95e-06 2.1e-06 2.7e-06 3.3e-06 1.65e-06 2.45e-06 2e-06 2.15e-06 2.1e-06 2.35e-06 2.35e-06 2.4e-06 2.6e-06 1.5e-06 2.45e-06 2.05e-06 3.05e-06 2.55e-06 2.45e-06 2.35e-06 2.1e-06 2.2e-06 2e-06 2.55e-06 3.15e-06 2.05e-06 2e-06 2.4e-06 2.05e-06 1.8e-06 3.35e-06 2e-06 2.2e-06 3.55e-06 1.75e-06 3.1e-06 2.25e-06 2.5e-06 2.2e-06 1.9e-06 2.1e-06 1.85e-06 2.05e-06 2.35e-06
4 3.2e-06 2.9e-06 2.85e-06 3.3e-06 3.9e-06 3.55e-06 2.45e-06 3.05e-06 2.55e-06 2.65e-06 2.1e-06 2.45e-06 2.5e-06 2.4e-06 3.35e-06 2.05e-06 3.05e-06 2.25e-06 2.5e-06 2.55e-06 2.55e-06 2.7e-06 3.05e-06 3.05e-06 2.35e-06 2.35e-06 2.85e-06 2.7e-06 2.25e-06 2.55e-06 2.65e-06 2.15e-06 3.05e-06 2.2e-06 2e-06 3.45e-06 2.3e-06 2.25e-06 2.55e-06 2.9e-06 2.55e-06 2.9e-06 2.85e-06 3.1e-06 2.35e-06
5 1.15e-06 1.6e-06 1.9e-06 1.65e-06 3.55e-06 1e-06 2.7e-06 1.9e-06 2.1e-06 2.35e-06 2.3e-06 2.3e-06 2.4e-06 2.55e-06 7e-07 2.4e-06 1.75e-06 3.3e-06 2.5e-06 2.35e-06 2.45e-06 1.65e-06 2.25e-06 1.9e-06 2.65e-06 3.4e-06 1.85e-06 2.25e-06 2.35e-06 1.85e-06 1.6e-06 3.6e-06 2.05e-06 2.15e-06 3.85e-06 1.2e-06 3.35e-06 2.2e-06 2.55e-06 1.5e-06 1.8e-06 1.9e-06 1.75e-06 1.95e-06 2.3e-06
6 2.5e-06 2.3e-06 1.35e-06 2.45e-06 2.45e-06 2.7e-06 0.0 2.3e-06 1.9e-06 2.25e-06 1.8e-06 1.6e-06 2.15e-06 2.2e-06 2.35e-06 1.8e-06 2.45e-06 2.4e-06 1.8e-06 2.05e-06 1.1e-06 2.35e-06 1.4e-06 2.3e-06 1.1e-06 2.5e-06 2.4e-06 2.2e-06 1.95e-06 1.6e-06 1.9e-06 2.5e-06 1.9e-06 1.75e-06 2.55e-06 2.7e-06 2.45e-06 1.8e-06 1.25e-06 2.2e-06 2e-06 2.45e-06 2.15e-06 2.35e-06 1.9e-06
7 1.65e-06 1.35e-06 1.85e-06 2e-06 3.05e-06 1.9e-06 2.3e-06 2.2e-06 1.25e-06 1.8e-06 1.8e-06 1.5e-06 1.65e-06 1.9e-06 1.85e-06 1.8e-06 1.3e-06 2.65e-06 1.7e-06 1.6e-06 1.8e-06 1.75e-06 1.75e-06 1.4e-06 2.15e-06 2.75e-06 1.95e-06 1.85e-06 1.65e-06 1.9e-06 1.2e-06 3.1e-06 1.3e-06 1.45e-06 3.3e-06 1.3e-06 2.7e-06 1.45e-06 2.3e-06 1.95e-06 1.85e-06 1.95e-06 1.6e-06 1.45e-06 1.6e-06
8 1.8e-06 1.1e-06 1.95e-06 2.15e-06 2.55e-06 2.1e-06 1.9e-06 1.25e-06 4e-07 1.45e-06 1.1e-06 9e-07 8e-07 1.4e-06 2.05e-06 1.1e-06 7e-07 2.05e-06 1.1e-06 9e-07 1.15e-06 1.55e-06 2.1e-06 1.6e-06 1.6e-06 2.1e-06 1.6e-06 1.5e-06 8.5e-07 1.8e-06 1.05e-06 2.6e-06 1.7e-06 6.5e-07 2.95e-06 2e-06 2.1e-06 6.5e-07 1.75e-06 1.7e-06 1.7e-06 1.55e-06 9.5e-07 1.65e-06 6.5e-07
9 1.8e-06 1.85e-06 2.25e-06 2.1e-06 2.65e-06 2.35e-06 2.25e-06 1.8e-06 1.45e-06 2.3e-06 1.8e-06 1.75e-06 1.3e-06 1.65e-06 2.3e-06 1.75e-06 1.8e-06 2.4e-06 1.9e-06 1.9e-06 1.9e-06 2.05e-06 2.25e-06 1.85e-06 2.1e-06 2.5e-06 1.9e-06 1.25e-06 1.65e-06 2.1e-06 1.65e-06 2.7e-06 1.85e-06 1.5e-06 2.95e-06 2.2e-06 2.45e-06 1.55e-06 2.25e-06 2.15e-06 2.05e-06 1.95e-06 1.6e-06 1.9e-06 1.65e-06
