 slim_762062297 slim_762062317 slim_762062288 slim_762062284 slim_762062304 slim_762062301 slim_762062299 slim_762062292 slim_762062309 slim_762062295 slim_762062286 slim_762062285 slim_762062306 slim_762062287 slim_762062305 slim_762062314 slim_762062308 slim_762062318 slim_762062291 slim_762062289 slim_762062302 slim_762062311 slim_762062313 slim_762062298 slim_762062316 slim_762062307 slim_762062293 slim_762062296 slim_762062290 slim_762062312 slim_762062300 slim_762062310 slim_762062315 slim_762062294 slim_762062303
0 2.6e-06 1.95e-06 1.6e-06 1.95e-06 2e-06 1.95e-06 1.9e-06 1.85e-06 1.85e-06 2e-06 1.8e-06 2.05e-06 1.95e-06 2.05e-06 2.25e-06 1.55e-06 1.8e-06 2.1e-06 1.65e-06 1.9e-06 1.75e-06 2.2e-06 2.05e-06 1.65e-06 2.25e-06 1.7e-06 1.75e-06 2.05e-06 1.9e-06 1.85e-06 1.9e-06 1.6e-06 1.9e-06 1.85e-06 1.85e-06
1 1.95e-06 2.2e-06 2.4e-06 1.6e-06 1.6e-06 1.15e-06 1.55e-06 1.7e-06 2.05e-06 2e-06 1.8e-06 1.75e-06 2.1e-06 2.05e-06 2e-06 1.7e-06 1.8e-06 1.9e-06 1.15e-06 1.7e-06 1.25e-06 2.35e-06 1.65e-06 1.35e-06 1.95e-06 1.25e-06 1.15e-06 2.2e-06 1.65e-06 1.3e-06 1.3e-06 1.35e-06 1.15e-06 1.5e-06 1.55e-06
2 1.6e-06 2.4e-06 2.1e-06 2.05e-06 2.2e-06 2.4e-06 2.35e-06 2.5e-06 1.55e-06 1.9e-06 1.45e-06 2.7e-06 1.85e-06 2.05e-06 2.65e-06 1.9e-06 1.9e-06 2e-06 2e-06 2.3e-06 2.1e-06 2.45e-06 2.5e-06 2.25e-06 2.25e-06 2.15e-06 2.25e-06 2.3e-06 1.85e-06 2.15e-06 2.4e-06 2.25e-06 2.35e-06 2.35e-06 1.95e-06
3 1.95e-06 1.6e-06 2.05e-06 2.5e-06 1.85e-06 1.6e-06 1.7e-06 2e-06 1.8e-06 1.95e-06 1.75e-06 2.1e-06 1.75e-06 2.1e-06 2.35e-06 1.8e-06 1.7e-06 2.05e-06 1.35e-06 1.75e-06 1.25e-06 2.4e-06 1.9e-06 1.7e-06 2.2e-06 1.45e-06 1.45e-06 2.15e-06 1.6e-06 1.45e-06 1.6e-06 1.75e-06 1.55e-06 1.7e-06 1.7e-06
4 2e-06 1.6e-06 2.2e-06 1.85e-06 2.2e-06 1.6e-06 1.45e-06 1.8e-06 1.85e-06 1.45e-06 1.4e-06 1.65e-06 2.05e-06 1.8e-06 1.75e-06 1.6e-06 1.85e-06 1.55e-06 1.35e-06 1.55e-06 1.55e-06 2.15e-06 1.55e-06 1.65e-06 1.35e-06 1.5e-06 1.45e-06 2.15e-06 1.55e-06 1.4e-06 1.6e-06 1.3e-06 1.55e-06 1.6e-06 1.3e-06
5 1.95e-06 1.15e-06 2.4e-06 1.6e-06 1.6e-06 2.2e-06 1.55e-06 1.7e-06 2.05e-06 2e-06 1.8e-06 1.75e-06 2.1e-06 2.05e-06 2e-06 1.7e-06 1.8e-06 1.9e-06 1.15e-06 1.7e-06 1.25e-06 2.35e-06 1.65e-06 1.35e-06 1.95e-06 1.25e-06 1.15e-06 2.2e-06 1.65e-06 1.3e-06 1.3e-06 1.35e-06 1.15e-06 1.5e-06 1.55e-06
6 1.9e-06 1.55e-06 2.35e-06 1.7e-06 1.45e-06 1.55e-06 2e-06 1.4e-06 1.85e-06 1.75e-06 2e-06 1.45e-06 1.6e-06 1.75e-06 1.7e-06 1.6e-06 1.7e-06 2e-06 1.65e-06 1.45e-06 1.75e-06 1.75e-06 1.35e-06 1.65e-06 1.9e-06 1.8e-06 1.4e-06 1.6e-06 2e-06 1.4e-06 1.55e-06 1.35e-06 1.5e-06 1.6e-06 1.55e-06
7 1.85e-06 1.7e-06 2.5e-06 2e-06 1.8e-06 1.7e-06 1.4e-06 1.4e-06 1.85e-06 2.1e-06 2e-06 1.15e-06 2.05e-06 1.55e-06 1.1e-06 1.7e-06 1.55e-06 1.8e-06 1.35e-06 1.35e-06 1.45e-06 1.35e-06 1.8e-06 1.15e-06 1.75e-06 1.45e-06 1.55e-06 1.2e-06 1.85e-06 1.7e-06 1.7e-06 1.45e-06 1.65e-06 1.45e-06 1.85e-06
8 1.85e-06 2.05e-06 1.55e-06 1.8e-06 1.85e-06 2.05e-06 1.85e-06 1.85e-06 1.9e-06 1.65e-06 9.5e-07 2.2e-06 1.45e-06 1.45e-06 2.05e-06 1.75e-06 1.35e-06 1.5e-06 1.6e-06 1.75e-06 1.7e-06 1.75e-06 2.2e-06 1.75e-06 1.8e-06 1.75e-06 1.9e-06 1.6e-06 1.4e-06 1.8e-06 2.05e-06 2e-06 2e-06 2e-06 1.55e-06
9 2e-06 2e-06 1.9e-06 1.95e-06 1.45e-06 2e-06 1.75e-06 2.1e-06 1.65e-06 2.4e-06 1.3e-06 2.05e-06 1.85e-06 1.8e-06 2.05e-06 1.45e-06 1.85e-06 1.65e-06 1.65e-06 1.75e-06 1.85e-06 2.15e-06 1.8e-06 1.95e-06 1.55e-06 1.8e-06 1.85e-06 2.15e-06 1.65e-06 1.7e-06 2e-06 1.75e-06 1.95e-06 1.85e-06 1.55e-06
10 1.8e-06 1.8e-06 1.45e-06 1.75e-06 1.4e-06 1.8e-06 2e-06 2e-06 9.5e-07 1.3e-06 0.0 2.1e-06 1.9e-06 1.45e-06 1.85e-06 1.55e-06 1.45e-06 7.5e-07 1.05e-06 1.6e-06 1.25e-06 2.1e-06 2.05e-06 1.5e-06 1.15e-06 1.2e-06 1.65e-06 2.1e-06 7.5e-07 1.5e-06 1.8e-06 1.7e-06 1.75e-06 1.7e-06 1e-06
11 2.05e-06 1.75e-06 2.7e-06 2.1e-06 1.65e-06 1.75e-06 1.45e-06 1.15e-06 2.2e-06 2.05e-06 2.1e-06 1.8e-06 2.05e-06 1.75e-06 1.25e-06 1.65e-06 1.9e-06 1.9e-06 1.55e-06 1.6e-06 1.75e-06 1.6e-06 1.5e-06 1.6e-06 1.85e-06 1.7e-06 1.6e-06 1.6e-06 2.05e-06 1.65e-06 1.75e-06 1.3e-06 1.7e-06 1.5e-06 1.7e-06
12 1.95e-06 2.1e-06 1.85e-06 1.75e-06 2.05e-06 2.1e-06 1.6e-06 2.05e-06 1.45e-06 1.85e-06 1.9e-06 2.05e-06 1.8e-06 1.75e-06 2.4e-06 1.65e-06 1.65e-06 2.3e-06 2.25e-06 2.1e-06 2.35e-06 1.75e-06 1.85e-06 2.25e-06 2.6e-06 2.4e-06 1.95e-06 1.6e-06 2.25e-06 1.85e-06 2.1e-06 1.9e-06 2.05e-06 2.25e-06 1.75e-06
13 2.05e-06 2.05e-06 2.05e-06 2.1e-06 1.8e-06 2.05e-06 1.75e-06 1.55e-06 1.45e-06 1.8e-06 1.45e-06 1.75e-06 1.75e-06 2.1e-06 1.2e-06 1.8e-06 1.5e-06 1.3e-06 1.6e-06 1.65e-06 1.8e-06 1.4e-06 1.95e-06 1.8e-06 1.4e-06 1.75e-06 1.9e-06 1.4e-06 1.75e-06 1.85e-06 2.05e-06 1.85e-06 2e-06 1.8e-06 1.7e-06
14 2.25e-06 2e-06 2.65e-06 2.35e-06 1.75e-06 2e-06 1.7e-06 1.1e-06 2.05e-06 2.05e-06 1.85e-06 1.25e-06 2.4e-06 1.2e-06 1.1e-06 1.95e-06 1.85e-06 1.25e-06 1.5e-06 1.55e-06 1.7e-06 1.4e-06 1.85e-06 1.7e-06 1.15e-06 1.65e-06 1.85e-06 1.4e-06 1.9e-06 1.9e-06 2e-06 1.7e-06 1.95e-06 1.55e-06 1.85e-06
15 1.55e-06 1.7e-06 1.9e-06 1.8e-06 1.6e-06 1.7e-06 1.6e-06 1.7e-06 1.75e-06 1.45e-06 1.55e-06 1.65e-06 1.65e-06 1.8e-06 1.95e-06 1.9e-06 1.7e-06 1.85e-06 1.5e-06 1.7e-06 1.7e-06 1.9e-06 1.55e-06 1.6e-06 2e-06 1.6e-06 1.55e-06 1.9e-06 1.75e-06 1.55e-06 1.7e-06 1.15e-06 1.65e-06 1.6e-06 1.45e-06
16 1.8e-06 1.8e-06 1.9e-06 1.7e-06 1.85e-06 1.8e-06 1.7e-06 1.55e-06 1.35e-06 1.85e-06 1.45e-06 1.9e-06 1.65e-06 1.5e-06 1.85e-06 1.7e-06 2.3e-06 1.7e-06 1.25e-06 1.5e-06 1.3e-06 1.7e-06 2.05e-06 1.45e-06 1.85e-06 1.4e-06 1.65e-06 1.55e-06 1.5e-06 1.65e-06 1.8e-06 1.75e-06 1.75e-06 1.65e-06 1.7e-06
17 2.1e-06 1.9e-06 2e-06 2.05e-06 1.55e-06 1.9e-06 2e-06 1.8e-06 1.5e-06 1.65e-06 7.5e-07 1.9e-06 2.3e-06 1.3e-06 1.25e-06 1.85e-06 1.7e-06 1.5e-06 1.2e-06 1.65e-06 1.4e-06 2e-06 2.05e-06 1.65e-06 9.5e-07 1.35e-06 1.75e-06 2e-06 1.2e-06 1.7e-06 1.9e-06 1.8e-06 1.85e-06 1.65e-06 1.4e-06
18 1.65e-06 1.15e-06 2e-06 1.35e-06 1.35e-06 1.15e-06 1.65e-06 1.35e-06 1.6e-06 1.65e-06 1.05e-06 1.55e-06 2.25e-06 1.6e-06 1.5e-06 1.5e-06 1.25e-06 1.2e-06 3e-07 1e-06 2e-07 2.05e-06 1.8e-06 7.5e-07 1.2e-06 3e-07 1e-06 1.95e-06 7.5e-07 1.05e-06 1.15e-06 1.25e-06 1.1e-06 9e-07 1.35e-06
19 1.9e-06 1.7e-06 2.3e-06 1.75e-06 1.55e-06 1.7e-06 1.45e-06 1.35e-06 1.75e-06 1.75e-06 1.6e-06 1.6e-06 2.1e-06 1.65e-06 1.55e-06 1.7e-06 1.5e-06 1.65e-06 1e-06 2e-06 1e-06 1.8e-06 1.85e-06 1.3e-06 1.5e-06 1.1e-06 1.55e-06 1.7e-06 1.35e-06 1.5e-06 1.7e-06 1.55e-06 1.65e-06 1.35e-06 1.7e-06
20 1.75e-06 1.25e-06 2.1e-06 1.25e-06 1.55e-06 1.25e-06 1.75e-06 1.45e-06 1.7e-06 1.85e-06 1.25e-06 1.75e-06 2.35e-06 1.8e-06 1.7e-06 1.7e-06 1.3e-06 1.4e-06 2e-07 1e-06 1e-07 2.25e-06 2e-06 8.5e-07 1.4e-06 3e-07 1.1e-06 2.05e-06 7.5e-07 1.15e-06 1.25e-06 1.45e-06 1.2e-06 9.5e-07 1.55e-06
