 slim_337523740 slim_337523767 slim_337523704 slim_337523877 slim_337523827 slim_337523812 slim_337523732 slim_337523589 slim_337523906 slim_337523892 slim_337523258 slim_337523788 slim_337523803 slim_337523839 slim_337523900 slim_337523875 slim_337523899 slim_337523884 slim_337523768 slim_337523781 slim_337523861 slim_337523867 slim_337523912 slim_337523882 slim_337523837 slim_337523848 slim_337523903 slim_337523769 slim_337523761 slim_337523857 slim_337523494 slim_337523901 slim_337523810 slim_337523847 slim_337523623 slim_337523890 slim_337523830 slim_337523860 slim_337523911 slim_337523682 slim_337523755 slim_337523902 slim_337523893 slim_337523816 slim_337523724 slim_337523688 slim_337523907 slim_337523868 slim_337523666 slim_337523791 slim_337523859 slim_337523792 slim_337523772 slim_337523669 slim_337523862 slim_337523773 slim_337523869 slim_337523694 slim_337523895 slim_337523891 slim_337523885 slim_337523888 slim_337523790 slim_337523883 slim_337523706 slim_337523748 slim_337523910 slim_337523801 slim_337523889 slim_337523844 slim_337523898 slim_337523886 slim_337523593 slim_337523795 slim_337523908 slim_337523851 slim_337523864 slim_337523897 slim_337523763 slim_337523880 slim_337523757 slim_337523796 slim_337523846 slim_337523909 slim_337523838 slim_337523856
0 3.33e-05 0.00010945 0.00017755 0.00012995 9.44e-05 9.82e-05 0.00014 0.00014925 5.555e-05 8.485e-05 0.00011915 0.00014135 0.00010035 0.00015205 0.0001627 0.0001765 0.0001147 7.735e-05 0.0001619 0.00018125 9.04e-05 0.00014845 2.095e-05 0.0001117 0.0001746 8.12e-05 0.00013025 0.0001416 0.0001128 6.74e-05 0.0001477 9.15e-05 0.00015915 0.00018115 9.845e-05 4.165e-05 0.0001297 9.1e-05 8.28e-05 0.0001646 9.395e-05 3.99e-05 0.0001402 5.16e-05 0.00012345 5.66e-05 3.8e-05 6.31e-05 0.0001135 0.0001558 9.06e-05 0.00011065 0.00014125 8.145e-05 0.0001262 0.00011285 8.2e-05 0.0001484 0.0001392 0.0002005 7.58e-05 7.845e-05 9.46e-05 0.00014865 0.00018525 0.00017455 0.00014855 0.00016505 8.84e-05 5.665e-05 5.54e-05 0.00010275 0.00013985 3.785e-05 0.0001926 0.0001804 0.0001169 9.83e-05 9.82e-05 0.0001422 0.0001133 9.73e-05 0.00010775 0.0001245 7.26e-05 0.000199
1 0.00010945 9.56e-05 0.0001874 0.0001443 0.0001234 8.54e-05 0.00019805 0.00012385 0.00013025 0.00015355 0.0001716 0.0001244 0.0001691 0.0001566 0.00016135 0.00010535 6.655e-05 7.1e-05 0.0002093 0.000183 0.0001647 0.0001498 0.0001114 0.00014905 0.0001644 9.69e-05 0.00018545 0.00010575 0.0001326 0.00015785 0.0001978 0.00013205 0.0001789 0.0001829 0.000102 8.55e-05 0.0001452 0.0001439 6.815e-05 0.00015705 0.0001277 0.0001118 0.00018435 0.0001113 0.0001456 0.00013015 0.0001255 8.915e-05 0.00010985 7.805e-05 0.0001303 0.0001488 0.0001251 9.25e-05 0.00014765 0.000131 9.41e-05 0.00014975 9.685e-05 0.00016235 8.835e-05 0.0001065 0.0001049 0.00015 0.00011465 0.0001076 0.0001501 0.0001454 0.0001602 0.0001303 0.00013005 0.00010395 0.0001979 0.00012535 0.0001632 0.00010835 0.0001673 8.935e-05 8.925e-05 0.00015115 0.0001095 0.0001114 0.0001104 0.0001812 0.0001271 0.0002063
2 0.00017755 0.0001874 8.92e-05 0.00011745 0.00011215 0.00018935 5.975e-05 0.00011715 0.00016685 0.00010445 0.0001545 0.0001217 0.0001209 0.00010265 0.00013795 0.00013245 0.00020755 0.00019275 0.00015775 4.56e-05 0.000122 0.0001416 0.0001745 0.00023425 0.00012945 0.0001356 0.0001589 0.0001993 0.0002214 0.00013235 0.00016145 0.0002469 0.00017825 4.545e-05 0.0001862 0.0001735 9.2e-05 0.0001847 0.00017245 0.00012745 0.00017135 0.00014955 0.00014115 0.00021 0.00011785 0.0002144 0.0001646 0.0001468 0.00024415 0.00021705 0.00020015 0.0002343 0.00012175 0.00019695 0.00012065 0.00010165 0.0001969 0.00014155 0.0001987 4.525e-05 0.0002059 0.00016355 0.00019405 0.0001418 0.0002069 0.00013465 0.00014205 0.00012545 0.0001056 0.00021455 0.00016665 0.00018315 5.965e-05 0.00016445 5.01e-05 0.00020835 0.00015115 0.00018025 0.00018015 0.00014245 0.0002442 0.0002136 0.00018185 0.00016775 0.0001968 9.41e-05
3 0.00012995 0.0001443 0.00011745 0.0002186 0.0001131 0.0001095 0.0001127 0.0001099 0.0001232 0.0001198 0.0001696 0.00011225 0.0001206 0.0001103 0.00016635 0.00014475 0.00014385 0.00014715 0.00017525 0.0001105 0.0001292 0.0001358 0.0001297 0.00019175 0.00014145 0.0001209 0.00015155 0.00015995 0.00017975 0.0001295 0.00014475 0.00018485 0.0001788 0.00011 0.00013605 0.00012655 0.0001199 0.0001762 0.0001101 0.0001401 0.0001637 0.0001227 0.0001693 0.0001625 0.00011705 0.00015225 0.00013645 0.0001199 0.0001826 0.00016695 0.00015755 0.0001918 0.00011285 0.00013545 0.0001136 0.0001132 0.000136 0.00013575 0.00013255 0.00011035 0.00015995 0.0001194 0.0001665 0.000136 0.0001803 0.00014725 0.00013595 0.0001547 0.00012255 0.0001524 0.000123 0.0001358 0.00011295 0.0001363 0.00011285 0.00015565 0.00016735 0.0001544 0.0001543 0.00014295 0.0001824 0.00013545 0.0001606 0.00017595 0.00016875 0.0001391
4 9.44e-05 0.0001234 0.00011215 0.0001131 0.0001482 0.00011775 9.18e-05 0.0001123 0.00011485 9.8e-05 0.00014215 0.0001075 0.0001145 0.0001293 0.0001573 0.0001392 0.00013345 0.0001117 0.0001838 0.00010815 9.88e-05 0.0001346 9.19e-05 0.0001855 0.00015745 0.00011225 0.0001397 0.0001622 0.00017075 9.17e-05 0.00016115 0.00016935 0.00016925 0.0001078 0.0001374 9.27e-05 0.00011035 0.00015945 9.695e-05 0.000153 0.00014575 9.325e-05 0.0001577 0.00012845 0.00011455 0.00013525 0.0001105 9.42e-05 0.000169 0.00017185 0.00014825 0.00018485 0.00010755 0.0001195 0.00011275 9.12e-05 0.00011925 0.00013455 0.00015605 0.00010705 0.00012615 0.00011495 0.00014395 0.0001348 0.00020095 0.0001392 0.00013535 0.00014385 9.32e-05 0.0001354 0.00011495 0.0001349 9.19e-05 0.00011035 0.0001029 0.00019455 0.0001434 0.00012775 0.00012765 0.0001365 0.0001689 0.00013995 0.00014145 0.00014625 0.0001443 0.00013875
5 9.82e-05 8.54e-05 0.00018935 0.0001095 0.00011775 5e-07 0.00020285 8.925e-05 8.725e-05 0.00014245 0.00019965 8.135e-05 0.0001275 0.000133 0.0001972 0.000153 5.345e-05 9.905e-05 0.0002048 0.0001983 0.00015885 0.00013555 0.0001024 0.000155 0.00016055 0.0001036 0.0001626 9.955e-05 0.00014475 0.00014885 0.0001432 0.00013425 0.00019105 0.00019835 8.555e-05 7.655e-05 0.00015145 0.0001709 2.245e-05 0.00014605 0.0001609 0.00010785 0.00022015 0.0001305 0.00010355 0.0001019 0.0001183 8.485e-05 0.0001122 9.61e-05 0.00012255 0.00015475 8.245e-05 6.765e-05 0.00011295 0.000136 6.875e-05 0.0001355 4.305e-05 0.000178 0.00011015 6.305e-05 0.0001283 0.00013575 0.00013885 0.00015555 0.0001353 0.00018725 0.00015625 0.00010205 8.705e-05 8.975e-05 0.00020255 0.00011815 0.0001699 8.56e-05 0.00019225 0.0001203 0.0001202 0.0001293 0.00011185 4.69e-05 0.00014315 0.000205 0.00015035 0.0001859
6 0.00014 0.00019805 5.975e-05 0.0001127 9.18e-05 0.00020285 4.46e-05 0.00013305 0.0001496 9.01e-05 0.0001301 0.00013725 0.0001067 0.0001092 0.00014715 0.00014955 0.00021855 0.00017675 0.0001543 4.405e-05 8.78e-05 0.0001356 0.0001352 0.00021965 0.0001411 0.00014985 0.0001288 0.00022065 0.0002052 8.825e-05 0.0001428 0.0002146 0.0001571 4.285e-05 0.00018605 0.00015795 0.00010005 0.0001832 0.000182 0.00014835 0.00016905 0.000128 0.0001272 0.0001736 0.0001265 0.00018095 0.00014505 0.00014835 0.0002343 0.00024035 0.000183 0.0002193 0.0001373 0.00018465 0.00011385 8.98e-05 0.00018455 0.00013555 0.00022455 6.345e-05 0.00019115 0.00016915 0.0001981 0.0001358 0.0002425 0.0001498 0.0001362 0.0001338 7.945e-05 0.0001811 0.0001494 0.00018125 2.335e-05 0.0001449 6.815e-05 0.00024645 0.00013545 0.0001819 0.0001818 0.0001491 0.00023425 0.0002053 0.00017745 0.0001352 0.0001784 9.33e-05
7 0.00014925 0.00012385 0.00011715 0.0001099 0.0001123 8.925e-05 0.00013305 0.0001778 0.00014295 0.0001396 0.0001894 9.195e-05 0.00014045 0.00011045 0.00016585 0.00012415 0.00012365 0.00014675 0.00019545 0.00011 0.00014855 0.00013485 0.0001492 0.0002118 0.000141 0.00012055 0.0001709 0.00013905 0.0001995 0.000149 0.0001645 0.0002045 0.0001986 0.0001099 0.00013525 0.00012615 0.0001198 0.00019595 8.965e-05 0.00013985 0.0001839 0.00014245 0.00018895 0.00018215 0.000117 0.00017155 0.0001562 0.0001198 0.00018205 0.0001464 0.0001773 0.00021155 9.245e-05 0.00013505 0.00011305 0.00011245 0.00013545 0.0001348 0.00011185 8.915e-05 0.00015955 0.00011925 0.0001664 0.00013505 0.0001594 0.0001264 0.0001354 0.0001543 0.00014225 0.0001717 0.00014275 0.0001352 0.0001329 0.00015605 9.245e-05 0.00013475 0.0001872 0.0001543 0.0001542 0.0001424 0.00018185 0.00013485 0.00016 0.0001953 0.00018885 0.00013855
8 5.555e-05 0.00013025 0.00016685 0.0001232 0.00011485 8.725e-05 0.0001496 0.00014295 8.24e-05 8.79e-05 0.000138 0.000137 8.835e-05 0.0001326 0.00016715 0.0001844 0.00012155 0.00010185 0.0001419 0.00017895 0.0001038 0.0001428 5.755e-05 0.0001112 0.00014995 7.325e-05 0.00012595 0.0001484 0.00010005 0.00010425 0.0001176 0.0001113 0.0001473 0.00017905 9.435e-05 7.95e-05 0.00011985 8.845e-05 8.9e-05 0.0001406 7.745e-05 4.33e-05 0.0001451 8.915e-05 0.000111 7.765e-05 5.495e-05 6.62e-05 0.00013375 0.0001511 7.725e-05 0.0001111 0.00013685 8.85e-05 0.00011985 0.00012265 8.885e-05 0.00014275 0.0001167 0.00019885 0.00011285 6.44e-05 0.0001111 0.000143 0.0001804 0.00018245 0.0001427 0.0001561 9.035e-05 7.78e-05 4.18e-05 9.635e-05 0.00014925 5.49e-05 0.0001927 0.00014635 0.0001351 0.00010205 0.00010195 0.00013085 0.0001337 8.7e-05 0.00013055 0.0001502 8.835e-05 0.000184
9 8.485e-05 0.00015355 0.00010445 0.0001198 9.8e-05 0.00014245 9.01e-05 0.0001396 8.79e-05 0.0001404 0.0001249 0.000134 8.715e-05 0.00012715 0.0001523 0.00016575 0.0001612 0.0001268 0.0001465 0.0001173 8.955e-05 0.0001419 8.67e-05 0.0001575 0.0001492 9.99e-05 0.0001278 0.0001815 0.0001447 9.12e-05 0.00013615 0.00015675 0.00014875 0.00011715 0.0001356 0.00010615 0.000105 0.00012025 0.0001279 0.0001366 0.00010775 7.32e-05 0.0001326 0.0001184 0.00010715 0.0001231 8.64e-05 9.32e-05 0.00017665 0.00019055 0.0001226 0.00015715 0.0001339 0.0001297 0.0001197 0.00010545 0.0001302 0.00014185 0.00017165 0.00013705 0.00013955 0.0001076 0.00013965 0.0001421 0.00021115 0.000166 0.00014195 0.00014005 7.785e-05 0.00012325 8.765e-05 0.00013745 9e-05 8.625e-05 0.00013135 0.00020115 0.0001192 0.00012805 0.00012795 0.0001295 0.00017655 0.00014455 0.0001476 0.00013755 0.00011975 0.00014165
