 slim_762227063 slim_762227059 slim_762227036 slim_762227037 slim_762227043 slim_762227038 slim_762227075 slim_762227041 slim_762227058 slim_762227050 slim_762227049 slim_762227047 slim_762227062 slim_762227061 slim_762227044 slim_762227046 slim_762227071 slim_762227066 slim_762227072 slim_762227069 slim_762227055 slim_762227042 slim_762227054 slim_762227068 slim_762227040 slim_762227057 slim_762227056 slim_762227033 slim_762227067 slim_762227034 slim_762227073 slim_762227076 slim_762227074 slim_762227060 slim_762227051 slim_762227053 slim_762227065 slim_762227052 slim_762227035 slim_762227045 slim_762227064 slim_762227070 slim_762227039 slim_762227048
0 9e-07 2.15e-06 1.5e-06 2.1e-06 1.85e-06 2.1e-06 1.9e-06 1.35e-06 2.5e-06 1.45e-06 1.5e-06 2.4e-06 2.35e-06 2.4e-06 1.3e-06 2.25e-06 2.45e-06 2.05e-06 2.05e-06 1.25e-06 9e-07 2.5e-06 7e-07 6e-07 1.95e-06 3.05e-06 2.5e-06 1.25e-06 1.5e-06 8e-07 1.4e-06 9.5e-07 2.9e-06 2e-06 2.15e-06 2.35e-06 2.25e-06 1.25e-06 1.4e-06 2.6e-06 2.35e-06 2.5e-06 2.2e-06 1.45e-06
1 2.15e-06 2.9e-06 2.25e-06 1.9e-06 2.45e-06 1.9e-06 1.55e-06 2.3e-06 3e-06 1.85e-06 2.05e-06 2.3e-06 2.15e-06 2.1e-06 1.95e-06 1.95e-06 2.35e-06 1.55e-06 1.55e-06 1.8e-06 2.45e-06 3e-06 2.5e-06 2.3e-06 1.6e-06 2.4e-06 1.8e-06 1.9e-06 1.9e-06 2.45e-06 1.85e-06 2.35e-06 2.25e-06 1.5e-06 1.7e-06 1.5e-06 1.6e-06 1.7e-06 1.85e-06 1.95e-06 1.95e-06 1.9e-06 1.8e-06 1.85e-06
2 1.5e-06 2.25e-06 2.5e-06 1.5e-06 1.95e-06 1.95e-06 1.6e-06 1.35e-06 2.55e-06 1.75e-06 1.65e-06 1.7e-06 1.85e-06 1.85e-06 1.5e-06 1.8e-06 1.9e-06 1.65e-06 1.65e-06 1.7e-06 1.7e-06 2.45e-06 1.5e-06 1.65e-06 1.65e-06 2.7e-06 2.55e-06 1.9e-06 1.75e-06 1.45e-06 2.1e-06 1.7e-06 2.8e-06 1.6e-06 1.85e-06 2.95e-06 2.35e-06 1.5e-06 2.1e-06 2.05e-06 1.5e-06 2.65e-06 2.1e-06 2.4e-06
3 2.1e-06 1.9e-06 1.5e-06 1.5e-06 2e-06 1.8e-06 8.5e-07 1.55e-06 2.7e-06 1.5e-06 1.6e-06 1.15e-06 1.3e-06 1.15e-06 1.55e-06 1.15e-06 1.4e-06 7.5e-07 7.5e-07 1.45e-06 2.25e-06 2.6e-06 2.4e-06 2.25e-06 9e-07 2.1e-06 2.3e-06 2.45e-06 1.6e-06 2.2e-06 2.6e-06 2.2e-06 2.65e-06 8e-07 1e-06 3.05e-06 1.9e-06 1.35e-06 2.6e-06 1.5e-06 8e-07 2.45e-06 1.9e-06 2.6e-06
4 1.85e-06 2.45e-06 1.95e-06 2e-06 3e-06 2.25e-06 1.9e-06 1.9e-06 2.55e-06 1.85e-06 1.7e-06 2.05e-06 1.85e-06 1.85e-06 2e-06 2.1e-06 1.9e-06 2.1e-06 2.1e-06 2e-06 1.8e-06 2.6e-06 2.05e-06 2e-06 2e-06 2.95e-06 2.75e-06 2.2e-06 1.75e-06 1.75e-06 2.35e-06 1.65e-06 2.85e-06 2.05e-06 2.1e-06 2.9e-06 2.55e-06 1.8e-06 2.35e-06 2.25e-06 2.15e-06 2.35e-06 2.35e-06 2.45e-06
5 2.1e-06 1.9e-06 1.95e-06 1.8e-06 2.25e-06 2.7e-06 2e-06 1.8e-06 2.6e-06 2.15e-06 2e-06 1.95e-06 2.2e-06 2.2e-06 2.15e-06 2.25e-06 2.05e-06 2.15e-06 2.15e-06 2.15e-06 2.2e-06 2.5e-06 2.3e-06 2.25e-06 2.05e-06 2.8e-06 2.2e-06 1.7e-06 2.2e-06 2.1e-06 1.9e-06 2.1e-06 2.3e-06 2.1e-06 2.2e-06 1.75e-06 2e-06 2e-06 1.9e-06 2.05e-06 2.05e-06 2.15e-06 1.55e-06 2e-06
6 1.9e-06 1.55e-06 1.6e-06 8.5e-07 1.9e-06 2e-06 5e-07 1.75e-06 2.8e-06 1.25e-06 1.4e-06 1.3e-06 1.05e-06 1e-06 1.25e-06 8e-07 1.45e-06 3.5e-07 3.5e-07 1.05e-06 2.3e-06 2.8e-06 2.3e-06 2.05e-06 4e-07 1.7e-06 1.95e-06 2.35e-06 1.25e-06 2.25e-06 2.45e-06 2.2e-06 2.55e-06 3e-07 5.5e-07 2.85e-06 1.65e-06 1e-06 2.45e-06 1.25e-06 8e-07 2.15e-06 2.05e-06 2.35e-06
7 1.35e-06 2.3e-06 1.35e-06 1.55e-06 1.9e-06 1.8e-06 1.75e-06 2.2e-06 2.5e-06 1.8e-06 1.6e-06 1.65e-06 2e-06 2e-06 1.55e-06 2e-06 1.8e-06 1.9e-06 1.9e-06 1.75e-06 1.55e-06 2.4e-06 1.35e-06 1.5e-06 1.8e-06 2.85e-06 2.65e-06 1.75e-06 1.8e-06 1.3e-06 1.95e-06 1.55e-06 2.8e-06 1.85e-06 2e-06 2.8e-06 2.4e-06 1.55e-06 1.95e-06 2.2e-06 1.8e-06 2.6e-06 1.95e-06 2.25e-06
8 2.5e-06 3e-06 2.55e-06 2.7e-06 2.55e-06 2.6e-06 2.8e-06 2.5e-06 2.9e-06 2.8e-06 2.3e-06 2.55e-06 2.65e-06 2.65e-06 2.75e-06 2.75e-06 2.65e-06 2.95e-06 2.95e-06 2.75e-06 2e-06 2.05e-06 2.7e-06 2.65e-06 2.85e-06 2.85e-06 3.35e-06 2.6e-06 2.85e-06 2.15e-06 2.8e-06 2.25e-06 2.4e-06 2.9e-06 3.05e-06 3.15e-06 3.1e-06 2.6e-06 2.8e-06 2.55e-06 2.85e-06 2.95e-06 2.75e-06 2.9e-06
9 1.45e-06 1.85e-06 1.75e-06 1.5e-06 1.85e-06 2.15e-06 1.25e-06 1.8e-06 2.8e-06 2.3e-06 1.6e-06 2e-06 1.85e-06 1.7e-06 1.45e-06 1.65e-06 2.1e-06 1.15e-06 1.15e-06 1.3e-06 1.7e-06 2.8e-06 1.8e-06 1.6e-06 1.3e-06 2.45e-06 2.2e-06 1.95e-06 1.3e-06 1.75e-06 2.05e-06 1.7e-06 2.75e-06 1.2e-06 1.35e-06 2.55e-06 1.85e-06 1.2e-06 2.05e-06 2.05e-06 1.55e-06 2.35e-06 2.2e-06 2e-06
