 slim_762053479 slim_762053474 slim_762053472 slim_762053486 slim_762053505 slim_762053483 slim_762053488 slim_762053473 slim_762053471 slim_762053487 slim_762053484 slim_762053490 slim_762053492 slim_762053503 slim_762053480 slim_762053494 slim_762053495 slim_762053500 slim_762053477 slim_762053496 slim_762053475 slim_762053498 slim_762053507 slim_762053478 slim_762053482 slim_762053476 slim_762053485 slim_762053497 slim_762053506 slim_762053501 slim_762053499 slim_762053504 slim_762053508 slim_762053491 slim_762053481 slim_762053493 slim_762053502 slim_762053489
0 2.9e-06 1.85e-06 2.2e-06 2.15e-06 1.75e-06 2.4e-06 1.8e-06 2e-06 2.2e-06 1.75e-06 2.15e-06 2.4e-06 2.5e-06 2.05e-06 2.05e-06 1.55e-06 1.7e-06 2e-06 1.95e-06 1.85e-06 1.55e-06 2e-06 2.15e-06 2e-06 2.05e-06 2.15e-06 1.6e-06 2.15e-06 1.65e-06 1.85e-06 2.1e-06 2.1e-06 2.2e-06 1.55e-06 1.8e-06 2.55e-06 1.7e-06 1.85e-06
1 1.85e-06 2.1e-06 2.4e-06 1.75e-06 1.5e-06 2.3e-06 2.2e-06 2.1e-06 1.95e-06 1.45e-06 2.25e-06 2.45e-06 2.85e-06 2.05e-06 2.15e-06 1.4e-06 1.6e-06 1.7e-06 1.55e-06 2.15e-06 1.5e-06 1.8e-06 2.5e-06 2.35e-06 2.15e-06 2.3e-06 1.55e-06 2.35e-06 1.75e-06 2.05e-06 2.45e-06 1.5e-06 2.55e-06 1.3e-06 1.7e-06 2.4e-06 1.95e-06 1.8e-06
2 2.2e-06 2.4e-06 2.8e-06 2.35e-06 2.2e-06 2.55e-06 1.85e-06 2.35e-06 2.65e-06 2.1e-06 1.65e-06 2.4e-06 1.45e-06 2.35e-06 2.25e-06 2.15e-06 2.25e-06 2.3e-06 2.5e-06 1.95e-06 2.25e-06 2.4e-06 2.2e-06 1.85e-06 2.65e-06 2.3e-06 2.3e-06 2.05e-06 2.4e-06 2.5e-06 2.1e-06 2.45e-06 2.25e-06 1.85e-06 2.4e-06 2.3e-06 2.35e-06 2.5e-06
3 2.15e-06 1.75e-06 2.35e-06 3.1e-06 1.6e-06 2.45e-06 1.95e-06 1.9e-06 2.15e-06 1.85e-06 2.2e-06 2.35e-06 2.45e-06 2.05e-06 2.35e-06 1.8e-06 2.05e-06 1.95e-06 2.1e-06 2.1e-06 1.85e-06 2.15e-06 2.65e-06 2.25e-06 1.95e-06 2.25e-06 1.9e-06 2.05e-06 2e-06 1.95e-06 2.3e-06 2e-06 2.25e-06 1.7e-06 1.9e-06 2.3e-06 2.1e-06 1.9e-06
4 1.75e-06 1.5e-06 2.2e-06 1.6e-06 2.1e-06 2.45e-06 1.6e-06 1.3e-06 1.8e-06 1.45e-06 2.05e-06 2.2e-06 2.45e-06 1.5e-06 1.9e-06 1.3e-06 1.65e-06 2e-06 1.8e-06 1.65e-06 1.35e-06 1.85e-06 2.25e-06 2e-06 1.35e-06 2e-06 1.4e-06 1.8e-06 1.45e-06 1.35e-06 2.15e-06 1.7e-06 1.95e-06 1.25e-06 1.3e-06 2.25e-06 1.65e-06 1.4e-06
5 2.4e-06 2.3e-06 2.55e-06 2.45e-06 2.45e-06 3.1e-06 2.1e-06 3e-06 2.85e-06 1.9e-06 2.35e-06 2.1e-06 2.95e-06 3.2e-06 2.7e-06 2.5e-06 1.95e-06 2.45e-06 2.3e-06 2.45e-06 2.4e-06 2.9e-06 2.85e-06 3.05e-06 3.15e-06 2.55e-06 2.45e-06 2.9e-06 2.7e-06 2.95e-06 2.3e-06 2.4e-06 2.95e-06 2e-06 2.8e-06 2.85e-06 2.3e-06 2.65e-06
6 1.8e-06 2.2e-06 1.85e-06 1.95e-06 1.6e-06 2.1e-06 1e-06 1.9e-06 2.25e-06 1.45e-06 1.85e-06 2e-06 2.5e-06 2.05e-06 1.9e-06 1.85e-06 1.7e-06 2.45e-06 2.2e-06 1.35e-06 1.95e-06 2.3e-06 2e-06 2.35e-06 2e-06 2.35e-06 2e-06 2.2e-06 2.1e-06 2e-06 1.95e-06 2.15e-06 2.35e-06 1.6e-06 2.2e-06 2.5e-06 1.65e-06 2e-06
7 2e-06 2.1e-06 2.35e-06 1.9e-06 1.3e-06 3e-06 1.9e-06 8e-07 1.85e-06 2.55e-06 2.3e-06 2.25e-06 1.9e-06 1.1e-06 2.1e-06 1.75e-06 2.4e-06 2.25e-06 2.4e-06 1.35e-06 1.4e-06 2.15e-06 2e-06 1.65e-06 7e-07 1.65e-06 1.45e-06 1.05e-06 1.2e-06 5e-07 1.9e-06 2.6e-06 1.05e-06 1.9e-06 1.1e-06 2e-06 1.55e-06 1.3e-06
8 2.2e-06 1.95e-06 2.65e-06 2.15e-06 1.8e-06 2.85e-06 2.25e-06 1.85e-06 2.5e-06 2.1e-06 2.75e-06 2.6e-06 2.95e-06 1.95e-06 2e-06 1.85e-06 2.4e-06 2.25e-06 1.7e-06 2.1e-06 1.9e-06 1.6e-06 2.55e-06 2.4e-06 1.55e-06 2.5e-06 1.95e-06 2.25e-06 1.65e-06 1.55e-06 2.65e-06 1.5e-06 2.25e-06 2.1e-06 1.55e-06 2.1e-06 2.05e-06 2.05e-06
9 1.75e-06 1.45e-06 2.1e-06 1.85e-06 1.45e-06 1.9e-06 1.45e-06 2.55e-06 2.1e-06 1e-06 1.85e-06 2.1e-06 3e-06 2.5e-06 1.85e-06 1.45e-06 1.1e-06 2.05e-06 1.6e-06 2e-06 1.7e-06 2.1e-06 2.5e-06 2.65e-06 2.45e-06 2.4e-06 1.75e-06 2.7e-06 2.05e-06 2.5e-06 2.25e-06 1.15e-06 2.9e-06 9e-07 1.85e-06 2.6e-06 1.85e-06 2e-06
