 slim_762389507 slim_762389499 slim_762389500 slim_762389534 slim_762389513 slim_762389502 slim_762389494 slim_762389533 slim_762389505 slim_762389509 slim_762389522 slim_762389517 slim_762389506 slim_762389501 slim_762389525 slim_762389508 slim_762389528 slim_762389527 slim_762389530 slim_762389516 slim_762389526 slim_762389521 slim_762389529 slim_762389518 slim_762389515 slim_762389531 slim_762389524 slim_762389520 slim_762389512 slim_762389504 slim_762389514 slim_762389519 slim_762389497 slim_762389495 slim_762389511 slim_762389493 slim_762389510 slim_762389535 slim_762389532 slim_762389523 slim_762389503 slim_762389498 slim_762389496
0 2e-06 2.15e-06 1.4e-06 1.7e-06 1.85e-06 2.1e-06 1.6e-06 2.5e-06 1.1e-06 1.7e-06 2.5e-06 2.1e-06 2e-06 1.85e-06 1.9e-06 1.7e-06 1.85e-06 2.55e-06 1.85e-06 1.55e-06 2.4e-06 1.05e-06 2.3e-06 2.4e-06 2.7e-06 2e-06 1.75e-06 2.7e-06 1.5e-06 2e-06 2.25e-06 1.5e-06 1.75e-06 2.5e-06 1.8e-06 1e-06 1.95e-06 2.2e-06 1.4e-06 1.8e-06 1.95e-06 1.85e-06 1.85e-06
1 2.15e-06 2.7e-06 1.65e-06 2.3e-06 2.35e-06 1.6e-06 1.65e-06 2.05e-06 2.2e-06 1.45e-06 1.9e-06 2.1e-06 1.5e-06 2.3e-06 1.75e-06 1.8e-06 1.95e-06 1.9e-06 1.8e-06 2.4e-06 2.05e-06 2.15e-06 1.75e-06 2.4e-06 1.65e-06 1.95e-06 2.3e-06 1.9e-06 1.9e-06 1.9e-06 1.95e-06 1.65e-06 1.95e-06 1.65e-06 1.7e-06 1.55e-06 1.7e-06 1.9e-06 2e-06 2.2e-06 1.9e-06 1.55e-06 1.75e-06
2 1.4e-06 1.65e-06 1e-06 2.1e-06 2.3e-06 1.2e-06 1.1e-06 1.9e-06 1.45e-06 1.15e-06 2.55e-06 1.8e-06 1.4e-06 1.9e-06 1.6e-06 1.3e-06 1.7e-06 1.95e-06 1.1e-06 2e-06 2.3e-06 1.4e-06 1.9e-06 2.75e-06 2e-06 1.3e-06 2.3e-06 2.1e-06 1.1e-06 1.2e-06 2.05e-06 7.5e-07 1.45e-06 2.3e-06 1e-06 5e-07 1.9e-06 1.9e-06 1e-06 2.25e-06 1.25e-06 1.35e-06 1.05e-06
3 1.7e-06 2.3e-06 2.1e-06 2.1e-06 2e-06 2.6e-06 2.4e-06 1.9e-06 1.75e-06 2.3e-06 2.3e-06 2.35e-06 2.6e-06 2.1e-06 2.25e-06 2.4e-06 2.25e-06 2.55e-06 2.45e-06 1.75e-06 1.65e-06 1.7e-06 2.7e-06 2.5e-06 2.5e-06 2.4e-06 1.85e-06 2.65e-06 2.1e-06 2.55e-06 2.25e-06 1.95e-06 1.55e-06 2.15e-06 2.35e-06 1.95e-06 2.05e-06 1.85e-06 2.2e-06 1.6e-06 2.35e-06 2.5e-06 2.4e-06
4 1.85e-06 2.35e-06 2.3e-06 2e-06 3.1e-06 2.45e-06 2.3e-06 2.4e-06 1.9e-06 2.6e-06 1.9e-06 1.95e-06 2.35e-06 2e-06 2.05e-06 2.1e-06 2.15e-06 2.15e-06 2.3e-06 1.65e-06 2.15e-06 1.85e-06 2.15e-06 2.15e-06 2.3e-06 2.3e-06 1.75e-06 2.25e-06 1.95e-06 2.45e-06 1.8e-06 2.3e-06 2.3e-06 2.15e-06 2.2e-06 2.05e-06 2.1e-06 2.4e-06 2.35e-06 1.95e-06 2.25e-06 2.2e-06 2.25e-06
5 2.1e-06 1.6e-06 1.2e-06 2.6e-06 2.45e-06 2.2e-06 1.4e-06 1.9e-06 2.15e-06 1.35e-06 2.2e-06 2.15e-06 1.3e-06 2e-06 1.85e-06 1.65e-06 1.9e-06 1.65e-06 1.3e-06 2.55e-06 2.4e-06 2.1e-06 1.65e-06 2.5e-06 1.65e-06 1.5e-06 2.5e-06 1.8e-06 1.75e-06 1.45e-06 2.15e-06 1.45e-06 2.05e-06 2.3e-06 1.2e-06 1.3e-06 2.15e-06 2e-06 1.8e-06 2.4e-06 1.45e-06 1.4e-06 1.25e-06
6 1.6e-06 1.65e-06 1.1e-06 2.4e-06 2.3e-06 1.4e-06 1.4e-06 2.3e-06 1.55e-06 1.2e-06 2.3e-06 1.9e-06 1.15e-06 2.2e-06 1.5e-06 1.15e-06 1.55e-06 2.1e-06 1.4e-06 2.2e-06 2.45e-06 1.6e-06 1.35e-06 2.55e-06 2.2e-06 1.7e-06 2.35e-06 2.2e-06 1.2e-06 1.4e-06 2.05e-06 1.4e-06 1.75e-06 2.3e-06 1.3e-06 7e-07 2.05e-06 1.7e-06 1.2e-06 2.4e-06 1.65e-06 1.2e-06 1.35e-06
7 2.5e-06 2.05e-06 1.9e-06 1.9e-06 2.4e-06 1.9e-06 2.3e-06 2.7e-06 2.55e-06 2.45e-06 2.05e-06 2.35e-06 2.2e-06 2.1e-06 2.15e-06 2.3e-06 2.3e-06 1.7e-06 1.85e-06 2.55e-06 1.65e-06 2.5e-06 2.2e-06 2.55e-06 1.55e-06 1.9e-06 2.4e-06 1.8e-06 2.3e-06 2e-06 2.15e-06 1.9e-06 1.8e-06 2e-06 1.75e-06 2.15e-06 2.1e-06 1.8e-06 2.5e-06 2.05e-06 1.85e-06 2.3e-06 1.8e-06
8 1.1e-06 2.2e-06 1.45e-06 1.75e-06 1.9e-06 2.15e-06 1.55e-06 2.55e-06 2.1e-06 1.75e-06 2.55e-06 2.15e-06 2e-06 1.9e-06 1.85e-06 1.65e-06 1.8e-06 2.6e-06 1.95e-06 1.6e-06 2.45e-06 1.1e-06 2.35e-06 2.45e-06 2.75e-06 2.05e-06 1.8e-06 2.75e-06 1.45e-06 1.95e-06 2.3e-06 1.55e-06 1.8e-06 2.55e-06 1.85e-06 1.05e-06 2e-06 2.25e-06 1.35e-06 1.85e-06 2e-06 1.9e-06 1.9e-06
9 1.7e-06 1.45e-06 1.15e-06 2.3e-06 2.6e-06 1.35e-06 1.2e-06 2.45e-06 1.75e-06 6e-07 2.55e-06 2.25e-06 1.2e-06 2.45e-06 1.85e-06 1.7e-06 1.85e-06 2.45e-06 1.75e-06 2.3e-06 2.45e-06 1.7e-06 2e-06 2.7e-06 2.55e-06 1.95e-06 2.45e-06 2.6e-06 1.5e-06 1.85e-06 2.3e-06 1.25e-06 1.75e-06 2.45e-06 1.65e-06 9e-07 2.05e-06 1.9e-06 1.4e-06 2.45e-06 1.9e-06 1.25e-06 1.7e-06
