 slim_762053556 slim_762053506 slim_762053516 slim_762053540 slim_762053535 slim_762053532 slim_762053554 slim_762053552 slim_762053557 slim_762053533 slim_762053512 slim_762053534 slim_762053530 slim_762053545 slim_762053522 slim_762053562 slim_762053542 slim_762053563 slim_762053528 slim_762053511 slim_762053525 slim_762053529 slim_762053538 slim_762053550 slim_762053508 slim_762053536 slim_762053553 slim_762053521 slim_762053541 slim_762053513 slim_762053558 slim_762053544 slim_762053523 slim_762053524 slim_762053561 slim_762053549 slim_762053520 slim_762053505 slim_762053526 slim_762053518 slim_762053543 slim_762053548 slim_762053514 slim_762053551 slim_762053517 slim_762053559 slim_762053515 slim_762053537 slim_762053547 slim_762053507 slim_762053510 slim_762053539 slim_762053527 slim_762053519 slim_762053546 slim_762053509 slim_762053560 slim_762053531 slim_762053555
0 1.7e-06 1.3e-06 2e-06 2e-06 2e-06 1.9e-06 1.45e-06 1.3e-06 1.4e-06 1.8e-06 1.8e-06 2e-06 1.5e-06 1.35e-06 1.95e-06 1.5e-06 2e-06 1.55e-06 1.25e-06 1.5e-06 2.1e-06 2e-06 1.95e-06 1.6e-06 1.95e-06 1.95e-06 1.5e-06 2.15e-06 2.2e-06 1.3e-06 1.85e-06 1.6e-06 1.45e-06 1.8e-06 1.6e-06 1.45e-06 1.75e-06 1.95e-06 1.95e-06 2.05e-06 1.25e-06 1.95e-06 1.65e-06 1.35e-06 1.95e-06 2.15e-06 1.25e-06 1.9e-06 1.35e-06 1.6e-06 1.55e-06 1.6e-06 1.1e-06 1.85e-06 8.5e-07 1.9e-06 1.5e-06 1.35e-06 1.3e-06
1 1.3e-06 1.8e-06 1.75e-06 1.75e-06 1.55e-06 1.45e-06 1.65e-06 1.5e-06 1.2e-06 1.35e-06 1.4e-06 1.75e-06 1.25e-06 1.55e-06 1.7e-06 1.3e-06 1.75e-06 1.5e-06 1.1e-06 1.5e-06 1.85e-06 1.55e-06 1.7e-06 1.8e-06 2.05e-06 1.5e-06 1.9e-06 2.1e-06 2.15e-06 1.35e-06 1.2e-06 1.15e-06 1.2e-06 1.15e-06 1.5e-06 1.65e-06 1.2e-06 1.8e-06 1.95e-06 1.8e-06 1.55e-06 1.5e-06 1.2e-06 1.55e-06 1.5e-06 1.9e-06 1.3e-06 1.45e-06 1.4e-06 1.6e-06 1.55e-06 2e-06 1.75e-06 1.4e-06 1.7e-06 1.45e-06 1.9e-06 1.55e-06 1.5e-06
2 2e-06 1.75e-06 1.9e-06 1.95e-06 1.55e-06 1.3e-06 1.7e-06 1.35e-06 1.9e-06 1.4e-06 1.65e-06 1.35e-06 1.75e-06 1.6e-06 1.05e-06 2e-06 1.1e-06 1.75e-06 1.65e-06 1.75e-06 1.3e-06 1.4e-06 1.15e-06 1.45e-06 1.75e-06 1.55e-06 1.45e-06 2e-06 1.2e-06 1.5e-06 1.25e-06 1.1e-06 1.55e-06 1.35e-06 1.3e-06 1.5e-06 1.55e-06 1.7e-06 2e-06 1.25e-06 1.95e-06 1.2e-06 1.5e-06 1.6e-06 1.55e-06 1.35e-06 1.45e-06 1.3e-06 2e-06 1.7e-06 1.8e-06 2.4e-06 1.95e-06 1.45e-06 1.75e-06 1.3e-06 1.45e-06 1.6e-06 1.35e-06
3 2e-06 1.75e-06 1.95e-06 2.7e-06 1.95e-06 1.7e-06 2.15e-06 1.8e-06 1.85e-06 1.8e-06 1.9e-06 2.1e-06 1.8e-06 2.05e-06 1.85e-06 1.95e-06 1.95e-06 1.9e-06 1.75e-06 2e-06 2.25e-06 1.8e-06 2.1e-06 2.25e-06 2.5e-06 1.95e-06 2.3e-06 1.8e-06 2.5e-06 2e-06 1.75e-06 1.4e-06 1.85e-06 1.8e-06 1.95e-06 2.05e-06 1.85e-06 2.25e-06 1.95e-06 2.2e-06 2.1e-06 2.1e-06 1.7e-06 2.05e-06 1.95e-06 2.3e-06 1.95e-06 1.7e-06 1.85e-06 2.15e-06 2.05e-06 1.85e-06 2.2e-06 1.85e-06 2.25e-06 1.7e-06 2.3e-06 2.05e-06 1.8e-06
4 2e-06 1.55e-06 1.55e-06 1.95e-06 3e-07 7.5e-07 1.05e-06 1.45e-06 1.1e-06 4e-07 1.15e-06 1.35e-06 1.15e-06 1.15e-06 1.5e-06 1.15e-06 1.55e-06 9.5e-07 1.35e-06 9.5e-07 1.3e-06 8.5e-07 1.25e-06 1.9e-06 1.6e-06 2.5e-07 2e-06 2.45e-06 2.1e-06 1.5e-06 1.3e-06 8.5e-07 1.4e-06 6e-07 1.6e-06 1.85e-06 1.5e-06 1.75e-06 1.7e-06 1.15e-06 1.65e-06 1.55e-06 1.55e-06 1.05e-06 3e-07 1.25e-06 1.45e-06 5.5e-07 1.55e-06 1.95e-06 9.5e-07 2.5e-06 2e-06 2.5e-07 1.95e-06 7.5e-07 2e-06 1.05e-06 1.45e-06
5 1.9e-06 1.45e-06 1.3e-06 1.7e-06 7.5e-07 1.1e-06 1.35e-06 1.2e-06 1.35e-06 5.5e-07 1.3e-06 1.4e-06 1.15e-06 1.2e-06 1.25e-06 1.45e-06 1.3e-06 1.25e-06 1.25e-06 1.2e-06 1.45e-06 8.5e-07 1.3e-06 1.8e-06 1.8e-06 7e-07 1.9e-06 2.35e-06 2e-06 1.4e-06 1.2e-06 6.5e-07 1.25e-06 8e-07 1.5e-06 1.75e-06 1.4e-06 1.8e-06 1.75e-06 1.35e-06 1.7e-06 1.45e-06 1.45e-06 1.25e-06 7e-07 1.45e-06 1.35e-06 7e-07 1.6e-06 1.85e-06 1.25e-06 2.4e-06 1.9e-06 6e-07 1.85e-06 6e-07 1.9e-06 1.25e-06 1.2e-06
6 1.45e-06 1.65e-06 1.7e-06 2.15e-06 1.05e-06 1.35e-06 2e-06 1.2e-06 1.45e-06 1.1e-06 1.6e-06 1.6e-06 1.5e-06 1.05e-06 1.65e-06 1.5e-06 1.7e-06 1.15e-06 1.4e-06 1.1e-06 1.6e-06 1.45e-06 1.5e-06 1.55e-06 1.6e-06 1.05e-06 1.45e-06 2.35e-06 1.95e-06 1.2e-06 1.6e-06 1.3e-06 1.35e-06 1.2e-06 1.55e-06 1.5e-06 1.75e-06 1.9e-06 1.8e-06 1.5e-06 1.4e-06 1.65e-06 1.75e-06 1e-06 1.1e-06 1.6e-06 1.15e-06 1.2e-06 1.55e-06 1.85e-06 1.1e-06 2e-06 1.25e-06 1.05e-06 1e-06 1.35e-06 1.45e-06 1e-06 1.2e-06
7 1.3e-06 1.5e-06 1.35e-06 1.8e-06 1.45e-06 1.2e-06 1.2e-06 1.7e-06 1.6e-06 1.3e-06 1.65e-06 1.6e-06 1.5e-06 1.1e-06 1.3e-06 1.7e-06 1.35e-06 1.35e-06 1.25e-06 1.25e-06 1.65e-06 1.3e-06 1.5e-06 1.4e-06 1.7e-06 1.45e-06 1.3e-06 2.2e-06 1.8e-06 1.05e-06 1.45e-06 1e-06 1.15e-06 1.3e-06 1.4e-06 1.35e-06 1.6e-06 1.9e-06 1.85e-06 1.6e-06 1.4e-06 1.5e-06 1.6e-06 1.1e-06 1.45e-06 1.7e-06 1e-06 1.2e-06 1.55e-06 1.7e-06 1.3e-06 1.85e-06 1.1e-06 1.35e-06 8.5e-07 1.2e-06 1.3e-06 1.1e-06 8.5e-07
8 1.4e-06 1.2e-06 1.9e-06 1.85e-06 1.1e-06 1.35e-06 1.45e-06 1.6e-06 2e-06 1.1e-06 1.35e-06 1.75e-06 1.15e-06 1.45e-06 1.85e-06 1.1e-06 1.9e-06 1.3e-06 1.2e-06 1.3e-06 1.8e-06 1.45e-06 1.7e-06 1.95e-06 1.95e-06 1.1e-06 2.05e-06 2.25e-06 2.35e-06 1.6e-06 1.55e-06 1.2e-06 1.5e-06 1.2e-06 1.65e-06 1.8e-06 1.5e-06 1.8e-06 1.85e-06 1.7e-06 1.5e-06 1.85e-06 1.45e-06 1.4e-06 1.1e-06 1.8e-06 1.55e-06 1.25e-06 1.35e-06 1.7e-06 1.35e-06 2.1e-06 1.85e-06 1.05e-06 1.8e-06 1.35e-06 2.05e-06 1.4e-06 1.6e-06
9 1.8e-06 1.35e-06 1.4e-06 1.8e-06 4e-07 5.5e-07 1.1e-06 1.3e-06 1.1e-06 3e-07 1.05e-06 1.15e-06 9.5e-07 9.5e-07 1.35e-06 1.2e-06 1.4e-06 1e-06 1.15e-06 9.5e-07 1.2e-06 8e-07 1.05e-06 1.7e-06 1.55e-06 3e-07 1.8e-06 2.25e-06 1.9e-06 1.3e-06 1.1e-06 7e-07 1.2e-06 5.5e-07 1.4e-06 1.65e-06 1.3e-06 1.55e-06 1.5e-06 1.1e-06 1.45e-06 1.35e-06 1.35e-06 1e-06 3e-07 1.2e-06 1.25e-06 6.5e-07 1.35e-06 1.75e-06 1e-06 2.3e-06 1.8e-06 2e-07 1.75e-06 5.5e-07 1.8e-06 1e-06 1.3e-06
