 slim_762111963 slim_762111966 slim_762111946 slim_762111957 slim_762111942 slim_762111956 slim_762111967 slim_762111970 slim_762111978 slim_762111980 slim_762111945 slim_762111976 slim_762111949 slim_762111965 slim_762111961 slim_762111955 slim_762111944 slim_762111954 slim_762111977 slim_762111953 slim_762111968 slim_762111973 slim_762111941 slim_762111974 slim_762111964 slim_762111972 slim_762111943 slim_762111948 slim_762111979 slim_762111975 slim_762111959 slim_762111952 slim_762111960 slim_762111951 slim_762111971 slim_762111969 slim_762111962 slim_762111950 slim_762111958 slim_762111947
0 1.9e-06 1.15e-06 2.1e-06 2.25e-06 1.45e-06 1.75e-06 1.7e-06 1.75e-06 1.5e-06 1.35e-06 1.5e-06 1.9e-06 1.55e-06 1.4e-06 1.75e-06 1.2e-06 1.5e-06 1.6e-06 1.55e-06 2.25e-06 1.6e-06 1.4e-06 1.65e-06 2.35e-06 1.1e-06 2e-06 1.6e-06 1.6e-06 1.5e-06 1.9e-06 2.45e-06 2.2e-06 2.6e-06 1.6e-06 2e-06 1.85e-06 2.15e-06 1.5e-06 2.4e-06 1.95e-06
1 1.15e-06 6e-07 1.6e-06 1.85e-06 8.5e-07 1.55e-06 1.25e-06 1.2e-06 1.2e-06 1.05e-06 9e-07 1.7e-06 1.15e-06 8e-07 1.45e-06 1.25e-06 1.6e-06 1.1e-06 1.05e-06 1.9e-06 1.3e-06 8e-07 1.2e-06 2.1e-06 6.5e-07 1.75e-06 1.15e-06 1.4e-06 1.3e-06 1.7e-06 2.2e-06 2e-06 2.3e-06 9.5e-07 1.55e-06 1.65e-06 1.9e-06 1.6e-06 2.15e-06 1.7e-06
2 2.1e-06 1.6e-06 1.9e-06 1.45e-06 1.7e-06 1.85e-06 1.6e-06 1.75e-06 1.8e-06 1.75e-06 1.8e-06 1.95e-06 1.8e-06 1.45e-06 1.7e-06 2e-06 2e-06 1.8e-06 1.65e-06 1.65e-06 1.8e-06 1.45e-06 1.7e-06 1.75e-06 1.7e-06 1.9e-06 2.1e-06 1.9e-06 1.7e-06 1.95e-06 1.75e-06 1.7e-06 1.9e-06 1.8e-06 1.95e-06 1.5e-06 2.1e-06 1.9e-06 1.8e-06 1.95e-06
3 2.25e-06 1.85e-06 1.45e-06 2.2e-06 1.5e-06 1.85e-06 1.7e-06 1.85e-06 1.5e-06 1.55e-06 2.05e-06 1.95e-06 1.5e-06 1.9e-06 1.8e-06 2.05e-06 2.1e-06 1.95e-06 1.4e-06 1.9e-06 1.85e-06 1.9e-06 2e-06 1.7e-06 1.85e-06 2.05e-06 2.2e-06 1.95e-06 1.85e-06 2.05e-06 1.8e-06 1.7e-06 1.55e-06 2.1e-06 1.7e-06 1.75e-06 2.15e-06 2e-06 1.75e-06 2e-06
4 1.45e-06 8.5e-07 1.7e-06 1.5e-06 1.3e-06 1.65e-06 1.5e-06 1.65e-06 9.5e-07 8e-07 1.4e-06 1.75e-06 1e-06 1.15e-06 1.65e-06 1.4e-06 1.7e-06 1.5e-06 8.5e-07 2.05e-06 1.5e-06 1.15e-06 1.45e-06 2.25e-06 9e-07 1.8e-06 1.5e-06 1.6e-06 1.45e-06 1.75e-06 2.25e-06 2.2e-06 2.1e-06 1.35e-06 1.25e-06 1.9e-06 2.15e-06 1.8e-06 2.3e-06 1.85e-06
5 1.75e-06 1.55e-06 1.85e-06 1.85e-06 1.65e-06 1.7e-06 1.2e-06 1.35e-06 1.6e-06 1.55e-06 1.75e-06 1.65e-06 1.65e-06 1.75e-06 1.15e-06 1.2e-06 1.2e-06 1.25e-06 1.6e-06 1.6e-06 1.3e-06 1.75e-06 2e-06 1.05e-06 1.3e-06 1.6e-06 1.55e-06 1.4e-06 1.05e-06 1.75e-06 1.5e-06 1.25e-06 1.6e-06 1.95e-06 2.05e-06 2e-06 1.75e-06 1.5e-06 1.1e-06 1.2e-06
6 1.7e-06 1.25e-06 1.6e-06 1.7e-06 1.5e-06 1.2e-06 1.9e-06 1.15e-06 1.55e-06 1.5e-06 1.4e-06 1.7e-06 1.55e-06 1.5e-06 1.1e-06 1.55e-06 1.4e-06 1.2e-06 1.5e-06 1.55e-06 1.2e-06 1.5e-06 1.7e-06 9.5e-07 1.2e-06 1.65e-06 1.65e-06 1.3e-06 1.1e-06 1.7e-06 1.35e-06 1.1e-06 1.4e-06 1.65e-06 1.95e-06 1.7e-06 1.5e-06 1.5e-06 1e-06 1.3e-06
7 1.75e-06 1.2e-06 1.75e-06 1.85e-06 1.65e-06 1.35e-06 1.15e-06 2.2e-06 1.7e-06 1.65e-06 1.4e-06 1.9e-06 1.6e-06 1.55e-06 1.3e-06 1.7e-06 1.55e-06 1.15e-06 1.65e-06 1.65e-06 1.4e-06 1.55e-06 1.8e-06 1.1e-06 1.45e-06 1.8e-06 1.7e-06 1.5e-06 1.25e-06 1.85e-06 1.5e-06 1.25e-06 1.55e-06 1.65e-06 2.1e-06 1.75e-06 1.6e-06 1.65e-06 1.15e-06 1.45e-06
8 1.5e-06 1.2e-06 1.8e-06 1.5e-06 9.5e-07 1.6e-06 1.55e-06 1.7e-06 1.6e-06 8e-07 1.65e-06 1.8e-06 9.5e-07 1.35e-06 1.65e-06 1.25e-06 1.65e-06 1.65e-06 9.5e-07 2.2e-06 1.55e-06 1.35e-06 1.7e-06 2.1e-06 1.15e-06 1.85e-06 1.55e-06 1.65e-06 1.4e-06 1.8e-06 2.2e-06 1.95e-06 1.95e-06 1.55e-06 1.25e-06 2.05e-06 2.2e-06 1.55e-06 2.15e-06 1.8e-06
9 1.35e-06 1.05e-06 1.75e-06 1.55e-06 8e-07 1.55e-06 1.5e-06 1.65e-06 8e-07 1.3e-06 1.5e-06 1.75e-06 9e-07 1.2e-06 1.6e-06 1.2e-06 1.5e-06 1.5e-06 9e-07 2.05e-06 1.5e-06 1.2e-06 1.55e-06 2.15e-06 1e-06 1.7e-06 1.5e-06 1.6e-06 1.25e-06 1.65e-06 2.15e-06 2e-06 2.05e-06 1.4e-06 1.25e-06 2e-06 2.15e-06 1.5e-06 2.2e-06 1.75e-06
