 slim_761985394 slim_761985349 slim_761985354 slim_761985385 slim_761985355 slim_761985370 slim_761985376 slim_761985386 slim_761985365 slim_761985397 slim_761985396 slim_761985377 slim_761985366 slim_761985373 slim_761985379 slim_761985382 slim_761985388 slim_761985350 slim_761985395 slim_761985369 slim_761985374 slim_761985367 slim_761985393 slim_761985387 slim_761985364 slim_761985372 slim_761985381 slim_761985362 slim_761985356 slim_761985358 slim_761985360 slim_761985391 slim_761985371 slim_761985359 slim_761985351 slim_761985363 slim_761985380 slim_761985389 slim_761985392 slim_761985353 slim_761985383 slim_761985390 slim_761985352 slim_761985375 slim_761985384 slim_761985361 slim_761985368 slim_761985357 slim_761985378 slim_761985348
0 3.8e-06 2.4e-06 2.55e-06 2.5e-06 2.55e-06 2.75e-06 2.05e-06 2.55e-06 2.4e-06 2.5e-06 2.7e-06 3.1e-06 2.25e-06 2.45e-06 2.4e-06 2.65e-06 2.95e-06 2.65e-06 2.35e-06 2.8e-06 2.15e-06 2.25e-06 2.35e-06 2.15e-06 2.3e-06 2.55e-06 2.5e-06 2.55e-06 2.55e-06 2.75e-06 2.5e-06 2.6e-06 2.3e-06 2.75e-06 2.9e-06 2.35e-06 2.8e-06 2.2e-06 2.3e-06 2.55e-06 2.9e-06 2.55e-06 2.6e-06 2.4e-06 2.35e-06 2.3e-06 2.6e-06 2.25e-06 2.65e-06 2.9e-06
1 2.4e-06 1.3e-06 1.65e-06 1.95e-06 1.75e-06 1.9e-06 9e-07 1.75e-06 1.9e-06 1.85e-06 1.75e-06 2.3e-06 1.95e-06 8e-07 1.45e-06 1.9e-06 1.6e-06 2.2e-06 1.85e-06 1.6e-06 1.75e-06 1.1e-06 2.2e-06 1.2e-06 2.25e-06 2e-06 1.75e-06 1.15e-06 1.85e-06 1.65e-06 1.8e-06 1.7e-06 1.7e-06 1.15e-06 1.5e-06 2.1e-06 1.95e-06 1.5e-06 1.15e-06 1.45e-06 1.45e-06 1.65e-06 1.2e-06 1.2e-06 1.5e-06 2e-06 1.45e-06 1.95e-06 1.55e-06 1.9e-06
2 2.55e-06 1.65e-06 2.4e-06 2e-06 1.5e-06 1.65e-06 1.35e-06 1.5e-06 2.05e-06 1.5e-06 2.25e-06 2.15e-06 2.05e-06 1.75e-06 1.5e-06 1.4e-06 1.65e-06 2.1e-06 2e-06 2e-06 2.2e-06 1.55e-06 2.2e-06 1.25e-06 2.5e-06 2.25e-06 2.3e-06 1.5e-06 1.3e-06 1.65e-06 1.3e-06 1.4e-06 2.15e-06 1.85e-06 1.8e-06 1.95e-06 1.25e-06 2.05e-06 1.7e-06 2.15e-06 2e-06 1.35e-06 1.55e-06 1.7e-06 2.1e-06 1.95e-06 1.8e-06 1.9e-06 2.25e-06 1.7e-06
3 2.5e-06 1.95e-06 2e-06 2.5e-06 2.15e-06 1.95e-06 1.9e-06 2.1e-06 1.25e-06 2.35e-06 1.85e-06 2.7e-06 1.65e-06 2.05e-06 1.7e-06 2.2e-06 2.15e-06 1.85e-06 1.3e-06 2.45e-06 1.8e-06 1.55e-06 2.8e-06 2e-06 1.45e-06 1.95e-06 1.95e-06 2.1e-06 2.15e-06 1.95e-06 2.15e-06 1.55e-06 2.7e-06 2.25e-06 2.2e-06 2e-06 1.9e-06 1.65e-06 2.1e-06 1.7e-06 2e-06 1.55e-06 2.15e-06 2.15e-06 2.5e-06 1.9e-06 1.8e-06 1.85e-06 1.8e-06 2.3e-06
4 2.55e-06 1.75e-06 1.5e-06 2.15e-06 2.5e-06 1.35e-06 1.4e-06 1.3e-06 2e-06 1.55e-06 2.2e-06 2e-06 2e-06 1.85e-06 1.5e-06 1.55e-06 1.75e-06 2e-06 2e-06 2e-06 2.2e-06 1.55e-06 2.1e-06 1.3e-06 2.5e-06 2.25e-06 2.3e-06 1.6e-06 1.5e-06 1.35e-06 1.45e-06 1.5e-06 2.15e-06 1.95e-06 1.6e-06 1.95e-06 1.55e-06 2.05e-06 1.75e-06 2.2e-06 2.1e-06 1.5e-06 1.65e-06 1.65e-06 2.15e-06 1.95e-06 1.85e-06 1.9e-06 2.3e-06 1.9e-06
5 2.75e-06 1.9e-06 1.65e-06 1.95e-06 1.35e-06 1.6e-06 1.85e-06 1.4e-06 1.75e-06 1.5e-06 2.15e-06 1.65e-06 2.05e-06 2e-06 1.6e-06 1.35e-06 1.55e-06 1.7e-06 1.8e-06 1.9e-06 2.1e-06 1.45e-06 2.3e-06 1.95e-06 2.55e-06 2.15e-06 2.4e-06 1.6e-06 1.6e-06 1.05e-06 1.55e-06 1.1e-06 2.5e-06 1.9e-06 1.4e-06 2e-06 1.2e-06 2.15e-06 1.8e-06 2.2e-06 1.95e-06 1.15e-06 1.65e-06 1.65e-06 2.4e-06 2.2e-06 1.65e-06 2.15e-06 2.3e-06 1.65e-06
6 2.05e-06 9e-07 1.35e-06 1.9e-06 1.4e-06 1.85e-06 8e-07 1.4e-06 1.7e-06 1.5e-06 1.95e-06 2.4e-06 1.6e-06 1e-06 1e-06 1.8e-06 2e-06 2.1e-06 1.7e-06 1.9e-06 1.55e-06 9e-07 1.85e-06 4.5e-07 1.95e-06 1.9e-06 1.55e-06 1.35e-06 1.6e-06 1.7e-06 1.55e-06 1.7e-06 1.45e-06 1.45e-06 1.9e-06 1.7e-06 2.1e-06 1.25e-06 1.05e-06 1.7e-06 1.75e-06 1.75e-06 1.4e-06 1.25e-06 1.65e-06 1.55e-06 1.5e-06 1.5e-06 1.8e-06 2.15e-06
7 2.55e-06 1.75e-06 1.5e-06 2.1e-06 1.3e-06 1.4e-06 1.4e-06 2.5e-06 1.95e-06 1.55e-06 2.2e-06 2e-06 2e-06 1.85e-06 1.45e-06 1.55e-06 1.75e-06 2e-06 1.95e-06 2e-06 2.2e-06 1.5e-06 2.1e-06 1.3e-06 2.5e-06 2.25e-06 2.3e-06 1.6e-06 1.5e-06 1.4e-06 1.45e-06 1.45e-06 2.15e-06 1.95e-06 1.65e-06 1.95e-06 1.55e-06 2.05e-06 1.75e-06 2.2e-06 2.05e-06 1.45e-06 1.65e-06 1.65e-06 2.15e-06 1.95e-06 1.8e-06 1.9e-06 2.3e-06 1.9e-06
8 2.4e-06 1.9e-06 2.05e-06 1.25e-06 2e-06 1.75e-06 1.7e-06 1.95e-06 1.9e-06 2.15e-06 1.7e-06 2.7e-06 1.35e-06 2e-06 1.45e-06 2.2e-06 2.25e-06 1.7e-06 1.1e-06 2.5e-06 1.55e-06 1.3e-06 2.7e-06 1.8e-06 1.2e-06 1.7e-06 1.7e-06 2.05e-06 2.2e-06 1.75e-06 2.15e-06 1.5e-06 2.6e-06 2.1e-06 2.2e-06 1.75e-06 2.15e-06 1.4e-06 1.9e-06 1.6e-06 2e-06 1.65e-06 2.1e-06 2.05e-06 2.55e-06 1.65e-06 1.7e-06 1.6e-06 1.7e-06 2.45e-06
9 2.5e-06 1.85e-06 1.5e-06 2.35e-06 1.55e-06 1.5e-06 1.5e-06 1.55e-06 2.15e-06 2e-07 2.45e-06 1.75e-06 2.45e-06 1.95e-06 1.65e-06 1.05e-06 1.65e-06 2.2e-06 2.15e-06 2.15e-06 2e-06 1.45e-06 1.95e-06 1.65e-06 2.75e-06 2e-06 2.45e-06 1.35e-06 1.25e-06 1.65e-06 1.2e-06 1.3e-06 2.4e-06 1.6e-06 1.9e-06 1.8e-06 1.2e-06 2.15e-06 1.2e-06 2.55e-06 2.25e-06 1.35e-06 1.4e-06 1.55e-06 2.55e-06 2.05e-06 2e-06 2e-06 2.65e-06 1.4e-06
10 2.7e-06 1.75e-06 2.25e-06 1.85e-06 2.2e-06 2.15e-06 1.95e-06 2.2e-06 1.7e-06 2.45e-06 2.7e-06 2.95e-06 1.75e-06 1.85e-06 2.1e-06 2.45e-06 1.75e-06 2.05e-06 1.75e-06 2.35e-06 2e-06 1.9e-06 3e-06 2.1e-06 1.6e-06 2.05e-06 1.95e-06 1.95e-06 2.25e-06 1.95e-06 2.2e-06 2.05e-06 2.65e-06 2.1e-06 2e-06 2.1e-06 2.25e-06 1.7e-06 2.15e-06 1.55e-06 2.2e-06 2.1e-06 2e-06 2.15e-06 2.3e-06 1.85e-06 2.05e-06 1.8e-06 1.65e-06 2.5e-06
